Orthogroup	Euclidium_syriacum	Conringia_planisiliqua
OG0000043	ESY4_g23863_DN2_SP0_c100.t1	CP15_g35837_DN2_SP0_c.t1, CP15_g35835_DN2_SP0_c.t1, CP15_g35836_DN2_SP0_c.t1, CP1_g41085_DN2_SP0_c.t1, CP1_g41084_DN2_SP0_c.t1, CP5_g1995_DN2_SP0_c.t1, CP14_g22990_DN1_SP0_c.t1
OG0000044	ESY1_g11405_DN3_SP0_c0.t1	CP13_g19861_DN2_SP0_c.t1
OG0000044	ESY6_g50480_DN2_SP0_c0.t1	CP13_g19860_DN2_SP0_c.t1
OG0000044	ESY10_g14634_DN3_SP0_c0.t1	CP13_g20691_DN1_SP0_c.t1, CP16_g55519_DN1_SP0_c.t1
OG0000044	ESY9_g42710_DN3_SP0_c0.t1, ESY16_g62029_DN1_SP0_c0.t1	CP2_g50531_DN2_SP0_c.t1, CP13_g19858_DN3_SP0_c.t1
OG0000046	ESY14_g21426_DN1_SP0_c0.t1	CP15_g34716_DN3_SP0_c.t1
OG0000046	ESY15_g65758_DN2_SP0_c100.t1	CP1_g39285_DN1_SP0_c.t1, CP8_g52809_DN3_SP0_c.t1
OG0000048	ESY5_g5235_DN1_SP0_c0.t1, ESY5_g5227_DN1_SP0_c0.t1, ESY5_g5237_DN2_SP0_c0.t1	CP9_g28258_DN1_SP0_c.t1
OG0000048	ESY7_g16211_DN2_SP0_c0.t1, ESY1_g11291_DN3_SP0_c0.t1	CP3_g14428_DN3_SP0_c.t1, CP12_g30253_DN2_SP0_c.t1, CP12_g30252_DN1_SP0_c.t1
OG0000050	ESY7_g16182_DN3_SP0_c92.t1	CP9_g27575_DN2_SP0_c.t1
OG0000050	ESY3_g28010_DN1_SP0_c0.t1, ESY7_g19195_DN2_SP0_c0.t1, ESY4_g22483_DN2_SP0_c0.t1	CP1_g38613_DN1_SP0_c.t1
OG0000050	ESY11_g54389_DN1_SP0_c0.t1, ESY22_g40701_DN2_SP0_c0.t1	CP5_g3336_DN1_SP0_c.t1
OG0000050	ESY3_g27878_DN2_SP0_c0.t1	CP4_g26837_DN2_SP0_c.t1, CP3_g16491_DN1_SP0_c.t1, CP15_g34543_DN2_SP0_c.t1, CP1_g39907_DN2_SP0_c.t1
OG0000051	ESY5_g2704_DN3_SP0_c0.t1	CP4_g24481_DN3_SP0_c.t1
OG0000051	ESY12_g51256_DN3_SP0_c0.t1	CP1_g36582_DN3_SP0_c.t1
OG0000051	ESY5_g2705_DN3_SP0_c0.t1	CP4_g24480_DN3_SP0_c.t1
OG0000051	ESY5_g2706_DN3_SP0_c11.t1	CP4_g24479_DN3_SP0_c.t1
OG0000052	ESY2_g35343_DN2_SP0_c0.t1, ESY16_g61527_DN1_SP0_c0.t1, ESY11_g54151_DN1_SP0_c0.t1	CP13_g19766_DN3_SP0_c.t1
OG0000052	ESY1_g10445_DN3_SP0_c0.t1	CP3_g14092_DN3_SP0_c.t1
OG0000055	ESY2_g35826_DN2_SP0_c0.t1	CP12_g30730_DN2_SP0_c.t1
OG0000055	ESY9_g45399_DN1_SP0_c0.t1, ESY3_g30252_DN1_SP0_c0.t1	CP10_g42649_DN3_SP0_c.t1
OG0000055	ESY2_g35556_DN3_SP0_c0.t1	CP10_g42516_DN3_SP0_c.t1
OG0000056	ESY2_g33757_DN3_SP0_c0.t1	CP2_g49071_DN3_SP0_c.t1
OG0000056	ESY2_g33766_DN3_SP0_c0.t1	CP2_g49032_DN3_SP0_c.t1, CP2_g49030_DN3_SP0_c.t1
OG0000056	ESY2_g33759_DN3_SP0_c0.t1	CP2_g49072_DN2_SP0_c.t1
OG0000056	ESY2_g33762_DN3_SP0_c0.t1	CP2_g49077_DN3_SP0_c.t1
OG0000056	ESY2_g33767_DN3_SP0_c0.t1, ESY2_g33769_DN3_SP0_c0.t1, ESY2_g33764_DN2_SP0_c0.t1, ESY2_g33770_DN3_SP0_c0.t1, ESY2_g33763_DN2_SP0_c0.t1, ESY2_g33774_DN3_SP0_c0.t1	CP11_g31796_DN3_SP0_c.t1
OG0000056	ESY2_g33775_DN1_SP0_c0.t1	CP2_g49067_DN3_SP0_c.t1
OG0000056	ESY2_g33753_DN3_SP0_c0.t1, ESY2_g33752_DN3_SP0_c0.t1, ESY2_g33758_DN3_SP0_c0.t1, ESY2_g33773_DN1_SP0_c0.t1, ESY2_g33750_DN3_SP0_c0.t1, ESY2_g33772_DN2_SP0_c0.t1, ESY2_g33746_DN3_SP0_c0.t1	CP2_g49080_DN3_SP0_c.t1
OG0000056	ESY2_g33671_DN2_SP0_c0.t1	CP2_g49031_DN3_SP0_c.t1
OG0000058	ESY15_g65727_DN2_SP0_c85.t1	CP17_g5406_DN1_SP0_c.t1
OG0000058	ESY13_g56710_DN1_SP0_c0.t1	CP13_g20701_DN3_SP0_c.t1, CP47_g21258_DN2_SP0_c.t1, CP8_g52373_DN1_SP0_c.t1
OG0000059	ESY1_g9125_DN2_SP0_c0.t1	CP12_g31611_DN2_SP0_c.t1
OG0000060	ESY1_g11058_DN3_SP0_c0.t1	CP4_g24977_DN3_SP0_c.t1
OG0000062	ESY17_g40168_DN2_SP0_c0.t1	CP7_g44165_DN3_SP0_c.t1
OG0000062	ESY1_g8355_DN3_SP0_c0.t1	CP12_g31765_DN3_SP0_c.t1, CP6_g9071_DN2_SP0_c.t1
OG0000062	ESY7_g16267_DN1_SP0_c0.t1, ESY11_g53126_DN2_SP0_c0.t1	CP4_g26549_DN1_SP0_c.t1
OG0000062	ESY14_g20664_DN3_SP0_c0.t1	CP1_g38352_DN3_SP0_c.t1, CP6_g9070_DN1_SP0_c.t1
