Orthogroup	Noccaea_praecox	Cochlearia_excelsa
OG0000008	Np004G226760	g7452, g29339
OG0000008	Np002G096480	g27995
OG0000008	Np001G053530	g11343, g33123, g13991, g39484, g4392
OG0000010	Np001G027540, Np002G098260	g26448, g14316
OG0000010	Np006G346340, Np001G030570, Np005G296780, Np005G297010, Np006G346440, Np006G348980, Np001G036300, Np006G354450	g53601, g53295
OG0000010	Np009G430520	g19854, g30542, g53110, g14367, g35072, g17508, g3784, g26651, g14586, g43558, g52673, g8735, g30404, g35742, g25236, g32573, g50962, g52621, g52328, g8823, g14370, g19840, g8785
OG0000010	Np004G221660	g25611, g42724, g21558, g24842, g4696, g16438, g14613, g21436, g43840, g44712, g16683, g42926, g35691, g30752, g14081
OG0000011	Np001G009230, Np006G351190	g42924
OG0000011	Np003G127440, Np003G182970	g3436
OG0000011	Np001G018210	g595, g39387, g50471, g45887, g31002, g3488, g4325, g42740, g27504, g48116, g37572, g5173, g42024, g1503, g32112
OG0000012	Np006G343630, Np002G100520	g6328
OG0000012	Np003G169510, Np006G350820, Np007G404020, Np004G218280	g21395
OG0000012	Np006G341490	g32787, g15662
OG0000012	Np010G434900, Np004G239110	g15122, g44912
OG0000013	Np002G102610, Np001G031780, Np003G168300, Np003G170610, Np003G170420	g43620, g32917, g24858, g11577, g16510
OG0000013	Np004G228920	g4139, g16474
OG0000014	Np001G042570, Np002G073300	g53053, g15956, g36000, g14332, g10989, g37854, g44201, g25623, g51642, g51639, g52234, g35462, g22865, g25239, g2403, g43444, g14684, g51667, g10636, g1971, g16696, g10635, g10250, g28380, g40837, g27277, g11042, g6703, g5857, g12182, g17733, g4522, g4817, g28381, g10251, g5946, g32004, g44051, g39722, g1567, g16864
OG0000014	Np004G227310	g28379, g22864
OG0000014	Np003G187370	g50733, g573, g25624, g44199
OG0000014	Np011G435870	g46635, g4677, g16585, g52312, g572, g37414
OG0000014	Np002G097020	g30026, g25218, g52916, g47081
OG0000015	Np005G274380	g53567
OG0000015	Np007G402630	g15603, g23354, g2748
