Orthogroup	Alyssum_gmelinii	Arabidopsis_arenosa
OG0000091	Ag008G666220	jg20823, jg20821, jg1412, jg2211, jg14179
OG0000093	Ag001G087540	jg15862
OG0000093	Ag001G087410	jg15861
OG0000093	Ag001G087190, Ag001G087160, Ag001G087050, Ag001G087110, Ag001G087130, Ag020G743230, Ag001G087290	jg15848, jg15846
OG0000093	Ag001G087200, Ag020G743290, Ag001G087240	jg27054, jg27053, jg27051, jg27052
OG0000093	Ag001G083700, Ag001G087310	jg15851
OG0000093	Ag001G086540, Ag001G086510	jg15841
OG0000093	Ag001G086700, Ag001G086880, Ag001G086860, Ag001G086840	jg15850
OG0000096	Ag001G024200, Ag001G016650, Ag005G460360	jg13128
OG0000096	Ag002G102560	jg20644
OG0000096	Ag002G103250	jg20589
OG0000096	Ag004G380830	jg1249
OG0000097	Ag002G130220, Ag002G132530, Ag002G129480	jg7810
OG0000097	Ag002G129560, Ag002G130470, Ag002G129510, Ag002G129570, Ag002G129580, Ag002G129500, Ag002G129590, Ag002G129620, Ag002G130320, Ag002G130290, Ag002G130330, Ag002G129450	jg7819
OG0000097	Ag002G128740	jg7820
OG0000097	Ag002G128960	jg7813, jg7812, jg7815, jg7814
OG0000097	Ag002G128810, Ag002G129430, Ag002G129130, Ag002G129340	jg21543, jg7817
OG0000098	Ag004G315550, Ag004G315560	jg29677
OG0000098	Ag006G506280, Ag004G316800, Ag004G315620	jg32282, jg12025
OG0000099	Ag004G395880	jg459, jg7310
OG0000099	Ag004G398340, Ag004G398430, Ag004G391240, Ag004G395750	jg455, jg458, jg453, jg457
OG0000099	Ag004G391150, Ag004G391000, Ag004G391130, Ag004G390970, Ag004G395610	jg456
OG0000099	Ag004G395780, Ag004G391250, Ag004G391340, Ag004G391360, Ag004G395820, Ag004G391310, Ag004G391330, Ag004G395840	jg543
OG0000099	Ag004G396600, Ag004G396870, Ag004G391030, Ag004G396100, Ag004G395920, Ag004G391570, Ag004G396210	jg542
OG0000099	Ag015G742140, Ag015G742240	jg7311
OG0000099	Ag004G391040	jg460
OG0000101	Ag004G389820, Ag004G389830	jg477
OG0000101	Ag004G394110	jg492
OG0000101	Ag004G395200, Ag004G395030, Ag004G390080	jg472
OG0000104	Ag004G307220	jg29111
OG0000104	Ag007G594830	jg17896
OG0000104	Ag001G010320	jg33004
OG0000104	Ag005G441940	jg26323
OG0000104	Ag001G010240	jg33354
OG0000106	Ag005G417510, Ag001G017220	jg27435, jg14860
OG0000107	Ag005G481150	jg17559, jg17556
OG0000107	Ag005G446760	jg26159
OG0000107	Ag005G446720	jg26161
OG0000107	Ag005G446670	jg26163
OG0000107	Ag005G446680	jg26160
OG0000108	Ag005G459590, Ag008G727840	jg17595, jg31284, jg16872
OG0000108	Ag003G269110, Ag003G269200	jg27107, jg27264, jg27221, jg27229, jg27223
OG0000108	Ag005G414040	jg2306
OG0000108	Ag007G609500, Ag002G145390	jg11987, jg17594, jg31283, jg16874
OG0000109	Ag003G215310, Ag004G367180, Ag004G395250, Ag004G351540, Ag007G578520, Ag003G262230, Ag002G199280, Ag006G563280, Ag007G622830, Ag006G517090, Ag002G104980	jg17424
OG0000109	Ag006G532070	jg20882
OG0000109	Ag001G038010	jg6910, jg11931
OG0000110	Ag001G090130	jg15960
OG0000110	Ag001G090120	jg15959
OG0000110	Ag001G090270, Ag001G090260, Ag001G090170, Ag001G090700	jg15966
OG0000110	Ag003G287900, Ag001G089820, Ag001G089800, Ag001G089810, Ag001G077870, Ag004G376010	jg15957, jg15956
OG0000110	Ag001G077750, Ag001G089870, Ag001G089880, Ag001G089910	jg11381
OG0000110	Ag001G090290, Ag001G090300, Ag001G090310	jg15969
OG0000111	Ag002G181570, Ag002G181540, Ag002G181620	jg12398, jg12393, jg12389, jg12394, jg12395
OG0000111	Ag006G502330	jg12396
OG0000111	Ag008G729450	jg23312, jg23313, jg7387, jg7388
OG0000113	Ag003G210260	jg12802, jg12815
OG0000113	Ag005G453300	jg509
OG0000113	Ag004G396680, Ag007G597560	jg1379
OG0000113	Ag004G394970	jg508
OG0000114	Ag005G486540, Ag005G485930	jg24299
OG0000114	Ag006G573480	jg2542
OG0000114	Ag003G284630	jg7114, jg1323
OG0000119	Ag001G026190	jg20878
OG0000119	Ag007G641820	jg12954
OG0000119	Ag005G433280, Ag007G606060, Ag008G734240, Ag005G486140, Ag002G179560, Ag005G477370, Ag003G228580, Ag003G279350, Ag005G409220	jg13725, jg9836, jg1719, jg21576, jg27974, jg7024
OG0000120	Ag004G373700, Ag001G094910	jg893, jg889
OG0000120	Ag003G277400, Ag003G279310, Ag003G275890	jg21600, jg21583, jg21561, jg21534, jg21584, jg21558
OG0000120	Ag006G498650, Ag006G498600, Ag006G498610	jg13317, jg4214, jg4213, jg2215, jg14374
OG0000122	Ag008G698890	jg22508, jg32572, jg22505
OG0000122	Ag003G267460	jg22485
OG0000122	Ag008G699060	jg32166
OG0000122	Ag008G698530	jg22487, jg22488
OG0000123	Ag007G583620	jg31338
OG0000123	Ag001G067540	jg29806
OG0000123	Ag004G318570	jg14270
OG0000123	Ag006G564520	jg29805
OG0000123	Ag004G318080	jg647
OG0000124	Ag003G282630	jg19874
OG0000124	Ag003G242000	jg27275, jg20993, jg25905, jg11327, jg33081, jg14104, jg9592, jg12111, jg17565
OG0000124	Ag006G527550, Ag008G658090	jg20179
OG0000125	Ag005G477020	jg24874, jg3993
OG0000125	Ag008G713670	jg6123
OG0000125	Ag004G307540	jg29136
OG0000125	Ag007G595180	jg17851
OG0000127	Ag008G679900, Ag004G381150	jg3917, jg3918
OG0000127	Ag006G492190	jg3915
OG0000127	Ag006G492230	jg3920
OG0000127	Ag005G477990	jg24833
OG0000127	Ag005G477980	jg24836
OG0000127	Ag004G313220, Ag004G313200, Ag004G313180, Ag004G313170, Ag007G620490, Ag004G313150	jg29525
OG0000127	Ag004G313210, Ag004G313190, Ag004G313250	jg29526, jg29071
OG0000133	Ag004G314420, Ag001G083930, Ag005G455770, Ag008G708500, Ag004G391190, Ag003G285410, Ag001G074650	jg7039
OG0000136	Ag005G456830, Ag005G456800, Ag005G456810, Ag008G669100, Ag005G457140, Ag002G171850	jg12270
OG0000137	Ag001G020440, Ag001G062280, Ag002G130440, Ag007G624610, Ag004G355240, Ag003G264690, Ag007G648090, Ag004G309670, Ag008G662950, Ag001G102090, Ag004G373870, Ag004G346320, Ag006G521700	jg17603
OG0000137	Ag006G528160, Ag001G057880	jg27681
OG0000138	Ag005G453140	jg12473
OG0000138	Ag003G290790	jg13819
OG0000139	Ag002G105400	jg6519, jg6518, jg27250, jg27251, jg26448
OG0000139	Ag001G027020	jg6848, jg7487, jg11793
OG0000139	Ag002G170320	jg6850
OG0000140	Ag008G706820, Ag008G706850, Ag008G707550, Ag008G706830	jg22800, jg21885, jg22801
OG0000140	Ag008G707960	jg22848
OG0000140	Ag001G080460, Ag008G707780	jg22851, jg22847
OG0000142	Ag007G594160, Ag007G594220	jg17934, jg17935
OG0000142	Ag007G594480	jg17940
OG0000142	Ag007G594470	jg17933
OG0000142	Ag004G307050	jg17936
OG0000145	Ag006G535320, Ag004G370190	jg2060
OG0000145	Ag002G117940, Ag003G273300	jg27362
OG0000145	Ag003G230540, Ag004G392330, Ag001G060050, Ag007G610290, Ag004G392340	jg17724
OG0000146	Ag008G695350	jg22363
OG0000146	Ag002G188250	jg21872
OG0000146	Ag008G695470, Ag008G695460	jg22365, jg22366
OG0000146	Ag008G695380	jg22364
OG0000147	Ag005G408700	jg28078
OG0000147	Ag003G261030	jg9392
OG0000147	Ag008G702420	jg22635
OG0000147	Ag003G209560	jg3697
OG0000149	Ag006G570510, Ag006G570440, Ag006G570460	jg14423
OG0000149	Ag008G709420	jg22904
OG0000149	Ag008G709260	jg22901
OG0000150	Ag007G607130	jg14326
OG0000150	Ag006G518460, Ag007G625710	jg14055
OG0000150	Ag001G092600	jg14331
OG0000150	Ag004G332580	jg14325
OG0000150	Ag008G711310, Ag008G711350	jg22962
OG0000151	Ag008G685810	jg22050
OG0000151	Ag005G478640	jg24782
OG0000151	Ag005G417580	jg27769
OG0000151	Ag008G698280	jg22463
OG0000154	Ag003G268730, Ag005G477100, Ag005G477120	jg1415
OG0000154	Ag004G324480	jg30094
OG0000154	Ag005G471090	jg25213
OG0000154	Ag005G477170	jg24871
OG0000154	Ag006G493360	jg3985
OG0000154	Ag006G507750, Ag006G508580, Ag006G493020	jg3984
OG0000155	Ag002G204050	jg12562, jg12564
OG0000155	Ag006G564870	jg2004, jg10428
OG0000155	Ag005G471860	jg25152
OG0000155	Ag002G134830, Ag002G134820, Ag002G138260	jg7743
OG0000156	Ag002G201900	jg19948
OG0000156	Ag001G093780	jg16152
OG0000157	Ag006G537650, Ag002G142330, Ag002G143730	jg24182
OG0000157	Ag003G228360	jg2031, jg2038, jg2030, jg2028, jg7426
OG0000157	Ag004G346210, Ag003G229150, Ag004G369290	jg12773, jg19021, jg19020, jg19023, jg19043, jg19019
OG0000158	Ag005G443310, Ag005G444520, Ag005G443260	jg10511
OG0000158	Ag005G476710	jg11407, jg28264, jg5270, jg28263, jg16699, jg7562, jg7551
OG0000161	Ag007G588370	jg31502, jg1832, jg31503
OG0000161	Ag007G588360	jg1847
OG0000161	Ag007G601560, Ag007G601540, Ag007G601790	jg1821
OG0000162	Ag001G075290	jg15299
OG0000162	Ag001G092940	jg19860
OG0000162	Ag001G092930	jg2591
OG0000162	Ag001G092990, Ag001G093000, Ag001G093010, Ag001G092980, Ag001G092570	jg16104
OG0000162	Ag008G712070	jg2036
OG0000162	Ag002G200850, Ag002G200800	jg19859
OG0000164	Ag003G293780, Ag004G322100, Ag003G293750, Ag003G293810	jg1130
OG0000164	Ag003G293740, Ag003G293690, Ag003G293790	jg8472
OG0000167	Ag006G570340	jg12243, jg10625
OG0000167	Ag006G570320	jg10624
OG0000167	Ag006G570400, Ag006G570410	jg12242
OG0000169	Ag003G231880	jg3074
OG0000171	Ag007G614710	jg5289
OG0000172	Ag002G179650, Ag001G097540, Ag001G097520	jg15356
OG0000172	Ag001G097470	jg16316
OG0000172	Ag002G191380	jg15918
OG0000172	Ag003G233750, Ag006G550460	jg15926
OG0000172	Ag001G081750, Ag001G081700, Ag001G084760, Ag002G204930, Ag001G089480	jg15937
OG0000172	Ag001G089440	jg15932
OG0000172	Ag001G089420	jg15930
OG0000175	Ag001G067410	jg15013
OG0000175	Ag005G417590	jg8854
OG0000176	Ag007G611080, Ag007G599330, Ag007G599310, Ag007G579980, Ag007G580670, Ag007G580020, Ag007G606560, Ag007G606540, Ag007G606550, Ag007G606580, Ag003G266210, Ag007G599350, Ag007G599300, Ag007G599320, Ag007G580010, Ag007G580050, Ag007G580060, Ag006G501180, Ag006G500850, Ag001G031780	jg31636, jg31639
OG0000176	Ag007G580300, Ag005G449360	jg31640
OG0000181	Ag003G251860	jg13723, jg28047
OG0000185	Ag002G183070	jg12153
OG0000185	Ag004G378920	jg13729, jg14412
OG0000186	Ag004G388160	jg17305, jg27206
OG0000187	Ag003G270350, Ag003G270310, Ag003G282640, Ag003G270250, Ag002G167770	jg9234, jg9235
OG0000187	Ag003G270560	jg9230
OG0000189	Ag001G080600	jg8491
OG0000189	Ag003G293390	jg3298
OG0000189	Ag007G631560, Ag007G631600, Ag007G631490, Ag007G631520, Ag007G631710, Ag007G628720, Ag007G631540, Ag006G508880, Ag006G508840, Ag006G508810, Ag004G355860, Ag003G290270	jg8629
