Orthogroup	Alyssum_gmelinii	Odontarrhena_muralis
OG0000081	Ag007G593730	Om005G184670, Om005G184660
OG0000082	Ag008G658870, Ag004G384280	Om006G275030
OG0000083	Ag005G483950, Ag005G483960	Om005G206370
OG0000083	Ag005G485040, Ag005G485120, Ag005G485110, Ag005G485150, Ag005G485130, Ag005G485070	Om008G340620, Om002G046520
OG0000084	Ag002G128280, Ag002G119860, Ag006G542390, Ag002G119500, Ag002G176420, Ag002G119390, Ag002G119370, Ag002G119740, Ag002G119780, Ag002G119750, Ag002G119670, Ag002G119890, Ag002G119900, Ag002G119710, Ag002G111650	Om001G014490, Om008G359620, Om008G359610, Om001G014520
OG0000084	Ag004G391010	Om008G359580
OG0000086	Ag008G709530	Om004G163220
OG0000087	Ag008G723440	Om006G238380
OG0000087	Ag007G593840	Om007G282390
OG0000087	Ag007G609260	Om004G162490
OG0000087	Ag002G161340	Om008G339690
OG0000087	Ag002G127940	Om008G355890
OG0000087	Ag006G562620	Om001G006430
OG0000087	Ag003G224140	Om004G137360
OG0000088	Ag007G581970	Om003G119630
OG0000088	Ag008G717820	Om006G242180
OG0000089	Ag007G603320	Om004G166350
OG0000089	Ag006G540580	Om001G012030
OG0000089	Ag005G453100	Om002G065930
OG0000089	Ag001G021310	Om003G098490
OG0000089	Ag005G471710	Om002G055730
OG0000089	Ag002G172950, Ag001G073120	Om006G254270, Om008G335280
OG0000089	Ag008G712440, Ag008G708620	Om006G246310, Om006G246300
OG0000090	Ag004G333760	Om005G202290, Om005G179690
OG0000090	Ag003G223190	Om004G136810
OG0000090	Ag001G023950, Ag001G024020, Ag001G023830, Ag001G020200, Ag001G020270, Ag001G020040, Ag001G021760, Ag001G021770, Ag001G024010, Ag001G023940	Om003G098630, Om003G099040
OG0000090	Ag001G091860, Ag001G091870, Ag001G091890	Om003G124490, Om003G124410, Om003G124460
OG0000090	Ag005G471750	Om002G055690
OG0000090	Ag001G092010, Ag001G091920, Ag001G091930	Om003G124430
OG0000090	Ag002G185460	Om006G274160
OG0000091	Ag008G666230, Ag001G063330, Ag006G524690	Om006G264850
OG0000093	Ag001G087540	Om003G122050
OG0000093	Ag001G087660, Ag001G087680, Ag001G087560, Ag001G087510, Ag001G087500	Om003G122030
OG0000093	Ag001G087060, Ag020G743300	Om001G033140
OG0000093	Ag001G087470	Om003G122020
OG0000093	Ag001G087410	Om003G122010
OG0000093	Ag001G087050, Ag001G087110, Ag001G087130	Om003G121870
OG0000093	Ag001G083700, Ag001G087310	Om003G121950
OG0000093	Ag001G086770, Ag001G086780, Ag001G086760	Om003G121760
OG0000093	Ag001G086700	Om003G121730
OG0000093	Ag001G086880, Ag001G086860, Ag001G086840	Om003G121770
OG0000096	Ag001G024200, Ag001G016650, Ag005G460360	Om007G301150
OG0000096	Ag004G329170, Ag004G329010, Ag004G329150, Ag004G329020	Om005G199550
OG0000096	Ag006G559170	Om004G143550, Om008G360980
OG0000097	Ag002G130220, Ag002G132530	Om008G355550
OG0000097	Ag002G129480	Om008G355560
OG0000097	Ag002G129560, Ag002G130470, Ag002G129510, Ag002G129570, Ag002G129580, Ag002G129500, Ag002G129590, Ag002G129620, Ag002G130320, Ag002G130290, Ag002G130330, Ag002G129450	Om008G355570
OG0000097	Ag002G128740	Om008G355700
OG0000097	Ag002G128960	Om008G355610
OG0000097	Ag002G128810	Om008G355680
OG0000097	Ag002G129430, Ag002G129130, Ag002G129340	Om008G355600
OG0000098	Ag004G315550	Om005G191670
OG0000098	Ag006G506280	Om005G191920
OG0000098	Ag004G316800, Ag004G315620	Om005G192380
OG0000099	Ag004G394290, Ag004G391580	Om005G227480
OG0000099	Ag004G398340, Ag004G398430, Ag004G391240, Ag004G395750	Om005G227450
OG0000099	Ag004G383560, Ag004G391560, Ag004G397390, Ag004G397340, Ag004G396040, Ag004G396160, Ag004G391480, Ag004G397400, Ag004G397370, Ag004G397520, Ag004G397560, Ag004G391550, Ag004G396180, Ag004G395980, Ag004G391600, Ag004G397310, Ag004G391420, Ag004G396010, Ag004G397440, Ag004G389320, Ag004G394310, Ag004G394390, Ag004G389410	Om005G227540, Om005G227530, Om005G227500, Om005G227490, Om005G227470, Om005G227460, Om008G361970
OG0000099	Ag004G390870, Ag004G390890, Ag004G390900, Ag004G395530, Ag004G390720, Ag004G390710, Ag004G390740, Ag004G390940, Ag004G390780, Ag004G390920	Om005G227260
OG0000099	Ag004G390770	Om003G118970
OG0000099	Ag004G391150, Ag004G391000, Ag004G391130, Ag004G390970, Ag004G395610	Om005G227360, Om005G227350, Om005G227310, Om005G227370, Om005G227320
OG0000099	Ag004G395780, Ag004G391250, Ag004G391340, Ag004G391360, Ag004G395820, Ag004G391310, Ag004G391330, Ag004G395840	Om005G227510
