Orthogroup	Alyssum_gmelinii	Aethionema_saxatile
OG0000351	Ag008G726000	As009G207810, As011G246650
OG0000352	Ag004G325890	As007G153380
OG0000358	Ag007G587570, Ag004G302250	As006G124930, As008G196330
OG0000358	Ag007G587560, Ag007G587550	As008G196390
OG0000359	Ag003G211770	As012G275420
OG0000360	Ag008G734820, Ag007G625370, Ag001G073420, Ag001G076320, Ag008G734800	As005G119730
OG0000362	Ag004G395330	As009G205230
OG0000362	Ag004G303110	As006G134970
OG0000362	Ag004G324550, Ag004G324540	As007G152630
OG0000363	Ag002G184600	As009G209420
OG0000368	Ag003G291040, Ag003G291010, Ag003G290970	As003G073560, As003G073580
OG0000368	Ag003G291060	As003G073600, As003G073590
OG0000369	Ag008G710170	As006G145250, As010G224820, As006G129520
OG0000370	Ag004G326160, Ag004G326130, Ag004G326140, Ag004G326120, Ag007G583890	As007G153440
OG0000371	Ag007G648580, Ag005G446940, Ag002G205020, Ag005G477210, Ag002G204950, Ag002G203170, Ag002G204960, Ag002G203160, Ag007G611950, Ag003G209200, Ag002G107130, Ag008G670390, Ag002G204970, Ag002G205030	As005G099710, As005G099720
OG0000374	Ag001G012930	As012G273470, As012G273550
OG0000377	Ag004G312650	As001G021090
OG0000378	Ag003G280940, Ag005G438980, Ag003G207240, Ag007G654760, Ag001G058140, Ag002G187490	As003G067400
OG0000382	Ag006G512540, Ag004G299580	As006G122900
OG0000382	Ag004G309460	As008G188710
OG0000383	Ag007G582890, Ag007G582900, Ag007G582910, Ag007G582920	As003G069230
OG0000383	Ag007G582950, Ag007G582970, Ag007G582940, Ag007G582930	As003G069340, As003G069370, As003G069310, As003G069390, As003G069380
OG0000384	Ag002G181340, Ag002G181390, Ag005G463340, Ag001G007560, Ag001G007570, Ag001G007540	As011G247740
OG0000389	Ag001G073460, Ag001G087520	As001G003830
OG0000390	Ag008G723890	As001G012620
OG0000390	Ag005G448950, Ag005G448970, Ag005G448460, Ag005G448900, Ag005G457610	As011G251840
OG0000391	Ag003G277260	As007G158340, As007G158380, As007G158390, As007G158370, As007G158360
OG0000392	Ag007G602140, Ag001G060790	As010G221200, As010G221190, As010G221180
OG0000396	Ag005G437820	As001G026970
OG0000396	Ag005G414520	As001G026990, As001G027000, As001G027010
OG0000402	Ag006G561480	As001G032230, As003G065580, As005G099570, As012G279030, As011G256760, As002G038770, As002G036320, As008G185740, As009G212360, As007G178600, As002G037860, As007G176730, As007G176740, As007G176750, As005G112780, As012G277040, As008G191550, As009G207420, As009G210350
OG0000404	Ag002G166070, Ag006G502990, Ag001G069190, Ag005G472870	As012G276100, As006G144680, As002G037330
OG0000406	Ag007G624170, Ag001G091560, Ag001G037190, Ag005G488120	As006G136090
OG0000407	Ag004G386540, Ag004G386500, Ag004G386590, Ag004G386580, Ag004G386610, Ag007G610010, Ag007G616520, Ag007G587290, Ag003G279820, Ag003G279880, Ag001G088480	As009G201130, As009G201860
OG0000410	Ag004G376100, Ag004G376130, Ag004G375870, Ag004G375330	As001G021670, As001G021680
OG0000411	Ag004G378270	As001G022090
OG0000411	Ag002G139790	As004G085710
OG0000411	Ag006G555710	As003G060010
OG0000412	Ag008G693370	As002G046400
OG0000413	Ag005G469030	As011G245460
OG0000413	Ag008G699570	As002G048240
OG0000414	Ag003G245470, Ag006G561850, Ag006G561890, Ag006G561750, Ag006G561840, Ag006G561820, Ag006G561670	As003G058750, As003G058770, As003G058760
OG0000415	Ag007G617980, Ag007G617850, Ag007G617950, Ag007G636980, Ag004G373490, Ag004G372040, Ag002G194720	As005G104640
OG0000416	Ag007G590790	As006G125710
OG0000417	Ag003G269090, Ag004G323540, Ag005G431120	As007G163710, As008G186410
OG0000420	Ag002G185870	As010G222670
OG0000420	Ag006G501890	As001G015280
OG0000421	Ag002G119830, Ag002G119330, Ag006G539650, Ag001G005030, Ag001G005040, Ag006G537180, Ag007G634570, Ag003G213010	As004G078160, As004G078150
OG0000422	Ag004G310220, Ag004G310190, Ag004G310240, Ag002G188330, Ag004G310230, Ag004G310250, Ag004G310270, Ag004G310180	As008G188280, As008G188290, As008G188300
OG0000423	Ag003G238920	As010G241040
OG0000423	Ag001G003430	As012G269020
OG0000429	Ag008G720860	As009G215310
OG0000429	Ag007G606940	As002G052030
OG0000429	Ag003G279370	As001G004910
OG0000430	Ag005G417810	As011G263500
OG0000430	Ag003G296480	As001G014590, As003G076100, As007G181940
OG0000431	Ag004G368850	As001G019780
OG0000431	Ag004G311040, Ag004G311050, Ag004G311020	As008G187750
OG0000432	Ag007G617940, Ag008G701150, Ag001G060280, Ag008G701800, Ag008G683530	As002G044400
OG0000432	Ag008G697030, Ag008G697000	As002G047750
OG0000435	Ag006G519810	As001G004050, As006G138290
OG0000435	Ag004G330810, Ag004G330850, Ag004G330710	As011G260090, As011G260040
OG0000436	Ag008G699920, Ag003G261400, Ag003G257820, Ag005G405190	As011G266430, As002G048360
OG0000437	Ag006G537060, Ag006G539630	As003G062850
OG0000438	Ag006G552460	As004G085300
OG0000439	Ag004G305090	As008G194170
OG0000439	Ag001G090720	As012G285510
OG0000439	Ag007G591220	As006G127290
OG0000440	Ag006G496750, Ag007G625540, Ag005G487680, Ag005G487710, Ag004G392020	As006G136440
OG0000441	Ag005G461190	As011G248660
OG0000441	Ag005G461230	As011G248650
OG0000446	Ag008G727860	As009G219000
OG0000446	Ag004G320600	As008G183010
OG0000447	Ag005G464520	As011G247170
OG0000447	Ag007G583000	As003G069220
OG0000448	Ag002G115820, Ag002G120630, Ag002G120530, Ag002G115810, Ag002G120640	As004G089550
OG0000449	Ag007G656240	As005G114720
OG0000449	Ag008G710230	As010G224870, As005G114730
