Orthogroup	Alyssum_gmelinii	Aethionema_saxatile
OG0009785	Ag008G684630	As002G044680
OG0009786	Ag008G685880	As002G044700
OG0009787	Ag008G685630	As002G044750
OG0009788	Ag008G685220	As002G044800
OG0009789	Ag008G685900	As002G045070
OG0009790	Ag008G686970	As002G045320
OG0009791	Ag008G714090	As002G045590
OG0009792	Ag008G687830	As002G045710
OG0009793	Ag008G687610	As002G045760
OG0009794	Ag008G687460	As002G045840
OG0009795	Ag008G689620, Ag008G688810	As002G046060
OG0009796	Ag001G058050	As002G046380
OG0009797	Ag002G157690	As002G046480
OG0009798	Ag008G694490	As002G046850
OG0009799	Ag008G694870	As002G046990
OG0009800	Ag008G696060	As002G047380
OG0009801	Ag008G696310	As002G047470
OG0009802	Ag007G610780, Ag002G203310	As002G047580
OG0009803	Ag008G697940	As002G048050
OG0009804	Ag008G699390	As002G048190
OG0009805	Ag008G699710	As002G048260
OG0009806	Ag008G699960	As002G048460
OG0009807	Ag008G700390	As002G048510
OG0009808	Ag008G700950	As002G048640
OG0009809	Ag008G703360	As002G049220
OG0009810	Ag008G704210	As002G049380
OG0009811	Ag008G704340	As002G049420
OG0009812	Ag008G704410	As002G049450
OG0009813	Ag008G705110	As002G049820
OG0009814	Ag008G705220	As002G049900
OG0009815	Ag008G705270	As002G049920
OG0009816	Ag001G089350	As002G050040
OG0009817	Ag001G004890	As002G050200
OG0009818	Ag007G610830	As002G050470
OG0009819	Ag007G610700	As002G050500
OG0009820	Ag007G609360	As002G050970
OG0009821	Ag007G609290	As002G050990
OG0009822	Ag007G609250	As002G051010
OG0009823	Ag007G609240	As002G051020
OG0009824	Ag007G609090	As002G051130
OG0009825	Ag007G608870	As002G051230
OG0009826	Ag007G608840	As002G051260
OG0009827	Ag007G608400	As002G051330
OG0009828	Ag007G607620	As002G051720
OG0009829	Ag007G607500	As002G051770
OG0009830	Ag008G674160, Ag007G606230	As002G052170
OG0009831	Ag007G606090	As002G052250
OG0009832	Ag007G605920	As002G052330
OG0009833	Ag007G605830	As002G052390
OG0009834	Ag007G604760, Ag007G604780, Ag007G604770	As002G052900, As002G052890
OG0009835	Ag007G604350	As002G053130
OG0009836	Ag007G602470	As002G053750
OG0009837	Ag008G731080	As002G053760
OG0009838	Ag007G602130	As002G053960
OG0009839	Ag007G601470	As002G054340
OG0009840	Ag007G601230	As002G054480
OG0009841	Ag007G600630	As002G054820
OG0009842	Ag007G600540	As002G054900
OG0009843	Ag007G600030	As002G055110
OG0009844	Ag006G508480	As002G055280
OG0009845	Ag001G054090	As003G055690
OG0009846	Ag006G577530	As003G055840
OG0009847	Ag006G576920	As003G056160
OG0009848	Ag006G575190	As003G056710
OG0009849	Ag006G575150	As003G056730
OG0009850	Ag006G574800	As003G056890
OG0009851	Ag006G574080	As003G057180
OG0009852	Ag006G572810	As003G057380
OG0009853	Ag006G571840	As003G057640
OG0009854	Ag006G571230	As003G057760
OG0009855	Ag006G557020	As003G058110
OG0009856	Ag006G563620	As003G059000
OG0009858	Ag006G566990, Ag006G566920	As003G059810
OG0009859	Ag006G555980, Ag006G555960, Ag006G555970	As003G059980
OG0009860	Ag006G547810, Ag006G550020, Ag006G550000, Ag006G547790	As003G061010
OG0009861	Ag006G547700, Ag001G028960, Ag006G549930, Ag006G547740, Ag001G028950	As003G061030
OG0009862	Ag006G545870, Ag006G548650	As003G061410
OG0009865	Ag006G541690, Ag006G543780	As003G062180
OG0009867	Ag006G536920, Ag006G539440	As003G063000
OG0009868	Ag006G539040, Ag006G536490	As003G063240
OG0009869	Ag006G538760, Ag006G536260	As003G063330
OG0009870	Ag006G536180	As003G063340
OG0009871	Ag006G536060	As003G063380
OG0009872	Ag006G534960	As003G063940
OG0009873	Ag006G531640	As003G064790
OG0009874	Ag007G585100	As003G065500
OG0009875	Ag003G247830	As003G066330
OG0009876	Ag007G584150	As003G066780
OG0009877	Ag007G583640	As003G068460
OG0009878	Ag007G582990	As003G069330, As008G190140
OG0009879	Ag007G582240	As003G069930
OG0009880	Ag007G581770	As003G070130
OG0009881	Ag007G581750	As003G070150
OG0009882	Ag007G581500	As003G070330
OG0009883	Ag007G581120	As003G070470
OG0009884	Ag007G581110	As003G070480
OG0009885	Ag007G580860	As003G070790
OG0009886	Ag007G580770	As003G070840
OG0009887	Ag007G580730	As003G070860
OG0009888	Ag007G580570	As003G071070
OG0009889	Ag007G580130, Ag007G580140	As003G071320
OG0009890	Ag007G579820	As003G071540
OG0009891	Ag003G285470	As003G071690
OG0009892	Ag003G285530	As003G071730
OG0009893	Ag003G288290	As003G072440
OG0009894	Ag003G288570	As003G072550
OG0009897	Ag003G289340	As003G072980
OG0009898	Ag003G289520	As003G073060
OG0009900	Ag003G289960	As003G073240
OG0009901	Ag003G290850	As003G073470
OG0009901	Ag006G523810	As007G179610
OG0009902	Ag003G290930	As003G073540
OG0009904	Ag003G291280, Ag004G377350	As003G073760
OG0009905	Ag003G291660	As003G073880
OG0009906	Ag003G292050	As003G074070
OG0009907	Ag003G292250	As003G074140
OG0009908	Ag003G292400	As003G074260
OG0009909	Ag003G292570, Ag003G292600, Ag003G292550	As003G074390
OG0009910	Ag003G292720	As003G074440
OG0009911	Ag003G293250	As003G074700
OG0009912	Ag003G293960	As003G074970
OG0009913	Ag003G294030	As003G075040
OG0009914	Ag003G294940	As003G075460
OG0009915	Ag003G295590	As003G075810
OG0009916	Ag003G295870	As003G075910
OG0009917	Ag003G297180	As003G076650
OG0009918	Ag001G041620	As004G076730
OG0009919	Ag001G047230, Ag001G045510, Ag006G561470	As004G076780
OG0009920	Ag007G647170	As004G077800
OG0009921	Ag007G648330	As004G078320
OG0009922	Ag007G648620	As004G078370
OG0009923	Ag007G648980	As004G078480
OG0009924	Ag002G162290	As004G078770
OG0009925	Ag002G164220	As004G079050
OG0009926	Ag004G376370	As004G079100
OG0009927	Ag001G094430	As004G079280
OG0009929	Ag002G163790	As004G079460
OG0009930	Ag002G163300	As004G079540
OG0009931	Ag002G163190	As004G079620
OG0009932	Ag002G163080	As004G079690
OG0009933	Ag009G737490, Ag002G152460	As004G080000
OG0009934	Ag002G152210, Ag009G737320, Ag009G737260	As004G080050
OG0009935	Ag002G156000, Ag002G153470	As004G080200
OG0009936	Ag004G310260	As004G080940
OG0009937	Ag002G176280, Ag001G094350	As004G081200
OG0009939	Ag002G158690	As004G081680
OG0009940	Ag002G158620	As004G081700
OG0009941	Ag002G157240	As004G082390
OG0009942	Ag002G154560, Ag002G157020	As004G082500
OG0009943	Ag002G154250, Ag002G156680	As004G082940
OG0009944	Ag002G148820	As004G083330
OG0009945	Ag005G470990	As004G083400
OG0009946	Ag002G148420	As004G083450
OG0009947	Ag005G476510, Ag005G466120, Ag007G614510	As004G083860
OG0009948	Ag002G147480	As004G083900
OG0009949	Ag002G144870	As004G084720
OG0009951	Ag002G141920, Ag002G141870, Ag002G141900	As004G085280
OG0009952	Ag002G140480	As004G085560
OG0009953	Ag002G140310	As004G085620
OG0009954	Ag002G139740	As004G085720
OG0009955	Ag002G139450	As004G085740
OG0009956	Ag002G139140, Ag002G138950, Ag002G138930, Ag002G139160, Ag002G139130, Ag002G138980	As004G085750
OG0009957	Ag002G131920	As004G086110
OG0009958	Ag002G127200	As004G086680
OG0009959	Ag002G103020	As004G087640
OG0009960	Ag002G103530	As004G087760
OG0009961	Ag002G103890	As004G087880
OG0009962	Ag002G103900	As004G087890
OG0009963	Ag002G108190, Ag002G111660	As004G088530
OG0009965	Ag002G117600	As004G089030
OG0009966	Ag003G213520	As004G089170
OG0009967	Ag005G450010, Ag002G115540, Ag002G120820	As004G089600
OG0009968	Ag002G206580	As004G090120, As005G098720
OG0009969	Ag002G123560	As004G090320
OG0009970	Ag002G123590	As004G090670
OG0009971	Ag002G123330	As004G091000
OG0009972	Ag001G043080	As004G092850
OG0009973	Ag005G435250, Ag013G741570	As011G255290, As004G093540
OG0009974	Ag003G290200	As004G093580
OG0009975	Ag001G039040	As004G093990
OG0009976	Ag001G074780	As004G094060
OG0009977	Ag004G339800, Ag001G038660	As004G094460
OG0009978	Ag001G038280	As004G094580
OG0009979	Ag001G037430	As004G095220
OG0009980	Ag001G036400	As004G095710
OG0009981	Ag001G035340	As004G095890
OG0009982	Ag005G441480	As004G096640
OG0009983	Ag007G649860	As004G096780
OG0009984	Ag007G649880	As004G096790
OG0009985	Ag007G649930	As004G096800
OG0009986	Ag007G651050	As004G096980
OG0009987	Ag002G178230, Ag007G651060	As004G097010, As004G097000
OG0009988	Ag002G178940	As004G097220
OG0009989	Ag007G656060	As004G097960
OG0009991	Ag001G065910	As004G098340
OG0009992	Ag009G737400, Ag002G152390	As005G098590
OG0009993	Ag002G206630	As005G098670
OG0009994	Ag002G206120	As005G099250
OG0009995	Ag002G205760	As005G099550
OG0009996	Ag002G205730	As005G099590
OG0009997	Ag002G204210	As005G100260
OG0009998	Ag002G204130	As005G100280
OG0009999	Ag002G203840	As005G100360
OG0010000	Ag002G203190	As009G210800, As005G100840
OG0010001	Ag002G203100	As005G100870
OG0010002	Ag002G202560	As005G101290
OG0010003	Ag005G441120, Ag002G201770	As005G101640
OG0010004	Ag002G201530	As005G101770
OG0010005	Ag002G201450	As005G101870
OG0010006	Ag002G201440	As005G101880
OG0010007	Ag002G200660, Ag002G200650	As005G102230
OG0010009	Ag005G436880	As005G103180, As011G267580
OG0010010	Ag002G198540	As005G103230, As012G285850
OG0010011	Ag002G198130	As005G103440
OG0010012	Ag002G198120	As005G103460
OG0010013	Ag002G197780	As005G103590
OG0010014	Ag002G197320	As005G103770
OG0010015	Ag002G196500	As005G104190
OG0010016	Ag002G196320	As005G104230
OG0010017	Ag002G196290	As005G104250
OG0010018	Ag002G196150	As005G104280
OG0010019	Ag002G192960	As005G105100
OG0010020	Ag002G193240	As005G105130
OG0010021	Ag001G085230	As005G105320
OG0010022	Ag002G192000	As005G105500
OG0010023	Ag002G192390, Ag002G192380	As005G105750, As005G105730, As005G105760
OG0010024	Ag002G191110	As005G106010
OG0010025	Ag002G191000	As005G106120
OG0010026	Ag006G492770	As005G107200
OG0010027	Ag006G492780	As005G107210
OG0010028	Ag006G493120	As005G107460
OG0010029	Ag006G493470	As005G107630
OG0010030	Ag064G744860, Ag002G114080, Ag006G493630, Ag006G493760, Ag006G493710	As005G107720
OG0010031	Ag006G494110	As005G107830
OG0010032	Ag006G495120	As005G108150
OG0010033	Ag006G495250	As005G108220
OG0010034	Ag006G495450	As005G108260
OG0010035	Ag006G495500	As005G108290
OG0010036	Ag006G495700	As005G108390
OG0010037	Ag006G495720	As005G108410
OG0010038	Ag006G496770	As005G108840
OG0010039	Ag006G496870	As005G108910
OG0010040	Ag008G719500	As005G109900
OG0010041	Ag008G719300	As005G110190
OG0010042	Ag008G719460	As005G110390
OG0010043	Ag008G718430	As005G110520
OG0010044	Ag008G718420	As005G110750
OG0010045	Ag008G718140	As005G110780
OG0010046	Ag008G718220	As005G110960
OG0010047	Ag008G717810	As005G111720
OG0010048	Ag008G717790	As005G111760
OG0010049	Ag007G620760	As009G201830, As005G111840
OG0010050	Ag008G717510	As005G112170
OG0010051	Ag008G717030	As005G112340
OG0010052	Ag008G716530	As005G112580
OG0010053	Ag008G716490	As005G112610
OG0010054	Ag005G410740, Ag001G042090	As005G112820
OG0010055	Ag008G714490	As005G113540
OG0010056	Ag008G712930	As005G113960
OG0010057	Ag008G712390	As005G114140, As008G189680, As005G114150
OG0010058	Ag008G712170	As005G114240
OG0010059	Ag008G710640	As005G114560
OG0010060	Ag008G709220	As005G115470
OG0010061	Ag007G583860	As005G115770
OG0010062	Ag008G706990, Ag004G315130	As005G115940
OG0010063	Ag008G729140	As005G116160
OG0010064	Ag005G450230	As005G116230
OG0010065	Ag008G729260	As005G116250
OG0010066	Ag008G729350	As005G116290
OG0010067	Ag008G696280, Ag007G585670	As005G116320
OG0010069	Ag008G730840	As005G117140
OG0010070	Ag008G731030	As005G117290
OG0010071	Ag008G731110	As005G117370
OG0010072	Ag008G732030	As005G117970
OG0010073	Ag008G732430	As005G118200
OG0010074	Ag008G732450	As005G118220
OG0010075	Ag008G733360	As005G118710
OG0010076	Ag004G390790, Ag004G322120, Ag008G733400	As005G118740
OG0010077	Ag008G734490	As005G119450
OG0010078	Ag008G734690	As005G119630
OG0010079	Ag008G734740	As005G119670
OG0010080	Ag008G734760	As005G119690
OG0010081	Ag008G734770	As005G119700
OG0010082	Ag008G735070	As005G119900
OG0010083	Ag001G099850	As005G120330
OG0010084	Ag001G099680	As005G120410
OG0010085	Ag001G099210, Ag001G067230	As005G120820
OG0010086	Ag001G099130	As005G120890
OG0010087	Ag006G518970	As006G121090
OG0010088	Ag006G516950	As006G121310
OG0010089	Ag006G517010	As006G121360
OG0010090	Ag004G329710	As007G154480
OG0010091	Ag006G516350	As006G121880
OG0010092	Ag006G514350	As006G122400
OG0010093	Ag006G513200	As006G122670
OG0010094	Ag006G512190	As006G122990
OG0010095	Ag006G511850	As006G123020
OG0010096	Ag006G511200	As006G123150
OG0010097	Ag008G661480, Ag006G510060	As006G123370
OG0010098	Ag006G509610	As006G123510
OG0010099	Ag007G599230	As006G123890
OG0010100	Ag007G599160	As006G123960
OG0010101	Ag007G599100	As006G124000
OG0010102	Ag007G599060, Ag004G300980	As006G124030
OG0010103	Ag007G598960	As006G124060
OG0010104	Ag007G586570	As006G124240
OG0010105	Ag007G587540	As006G124920
OG0010106	Ag007G588180	As006G125320
OG0010107	Ag007G588250	As006G125400
OG0010108	Ag007G589460	As006G126150
OG0010109	Ag007G589720	As006G126220
OG0010110	Ag007G590220	As006G126790
OG0010111	Ag007G590580	As006G126950
OG0010112	Ag007G591460	As006G127450
OG0010113	Ag007G591670	As006G127610
OG0010114	Ag007G592120	As006G127890
OG0010115	Ag007G592510	As006G128130
OG0010116	Ag007G593440	As006G128510
OG0010117	Ag007G593660	As006G128630
OG0010118	Ag007G594910	As006G129220
OG0010119	Ag007G595450	As006G129640
OG0010120	Ag007G595730	As006G129820
OG0010121	Ag007G596060	As006G130000
OG0010122	Ag007G596080	As006G130020
OG0010123	Ag007G596140	As006G130080
OG0010124	Ag007G596550	As006G130280
OG0010125	Ag007G596560	As006G130290
OG0010126	Ag007G596570	As006G130300
OG0010127	Ag007G597070	As006G130850
OG0010128	Ag007G597910	As006G131100
OG0010129	Ag007G615200	As006G131220
OG0010130	Ag007G598100	As006G131260
OG0010131	Ag006G527100	As006G131710
OG0010132	Ag003G251630	As006G132330
OG0010133	Ag001G100870	As006G133360
OG0010134	Ag005G478730	As006G141930, As006G133720
OG0010135	Ag006G490870	As006G133850
OG0010136	Ag002G190750	As006G134020
OG0010137	Ag002G190480	As006G134060
OG0010139	Ag003G248250	As006G134140
OG0010140	Ag005G490420	As006G134790
OG0010141	Ag005G488570	As006G135810
OG0010142	Ag005G487980	As006G136220
OG0010143	Ag005G487960	As006G136240
OG0010144	Ag005G487030	As006G136670
OG0010145	Ag005G486970	As006G136730
OG0010146	Ag005G486840, Ag001G061140	As009G203880, As009G209970
OG0010147	Ag005G486680	As006G136950
OG0010148	Ag005G485700, Ag005G488520	As006G137520
OG0010149	Ag005G485550	As006G137670
OG0010150	Ag005G484930	As006G138000
OG0010151	Ag005G483010	As006G139110
OG0010152	Ag005G481110	As006G140310
OG0010153	Ag005G481100	As006G140320
OG0010154	Ag005G480670	As006G140560
OG0010155	Ag005G480600	As006G140620
OG0010156	Ag005G480450	As006G140770
OG0010157	Ag005G479250	As006G141510
OG0010158	Ag005G479040	As006G141710
OG0010159	Ag008G726890	As009G218570, As006G141740
OG0010160	Ag005G478580	As006G142020
OG0010161	Ag006G526390, Ag001G065640, Ag002G184640	As006G143000
OG0010162	Ag002G183960	As006G143190
OG0010163	Ag002G183880	As006G143220
OG0010164	Ag002G181750	As006G143560
OG0010165	Ag001G076480	As012G280990, As006G143680, As006G143700
OG0010166	Ag002G179660	As006G144090, As006G144100
OG0010167	Ag002G178030	As006G144320
OG0010168	Ag002G166970	As006G145000
OG0010169	Ag002G168040	As006G145200
OG0010170	Ag002G168560	As006G145400
OG0010171	Ag002G171130	As006G145760
OG0010172	Ag002G171180	As006G145770
OG0010173	Ag002G171540	As006G145920
OG0010174	Ag002G174050	As006G146840
OG0010175	Ag002G175460	As006G147430, As006G147420
OG0010176	Ag002G175180	As006G147710
OG0010178	Ag004G305700	As006G148550
OG0010179	Ag002G177820	As006G148870
OG0010180	Ag004G322990	As007G152030
OG0010181	Ag004G323040	As007G152090
OG0010182	Ag004G325520	As007G153220
OG0010183	Ag004G327590	As007G153980
OG0010184	Ag004G328020	As007G154120
OG0010185	Ag008G718510	As007G154460
OG0010186	Ag004G329340	As007G154670
OG0010187	Ag004G330410	As007G155120
OG0010188	Ag004G330610	As007G155180
OG0010189	Ag004G331950	As007G155600
OG0010190	Ag004G332140	As007G155780
OG0010191	Ag004G332310	As007G155840
OG0010192	Ag004G333280	As007G156140
OG0010193	Ag004G333360	As007G156180
OG0010194	Ag004G333370	As007G156190
OG0010195	Ag004G333430	As007G156200
OG0010196	Ag004G333590	As007G156260
OG0010197	Ag004G334300	As007G156610
OG0010198	Ag004G334870	As007G156820
OG0010199	Ag004G334880	As007G156830
OG0010200	Ag004G335290	As007G156890
OG0010201	Ag004G335990	As007G157090
OG0010202	Ag004G337710	As007G157700
OG0010203	Ag004G337740	As007G157720
OG0010204	Ag003G216370	As007G158010
OG0010205	Ag004G340190	As007G158690
OG0010206	Ag004G340720	As007G158960, As010G234280
OG0010207	Ag004G340930	As007G159060
OG0010208	Ag004G341500	As007G159260, As007G159270
OG0010209	Ag003G241540	As007G159380
OG0010210	Ag004G344960	As007G159500, As010G233410
OG0010211	Ag003G242690	As007G159820
OG0010212	Ag003G244270	As007G160350
OG0010214	Ag004G349870	As007G160860
OG0010215	Ag003G245600	As007G160870
OG0010216	Ag003G247820	As007G161100
OG0010217	Ag003G247360	As007G161200
OG0010218	Ag004G353910	As007G161450
OG0010220	Ag003G281860	As007G161760
OG0010221	Ag003G246720	As007G161770
OG0010222	Ag006G531270	As007G162070
OG0010223	Ag008G719860	As007G163130
OG0010224	Ag007G598750	As007G164330
OG0010225	Ag007G598790	As007G164340
OG0010226	Ag007G586280	As007G164470
OG0010227	Ag007G586270	As007G164490
OG0010228	Ag005G445330, Ag007G585460	As007G165860
OG0010229	Ag006G524950	As007G166590
OG0010231	Ag007G647400, Ag007G647460	As007G177980
OG0010232	Ag003G266810	As007G178400, As007G178410
OG0010235	Ag006G524350	As007G179160
OG0010236	Ag006G524410	As007G179180
OG0010237	Ag006G524400	As007G179190
OG0010239	Ag006G523650	As007G179850
OG0010240	Ag006G521660	As007G180740
OG0010241	Ag006G520570	As007G181900
OG0010242	Ag004G322640	As008G182310
OG0010243	Ag004G322390	As008G182390
OG0010244	Ag004G321290	As008G182700
OG0010245	Ag004G320740	As008G182980
OG0010246	Ag004G320050	As008G183250
OG0010247	Ag004G319520	As008G183470
OG0010248	Ag004G317900	As008G184010
OG0010249	Ag004G317910	As008G184020
OG0010250	Ag004G317500	As008G184160
OG0010251	Ag004G315710	As008G184890
OG0010252	Ag004G313600	As008G186150
OG0010253	Ag004G313270	As008G186370
OG0010254	Ag004G313000	As008G186570
OG0010255	Ag004G312860	As008G186650
OG0010256	Ag004G312330	As008G186940
OG0010257	Ag004G311950	As008G187130
OG0010258	Ag004G310370	As008G188220
OG0010259	Ag004G310150	As008G188320
OG0010260	Ag004G309340	As008G188900
OG0010261	Ag004G309190	As008G189060
OG0010262	Ag004G308990	As008G189460
OG0010263	Ag004G307280	As008G192180
OG0010264	Ag004G305940	As008G193330
OG0010265	Ag004G305580	As008G193660
OG0010266	Ag002G206780	As008G194440
OG0010267	Ag004G304600	As008G194480
OG0010268	Ag004G304090	As008G194850
OG0010269	Ag004G304010	As008G194880
OG0010270	Ag004G303650	As008G195170
OG0010271	Ag004G303640	As008G195180
OG0010272	Ag004G303040	As008G195690
OG0010273	Ag004G302980	As008G195780
OG0010274	Ag004G302540	As008G196080
OG0010275	Ag004G302370	As008G196250
OG0010276	Ag004G301970	As008G196610
OG0010277	Ag004G301930	As008G196660
OG0010278	Ag004G301200	As008G196840
OG0010279	Ag004G301590	As008G196970
OG0010280	Ag004G301630	As008G197090
OG0010281	Ag004G300650	As008G197160
OG0010282	Ag004G300120	As008G197510
OG0010283	Ag004G299660	As008G197840
OG0010284	Ag004G299380	As008G197990
OG0010285	Ag004G299460	As008G198040
OG0010286	Ag004G298350	As008G198830
OG0010287	Ag007G613030	As009G199780
OG0010288	Ag007G613600	As009G200140
OG0010289	Ag007G615340	As009G200470
OG0010290	Ag007G619220	As009G200920
OG0010291	Ag007G618620	As009G201090
OG0010292	Ag007G622520	As009G202450
OG0010293	Ag007G623110	As009G202650
OG0010294	Ag007G623100	As009G202660
OG0010295	Ag007G623420	As009G202700
OG0010296	Ag007G624640	As009G203110
OG0010297	Ag007G624760	As009G203190
OG0010298	Ag007G626520	As009G203600
OG0010299	Ag005G486320	As009G204090
OG0010300	Ag007G631190	As009G204190
OG0010301	Ag007G631820	As009G204840
OG0010303	Ag003G276450	As009G206800
OG0010304	Ag007G637660	As009G206900
OG0010305	Ag007G637990	As009G206990
OG0010306	Ag007G638830	As009G207050
OG0010307	Ag007G614590, Ag003G282030, Ag003G283280	As009G207130
OG0010308	Ag007G641590	As009G207160
OG0010309	Ag007G642630	As009G207540
OG0010310	Ag007G642610	As009G207570
OG0010312	Ag004G399920	As009G208070
OG0010313	Ag002G105830	As009G209680
OG0010314	Ag005G479810	As009G209820
OG0010315	Ag007G612180	As009G210240
OG0010316	Ag006G506050	As009G211290
OG0010317	Ag001G026890, Ag001G026900, Ag004G298180	As009G211940
OG0010318	Ag006G504520, Ag006G504500	As009G212200
OG0010320	Ag006G503780	As009G212390
OG0010321	Ag006G501350, Ag006G501440	As009G213000
OG0010322	Ag006G501200	As009G213070
OG0010323	Ag006G501020	As009G213130
OG0010324	Ag006G500500	As009G213300
OG0010325	Ag006G500340	As009G213670
OG0010326	Ag006G500290	As009G213790
OG0010327	Ag006G500000	As009G213900
OG0010328	Ag006G499990	As009G213910
OG0010329	Ag006G499370	As009G214180
OG0010330	Ag006G499440	As009G214210
OG0010331	Ag008G720190	As009G214960
OG0010332	Ag008G721240	As009G215490
OG0010333	Ag008G722100	As009G216010
OG0010334	Ag008G722370	As009G216250
OG0010335	Ag008G722260	As009G216290
OG0010336	Ag008G722960	As009G216520
OG0010337	Ag008G723080	As009G216600
OG0010338	Ag008G723370	As009G216770
OG0010339	Ag008G723800	As009G217020
OG0010340	Ag008G724520	As009G217450
OG0010341	Ag008G724930	As009G217620
OG0010342	Ag008G725900	As009G218050
OG0010343	Ag008G726110	As009G218180
OG0010346	Ag008G727810	As009G218960
OG0010347	Ag008G728260	As009G219130
OG0010348	Ag008G705450	As009G220110
OG0010349	Ag001G067290	As010G220270
OG0010350	Ag001G063370	As010G220590
OG0010351	Ag001G062680	As010G220720
OG0010352	Ag001G062660	As010G220730
OG0010353	Ag001G061130	As010G221070
OG0010354	Ag008G701390	As010G221620
OG0010355	Ag008G691930	As010G222140
OG0010356	Ag008G691710	As010G222200
OG0010357	Ag001G057200	As010G222520
OG0010358	Ag001G056730	As010G222600
OG0010359	Ag001G056360	As010G222690
OG0010360	Ag001G055640	As010G222910
OG0010361	Ag001G055410	As010G223180
OG0010362	Ag001G054480	As010G223370
OG0010363	Ag008G721950	As010G224960
OG0010364	Ag001G049740, Ag010G740000	As010G225750
OG0010365	Ag010G739680, Ag001G049550	As010G226040
OG0010366	Ag001G049540, Ag010G739670	As010G226070
OG0010367	Ag008G671330	As010G226440
OG0010368	Ag003G215700	As010G226480
OG0010369	Ag006G522250, Ag002G182550	As010G226660
OG0010370	Ag004G355220	As010G227710
OG0010371	Ag001G006500	As010G228320
OG0010372	Ag004G353860	As010G229630
OG0010373	Ag004G354570	As010G230030
OG0010374	Ag004G351820	As010G231170
OG0010375	Ag004G351720	As010G231280
OG0010377	Ag004G351370	As010G231560
OG0010379	Ag004G350040	As010G232100
OG0010380	Ag004G349880	As010G232230
OG0010381	Ag004G349320	As010G232450
OG0010382	Ag004G345950	As010G233210
OG0010383	Ag004G343630	As010G233960
OG0010384	Ag004G343290	As010G234110
OG0010385	Ag004G342390	As010G234550
OG0010386	Ag003G240360	As010G235080, As010G234880
OG0010387	Ag003G214600	As010G235160
OG0010388	Ag003G215170	As010G235420
OG0010390	Ag003G217020	As010G235810
OG0010391	Ag003G218130	As010G236050
OG0010392	Ag001G067010	As010G236200
OG0010393	Ag003G218770	As010G236290
OG0010394	Ag003G218870	As010G236350
OG0010395	Ag004G333620	As010G237610
OG0010396	Ag003G227230	As010G238400
OG0010397	Ag003G232870	As010G239380
OG0010398	Ag003G232970	As010G239410
OG0010399	Ag003G234030	As010G239670
OG0010400	Ag003G234220	As010G239720
OG0010402	Ag003G235340	As010G240110
OG0010403	Ag003G236410	As010G240200
OG0010404	Ag003G237830	As010G240690
OG0010405	Ag003G238190	As010G240830
OG0010406	Ag004G327910	As010G240860
OG0010407	Ag003G238200	As010G240880
OG0010408	Ag003G239950	As010G241420
OG0010409	Ag003G212090	As010G242470
OG0010410	Ag003G211640	As010G242770
OG0010411	Ag003G210930	As010G243110
OG0010412	Ag003G209640	As010G243460
OG0010413	Ag003G209510, Ag003G209480	As010G243520
OG0010414	Ag003G208960	As010G243700
OG0010415	Ag003G208240	As010G244030
OG0010416	Ag003G208080, Ag003G208070	As010G244160
OG0010417	Ag008G695160	As010G244370
OG0010418	Ag005G469870	As011G244980
OG0010419	Ag005G469680	As011G245160
OG0010420	Ag005G468860	As011G245580
OG0010421	Ag005G466100	As011G246380
OG0010422	Ag005G465800	As011G246500
OG0010423	Ag005G465760	As011G246540
OG0010425	Ag005G465060	As011G246930
OG0010426	Ag008G718500	As011G247110
OG0010427	Ag005G464260	As011G247360
OG0010428	Ag005G463910	As011G247510
OG0010429	Ag005G463440	As011G247710
OG0010430	Ag005G462930	As011G247840
OG0010431	Ag005G461300	As011G248540
OG0010433	Ag005G458080	As011G249450
OG0010434	Ag005G457550	As011G249660
OG0010435	Ag005G456540	As011G249970
OG0010436	Ag005G455360	As011G250340
OG0010437	Ag005G454910	As011G250410
OG0010438	Ag005G454830	As011G250450
OG0010439	Ag005G454610, Ag005G454660	As011G250590
OG0010440	Ag005G453500	As011G250730
OG0010441	Ag004G399360, Ag004G328800, Ag005G453080	As011G250910
OG0010442	Ag005G452610	As011G251060
OG0010443	Ag005G452420	As011G251090
OG0010444	Ag005G451820	As011G251170
OG0010445	Ag001G019670, Ag011G740780	As011G251180, As012G272830
OG0010446	Ag005G448790	As011G251720
OG0010447	Ag005G448680	As011G251770
OG0010448	Ag005G448370	As011G251930
OG0010449	Ag005G448360	As011G251940
OG0010450	Ag001G015120	As012G272190, As011G252150
OG0010452	Ag005G446570	As011G252450
OG0010453	Ag005G446560	As011G252460
OG0010454	Ag005G446520	As011G252510
OG0010455	Ag005G446510	As011G252520
OG0010456	Ag005G446010	As011G252710
OG0010458	Ag005G445120	As011G252850
OG0010459	Ag005G444740	As011G252930
OG0010460	Ag005G442760, Ag005G443990	As011G253210
OG0010461	Ag005G441510	As011G253460
OG0010462	Ag005G440780	As011G253830
OG0010463	Ag005G440430	As011G253970
OG0010464	Ag005G440320	As011G254000
OG0010465	Ag005G439510, Ag005G437210	As011G254080
OG0010466	Ag005G437440	As011G254700
OG0010467	Ag005G430790, Ag005G430070	As011G254860, As011G256360
OG0010468	Ag005G436710	As011G254880
OG0010469	Ag005G436690	As011G254900
OG0010470	Ag005G436330	As011G254960
OG0010471	Ag005G435890	As011G255070
OG0010472	Ag005G435700	As011G255190
OG0010473	Ag013G741730, Ag005G434790	As011G255410
