Orthogroup	Cardamine_hirsuta	Aethionema_saxatile
OG0000207	CARHR072280, CARHR201930, CARHR072270, CARHR141370, CARHR072300, CARHR180390, CARHR072290, CARHR017450	As003G061070
OG0000208	CARHR260330, CARHR247220, CARHR149040, CARHR264830	As003G075160
OG0000213	CARHR292800, CARHR292790, CARHR292750, CARHR257100, CARHR292760, CARHR285920	As002G038840
OG0000217	CARHR284020, CARHR284130, CARHR283760, CARHR283910, CARHR284060, CARHR284070, CARHR058170, CARHR123300, CARHR053500, CARHR284010, CARHR284050, CARHR283900	As001G019850
OG0000218	CARHR015470, CARHR015480, CARHR147290, CARHR231070, CARHR144080	As001G022650
OG0000219	CARHR058980	As001G028500, As001G028480
OG0000219	CARHR277080	As003G064990
OG0000220	CARHR158340	As010G221990, As010G221980, As010G221950, As010G221930, As010G222000, As010G222030, As010G222010, As010G222040
OG0000220	CARHR050490	As010G225590, As010G227890
OG0000224	CARHR071060, CARHR071050, CARHR071040	As010G235950, As010G235920, As010G235890, As010G235940, As010G235900, As010G235880
OG0000224	CARHR230420, CARHR048360, CARHR048350, CARHR048370	As001G031540
OG0000225	CARHR028850, CARHR028820, CARHR028900, CARHR028880, CARHR028810, CARHR028800, CARHR028770, CARHR028830, CARHR028760	As003G069680, As003G070050
OG0000228	CARHR185670	As007G159250
OG0000228	CARHR292540	As010G233780, As010G233750
OG0000228	CARHR064090, CARHR064100, CARHR064130, CARHR064110	As010G233770, As011G262150, As010G233790, As010G233800
OG0000231	CARHR056350, CARHR213950, CARHR041780, CARHR214130, CARHR214120, CARHR262590	As004G077900
OG0000231	CARHR056340, CARHR220460, CARHR059750	As001G028220
OG0000232	CARHR080100, CARHR085660, CARHR105520, CARHR105540, CARHR105470, CARHR039350, CARHR105510, CARHR105480	As002G036540, As006G139020
OG0000234	CARHR165120	As012G281460
OG0000234	CARHR165110, CARHR134140	As006G143800
OG0000234	CARHR199860	As009G210340
OG0000242	CARHR105760, CARHR105770, CARHR105730, CARHR014460, CARHR066550, CARHR066560, CARHR014480, CARHR036430, CARHR014490	As008G183340, As008G183330
OG0000244	CARHR228610	As003G059930
OG0000244	CARHR252730	As004G085820
OG0000244	CARHR107520	As004G085860, As004G085850
OG0000248	CARHR054340	As001G019970, As001G019960, As001G019950, As001G019930, As001G019460, As001G019420
OG0000249	CARHR131110	As006G145310
OG0000249	CARHR131180, CARHR131170	As006G145330, As008G193990, As006G145350, As006G145320
OG0000258	CARHR271060	As002G048970
OG0000264	CARHR251320	As004G086270, As010G229170
OG0000268	CARHR144670	As001G023230
OG0000268	CARHR049930	As001G023220, As001G023200
OG0000268	CARHR211500	As005G106920
OG0000268	CARHR164050	As012G278370
OG0000270	CARHR243020, CARHR106740	As003G075960
OG0000270	CARHR247840	As001G014420
OG0000272	CARHR186370	As003G064910
OG0000273	CARHR021360, CARHR021380	As007G156970
OG0000274	CARHR273300	As005G114920
OG0000274	CARHR122830	As006G128840, As006G128830
OG0000276	CARHR218850	As009G205840, As009G205860, As003G058460, As001G005010, As004G093920
OG0000277	CARHR290100, CARHR290090	As004G096710
OG0000277	CARHR290080	As004G096720
OG0000282	CARHR205610	As002G055220
OG0000283	CARHR180240	As006G125110
OG0000283	CARHR180250, CARHR180280	As006G125160, As006G125170, As006G125120, As006G125130
OG0000284	CARHR183240, CARHR119540, CARHR119080, CARHR102130, CARHR101660, CARHR102230, CARHR102520, CARHR264270, CARHR180810	As006G139290
OG0000290	CARHR262050	As009G210470, As005G114050
