Orthogroup	Cardamine_hirsuta	Erysimum_linariifolium
OG0000088	CARHR155720	El001G017040, El001G017080, El001G013450, El001G013470, El001G017070, El001G013420, El001G013490
OG0000088	CARHR192340, CARHR192330	El001G059590
OG0000088	CARHR262970	El001G059580
OG0000089	CARHR203590	El001G072250
OG0000089	CARHR094190	El002G133200
OG0000089	CARHR086670	El005G247910
OG0000089	CARHR131960	El001G024400
OG0000089	CARHR285740	El007G331780, El001G015710
OG0000090	CARHR020650	El002G104490, El003G181590
OG0000090	CARHR284690	El007G355500
OG0000090	CARHR069500	El004G228750
OG0000090	CARHR288810	El003G147970
OG0000090	CARHR145520, CARHR145510	El001G038160, El001G038170, El001G049400, El001G038180
OG0000090	CARHR010350	El002G093200
OG0000091	CARHR149850, CARHR055460, CARHR118410, CARHR263280, CARHR179050	El005G262380, El005G262370, El005G262320
OG0000091	CARHR055470	El004G215550
OG0000093	CARHR168630, CARHR103160, CARHR103150, CARHR219320	El005G270280
OG0000093	CARHR168710	El001G029880
OG0000093	CARHR168640	El001G029840
OG0000093	CARHR168590, CARHR259860, CARHR168580	El001G029800, El007G352040
OG0000096	CARHR145650	El001G038300
OG0000096	CARHR145640	El001G038370
OG0000096	CARHR288740	El001G038400
OG0000096	CARHR054510	El004G205890, El004G205920, El004G205830, El004G205860, El004G205880, El004G205870, El004G205260, El004G205840, El007G356380
OG0000096	CARHR177990	El007G361830
OG0000096	CARHR176910	El007G362760
OG0000096	CARHR177040	El007G362830
OG0000097	CARHR252130	El001G004450
OG0000097	CARHR252060	El001G004390
OG0000097	CARHR252050	El001G004380
OG0000097	CARHR252100	El001G004460, El001G004420, El001G004430, El007G349700, El001G004410, El001G048890
OG0000098	CARHR012600	El002G095770
OG0000099	CARHR051080, CARHR046970, CARHR051510	El004G194950
OG0000100	CARHR100990	El006G312970
OG0000100	CARHR181920, CARHR054690, CARHR054680	El004G206690, El006G309850, El007G331570, El004G203680, El006G309780, El001G004640, El001G030520, El001G030510
OG0000101	CARHR047300, CARHR047090, CARHR047120, CARHR047210, CARHR047270	El007G349760
OG0000101	CARHR047080	El004G213140, El004G201520
OG0000101	CARHR050870	El004G211480
OG0000101	CARHR047710	El004G195800
OG0000101	CARHR149290	El004G209060
OG0000104	CARHR007350	El002G090170
OG0000104	CARHR122240	El006G304210
OG0000106	CARHR094390, CARHR099980, CARHR094810, CARHR094850, CARHR094840, CARHR094860	El005G259530
OG0000106	CARHR101790, CARHR101800, CARHR159090, CARHR095220, CARHR092810, CARHR120380	El001G010720, El005G256190, El005G255570
OG0000106	CARHR266870	El006G306450
OG0000106	CARHR084920	El005G269060, El005G269030, El005G268940
OG0000107	CARHR119260, CARHR119250	El006G308310
OG0000107	CARHR095650	El005G257790, El005G257800
OG0000107	CARHR095640	El005G257780
OG0000107	CARHR095620, CARHR055760	El005G257770
OG0000107	CARHR095660	El005G257840
OG0000107	CARHR095690, CARHR095670	El001G039680
OG0000107	CARHR096820, CARHR096830	El005G258940
OG0000108	CARHR188180	El001G047240
OG0000108	CARHR174970	El007G364310, El007G323300
OG0000108	CARHR046250	El006G297420, El006G297320, El006G297490, El006G297230, El002G139550
OG0000110	CARHR169600	El001G030790
OG0000110	CARHR169580	El001G030780
OG0000110	CARHR150810, CARHR169560	El001G030740
OG0000110	CARHR169570	El001G030750
OG0000111	CARHR214020, CARHR214040	El003G187720, El001G009620, El003G183560
OG0000111	CARHR214030	El003G187730
OG0000111	CARHR277270	El007G327170
OG0000111	CARHR164880	El001G025790
OG0000112	CARHR042770, CARHR016560, CARHR187420, CARHR283690, CARHR181490, CARHR181480, CARHR274670, CARHR274650, CARHR274680	El007G329910
OG0000113	CARHR149270	El004G207200
OG0000113	CARHR047480	El004G207120
OG0000113	CARHR047200, CARHR047160	El004G195320, El004G195370, El004G195590, El004G195260, El004G195240, El004G195300
OG0000113	CARHR047260	El004G195220, El004G195250, El004G195400, El004G195200, El004G195310
OG0000113	CARHR175310, CARHR289490	El007G357330
OG0000113	CARHR175110, CARHR175150	El050G375440
OG0000113	CARHR175080	El007G365010
OG0000113	CARHR222460	El003G170190
OG0000113	CARHR228760	El004G212080
OG0000113	CARHR104310	El002G128690
OG0000114	CARHR071840, CARHR251920, CARHR071800	El004G213600
OG0000114	CARHR202010, CARHR214250, CARHR181200, CARHR181230, CARHR202070, CARHR077970	El001G070430
OG0000114	CARHR054550, CARHR054640, CARHR054580	El004G206200, El004G206180, El004G205940, El004G206220
OG0000115	CARHR059960, CARHR284490	El002G126950, El002G121910, El006G311440, El006G308990
OG0000118	CARHR161720	El005G262010
OG0000118	CARHR148290	El006G302550, El006G302540, El007G358680, El006G302560, El001G023930
OG0000119	CARHR115250	El005G265760, El001G013130, El007G355930
OG0000119	CARHR292260, CARHR102990	El002G124220
OG0000120	CARHR285170	El004G200260
OG0000120	CARHR221010	El003G174940, El003G174920
OG0000120	CARHR293630, CARHR283580, CARHR059500, CARHR058390, CARHR116680, CARHR186430	El007G345250, El007G346140, El006G307860
OG0000120	CARHR208650	El001G077920
OG0000122	CARHR269930	El007G335590, El007G335600
OG0000122	CARHR269730	El007G335620, El007G335610
OG0000123	CARHR024520, CARHR027640, CARHR027660, CARHR027650	El002G113800
OG0000123	CARHR009210	El003G177660
OG0000124	CARHR182430	El004G213400, El002G123970, El005G272110
