Orthogroup	Arabidopsis_lyrata_Rawat	Cochlearia_excelsa
OG0007248	AL3G27870	g7086
OG0007249	AL3G28090	g7074, g12136
OG0007250	AL3G28180	g13238
OG0007252	AL3G28470	g12108, g7057
OG0007253	AL810U10030, AL3G28700	g13250
OG0007254	AL3G28710	g12102
OG0007255	AL3G28830	g7040
OG0007256	AL3G28890	g12094, g7036
OG0007257	AL3G31560	g6883
OG0007258	AL3G30040	g6978, g12058
OG0007259	AL3G30230	g6959
OG0007260	AL3G30540	g13287
OG0007261	AL3G30950	g6919
OG0007262	AL3G30970	g12031
OG0007263	AL3G31110	g6913
OG0007264	AL3G31250	g6905
OG0007265	AL3G31340	g13300, g12019
OG0007266	AL3G31770	g6872, g12007
OG0007267	AL3G32120	g13321
OG0007268	AL3G32240	g6850
OG0007269	AL3G32670	g11962
OG0007270	AL3G32760	g11960
OG0007271	AL3G32830	g13336
OG0007272	AL3G32890	g6799, g13338
OG0007273	AL3G33150	g6779
OG0007274	AL3G33640	g6758
OG0007275	AL3G33940	g6750
OG0007276	AL3G34850	g11888
OG0007277	AL3G35200	g6685
OG0007278	AL3G35660	g6663
OG0007279	AL3G35500	g6672
OG0007280	AL3G35480	g6673
OG0007281	AL3G35390	g11870
OG0007282	AL3G36350	g6596, g13410
OG0007283	AL3G36380	g6595
OG0007284	AL3G36560	g13415
OG0007286	AL3G36790	g13425
OG0007287	AL3G36950	g6573
OG0007288	AL3G37060	g13434
OG0007289	AL3G38310	g6513
OG0007290	AL3G38560	g11750
OG0007291	AL3G38650	g13474, g6507
OG0007292	AL3G39090	g6486, g11734
OG0007293	AL8G20560, AL3G39270	g13478
OG0007294	AL3G39850	g11724
OG0007296	AL3G44920	g6301
OG0007298	AL3G44830	g6310
OG0007299	nbis-gene-852	g6171
OG0007300	AL3G52680	g14182, g14181, g14193
OG0007301	AL3G49970	g14045
OG0007302	AL3G50230	g14033
OG0007303	AL3G50710	g14006, g6049
OG0007304	AL3G51340	g6026
OG0007305	AL3G53010	g13934
OG0007306	AL3G49030	g13918, g13802
OG0007307	AL3G48650	g13808
OG0007308	AL3G53400	g13853, g5907
OG0007309	AL3G24340	g13144, g7292
OG0007310	AL1G63600	g36721
OG0007311	AL1G63340	g27984
OG0007312	AL1G63230	g36700, g54335
OG0007313	AL1G62470	g36665
OG0007314	AL1G60860	g36577
OG0007315	AL1G60410	g54254, g36559
OG0007316	AL1G60240	g36553
OG0007317	AL1G59690	g36521, g28031
OG0007318	AL1G59520	g36512, g54218
OG0007319	AL1G57590	g36422
OG0007320	AL1G56310	g36391
OG0007321	AL1G55450	g28098, g36356
OG0007322	AL1G55760	g36369
OG0007323	AL1G55040	g36322
OG0007324	AL1G54840	g54063
OG0007325	AL1G54460	g54024
OG0007326	nbis-gene-1173, AL7G38860	g24366, g24375
OG0007327	AL7G38900	g17593, g47141
OG0007328	AL7G39340	g47128
OG0007329	AL4G30790	g51474
OG0007330	AL4G30770	g51471
OG0007331	AL3G35760	g2433
OG0007332	AL5G32640	g2431, g19278
OG0007333	AL5G33010	g19262
OG0007334	AL5G33200	g19242
OG0007335	AL5G33210	g19241
OG0007336	AL5G34060	g19208
OG0007337	AL5G32280	g19289, g2456
OG0007338	AL5G32190	g19294
OG0007339	AL5G35450	g2292, g11298
OG0007340	AL5G35690	g2276
OG0007341	AL5G36000	g2246, g19131
OG0007342	AL5G36620	g19083, g2195
OG0007343	AL7G19290	g23266, g16918
OG0007344	AL5G37090	g19061
OG0007345	AL5G37840	g2141
OG0007346	AL5G38230	g2059
OG0007347	AL5G40430	g18940, g1992
OG0007348	AL5G40460	g18938, g1995
OG0007349	AL5G41640, AL5G41610, AL5G41540	g2029
OG0007350	AL5G42910	g18805
OG0007351	AL5G43020	g1893
OG0007352	AL5G43590	g1868
OG0007353	AL5G44680	g1524, g18682
OG0007354	AL5G29560, AL5G44850	g1776
OG0007355	AL5G46030	g18770
OG0007357	AL4G20400, AL4G36260	g37304
OG0007358	AL8G29820	g960
OG0007359	AL2G23220	g19221, g19220, g6438
OG0007360	AL5G44920	g18683, g1769
OG0007361	AL8G10220	g10842
OG0007363	AL4G30360	g51443
OG0007364	AL4G30550	g37982
OG0007365	AL4G30930	g51485
OG0007366	AL4G46610	g18851
OG0007367	nbis-gene-765	g11752
OG0007368	AL2G35290	g44466
OG0007369	AL2G34380	g44516, g46144
OG0007370	AL7G19850	g23290
OG0007371	AL7G14890	g40520
OG0007372	AL1G14090	g49453, g26936
OG0007373	AL1G23650	g31376
OG0007374	AL3G30810	g6926
OG0007376	AL3G28590	g7047, g13248
OG0007379	AL6G23730	g29379
OG0007381	AL7G35210	g24152, g17455
OG0007382	AL7G36240	g24207
OG0007383	AL1G43540, nbis-gene-1078	g37084
OG0007384	AL4G21350	g40111
OG0007385	AL6G28200	g5003
OG0007386	AL6G40530	g18503
OG0007388	AL8G33280	g28634
OG0007391	AL9U10040, AL9U10030	g46976
OG0007392	AL1G49500, AL1G49490	g53458, g17886, g53489
OG0007393	AL3G51930	g13951
OG0007393	AL3G51950	g13950
OG0007398	AL5G25210	g2889
OG0007400	AL8G26360	g1304
OG0007413	AL7G24350	g23567
OG0007414	AL7G24070	g23550, g47675
OG0007415	AL7G24050	g23548, g17040
OG0007416	AL7G23880	g47677
OG0007417	AL7G23780	g47679, g23531
OG0007418	AL7G23670	g47682
OG0007420	AL7G22590	g23459, g17002
OG0007421	AL7G22420	g23457, g47713
OG0007422	AL7G22230	g47724
OG0007423	AL7G22120	g23439
OG0007424	AL7G21880	g47739
OG0007425	AL7G21540	g47752
OG0007426	AL7G20930	g23350, g47769
OG0007427	AL7G20790	g47777, g16959
OG0007428	AL7G20700	g23332, g47781
OG0007429	AL7G20650	g47782, g16955
OG0007430	AL7G20550	g23321
OG0007431	AL7G20500	g16951
OG0007432	AL7G20290	g23309, g16946
OG0007433	AL7G24620	g40155
OG0007434	AL7G19670	g23282
OG0007435	AL7G19640	g23281
OG0007436	AL7G19600	g47804
OG0007437	AL7G19570	g16929
OG0007438	AL7G19480	g53374, g36754
OG0007439	AL7G19220	g23260
OG0007440	AL7G19020	g23247
OG0007441	AL7G18340	g23197, g47840
OG0007442	AL7G18450	g23204
OG0007443	AL7G18120	g23180
OG0007444	AL7G18130	g23181
OG0007445	AL7G17680	g23155
OG0007446	AL7G17080	g23116
OG0007448	AL7G17330	g23137
OG0007449	AL7G17360	g47863
OG0007450	AL7G17400	g47862, g23140
OG0007451	AL7G16790	g23086
OG0007452	AL7G16740	g23083
OG0007453	AL7G16650	g47883
OG0007454	AL7G16630	g23075
OG0007455	AL7G16430	g23047
OG0007456	AL7G16250	g23038
OG0007458	AL1G49570	g50599
OG0007459	AL1G49550	g27736
OG0007460	AL1G46020	g27722
OG0007461	AL1G46200	g27769
OG0007462	AL1G46250	g50630
OG0007463	AL1G46370	g32597
OG0007464	AL7G37860	g47183
OG0007465	AL7G38120	g24327
OG0007466	AL7G38550	g24355, g2666
OG0007467	AL7G38680	g17590
OG0007468	AL1G64870	g43827
OG0007469	AL1G65130	g41135
OG0007470	AL7G40010	g24448
OG0007471	AL1G66470	g41105
OG0007473	AL2G18260	g41062
OG0007475	AL2G15450	g40983
OG0007476	AL2G15230	g40977
OG0007477	AL1G22130	g27142
OG0007478	AL2G14630	g40961
OG0007479	AL2G14400	g40946
OG0007480	AL2G14350	g44195
OG0007481	AL5G10010	g10829
OG0007482	AL5G10120	g51421
OG0007483	AL5G10230	g10810
OG0007484	AL5G10940	g10761
OG0007485	AL1G26750	g31550
OG0007486	AL5G12410	g16698
OG0007487	AL5G12640	g10678
OG0007488	AL5G12850	g10674, g16694
OG0007489	AL5G13050	g10668
OG0007490	AL5G13280	g10659
OG0007493	AL5G14360	g10610
OG0007495	AL5G15140	g10573
OG0007496	AL5G15190	g1590
OG0007497	AL5G15680	g10545
OG0007498	AL5G15950	g10533
OG0007499	AL5G16020	g10528
OG0007501	AL5G16320	g10513
OG0007502	AL5G16340	g10512
OG0007503	AL5G16660	g10495
OG0007504	AL5G17140	g10462
OG0007506	AL5G19120	g10365
OG0007507	AL5G19460, AL7G51220	g16904
OG0007508	AL5G19600	g10350
OG0007509	AL5G20010	g10321
OG0007510	AL2G25750	g41777
OG0007511	AL2G25380	g41818
OG0007512	AL2G25030	g44970
OG0007513	AL2G23810	g45018
OG0007514	AL2G23740	g45021
OG0007515	AL2G22850	g45049
OG0007516	AL2G20420	g45091
OG0007518	AL2G10170	g40749
OG0007519	AL1G63080	g36693
OG0007520	AL2G10890	g40819
OG0007521	AL2G11130	g40806
OG0007522	AL2G11580	g40783
OG0007523	AL2G11980, AL2G12020	g40847
OG0007524	AL2G12140, AL2G12040	g45107
OG0007525	AL2G12430	g40855
OG0007526	AL2G12590	g44244, g40864
OG0007527	AL2G13420	g40903
OG0007528	nbis-gene-386	g44225
OG0007529	AL2G13600	g40924, g37947
OG0007530	AL3G24310	g7293
OG0007531	AL3G24290	g13142, g7295
OG0007532	AL3G24280	g7300
OG0007533	AL3G24130	g7307
OG0007534	AL7G24590	g17115, g17070
OG0007535	AL7G27220	g23734, g17150
OG0007536	AL7G27050	g47566
OG0007537	AL7G26940	g47572
OG0007538	AL4G38770	g51955
OG0007539	AL3G43010	g37366
OG0007540	AL4G38590	g51947, g38146
OG0007541	AL3G20230	g13021
OG0007542	AL3G20290	g13015
OG0007543	AL3G20340	g7510
OG0007544	AL3G20700	g13050
OG0007545	AL3G20730	g13054, g7484
OG0007546	AL3G20970	g13061
OG0007547	AL3G21060	g7466
OG0007548	AL6G13260	g45368
OG0007549	AL3G21330	g12387
OG0007550	AL3G21460	g13070
OG0007551	AL3G21680	g7436
OG0007552	AL3G21900	g7427
OG0007553	AL6G14230	g5681, g29785
OG0007554	AL3G22270	g7413, g12355
OG0007555	AL3G22730	g12331
OG0007556	AL3G22800	g12327
OG0007557	AL3G22940	g12322, g7384
OG0007559	AL3G23170	g7369
OG0007560	AL3G23250	g7364
OG0007561	AL3G23290	g7359
OG0007562	AL3G23370	g13124
OG0007563	AL7G24530	g17064
OG0007564	nbis-gene-694	g12298, g7343
OG0007565	AL3G23550	g12297, g13129
OG0007566	AL3G23590	g7341
OG0007568	AL3G23970	g12286
OG0007569	AL5G38720	g47872, g18201
OG0007570	AL8G23830	g1468
OG0007571	AL8G11450	g10915
OG0007572	AL1G53710	g54003
OG0007573	AL8G24860	g28285
OG0007574	AL8G24920	g1382, g28286
OG0007575	AL8G24980	g1369
OG0007576	AL8G25010	g28296
OG0007577	AL7G18190	g18151
OG0007578	AL8G26870	g882
OG0007579	AL8G28040	g41280
OG0007581	AL8G27780	g28405
OG0007582	AL8G27690	g28400
OG0007583	AL8G27660	g28397, g41255
OG0007584	AL8G28060	g41282
OG0007585	AL8G28120	g28421
OG0007586	AL8G29250	g28456
OG0007587	AL8G29090	g940, g28448
OG0007588	AL8G29730	g956
OG0007589	AL8G30040	g28488, g39413
OG0007590	AL8G30400	g28496
OG0007591	AL8G31160	g39367, g28521
OG0007592	AL236U10010, AL8G31440	g28530
OG0007593	AL2G24490, AL2G22990, AL8G31670	g1046
OG0007594	AL8G31820	g28548
OG0007595	AL1G22680	g27158
OG0007596	AL8G32740	g28575
OG0007597	AL8G32900	g1095
OG0007598	AL8G32930	g28596
OG0007599	AL8G32980	g28794, g28601
OG0007600	AL8G33350	g39307
OG0007601	AL8G33400	g28641
OG0007602	nbis-gene-2165	g28650
OG0007603	AL8G33850	g1139, g28660
OG0007604	AL8G34260	g1155
OG0007605	AL6G39550	g10146
OG0007606	AL6G24010	g5273
OG0007607	AL6G23750	g5289
OG0007608	AL6G23680	g29375, g45610
OG0007609	AL6G23620	g29373, g5293
OG0007610	AL6G23460	g29389
OG0007611	AL6G23190	g45597
OG0007612	AL6G23080	g45589
OG0007613	AL6G22900	g5326
OG0007614	AL6G22830	g5331
OG0007615	AL6G22690	g5338, g29420
OG0007616	AL6G22540	g5350
OG0007617	AL6G22150	g5371, g29443
OG0007618	AL6G22120	g5372, g29445, g45568
OG0007619	AL6G21870	g29449
OG0007620	AL6G21610	g29467, g5392
OG0007621	AL6G21140	g5405
OG0007622	AL6G19660	g5470
OG0007623	AL6G19360	g45504, g5486
OG0007624	AL6G19250	g29577
OG0007625	AL6G18950	g29581
OG0007626	AL6G18560	g45493
OG0007627	AL6G18520	g5515
OG0007628	AL6G18240	g29604
OG0007629	AL6G17540	g5555
OG0007630	AL6G17490	g5562
OG0007631	AL7G37290, AL7G37230	g17552
OG0007632	AL7G36690	g47240
OG0007633	AL7G36560	g47248, g24229
OG0007634	AL7G36430	g24226
OG0007635	AL7G36360	g24223, g17496
OG0007637	AL6G47810	g13150, g40428
OG0007638	AL7G35290	g47292
OG0007639	AL7G35190	g17453
OG0007640	AL7G34930	g47300
OG0007641	AL7G34680	g17425, g24128
OG0007642	AL7G33930	g24079
OG0007643	nbis-gene-1996	g40514
OG0007644	AL8G38940	g9870
OG0007645	AL7G33410	g17374, g47344
OG0007646	AL7G33210	g47355
OG0007647	AL6G48760	g25544
OG0007648	AL7G32650	g47375
OG0007649	AL7G32290	g47391, g23990
OG0007650	AL7G31610	g17309
OG0007651	AL7G31560	g23969
OG0007652	AL7G31380	g47413
OG0007653	AL7G31290	g17302
OG0007654	AL7G31070	g17294
OG0007655	AL7G30970	g23949
OG0007656	AL7G30850	g17282
OG0007657	AL7G30640	g23933
OG0007658	AL7G30470	g47450
OG0007659	AL7G30440	g47451, g23918
OG0007660	AL7G29750	g23884
OG0007661	AL7G29620	g23878
OG0007662	AL7G29380	g23860
OG0007663	AL1G47610	g50683
OG0007664	AL1G47670	g50690
OG0007665	AL1G47780	g32666
OG0007666	AL1G48440	g32730
OG0007667	AL1G49100	g50756, g32837
OG0007668	AL1G50930	g27921
OG0007669	AL1G52460	g53907, g35965
OG0007670	AL1G54060	g36262
OG0007671	AL1G53400	g53983
OG0007672	AL1G54110	g54016
OG0007673	AL3G18990	g7576
OG0007675	AL1G41860	g32331
OG0007677	AL1G42050	g32350, g50473
OG0007678	AL1G42140	g50486, g32356
OG0007679	AL1G42960	g32389
OG0007681	AL1G44290	g27700
OG0007682	AL1G44750	g27710
OG0007683	AL1G44770	g32487
OG0007684	AL1G44850	g32492
OG0007685	AL7G15630	g22993
OG0007686	AL6G12560	g29839
OG0007687	AL7G15270	g18235
OG0007688	AL7G15100	g47946
OG0007689	AL7G15060	g22961
OG0007690	AL7G14770	g47965, g22938
OG0007691	AL7G14530	g22920
OG0007693	AL7G14240	g22902
OG0007694	AL7G13910	g47979
OG0007695	AL4G13440	g38431
OG0007696	AL7G13760	g22870
OG0007698	AL7G13090	g22818
OG0007699	AL7G12950	g22814
OG0007700	AL7G12940	g22812
OG0007701	AL7G12810	g18287
OG0007702	AL7G12580	g22787
OG0007703	AL7G12440	g22779
OG0007704	AL7G12120	g22747
OG0007705	AL7G11920	g22732
OG0007706	AL7G11520	g22713
OG0007707	AL7G10390	g18354
OG0007708	AL7G44290	g46880
OG0007709	AL7G46220	g16745
OG0007710	AL7G51560	g43901, g46727
OG0007711	AL4G30990	g37118
OG0007712	AL4G31080	g37122
OG0007713	AL4G31170	g37993
OG0007714	AL1G20860	g31238, g27106
OG0007715	AL2G29970, AL1G49260	g27754
OG0007716	AL6G29260	g41491
OG0007717	AL716U10010, AL4G31300	g51509
OG0007718	AL4G31240	g51506, g37999
OG0007719	AL6G43270	g40266
OG0007720	AL6G41550	g40241
OG0007721	AL6G42240	g40215
OG0007722	AL1G43820	g32423
OG0007723	AL4G30080	g51430
OG0007724	AL4G29930	g51413
OG0007725	nbis-gene-1076	g51405
OG0007726	AL4G29610	g51400
OG0007727	AL4G29600	g51399
OG0007728	AL4G29220	g51366
OG0007729	AL4G29160	g37065
OG0007730	AL8G18080	g11141
OG0007731	AL6G44220	g40306
OG0007732	AL6G45180	g40343
OG0007733	AL6G45460	g25728
OG0007734	AL6G46260	g25690
OG0007735	AL6G47290	g25603
OG0007736	AL6G47620, AL7G41290	g40416
OG0007737	AL6G47910	g40436
OG0007738	AL6G48460	g25556, g40457
OG0007740	AL6G48600	g40460
OG0007741	AL8G14890	g11038, g40504
OG0007742	AL8G14110	g11009
OG0007743	AL8G13440	g10986
OG0007744	AL8G13090	g10979, g40569
OG0007745	AL8G12660	g10963
OG0007746	AL8G12550	g40594, g10960
OG0007747	AL8G12430	g40600
OG0007748	AL8G12240	g40607
OG0007749	AL8G12180	g10949
OG0007750	AL8G11890	g10941
OG0007751	AL6G14140	g29788
OG0007752	AL8G11760	g10938, g4617
OG0007753	AL8G11690	g40641
OG0007754	AL8G11400	g40666
OG0007755	AL7G39320	g10833
OG0007756	AL7G44470	g46872
OG0007757	AL7G44560	g46865
OG0007758	AL9U12240	g4052
OG0007759	AL3G40780	g11675
OG0007762	AL7G42690	g24594
OG0007763	AL7G41920	g47043, g36161, g24535
OG0007764	AL7G40170	g47103
OG0007765	AL7G48510	g46654
OG0007766	AL7G47460	g16771
OG0007767	AL7G47130	g16759
OG0007768	AL1G56360	g44477
OG0007769	AL39U10010, AL4G47430	g50837
OG0007770	AL4G47300	g37751
OG0007771	AL4G47240	g50834
OG0007772	AL4G46910	g50823
OG0007773	AL4G46830	g50818
OG0007774	AL4G46770	g50815
OG0007776	AL4G45980	g50786, g37673
OG0007777	AL4G45910	g50781
OG0007778	AL4G45480	g37649
OG0007779	AL4G45320	g37643
OG0007780	AL4G45300	g52294
OG0007781	AL4G45280	g37642
OG0007782	AL4G45250	g37641
OG0007783	AL4G45240	g37640
OG0007784	AL4G45120	g37635
OG0007785	AL4G44850	g37621
OG0007786	AL4G44570	g37608
OG0007787	AL4G43930	g52196
OG0007788	AL4G43440	g52165
OG0007789	AL4G43010	g37531
OG0007790	AL4G42920	g52157
OG0007791	AL4G42760	g52141
OG0007792	AL4G41530	g37469
OG0007793	AL4G41120	g52062
OG0007794	AL4G40300	g52020
OG0007795	AL4G40560	g52039
OG0007796	AL6G10450	g5843
OG0007797	AL6G10770	g5825
OG0007798	AL6G10950	g5816
OG0007799	AL6G11130	g5806
OG0007800	nbis-gene-1435	g45304
OG0007801	AL6G11620	g29856
OG0007802	AL6G11720	g5785
OG0007803	AL6G11790	g45316
OG0007804	AL6G11800	g45317
OG0007805	AL6G12020	g5779
OG0007806	AL6G13410	g5714, g29816
OG0007807	AL6G12370	g5759
OG0007808	AL6G13370	g45373
OG0007809	AL1G13500, AL1G12230, AL6G13550	g29807
OG0007810	AL6G13740	g45390
OG0007811	AL6G13800	g5699, g29801
OG0007812	AL6G13870	g29800
OG0007813	AL6G13930	g29796
OG0007814	AL6G30890	g29113
OG0007815	AL6G31200	g41420
OG0007816	AL6G31210	g19912
OG0007817	AL6G32150	g28926
OG0007818	AL6G32300	g28918
OG0007819	AL6G32550	g41379
OG0007820	AL6G32600	g746
OG0007821	AL6G32720	g756
OG0007822	AL6G32750	g759
OG0007823	AL6G32950	g41365
OG0007824	AL6G33470	g798
OG0007825	AL6G33810	g28862, g811
OG0007826	AL8G37380	g28850
OG0007827	AL8G37300	g41331
OG0007828	AL8G37120	g41328
OG0007829	AL817U10010, AL8G36800	g28803
OG0007830	AL8G36560	g1299
OG0007831	AL8G36230	g39225, g1284
OG0007832	AL48U10030	g45088
OG0007833	AL8G35380	g39256, g1239
OG0007834	AL3G40340, AL277U10020	g39264
OG0007835	AL8G40190	g318, g9825
OG0007836	AL8G40260	g314, g15977, g9822
OG0007837	AL8G40270	g18631
OG0007838	AL8G40540	g9814
OG0007839	AL8G32800, AL52U10030	g1092, g28589
OG0007840	AL8G41240	g9793
OG0007841	AL8G41290	g9790
OG0007842	AL8G41930	g36015, g18644, g36014
OG0007843	AL8G42090	g9750, g212
OG0007844	AL8G42280	g9745
OG0007845	AL8G42300	g9743
OG0007846	AL8G42760	g9722
OG0007847	AL8G42810	g9721
OG0007848	AL8G42860	g160
OG0007849	AL8G43310	g9699
OG0007850	AL8G43320	g141
OG0007851	AL8G43490	g129
OG0007852	AL8G43710	g9684, g110
OG0007853	AL8G43960	g87
OG0007854	AL8G44030	g81
OG0007855	AL8G44120	g9667, g74
OG0007856	AL8G44560	g9649, g51
OG0007857	AL8G45060	g28
OG0007858	AL5G31570	g19323
OG0007859	AL8G45230	g9629
OG0007860	AL6G52750	g25371
OG0007861	AL6G52860	g25368
OG0007862	AL6G52080	g39487
OG0007863	AL6G52330	g25400
OG0007864	AL6G52400	g45261
OG0007865	AL6G51950	g39494
OG0007866	AL6G51680	g25423
OG0007867	AL6G51130	g39538
OG0007868	AL6G50870	g39554
OG0007869	AL6G50840	g39557
OG0007870	AL6G50780	g25464
OG0007871	AL6G50300	g39603
OG0007872	AL6G50180	g25487
OG0007873	AL6G49910	g39631
OG0007874	AL6G49720	g25510, g39637
OG0007875	AL8G15830	g39677
OG0007876	AL8G16220	g39699
OG0007877	AL8G17080	g39738
OG0007878	AL4G29100	g39742
OG0007879	AL4G29060	g51352
OG0007880	AL4G27700	g39790
OG0007881	AL4G27670	g39789
OG0007882	AL4G27630	g51297
OG0007883	AL4G28490	g39761
OG0007884	AL4G27740, AL125U10020	g51299
OG0007885	AL4G27080	g51269
OG0007886	AL4G26460	g39855
OG0007887	AL4G26310	g39868
OG0007888	AL4G26030	g39878
OG0007889	AL5G22210	g39879
OG0007891	AL4G25810	g39890, g39889
OG0007892	AL4G25400	g51213
OG0007893	AL4G25230	g39917
OG0007894	AL4G25200	g51201
OG0007895	AL4G25060	g51193
OG0007896	AL1G17250	g26996
OG0007897	AL4G24840	g39952
OG0007898	AL4G23320	g51098
OG0007899	AL4G23310	g40000
OG0007900	AL4G21550	g51078
OG0007901	AL4G21610	g40036
OG0007902	AL4G21780	g40046
OG0007903	AL4G12830, AL4G22350	g40080
OG0007904	AL4G20580	g40141
OG0007905	AL4G19850	g40175
OG0007907	AL4G19100	g38279, g36807
OG0007908	AL4G18830	g38291
OG0007909	AL7G25380	g23638, g17089
OG0007910	AL7G25680	g23655
OG0007911	AL6G25530	g29287, g5162
OG0007912	AL3G10620	g12716
OG0007914	AL7G45650	g16736
OG0007915	AL7G26470	g23696
OG0007916	AL3G11040	g12741
OG0007917	AL3G11100	g7918
OG0007918	AL6G26140	g29261
OG0007919	AL3G11390	g7901
OG0007920	AL3G11660	g7880, g6215, g12685
OG0007921	AL3G12030	g12679
OG0007922	AL3G12210	g12671
OG0007923	AL3G12310	g12670, g7848
OG0007924	AL3G12700	g12659
OG0007925	AL3G13110	g7824, g12634
OG0007926	AL3G13580	g12622, g12790
OG0007927	AL3G14000	g12612, g7790
OG0007928	AL3G14760	g12815
OG0007929	AL3G14850	g12589, g7743
OG0007930	AL3G15220	g12833, g7736
OG0007931	AL3G15470	g7719, g12842
OG0007932	AL3G15320, AL294U10020	g7725, g42578, g12835
OG0007934	AL3G15620	g12847
OG0007935	AL3G15770	g12857
OG0007937	AL3G16070	g12864
OG0007938	AL3G16380	g12877
OG0007939	AL3G16720	g7682
OG0007940	AL3G16840	g7669
OG0007941	AL3G16980	g12921
OG0007942	AL3G17510	g12928
OG0007943	AL3G17570	g7641
OG0007944	AL3G17590	g7640
OG0007945	AL3G17620	g7638
OG0007946	AL3G17650	g12930
OG0007947	AL3G17660	g12931
OG0007948	AL8G22040	g10224
OG0007949	AL3G18370	g12453
OG0007950	AL3G18620	g7598, g12445
OG0007951	AL3G18880	g7584
OG0007952	AL3G19020	g12978
OG0007953	AL3G19110	g7568
OG0007954	AL3G19120	g12433
OG0007955	AL3G19330	g12996, g12426
OG0007956	AL3G19460	g7549
OG0007957	AL3G19830	g7532
OG0007958	AL4G37900	g51868, g38141
OG0007960	AL4G37830	g37352
OG0007961	AL4G37570	g37339
OG0007962	AL4G37440	g37336, g51823
OG0007963	AL4G36880, AL938U10010	g37320
OG0007964	AL4G36120	g37296
OG0007965	AL4G32140	g51565
OG0007967	AL4G32320	g38029
OG0007968	AL4G32630	g51586
OG0007969	AL4G32660	g38039
OG0007970	AL4G32870	g38046
OG0007971	AL4G33170	g51616
OG0007972	AL4G33210	g51619
OG0007973	AL4G33430	g37194
OG0007974	AL4G33570	g51630
OG0007975	AL4G34120, AL4G34180	g51657, g38075
OG0007976	AL4G34600	g38081
OG0007977	AL4G34670	g51664, g38085
OG0007978	AL4G34820	g51677
OG0007979	AL4G35110	g51695, g37252
OG0007980	AL4G35250, AL4G35340	g51709
OG0007981	AL4G35590, AL4G35550	g51716
OG0007982	AL4G31900	g51545
OG0007983	AL1G27510	g49939, g31597
OG0007984	AL1G28390	g49965, g31642
OG0007985	AL1G28910	g31661
OG0007986	AL1G30180	g27396
OG0007987	nbis-gene-101	g31766
OG0007988	AL1G30580	g31756
OG0007989	AL1G30790	g31772
OG0007991	AL1G30910	g31779
OG0007992	AL1G31060	g31795
OG0007993	AL1G31110	g31797
OG0007994	AL1G31380	g31811
OG0007995	AL1G31850	g31834
OG0007996	AL1G31890	g31835, g50079
OG0007997	AL1G32190	g31851
OG0007998	AL1G32230	g50087
OG0007999	AL1G32590	g31887
OG0008000	AL1G32600	g50105
OG0008002	AL1G33020	g50125
OG0008003	AL1G33140	g31915, g50131
OG0008004	AL1G33860	g50157, g27470
OG0008005	AL2G36570	g44398
OG0008006	AL1G34060	g31958
OG0008007	AL1G34440	g31985
OG0008008	AL1G34160, AL1G34560	g50192
OG0008009	AL1G34590	g31995, g50197
OG0008010	AL2G37290	g46324
OG0008011	AL1G34640	g31997
OG0008012	AL1G34730	g50202
OG0008013	AL1G34820	g27491
OG0008014	AL1G35710	g32024
OG0008015	AL1G35780	g32027
OG0008016	AL1G36030, AL1G36040	g32039
OG0008017	AL1G36150	g32045
OG0008018	AL1G36610	g32046, g50278
OG0008019	AL1G37230	g32101
OG0008020	AL1G37550	g27555
OG0008021	AL1G38250	g50326
OG0008022	AL1G39700	g50372
OG0008023	AL1G39720	g50373, g32190
OG0008024	AL1G39790	g32194
OG0008025	AL2G26740	g44856
OG0008026	AL1G40450	g32249
OG0008027	AL1G40700	g32269, g50404
OG0008028	AL1G40690	g50403, g27629
OG0008029	AL1G40850	g27633
OG0008030	AL7G29070	g47492
OG0008031	AL7G29020	g47497
OG0008032	AL7G28950	g47501
OG0008033	AL7G28730	g23834
OG0008034	AL7G28650	g23829
OG0008035	AL7G28090	g17183
OG0008036	AL7G28020	g23791, g47530
OG0008037	AL7G27890	g47534
OG0008038	AL7G27810	g47539, g23767
OG0008039	AL7G27790	g17175
OG0008040	AL7G24830	g23605
OG0008041	AL7G24700	g23589
OG0008042	AL4G15860	g38354
OG0008043	AL4G15210	g50996, g38362
OG0008044	AL4G14660	g38387
OG0008045	AL4G13270	g38436
OG0008046	AL2G34140	g44538, g46132
OG0008047	AL4G12300	g38471, g36918
OG0008048	AL4G12290	g38472, g43539
OG0008049	AL4G12240	g38476
OG0008050	AL4G12140	g38483
OG0008051	AL4G12080	g38486
OG0008052	AL4G11320	g36943, g50888
OG0008053	AL4G11180	g38517
OG0008055	AL4G10650	g38528, g50866
OG0008056	AL4G10440	g38537
OG0008057	AL4G10400	g38310, g38542
OG0008058	AL4G10240	g50852
OG0008060	AL1G27090	g49928
OG0008061	AL1G27060	g31569
OG0008062	AL1G26920	g31561, g27286
OG0008063	AL1G26810, AL7G45380	g31553
OG0008064	AL1G26570	g31537
OG0008065	AL1G26320	g27269, g31527
OG0008066	AL1G25920	g31493
OG0008067	AL1G25840	g31487, g27256
OG0008068	AL1G25500	g31476, g27246, g49888
OG0008069	AL1G24800	g49867
OG0008070	AL1G24700	g49862
OG0008072	AL1G24090, AL1G23980	g49830, g49835, g49841
OG0008073	AL1G23850	g31388, g49823
OG0008074	AL1G23750	g27188, g31383
OG0008075	AL1G23270	g49800
OG0008076	AL1G23030	g31338, g49784
