Orthogroup	Arabidopsis_lyrata_Rawat	Cochlearia_excelsa
OG0000049	AL6G37950	g46775, g28413, g14428, g45388, g13757, g29231, g6871, g32168, g24458, g6376, g43896, g4749, g12068, g44857, g3861, g36846, g23483, g47037, g18721, g11656, g27986, g5166, g50226, g12226, g46640, g41551, g45877, g11828, g49352, g32343
OG0000049	nbis-gene-1560	g19448
OG0000050	AL5G20430	g44326, g2819, g44187
OG0000052	AL4G41010, AL4G41000	g53934
OG0000054	AL5G18550	g52587
OG0000054	nbis-gene-807	g43259, g25259, g25261, g33494, g3251, g25071, g36457, g12619, g25266, g43262, g33492, g3255, g20304, g43263, g25276, g4234, g41821, g35341, g4130
OG0000055	AL2G14050	g44205
OG0000057	AL6G52510, AL4G21820	g50182, g50184, g50186
OG0000057	AL3G53160, AL3G53140	g48153, g33319, g33329, g48170, g15766, g33340
OG0000057	AL3G30470	g700
OG0000057	AL3G30730	g15973, g17828
OG0000057	nbis-gene-725, AL3G41130	g27361, g5648
OG0000058	AL4G27890	g19665
OG0000059	AL6G19270	g14202
OG0000059	AL7G45130, AL5G12450, AL1G66530, AL4G19380, AL9U11720, AL5G19450, AL2G14550, AL2G12980, AL6G42590	g39389, g39352
OG0000059	AL3G36810	g42622
OG0000062	nbis-gene-221	g50114, g32823, g13726, g11246, g41835
OG0000063	AL1G18100	g37221, g27015, g39226, g28784, g49595, g28756, g2918, g31080, g1296, g51647
OG0000065	AL667U10010	g3890
OG0000065	AL1G62000	g30656, g20961
OG0000065	AL7G38070	g8443
OG0000065	AL1G57190, AL4G15800	g12628
OG0000066	AL7G12340, AL7G12350, AL2G35580, AL3G43470, AL6G41640, AL2G35590, AL6G21580	g5393
OG0000066	AL6G20900	g45536, g49660, g31166, g45535, g29501, g9719, g5416
OG0000066	AL1G19680, AL5G16700	g156
OG0000070	AL5G12380, AL5G12270, AL2G23610	g30429, g30434, g34722, g20467, g25157, g21277
OG0000071	AL6G40690	g36375, g47125, g4591, g36881, g27012
OG0000073	AL8G18480	g10944
OG0000073	AL8G11840	g18482
OG0000073	AL5G18720	g54289
OG0000074	AL1G37350	g50301
OG0000074	AL1G37420	g27549, g27550
OG0000075	AL1G22300	g36278
OG0000075	AL1G20200	g2157
OG0000075	AL1G22320	g5026
OG0000076	AL5G15910	g3195, g1602
OG0000076	AL5G28950	g44053
OG0000076	AL5G31970	g2410
OG0000077	nbis-gene-1691	g25975, g22716
OG0000079	AL5G40610, AL5G40780	g18915
OG0000080	AL1G54400	g41322
OG0000080	AL7G25770	g23667
OG0000080	AL7G44920	g23668
OG0000081	nbis-gene-1537	g6399
OG0000081	AL6G29160	g18040
OG0000081	AL6G42950	g13268
