Orthogroup	Arabidopsis_lyrata_Rawat	Aethionema_saxatile
OG0000238	AL2G18390	As009G206400, As008G190870, As006G143840
OG0000242	AL3G47120, AL3G47130, AL1G25950, nbis-gene-83, AL1G25930	As008G183340, As008G183330
OG0000244	AL7G32050	As003G059930
OG0000244	AL6G48290	As004G085820
OG0000244	AL6G48330	As004G085870
OG0000244	AL7G32080, AL7G32090, AL7G32070, AL7G32060	As003G059920, As003G059880, As003G059910, As003G059890, As003G059900
OG0000244	AL6G48300, AL6G48310	As004G085860, As004G085850
OG0000246	AL6G45940, AL1G47930	As012G280010
OG0000248	AL2G18850	As001G019970, As001G019960, As001G019950, As001G019930, As001G019460, As001G019420
OG0000249	AL4G32970	As006G145310
OG0000249	AL4G32990	As006G145330, As008G193990, As006G145350, As006G145320
OG0000257	AL3G21820	As002G035710, As012G268510
OG0000258	AL8G33230	As002G048970
OG0000264	AL6G48830	As004G086270, As010G229170
OG0000268	AL5G11250	As001G023230
OG0000268	AL2G13720	As001G023220, As001G023200
OG0000268	AL6G11010	As005G106920
OG0000268	AL5G35180	As012G278370
OG0000270	AL7G10820, AL3G49100	As003G075960
OG0000271	AL7G44880	As002G034810, As005G108140
OG0000271	AL6G48930	As004G086280
OG0000273	AL1G55350	As012G273480
OG0000274	AL8G36240	As005G114920
OG0000274	AL4G17310	As010G224670, As010G224890
OG0000274	AL4G24200	As006G128840, As006G128830
OG0000276	AL9U10390	As009G205840, As009G205860, As003G058460, As001G005010, As004G093920
OG0000277	AL7G39730, AL7G39740	As004G096710
OG0000277	AL7G39720	As004G096720
OG0000279	AL6G47730, AL1G53900	As001G004840, As010G237280
OG0000279	AL4G12490, AL4G12510, AL4G12760, AL7G43800, AL5G22580, AL1G58300, AL9U11340, AL5G23870, AL9U11700, AL6G30690, AL1G40130, AL1G58550, AL1G29700, AL1G46490	As007G165600
OG0000279	AL6G48470	As007G178830
OG0000280	AL4G22740	As004G093300
OG0000280	AL5G38160	As002G035770
OG0000282	AL6G17860	As002G055220
OG0000283	AL8G17000, AL8G17010, AL178U10040, AL117U10040	As006G125160, As006G125170, As006G125120, As006G125130
OG0000284	AL3G16620	As006G139290
OG0000290	nbis-gene-1903	As009G210470, As005G114050
OG0000293	nbis-gene-1361	As008G188650, As004G094780, As002G042500, As003G064050
OG0000294	AL3G30460	As011G249490
OG0000294	AL4G33090	As006G145420
OG0000294	AL6G51460	As006G122700
OG0000294	AL1G11840	As008G198060
OG0000297	AL7G14480	As008G198730
OG0000297	AL8G37040, AL3G33140	As005G114280
OG0000299	nbis-gene-617, AL122U10010	As004G094650, As004G094810, As004G094790, As004G094750, As004G094730, As004G094760, As004G094670, As004G094660, As004G094800
OG0000299	nbis-gene-314, nbis-gene-311, nbis-gene-312	As010G241860, As009G207860
OG0000299	AL1G64190	As012G267900
OG0000308	AL7G42450, AL2G32570, AL7G49910, AL1G29920, AL2G32530	As010G240850, As010G240840, As010G240940, As010G240920
OG0000310	AL8G35710	As005G115910, As001G004860, As001G003850, As005G113880
OG0000311	AL6G27540	As009G202530
OG0000311	AL1G55110	As012G273730
OG0000311	AL3G30980	As011G249880
OG0000311	AL7G46360	As004G077290
OG0000311	AL2G23890	As001G029000
OG0000314	AL1G14460	As008G195840
OG0000314	AL1G14470	As006G125760
OG0000314	AL4G28090	As006G125440
OG0000315	AL6G36390, AL5G15440	As006G137990, As006G137760
OG0000316	AL3G14810	As008G187440, As008G187910
OG0000319	AL8G37000, AL1G18210, AL1G18230, AL1G18260	As006G129730, As005G114310, As008G191530
OG0000321	AL7G46030, AL7G46410, AL7G46130, AL7G38390, AL7G38360, AL7G46040, AL7G46050, AL7G46160, AL7G46150	As001G010170
OG0000322	AL2G38770	As009G214030
OG0000322	AL4G38060, AL4G38120, AL6G43180, AL1G51540	As007G153590
OG0000323	AL8G29280	As002G045490
OG0000323	AL7G25060	As005G112480
OG0000327	AL1G37470	As008G195090, As008G195100, As011G263130
OG0000328	AL7G41460	As001G029880
OG0000329	AL4G43730, AL5G42900	As007G180560
OG0000332	nbis-gene-443	As001G030000
OG0000332	AL6G31300, AL6G31290	As002G033230
OG0000332	AL8G15650	As011G251780
OG0000334	AL5G34800	As012G277630
OG0000334	AL4G34640, AL6G50670, AL6G50680, AL6G50700	As006G146780
OG0000339	AL7G30060	As003G061400
OG0000339	AL6G53040	As006G121550
OG0000339	AL4G45180, AL5G43730	As005G101130, As012G287430
OG0000340	AL2G24960, AL4G42300	As005G103820
OG0000340	nbis-gene-2101, AL4G42320	As005G103800, As005G103810
OG0000344	AL6G37980	As009G215190, As009G215530
OG0000351	AL3G26860	As009G207810, As011G246650
OG0000352	AL1G29120	As007G153380
OG0000358	AL1G13870, AL6G19910	As006G124930, As008G196330
OG0000358	AL390U10020, AL6G19900, AL6G19890	As008G196390
OG0000359	AL4G30400	As012G275420
OG0000360	AL8G44510, AL8G44500	As005G119730
OG0000362	nbis-gene-906	As006G134970
OG0000363	AL2G12490	As009G209420
