Orthogroup	Arabidopsis_lyrata_Rawat	Cardamine_amara
OG0007425	AL7G21540	evm.model.RL_2.2572
OG0007426	AL7G20930	evm.model.RL_2.2620
OG0007427	AL7G20790	evm.model.RL_2.2635
OG0007428	AL7G20700	evm.model.RL_2.2650
OG0007429	AL7G20650	evm.model.RL_2.2654
OG0007430	AL7G20550	evm.model.RL_2.2662
OG0007431	AL7G20500	evm.model.RL_2.2629, evm.model.RL_2.2665
OG0007432	AL7G20290	evm.model.RL_2.2683
OG0007433	AL7G24620	evm.model.RL_2.2312
OG0007434	AL7G19670	evm.model.RL_2.2727
OG0007435	AL7G19640	evm.model.RL_2.2728, evm.model.RL_2.2646, evm.model.RL_2.2644
OG0007436	AL7G19600	evm.model.RL_2.2731
OG0007437	AL7G19570	evm.model.RL_2.2733
OG0007439	AL7G19220	evm.model.RL_2.2767
OG0007440	AL7G19020	evm.model.RL_2.2787
OG0007441	AL7G18340	evm.model.RL_2.2836
OG0007442	AL7G18450	evm.model.RL_2.2827
OG0007443	AL7G18120	evm.model.RL_2.2854
OG0007444	AL7G18130	evm.model.RL_2.2853
OG0007445	AL7G17680	evm.model.RL_2.2892
OG0007446	AL7G17080	evm.model.RL_2.2944
OG0007448	AL7G17330	evm.model.RL_2.2920
OG0007449	AL7G17360	evm.model.RL_2.2918
OG0007450	AL7G17400	evm.model.RL_2.2914
OG0007451	AL7G16790	evm.model.RL_2.2969
OG0007452	AL7G16740	evm.model.RL_2.2974
OG0007453	AL7G16650	evm.model.RL_2.2983
OG0007454	AL7G16630	evm.model.RL_2.2985
OG0007455	AL7G16430	evm.model.RL_2.3001
OG0007456	AL7G16250	evm.model.RL_2.3020
OG0007458	AL1G49570	evm.model.RL_5.2797.4.687c88bd
OG0007459	AL1G49550	evm.model.RL_5.2795.1.687c88bd
OG0007460	AL1G46020	evm.model.RL_5.2764.1.687c88bd
OG0007461	AL1G46200	evm.model.RL_5.2748
OG0007462	AL1G46250	evm.model.RL_5.2743
OG0007463	AL1G46370	evm.model.RL_5.2737
OG0007464	AL7G37860	evm.model.RL_2.1242
OG0007465	AL7G38120	evm.model.RL_2.1220
OG0007466	AL7G38550	evm.model.RL_2.1196
OG0007467	AL7G38680	evm.model.RL_2.1185
OG0007468	AL1G64870	evm.model.RL_3.771.1.687c84bb
OG0007469	AL1G65130	evm.model.RL_3.748.2.687c84bb
OG0007470	AL7G40010	evm.model.RL_2.1076
OG0007471	AL1G66470	evm.model.RL_3.658
OG0007473	AL2G18260	evm.model.RL_3.567
OG0007474	AL2G17350	evm.model.RL_3.535
OG0007475	AL2G15450	evm.model.RL_3.411
OG0007476	AL2G15230	evm.model.RL_3.363
OG0007477	AL1G22130	evm.model.RL_5.976
OG0007478	AL2G14630	evm.model.RL_3.332
OG0007479	AL2G14400	evm.model.RL_3.317
OG0007480	AL2G14350	evm.model.RL_3.313
OG0007481	AL5G10010	evm.model.RL_5.7
OG0007482	AL5G10120	evm.model.RL_7.2666
OG0007483	AL5G10230	evm.model.RL_7.2675
OG0007484	AL5G10940	evm.model.RL_7.2639
OG0007485	AL1G26750	evm.model.RL_5.1325
OG0007486	AL5G12410	evm.model.RL_7.2565
OG0007487	AL5G12640	evm.model.RL_7.2553.2.687c84bd
OG0007488	AL5G12850	evm.model.RL_7.2544
OG0007489	AL5G13050	evm.model.RL_7.2526
OG0007490	AL5G13280	evm.model.RL_7.2514
OG0007492	AL5G14110	evm.model.RL_7.2461
OG0007493	AL5G14360	evm.model.RL_7.2442
OG0007494	AL5G14560	evm.model.RL_7.2428
OG0007495	AL5G15140	evm.model.RL_7.2384
OG0007496	AL5G15190	evm.model.RL_7.2379
OG0007497	AL5G15680	evm.model.RL_7.2347
OG0007498	AL5G15950	evm.model.RL_7.2334
OG0007499	AL5G16020	evm.model.RL_7.2326
OG0007500	AL7G48580	evm.model.RL_2.93
OG0007501	AL5G16320	evm.model.RL_7.2308
OG0007502	AL5G16340	evm.model.RL_7.2307
OG0007503	AL5G16660	evm.model.RL_7.2280
OG0007504	AL5G17140	evm.model.RL_7.2247
OG0007505	AL5G19080	evm.model.RL_7.2115.2.687c84bb
OG0007506	AL5G19120	evm.model.RL_7.2108
OG0007508	AL5G19600	evm.model.RL_7.2075
OG0007509	AL5G20010	evm.model.RL_7.2045
OG0007510	AL2G25750	evm.model.RL_3.1097
OG0007511	AL2G25380	evm.model.RL_3.1081
OG0007512	AL2G25030	evm.model.RL_3.1049
OG0007513	AL2G23810	evm.model.RL_3.993
OG0007514	AL2G23740	evm.model.RL_3.989
OG0007515	AL2G22850	evm.model.RL_3.960
OG0007516	AL2G20420	evm.model.RL_3.914
OG0007517	AL6G28880	evm.model.RL_4.1864
OG0007518	AL2G10170	evm.model.RL_3.20
OG0007519	AL1G63080	evm.model.RL_5.3894
OG0007520	AL2G10890	evm.model.RL_3.70
OG0007521	AL2G11130	evm.model.RL_3.89
OG0007522	AL2G11580	evm.model.RL_3.132
OG0007523	AL2G11980, AL2G12020	evm.model.RL_3.165
OG0007524	AL2G12140, AL2G12040	evm.model.RL_3.167
OG0007525	AL2G12430	evm.model.RL_3.180
OG0007526	AL2G12590	evm.model.RL_3.187
OG0007527	AL2G13420	evm.model.RL_3.244
OG0007528	nbis-gene-386	evm.model.RL_3.253
OG0007529	AL2G13600	evm.model.RL_3.262
OG0007530	AL3G24310	evm.model.RL_1.1162
OG0007531	AL3G24290	evm.model.RL_1.1160
OG0007532	AL3G24280	evm.model.RL_1.1159
OG0007533	AL3G24130	evm.model.RL_1.1149
OG0007534	AL7G24590	evm.model.RL_2.2314
OG0007535	AL7G27220	evm.model.RL_2.2097
OG0007536	AL7G27050	evm.model.RL_2.2113
OG0007537	AL7G26940	evm.model.RL_2.2122
OG0007538	AL4G38770	evm.model.RL_6.2210
OG0007539	AL4G34430, AL4G38640	evm.model.RL_6.2202
OG0007540	AL4G38590	evm.model.RL_6.2196
OG0007541	AL3G20230	evm.model.RL_1.824
OG0007542	AL3G20290	evm.model.RL_1.825
OG0007543	AL3G20340	evm.model.RL_1.830
OG0007544	AL3G20700	evm.model.RL_1.858
OG0007545	AL3G20730	evm.model.RL_1.862
OG0007546	AL3G20970	evm.model.RL_1.884
OG0007547	AL3G21060	evm.model.RL_1.893.1.687c87eb
OG0007548	AL6G13260	evm.model.RL_4.3158
OG0007549	AL3G21330	evm.model.RL_1.911
OG0007550	AL3G21460	evm.model.RL_1.919, evm.model.RL_1.871
OG0007551	AL3G21680	evm.model.RL_1.941
OG0007552	AL3G21900	evm.model.RL_1.959
OG0007554	AL3G22270	evm.model.RL_1.988
OG0007555	AL3G22730	evm.model.RL_1.1027
OG0007556	AL3G22800	evm.model.RL_1.1034.1.687c87ec
OG0007557	AL3G22940	evm.model.RL_1.1047
OG0007558	AL3G23080	evm.model.RL_1.1059
OG0007559	AL3G23170	evm.model.RL_1.1068
OG0007560	AL3G23250	evm.model.RL_1.1080
OG0007561	AL3G23290	evm.model.RL_1.1084
OG0007562	AL3G23370	evm.model.RL_1.1091
OG0007563	AL7G24530	evm.model.RL_2.2320.1.687c86e5
OG0007564	nbis-gene-694	evm.model.RL_1.1105
OG0007565	AL3G23550	evm.model.RL_1.1106
OG0007566	AL3G23590	evm.model.RL_1.1110
OG0007567	AL3G23950	evm.model.RL_1.1135
OG0007568	AL3G23970	evm.model.RL_1.1137
OG0007569	AL5G38720	evm.model.RL_7.644
OG0007570	AL8G23830	evm.model.RL_8.1058
OG0007571	AL8G11450	evm.model.RL_4.120
OG0007572	AL1G53710	evm.model.RL_5.2258
OG0007573	AL8G24860	evm.model.RL_8.1174
OG0007574	AL8G24920	evm.model.RL_8.1181
OG0007576	AL8G25010	evm.model.RL_8.1189
OG0007577	AL7G18190	evm.model.RL_2.2848
OG0007578	AL8G26870	evm.model.RL_8.1342
OG0007579	AL8G28040	evm.model.RL_8.1425, evm.model.RL_8.1427
OG0007581	AL8G27780	evm.model.RL_8.1408
OG0007582	AL8G27690	evm.model.RL_8.1401.1.687c855b
OG0007583	AL8G27660	evm.model.RL_8.1398
OG0007584	AL8G28060	evm.model.RL_8.1431.1.687c855b
OG0007585	AL8G28120	evm.model.RL_8.1436
OG0007586	AL8G29250	evm.model.RL_8.1503
OG0007587	AL8G29090	evm.model.RL_8.1485
OG0007588	AL8G29730	evm.model.RL_8.1530
OG0007589	AL8G30040	evm.model.RL_8.1545
OG0007590	AL8G30400	evm.model.RL_8.1584
OG0007591	AL8G31160	evm.model.RL_8.1643
OG0007592	AL236U10010, AL8G31440	evm.model.RL_8.1672
OG0007593	AL2G24490, AL2G22990, AL8G31670	evm.model.RL_8.1687
OG0007594	AL8G31820	evm.model.RL_8.1697
OG0007595	AL1G22680	evm.model.RL_5.1021
OG0007596	AL8G32740	evm.model.RL_8.1763
OG0007597	AL8G32900	evm.model.RL_8.1777
OG0007598	AL8G32930	evm.model.RL_8.1779
OG0007599	AL8G32980	evm.model.RL_8.1784
OG0007600	AL8G33350	evm.model.RL_8.1815
OG0007601	AL8G33400	evm.model.RL_8.1820
OG0007602	nbis-gene-2165	evm.model.RL_8.1841
OG0007603	AL8G33850	evm.model.RL_8.1855
OG0007604	AL8G34260	evm.model.RL_8.1891
OG0007605	AL6G39550	evm.model.RL_4.1040
OG0007606	AL6G24010	evm.model.RL_4.2285
OG0007607	AL6G23750	evm.model.RL_4.2310
OG0007608	AL6G23680	evm.model.RL_4.2316
OG0007609	AL6G23620	evm.model.RL_4.2320
OG0007610	AL6G23460	evm.model.RL_4.2330
OG0007611	AL6G23190	evm.model.RL_4.2346
OG0007612	AL6G23080	evm.model.RL_4.2358
OG0007613	AL6G22900	evm.model.RL_4.2374
OG0007614	AL6G22830	evm.model.RL_4.2381
OG0007615	AL6G22690	evm.model.RL_4.2394
OG0007616	AL6G22540	evm.model.RL_4.2407
OG0007617	AL6G22150	evm.model.RL_4.2442
OG0007618	AL6G22120	evm.model.RL_4.2444
OG0007619	AL6G21870	evm.model.RL_4.2464
OG0007620	AL6G21610	evm.model.RL_4.2484
OG0007621	AL6G21140	evm.model.RL_4.2521.1.687c86da
OG0007622	AL6G19660	evm.model.RL_4.2660
OG0007623	AL6G19360	evm.model.RL_4.2677
OG0007624	AL6G19250	evm.model.RL_4.2687
OG0007625	AL6G18950	evm.model.RL_4.2694
OG0007626	AL6G18560	evm.model.RL_4.2732
OG0007627	AL6G18520	evm.model.RL_4.2736
OG0007628	AL6G18240	evm.model.RL_4.2762.2.687c86db
OG0007629	AL6G17540	evm.model.RL_4.2819
OG0007630	AL6G17490	evm.model.RL_4.2824
OG0007631	AL7G37290, AL7G37230	evm.model.RL_2.1294
OG0007632	AL7G36690	evm.model.RL_2.1334
OG0007633	AL7G36560	evm.model.RL_2.1352
OG0007634	AL7G36430	evm.model.RL_2.1357.6.687c86e2
OG0007635	AL7G36360	evm.model.RL_2.1362
OG0007637	AL6G47810	evm.model.RL_8.497
OG0007638	AL7G35290	evm.model.RL_2.1446
OG0007639	AL7G35190	evm.model.RL_2.1454
OG0007640	AL7G34930	evm.model.RL_2.1476
OG0007641	AL7G34680	evm.model.RL_2.1496
OG0007642	AL7G33930	evm.model.RL_2.1546
OG0007644	AL8G38940	evm.model.RL_8.2290
OG0007645	AL7G33410	evm.model.RL_2.1587
OG0007646	AL7G33210	evm.model.RL_2.1605
OG0007647	AL6G48760	evm.model.RL_8.417
OG0007648	AL7G32650	evm.model.RL_2.1646
OG0007649	AL7G32290	evm.model.RL_2.1673
OG0007650	AL7G31610	evm.model.RL_2.1716
OG0007651	AL7G31560	evm.model.RL_2.1721
OG0007652	AL7G31380	evm.model.RL_2.1729
OG0007653	AL7G31290	evm.model.RL_2.1736
OG0007654	AL7G31070	evm.model.RL_2.1758
OG0007655	AL7G30970	evm.model.RL_2.1765
OG0007656	AL7G30850	evm.model.RL_2.1776
OG0007657	AL7G30640	evm.model.RL_2.1795
OG0007659	AL7G30440	evm.model.RL_2.1814
OG0007661	AL7G29620	evm.model.RL_2.1886
OG0007662	AL7G29380	evm.model.RL_2.1908
OG0007663	AL1G47610	evm.model.RL_5.2642
OG0007664	AL1G47670	evm.model.RL_5.2638
OG0007665	AL1G47780	evm.model.RL_5.2626
OG0007666	AL1G48440	evm.model.RL_5.2571
OG0007667	AL1G49100	evm.model.RL_5.2530, evm.model.RL_5.2528
OG0007668	AL1G50930	evm.model.RL_5.2435
OG0007669	AL1G52460	evm.model.RL_5.2323
OG0007670	AL1G54060	evm.model.RL_5.2245
OG0007671	AL1G53400	evm.model.RL_5.2267
OG0007672	AL1G54110	evm.model.RL_5.2239
OG0007673	AL3G18990	evm.model.RL_1.710
OG0007674	AL1G41620	evm.model.RL_5.3086
OG0007675	AL1G41860	evm.model.RL_5.3066
OG0007676	AL7G45930, AL4G16080	evm.model.RL_6.395
OG0007677	AL1G42050	evm.model.RL_5.3053
OG0007679	AL1G42960	evm.model.RL_5.3005
OG0007680	AL1G44040	evm.model.RL_5.2943
OG0007681	AL1G44290	evm.model.RL_5.2898
OG0007682	AL1G44750	evm.model.RL_5.2865
OG0007683	AL1G44770	evm.model.RL_5.2863
OG0007684	AL1G44850	evm.model.RL_5.2857
OG0007685	AL7G15630	evm.model.RL_2.3075
OG0007686	AL6G12560	evm.model.RL_5.1994
OG0007687	AL7G15270	evm.model.RL_2.3105
OG0007688	AL7G15100	evm.model.RL_2.3121
OG0007689	AL7G15060	evm.model.RL_2.3125
OG0007690	AL7G14770	evm.model.RL_2.3154
OG0007691	AL7G14530	evm.model.RL_2.3171
OG0007693	AL7G14240	evm.model.RL_2.3191
OG0007694	AL7G13910	evm.model.RL_2.3218
OG0007695	AL4G13440	evm.model.RL_6.238
OG0007696	AL7G13760	evm.model.RL_2.3231
OG0007697	AL7G13220	evm.model.RL_2.3269
OG0007698	AL7G13090	evm.model.RL_2.3279.2.687c86e8
OG0007699	AL7G12950	evm.model.RL_2.3284
OG0007700	AL7G12940	evm.model.RL_2.3285
OG0007701	AL7G12810	evm.model.RL_2.3298
OG0007702	AL7G12580	evm.model.RL_2.3317
OG0007703	AL7G12440	evm.model.RL_2.3325
OG0007704	AL7G12120	evm.model.RL_2.3350
OG0007705	AL7G11920	evm.model.RL_2.3369
OG0007706	AL7G11520	evm.model.RL_2.3386.1.687c86e9
OG0007707	AL7G10390	evm.model.RL_2.3474
OG0007708	AL7G44290	evm.model.RL_2.629
OG0007709	AL7G46220	evm.model.RL_2.483
OG0007710	AL7G51560	evm.model.RL_2.333
OG0007711	AL4G30990	evm.model.RL_8.2522
OG0007712	AL4G31080	evm.model.RL_6.1592
OG0007713	AL4G31170	evm.model.RL_6.1600
OG0007714	AL1G20860	evm.model.RL_5.878
OG0007715	AL2G29970, AL1G49260	evm.model.RL_5.2816
OG0007716	AL6G29260	evm.model.RL_3.490, evm.model.RL_4.1841
OG0007717	AL716U10010, AL4G31300	evm.model.RL_6.1612
OG0007718	AL4G31240	evm.model.RL_6.1608
OG0007719	AL6G43270	evm.model.RL_8.822
OG0007720	AL6G41550	evm.model.RL_8.863
OG0007721	AL6G42240	evm.model.RL_8.915
OG0007722	AL1G43820	evm.model.RL_1.2809, evm.model.RL_1.2810, evm.model.RL_5.2926
OG0007723	AL4G30080	evm.model.RL_6.1507
OG0007724	AL4G29930	evm.model.RL_6.1793, evm.model.RL_6.1494
OG0007725	nbis-gene-1076	evm.model.RL_6.1483
OG0007726	AL4G29610	evm.model.RL_6.1477
OG0007727	AL4G29600	evm.model.RL_6.1476
OG0007728	AL4G29220	evm.model.RL_6.1441
OG0007729	AL4G29160	evm.model.RL_6.1435
OG0007730	AL8G18080	evm.model.RL_4.620
OG0007731	AL6G44220	evm.model.RL_8.748
OG0007732	AL6G45180	evm.model.RL_8.680
OG0007733	AL6G45460	evm.model.RL_8.659
OG0007734	AL6G46260	evm.model.RL_8.611
OG0007735	AL6G47290	evm.model.RL_8.545
OG0007736	AL6G47620, AL7G41290	evm.model.RL_8.519
OG0007737	AL6G47910	evm.model.RL_8.480
OG0007738	AL6G48460	evm.model.RL_8.439
OG0007739	AL6G31470	evm.model.RL_4.1653
OG0007740	AL6G48600	evm.model.RL_8.428
OG0007741	AL8G14890	evm.model.RL_4.391
OG0007742	AL8G14110	evm.model.RL_4.339.3.687c86ce
OG0007743	AL8G13440	evm.model.RL_4.297.1.687c86ce
OG0007744	AL8G13090	evm.model.RL_4.277
OG0007745	AL8G12660	evm.model.RL_3.759, evm.model.RL_4.239
OG0007746	AL8G12550	evm.model.RL_4.231
OG0007747	AL8G12430	evm.model.RL_4.220
OG0007748	AL8G12240	evm.model.RL_4.202
OG0007749	AL8G12180	evm.model.RL_4.197
OG0007750	AL8G11890	evm.model.RL_4.173
OG0007751	AL6G14140	evm.model.RL_4.3081
OG0007752	AL8G11760	evm.model.RL_4.168
OG0007753	AL8G11690	evm.model.RL_4.157, evm.model.RL_4.159
OG0007754	AL8G11400	evm.model.RL_4.106
OG0007755	AL7G39320	evm.model.RL_2.1137
OG0007756	AL7G44470	evm.model.RL_2.618
OG0007757	AL7G44560	evm.model.RL_2.605
OG0007758	AL9U12240	evm.model.RL_2.955
OG0007759	AL3G40780	evm.model.RL_1.2397
OG0007760	AL3G40200	evm.model.RL_1.2364
OG0007761	AL9U10290	evm.model.RL_2.840
OG0007762	AL7G42690	evm.model.RL_2.891
OG0007763	AL7G41920	evm.model.RL_2.953
OG0007764	AL7G40170	evm.model.RL_2.1063
OG0007765	AL7G48510	evm.model.RL_2.98
OG0007766	AL7G47460	evm.model.RL_2.172
OG0007767	AL7G47130	evm.model.RL_2.194
OG0007769	AL39U10010, AL4G47430	evm.model.RL_6.2935
OG0007770	AL4G47300	evm.model.RL_6.2923
OG0007771	AL4G47240	evm.model.RL_6.2918
OG0007772	AL4G46910	evm.model.RL_6.2888
OG0007773	AL4G46830	evm.model.RL_6.2880
OG0007774	AL4G46770	evm.model.RL_6.2872
OG0007775	AL4G46750	evm.model.RL_6.2871
OG0007776	AL4G45980	evm.model.RL_6.2800
OG0007777	AL4G45910	evm.model.RL_6.2793
OG0007778	AL4G45480	evm.model.RL_6.2764
OG0007779	AL4G45320	evm.model.RL_6.2753
OG0007780	AL4G45300	evm.model.RL_6.2751
OG0007781	AL4G45280	evm.model.RL_6.2750
OG0007782	AL4G45250	evm.model.RL_6.2747
OG0007783	AL4G45240	evm.model.RL_6.2746
OG0007784	AL4G45120	evm.model.RL_6.2737
OG0007785	AL4G44850	evm.model.RL_6.2704
OG0007786	AL4G44570	evm.model.RL_6.2675
OG0007787	AL4G43930	evm.model.RL_6.2618
OG0007788	AL4G43440	evm.model.RL_6.2568
OG0007789	AL4G43010	evm.model.RL_6.2537
OG0007790	AL4G42920	evm.model.RL_6.2529
OG0007791	AL4G42760	evm.model.RL_6.2514
OG0007792	AL4G41530	evm.model.RL_6.2415
OG0007793	AL4G41120	evm.model.RL_6.2383
OG0007794	AL4G40300	evm.model.RL_6.2321
OG0007795	AL4G40560	evm.model.RL_6.2341
OG0007796	AL6G10450	evm.model.RL_4.3397
OG0007797	AL6G10770	evm.model.RL_4.3376
OG0007798	AL6G10950	evm.model.RL_4.3356
OG0007799	AL6G11130	evm.model.RL_4.3340
OG0007800	nbis-gene-1435	evm.model.RL_4.3334
OG0007801	AL6G11620	evm.model.RL_4.3302
OG0007802	AL6G11720	evm.model.RL_4.3290
OG0007803	AL6G11790	evm.model.RL_4.3285
OG0007804	AL6G11800	evm.model.RL_4.3284
OG0007805	AL6G12020	evm.model.RL_4.3264
OG0007806	AL6G13410	evm.model.RL_4.3143
OG0007807	AL6G12370	evm.model.RL_4.3233.1.687c86dd
OG0007808	AL6G13370	evm.model.RL_4.3147
OG0007809	AL1G13500, AL1G12230, AL6G13550	evm.model.RL_4.3133
OG0007810	AL6G13740	evm.model.RL_4.3118
OG0007811	AL6G13800	evm.model.RL_4.3112
OG0007812	AL6G13870	evm.model.RL_4.3106
OG0007813	AL6G13930	evm.model.RL_4.3101
OG0007814	AL6G30890	evm.model.RL_4.1712
OG0007815	AL6G31200	evm.model.RL_4.1678
OG0007817	AL6G32150	evm.model.RL_4.1592
OG0007818	AL6G32300	evm.model.RL_4.1579
OG0007819	AL6G32550	evm.model.RL_4.793, evm.model.RL_4.1557
OG0007820	AL6G32600	evm.model.RL_4.1553
OG0007821	AL6G32720	evm.model.RL_4.1545
OG0007822	AL6G32750	evm.model.RL_4.1542
OG0007823	AL6G32950	evm.model.RL_4.1524
OG0007824	AL6G33470	evm.model.RL_4.1469
OG0007825	AL6G33810	evm.model.RL_4.1449
OG0007826	AL8G37380	evm.model.RL_8.2147
OG0007827	AL8G37300	evm.model.RL_8.2139
OG0007828	AL8G37120	evm.model.RL_8.2121
OG0007829	AL817U10010, AL8G36800	evm.model.RL_8.2098
OG0007830	AL8G36560	evm.model.RL_8.2074
OG0007831	AL8G36230	evm.model.RL_8.2047.2.687c855f
OG0007833	AL8G35380	evm.model.RL_8.1980
OG0007834	AL3G40340, AL277U10020	evm.model.RL_8.1965
OG0007836	AL8G40260	evm.model.RL_8.2392
OG0007837	AL8G40270	evm.model.RL_8.2393
OG0007838	AL8G40540	evm.model.RL_8.2415
OG0007839	AL8G32800, AL52U10030	evm.model.RL_8.1771
OG0007840	AL8G41240	evm.model.RL_8.2477
OG0007841	AL8G41290	evm.model.RL_8.2482
OG0007842	AL8G41930	evm.model.RL_8.2537
OG0007843	AL8G42090	evm.model.RL_8.2551
OG0007844	AL8G42280	evm.model.RL_8.2565
OG0007845	AL8G42300	evm.model.RL_8.2567
OG0007846	AL8G42760	evm.model.RL_8.2607
OG0007847	AL8G42810	evm.model.RL_8.2612
OG0007848	AL8G42860	evm.model.RL_8.2617.4.687c8562
OG0007849	AL8G43310	evm.model.RL_8.2657
OG0007850	AL8G43320	evm.model.RL_8.2658
OG0007851	AL8G43490	evm.model.RL_8.2669
OG0007852	AL8G43710	evm.model.RL_8.2692
OG0007853	AL8G43960	evm.model.RL_8.2717
OG0007854	AL8G44030	evm.model.RL_8.2723
OG0007855	AL8G44120	evm.model.RL_8.2732
OG0007856	AL8G44560	evm.model.RL_8.2772
OG0007857	AL8G45060	evm.model.RL_8.2810
OG0007858	AL5G31570	evm.model.RL_7.1272
OG0007859	AL8G45230	evm.model.RL_8.2823
OG0007860	AL6G52750	evm.model.RL_8.90
OG0007861	AL6G52860	evm.model.RL_8.74
OG0007862	AL6G52080	evm.model.RL_8.102
OG0007863	AL6G52330	evm.model.RL_8.126
OG0007864	AL6G52400	evm.model.RL_8.133
OG0007865	AL6G51950	evm.model.RL_8.224
OG0007866	AL6G51680	evm.model.RL_8.205
OG0007867	AL6G51130	evm.model.RL_8.157
OG0007868	AL6G50870	evm.model.RL_8.246
OG0007869	AL6G50840	evm.model.RL_8.249
OG0007870	AL6G50780	evm.model.RL_8.253
OG0007871	AL6G50300	evm.model.RL_8.295
OG0007872	AL6G50180	evm.model.RL_8.306
OG0007873	AL6G49910	evm.model.RL_8.334
OG0007874	AL6G49720	evm.model.RL_8.354
OG0007875	AL8G15830	evm.model.RL_4.446
OG0007876	AL8G16220	evm.model.RL_4.483
OG0007877	AL8G17080	evm.model.RL_4.545
OG0007878	AL4G29100	evm.model.RL_6.1429
OG0007879	AL4G29060	evm.model.RL_6.1425
OG0007880	AL4G27700	evm.model.RL_6.1322
OG0007881	AL4G27670	evm.model.RL_6.1320
OG0007882	AL4G27630	evm.model.RL_6.1317
OG0007883	AL4G28490	evm.model.RL_6.1385
OG0007884	AL4G27740, AL125U10020	evm.model.RL_6.1326
OG0007885	AL4G27080	evm.model.RL_6.1267
OG0007886	AL4G26460	evm.model.RL_6.1219
OG0007887	AL4G26310	evm.model.RL_6.1205
OG0007888	AL4G26030	evm.model.RL_6.1189
OG0007889	AL4G26000	evm.model.RL_6.1187
OG0007890	AL1G16560	evm.model.RL_5.510
OG0007891	AL4G25810	evm.model.RL_6.1173
OG0007892	AL4G25400	evm.model.RL_6.1144
OG0007893	AL4G25230	evm.model.RL_6.1129
OG0007896	AL1G17250	evm.model.RL_5.562
OG0007897	AL4G24840	evm.model.RL_6.1096
OG0007898	AL4G23320	evm.model.RL_6.984
OG0007899	AL4G23310	evm.model.RL_6.983
OG0007900	AL4G21550	evm.model.RL_6.952
OG0007901	AL4G21610	evm.model.RL_6.943
OG0007902	AL4G21780	evm.model.RL_6.933
OG0007903	AL4G12830, AL4G22350	evm.model.RL_6.887
OG0007904	AL4G20580	evm.model.RL_6.767
OG0007905	AL4G19850	evm.model.RL_6.735
OG0007906	AL6G16990, AL6G16520	evm.model.RL_4.2900
OG0007907	AL4G19100	evm.model.RL_6.559
OG0007908	AL4G18830	evm.model.RL_6.540
OG0007909	AL7G25380	evm.model.RL_2.2252
OG0007910	AL7G25680	evm.model.RL_2.2227
OG0007911	AL6G25530	evm.model.RL_4.2154
OG0007912	AL3G10620	evm.model.RL_1.64
OG0007913	AL6G24780	evm.model.RL_4.2215
OG0007914	AL7G45650	evm.model.RL_2.512.3.687c86e0
OG0007915	AL7G26470	evm.model.RL_2.2164
OG0007916	AL3G11040	evm.model.RL_1.103
OG0007917	AL3G11100	evm.model.RL_1.108
OG0007918	AL6G26140	evm.model.RL_4.2105
OG0007919	AL3G11390	evm.model.RL_1.126
OG0007920	AL3G11660	evm.model.RL_1.147
OG0007921	AL3G12030	evm.model.RL_1.182
OG0007922	AL3G12210	evm.model.RL_1.200
OG0007923	AL3G12310	evm.model.RL_1.210
OG0007924	AL3G12700	evm.model.RL_1.232
OG0007925	AL3G13110	evm.model.RL_1.263
OG0007926	AL3G13580	evm.model.RL_1.298
OG0007927	AL3G14000	evm.model.RL_1.330
OG0007928	AL3G14760	evm.model.RL_1.385
OG0007929	AL3G14850	evm.model.RL_1.390
OG0007930	AL3G15220	evm.model.RL_1.409
OG0007931	AL3G15470	evm.model.RL_1.430
OG0007932	AL3G15320, AL294U10020	evm.model.RL_1.416
OG0007934	AL3G15620	evm.model.RL_1.442
OG0007935	AL3G15770	evm.model.RL_1.455
OG0007936	AL3G16120	evm.model.RL_1.474
OG0007937	AL3G16070	evm.model.RL_1.469
OG0007938	AL3G16380	evm.model.RL_1.500
OG0007939	AL3G16720	evm.model.RL_1.527
OG0007940	AL3G16840	evm.model.RL_1.536
OG0007941	AL3G16980	evm.model.RL_1.547
OG0007942	AL3G17510	evm.model.RL_1.584.1.687c87eb
OG0007943	AL3G17570	evm.model.RL_1.591
OG0007944	AL3G17590	evm.model.RL_1.592.1.687c87eb
OG0007945	AL3G17620	evm.model.RL_1.594
OG0007946	AL3G17650	evm.model.RL_1.596
OG0007947	AL3G17660	evm.model.RL_1.597
OG0007948	AL8G22040	evm.model.RL_4.864
OG0007949	AL3G18370	evm.model.RL_1.653
OG0007950	AL3G18620	evm.model.RL_1.675
OG0007951	AL3G18880	evm.model.RL_1.699
OG0007952	AL3G19020	evm.model.RL_1.713
OG0007953	AL3G19110	evm.model.RL_1.723
OG0007954	AL3G19120	evm.model.RL_1.724
OG0007955	AL3G19330	evm.model.RL_1.748
OG0007956	AL3G19460	evm.model.RL_1.759
OG0007957	AL3G19830	evm.model.RL_1.790
OG0007958	AL4G37900	evm.model.RL_6.2137
OG0007959	AL4G37860, AL4G37870	evm.model.RL_6.2134
OG0007960	AL4G37830	evm.model.RL_6.2132
OG0007961	AL4G37570	evm.model.RL_6.2111
OG0007962	AL4G37440	evm.model.RL_6.2100
OG0007963	AL4G36880, AL938U10010	evm.model.RL_6.2062
OG0007964	AL4G36120	evm.model.RL_6.1996
OG0007965	AL4G32140	evm.model.RL_6.1700
OG0007966	AL4G32180	evm.model.RL_6.1704
OG0007967	AL4G32320	evm.model.RL_6.1714
OG0007968	AL4G32630	evm.model.RL_6.1742
