Orthogroup	Arabidopsis_lyrata_Rawat	Cardamine_amara
OG0000021	AL1G46090, AL5G10040, AL5G25470, AL96U10010	evm.model.RL_4.3275, evm.model.RL_5.2792
OG0000023	AL7G30160	evm.model.RL_2.1843
OG0000023	AL7G30170	evm.model.RL_2.1842
OG0000023	AL6G45970	evm.model.RL_8.636
OG0000023	AL6G46030	evm.model.RL_2.1840
OG0000023	AL6G46070	evm.model.RL_8.624
OG0000023	AL7G30270	evm.model.RL_2.1829, evm.model.RL_2.1830
OG0000023	AL7G30280	evm.model.RL_2.1825.3.687c86e4
OG0000025	AL8G29920	evm.model.RL_8.1541
OG0000026	AL460U10010	evm.model.RL_5.679
OG0000026	AL1G18480, AL4G42270, AL5G11540	evm.model.RL_7.315
OG0000027	AL1G45210	evm.model.RL_5.2839
OG0000027	AL5G23680	evm.model.RL_7.603, evm.model.RL_7.580
OG0000028	AL1G65750, nbis-gene-1243	evm.model.RL_4.1689
OG0000029	AL4G17400	evm.model.RL_4.797
OG0000031	AL2G12470	evm.model.RL_3.758
OG0000031	AL2G13170, AL2G12830, AL2G12810, AL2G13140, AL2G12820, AL2G18840	evm.model.RL_3.205
OG0000033	AL7G30310	evm.model.RL_2.1820_evm.model.RL_2.1823
OG0000033	AL5G24540	evm.model.RL_3.424, evm.model.RL_3.1278
OG0000033	AL6G48800	evm.model.RL_8.413
OG0000034	AL8G16120, AL8G19610	evm.model.RL_5.2588
OG0000036	AL5G26550, AL920U10010	evm.model.RL_5.2564
OG0000036	AL6G37450, AL4G17610, AL6G45120, AL1G60100, AL3G30200, AL2G27390	evm.model.RL_2.742, evm.model.RL_2.665
OG0000037	AL7G49500, AL1G54600, AL2G19430	evm.model.RL_1.2680
OG0000037	AL7G52580, AL4G33780	evm.model.RL_1.63
OG0000037	AL5G11300	evm.model.RL_4.2891, evm.model.RL_5.3695
OG0000037	AL6G28120, AL3G49490, AL1G47310, AL3G45700	evm.model.RL_3.518
OG0000038	nbis-gene-1329	evm.model.RL_7.1446
OG0000038	AL8G26900	evm.model.RL_8.1346, evm.model.RL_8.1344
OG0000039	nbis-gene-244	evm.model.RL_3.1691
OG0000040	AL3G27510	evm.model.RL_7.2097
OG0000042	AL677U10010, AL2G11290, AL1G59470	evm.model.RL_3.4
OG0000042	AL8G11480	evm.model.RL_7.1372
OG0000042	AL3G43050	evm.model.RL_7.1972
OG0000042	AL364U10020, AL6G48140	evm.model.RL_6.2221
OG0000043	AL5G21640, AL2G17290, AL5G20230	evm.model.RL_8.981, evm.model.RL_8.1077
OG0000044	AL1G53510, AL3G40680, AL7G41120, AL1G60090, AL6G41380, AL3G43290, AL8G21960, AL8G24550, AL3G45110, AL3G45080, AL6G44180, AL6G43460, AL1G51180, AL4G17640, AL6G40760, AL3G44690, AL4G20190	evm.model.RL_8.225, evm.model.RL_2.612, evm.model.RL_1.2874, evm.model.RL_8.631, evm.model.RL_8.462, evm.model.RL_6.580, evm.model.RL_4.2682
OG0000044	AL5G16920, AL7G43910, AL3G42580	evm.model.RL_3.633, evm.model.RL_7.2338, evm.model.RL_8.226
OG0000045	AL1G56200	evm.model.RL_7.883, evm.model.RL_8.1002
OG0000046	AL7G52590	evm.model.RL_2.391
OG0000046	nbis-gene-1820	evm.model.RL_2.1379
OG0000046	AL7G52530, AL7G52540	evm.model.RL_2.389, evm.model.RL_2.387
OG0000046	AL2G25210	evm.model.RL_3.1072
OG0000046	AL2G25320	evm.model.RL_3.1077
OG0000047	AL5G32340	evm.model.RL_4.1421
OG0000052	AL1G20340	evm.model.RL_5.167
OG0000052	nbis-gene-988, AL2G15770	evm.model.RL_8.2684
OG0000052	AL4G40920, AL4G40910, AL4G40930	evm.model.RL_6.1412
OG0000052	AL4G41020	evm.model.RL_8.803, evm.model.RL_8.802
OG0000053	AL8G40920, AL2G10380, AL1G59190, AL7G34190	evm.model.RL_1.2655
OG0000054	AL4G17970	evm.model.RL_8.823, evm.model.RL_4.126
OG0000054	AL5G18550, nbis-gene-807	evm.model.RL_1.2395
OG0000055	AL2G13390, AL2G13990	evm.model.RL_3.282
OG0000055	AL2G14100	evm.model.RL_3.286
OG0000055	AL2G13770	evm.model.RL_3.285
OG0000055	AL2G13840	evm.model.RL_3.277
OG0000056	AL8G19360	evm.model.RL_1.2423, evm.model.RL_1.2416
OG0000057	AL4G21820	evm.model.RL_4.2353
OG0000059	AL1G51710	evm.model.RL_7.1801
OG0000059	AL6G19270	evm.model.RL_6.844
OG0000059	AL3G42970, AL1G54810	evm.model.RL_7.2089
OG0000059	AL7G45130, AL5G12450, AL1G66530, AL4G19380, AL9U11720, AL5G19450, AL2G14550, AL2G12980, AL6G42590	evm.model.RL_4.1269
OG0000059	AL3G36810	evm.model.RL_6.807
OG0000062	nbis-gene-221	evm.model.RL_6.456, evm.model.RL_7.2113, evm.model.RL_2.991, evm.model.RL_6.777
