Orthogroup	Cardamine_glauca	Arabidopsis_lyrata_Rawat
OG0000076	Cg001G0007600	AL7G10840
OG0000076	Cg005G1594800	AL4G29500
OG0000076	Cg008G2983800	AL3G53220
OG0000077	Cg005G1775900	AL8G13920
OG0000077	Cg002G0679200, Cg002G0679300	AL5G12970, AL5G12940
OG0000077	Cg006G2167500	AL1G20220
OG0000078	Cg008G2744900, Cg008G2744200, Cg008G2744500	AL6G29190
OG0000079	Cg004G1172300, Cg002G0672800, Cg002G0570600, Cg010G2993500	AL3G51940, AL1G57050, AL5G16890, AL1G58560, AL1G58670, AL4G20020, AL1G30000, AL5G27080, AL8G14210
OG0000080	Cg002G0578600, Cg002G0578900, Cg005G1663800	nbis-gene-244
OG0000083	Cg002G0678700	AL6G26020, AL3G43160, AL645U10010, AL5G31070, AL8G41960, AL1G25560, AL2G11510, AL6G37350, AL6G45940, AL1G47930, AL4G15250, AL4G15260
OG0000086	Cg001G0342500	AL7G53090
OG0000089	Cg008G2794800	AL6G35120
OG0000089	Cg003G1017300	AL8G39670
OG0000089	Cg002G0558400	AL5G25960
OG0000089	Cg005G1638200	AL4G24260
OG0000089	Cg008G2689500	AL6G23060
OG0000089	Cg008G2943700	AL8G15560
OG0000089	Cg001G0195600	AL7G33260
OG0000089	Cg005G1585200	AL4G30750
OG0000089	Cg006G2065500	AL1G32740
OG0000089	Cg007G2528700	AL2G35770
OG0000091	Cg002G0552600	AL5G26820
OG0000091	Cg001G0362300, Cg008G2769400	AL6G32010
OG0000091	Cg003G0829200, Cg003G0877100	AL8G24400
OG0000095	Cg005G1739100	AL4G18550
OG0000095	Cg005G1739400	AL4G14530, AL4G18570, AL4G15550
OG0000096	Cg001G0384700	AL3G41350, AL3G41330, AL3G41320, AL3G41340
OG0000096	Cg004G1249200, Cg004G1257700, Cg004G1249300	AL3G31600, AL3G31620, AL3G31610, AL439U10010, AL3G32310, AL3G32820, AL3G50560
OG0000096	Cg004G1260000	AL3G31580
OG0000098	Cg004G1351900	AL3G44020, AL3G44030, AL3G43980, AL3G44060, nbis-gene-805
OG0000098	Cg007G2258600, Cg007G2258500	AL2G26330
OG0000098	Cg008G2823500	AL1G41020, AL1G41000, AL1G41010, AL1G40990
OG0000100	Cg007G2332300	AL1G66260
OG0000101	Cg007G2332400	AL26U10050, AL3G41030
OG0000102	Cg003G0864200, Cg003G0734200	AL6G49150
OG0000102	Cg003G0864100, Cg003G0734300, Cg003G0734500	AL6G49090, AL320U10020
OG0000102	Cg003G0863700, Cg003G0734700	AL9U10550
OG0000102	Cg003G0734600, Cg003G0863800	AL6G49140
OG0000102	Cg003G0863600, Cg003G0734800	AL6G49050
OG0000106	Cg007G2419200, Cg008G2833600	AL6G40690
OG0000107	Cg004G1267700	AL3G33810
OG0000107	Cg004G1267500	AL3G33780
OG0000107	Cg004G1267200	AL3G33760
OG0000107	Cg004G1267600	AL3G33790
OG0000108	Cg005G1557400	AL4G34190, AL4G34130, AL5G34730
OG0000108	Cg003G0983900	AL5G25390, AL8G35810
OG0000108	Cg004G1180800	AL3G23740
OG0000108	Cg008G2664600	AL6G20220
OG0000108	Cg004G1253800	AL1G56110
OG0000111	Cg003G0769600, Cg003G0769200, Cg003G0769000, Cg003G0769100, Cg003G0768800, Cg003G0768700, Cg003G0768900, Cg003G0768500, Cg003G0768100, Cg003G0769400, Cg003G0768000, Cg003G0767700, Cg006G1873400, Cg006G1939000, Cg006G1938900, Cg006G1938700, Cg013G3026300, Cg002G0596600	AL5G34240, AL3G50380
OG0000115	Cg001G0196200, Cg006G1927900, Cg008G2910800	AL7G53080
OG0000117	Cg006G2029700	AL1G37420
OG0000117	Cg006G2031100	AL1G37280
OG0000117	Cg006G2029800	AL1G37400
OG0000117	Cg006G2029600	AL1G37430
OG0000117	Cg006G2030500	AL1G37350
OG0000117	Cg006G2029900	AL1G37410
OG0000117	Cg006G2029400	AL1G37440
OG0000117	Cg006G2030600	AL1G37330, AL1G37340
OG0000119	Cg005G1714200	AL4G18370, AL4G18360, AL4G18340
OG0000119	Cg002G0596700	AL5G21720, AL5G21730
OG0000119	Cg001G0041500	AL6G15230
OG0000119	Cg002G0574700	AL5G24100
OG0000125	Cg006G2188500	AL1G17740
OG0000125	Cg006G1841400	AL1G55940
OG0000125	Cg006G1816500	AL1G59870
OG0000127	Cg006G2186100	AL1G18070
OG0000127	Cg008G2786000	AL6G34020
OG0000127	Cg008G2597500	AL6G11840
OG0000127	Cg003G0989900	AL189U10030, AL8G36480
OG0000127	Cg002G0569500, Cg002G0569100	AL5G24750
OG0000127	Cg005G1647800	AL4G23250
OG0000128	Cg007G2459200	AL5G41150
OG0000128	Cg002G0434700	AL5G41080
OG0000128	Cg002G0434600	AL5G41090
OG0000129	Cg007G2357000	AL2G19870
OG0000129	Cg007G2390100	AL2G20180
OG0000129	Cg003G1010100, Cg003G1010200, Cg003G1010000	AL1G60690, AL8G38710, AL8G38700
OG0000129	Cg005G1662800, Cg005G1661800, Cg005G1660700, Cg005G1661700	AL4G22760, AL4G22720
OG0000129	Cg003G0897000	AL8G25830
OG0000129	Cg008G2880200, Cg007G2357100	AL2G19840
OG0000130	Cg008G2849000	AL1G41300, AL3G31830
OG0000130	Cg003G0796500, Cg002G0592800	AL3G43990
OG0000132	Cg002G0477500	AL5G36020
OG0000134	Cg008G2920900	AL8G17970, AL8G17980, AL20U10060, AL20U10050, AL20U10040, AL20U10020
OG0000137	Cg003G0942300	AL8G30930
OG0000137	Cg003G0942100	AL8G30920
OG0000137	Cg003G0942000	AL8G30900
OG0000137	Cg003G0941900	AL8G30890
OG0000138	Cg002G0558300, Cg002G0563500	AL5G40850
OG0000138	Cg002G0485200	AL2G23440, AL5G45250, AL5G35200
OG0000140	Cg003G0904200	AL8G35610, AL1G29430, AL2G32620
OG0000140	Cg006G1824700	AL5G19190
OG0000140	Cg003G0810900	AL6G10840
OG0000143	Cg001G0285100, Cg002G0608200	AL3G54050
OG0000148	Cg006G1825800	nbis-gene-277
OG0000151	Cg002G0475200	AL5G36230
OG0000151	Cg002G0475300	AL5G36220
OG0000151	Cg005G1538800	AL4G36690
OG0000151	Cg002G0475400	AL5G36210
OG0000151	Cg002G0491600	AL5G34430
OG0000151	Cg005G1560100	AL4G33730
OG0000151	Cg008G2699500	AL6G24190
OG0000153	Cg005G1625900	AL4G25560
OG0000153	Cg005G1641100	AL4G23900
OG0000154	Cg006G1826100	AL1G58520
OG0000154	Cg006G1826400	AL1G58510
