Orthogroup	Cochlearia_excelsa	Arabis_alpina
OG0000041	g45435	Aa_G135690.h1.t1
OG0000042	g38829, g20859, g48552, g53555, g47921	Aa_G834810.h1.t1
OG0000042	g31187, g8527, g6175	Aa_G67230.h1.t1
OG0000042	g31170	Aa_G528960.h1.t1
OG0000042	g6340, g16111, g37181	Aa_G392560.h1.t1, Aa_G500830.h1.t1
OG0000042	g40104, g13786, g31186, g8826, g30544	Aa_G273270.h1.t1, Aa_G517310.h1.t1, Aa_G660430.h1.t1, Aa_G361630.h1.t1, Aa_G569810.h1.t1, Aa_G61910.h1.t1
OG0000043	g38500, g21290, g3846, g20451, g31368, g1398, g32975, g7022, g9694, g49667, g7846, g12262, g36270, g25656, g34289, g52680, g50195, g34809, g16434	Aa_G30.h1.t1
OG0000043	g23535, g12602, g6014, g44990	Aa_G20.h1.t1
OG0000044	g10944	Aa_G208060.h1.t1
OG0000044	g18482	Aa_G313590.h1.t1
OG0000044	g28154	Aa_G33030.h1.t1, Aa_G791970.h1.t1, Aa_G628630.h1.t1, Aa_G295940.h1.t1, Aa_G295950.h1.t1, Aa_G295890.h1.t1, Aa_G565780.h1.t1, Aa_G369060.h1.t1, Aa_G295880.h1.t1, Aa_G645470.h1.t1, Aa_G173310.h1.t1, Aa_G620000.h1.t1, Aa_G197680.h1.t1, Aa_G173300.h1.t1, Aa_G685500.h1.t1, Aa_G565790.h1.t1, Aa_G902620.h1.t1, Aa_G685490.h1.t1, Aa_G628640.h1.t1, Aa_G295910.h1.t1, Aa_G628620.h1.t1, Aa_G565810.h1.t1, Aa_G173340.h1.t1, Aa_G715510.h1.t1, Aa_G208030.h1.t1
OG0000047	g52952, g32980, g35708, g41922, g52704, g49046, g17789, g53468, g32719, g26176, g41624, g24203, g6965, g4623, g51888, g23943, g53874, g8174, g27898, g7014, g41621, g22371, g32817, g20824, g2573, g13889, g36360, g16589, g15986, g31363, g31930, g28207, g17439, g13543, g17255, g42785, g3145, g3176, g32951, g4540, g32755, g4562, g3738, g34925, g26172, g9204, g7013, g46294, g36204, g22170, g52845, g52827, g52953, g53253, g3120, g26684, g26774, g33014, g4289, g43014, g52389, g3625, g42749, g4222, g43518, g53610, g3146, g20823, g3147, g29255, g51007, g43600, g13036, g22171, g29247, g44943, g39409, g42786, g29246, g4560, g52374, g53624, g52388, g28206, g17256, g36732, g16465, g16464, g51006, g36203, g13544, g33250, g33281, g33287, g43013, g4288, g3177, g53505, g49130, g34774, g26169, g43232, g4221, g49129, g26173, g10874, g43519, g3479, g34451, g52846, g52828, g52839, g3624, g53822, g39938, g46293, g3737, g32568, g29256, g19401, g44942, g26771, g13890, g6966, g4624, g32714, g53873, g44165, g53254, g3119, g15987, g33359, g30235, g33013, g36953, g26773	Aa_G631350.h1.t1
OG0000048	g51285	Aa_G20510.h1.t1
OG0000048	g39852, g39841	Aa_G584300.h1.t1
OG0000048	g3814	Aa_G43710.h1.t1
OG0000050	g19665	Aa_G560070.h1.t1, Aa_G559960.h1.t1, Aa_G637230.h1.t1
OG0000050	g30921, g53630, g4397, g10583, g5874	Aa_G263310.h1.t1, Aa_G634370.h1.t1, Aa_G7430.h1.t1
OG0000052	g1602, g3195	Aa_G247970.h1.t1
OG0000052	g10535	Aa_G696490.h1.t1
OG0000052	g19225	Aa_G521750.h1.t1
OG0000052	g36515	Aa_G4800.h1.t1
OG0000052	g2410	Aa_G555640.h1.t1, Aa_G207450.h1.t1, Aa_G61370.h1.t1
OG0000052	g11017	Aa_G712070.h1.t1
OG0000055	g50182, g50184, g50186	Aa_G5070.h1.t1, Aa_G432690.h1.t1
OG0000055	g48153, g33340, g33319, g33329, g48170, g15766	Aa_G253800.h1.t1
OG0000056	g40991, g44205	Aa_G643840.h1.t1, Aa_G487430.h1.t1, Aa_G594110.h1.t1, Aa_G488310.h1.t1, Aa_G643830.h1.t1, Aa_G594100.h1.t1
OG0000056	g40901	Aa_G162440.h1.t1
OG0000058	g3196	Aa_G444220.h1.t1
OG0000058	g33000, g41178, g43966, g49100	Aa_G527390.h1.t1
OG0000060	g37221, g2918, g28784, g49595, g27015, g1296, g28756, g31080, g39226, g51647	Aa_G367650.h3.t1, Aa_G448310.h5.t1, Aa_G257700.h7.t1, Aa_G448310.h7.t1, Aa_G197130.h4.t1, Aa_G375890.h6.t1, Aa_G318860.h3.t1, Aa_G257700.h6.t1, Aa_G805160.h1.t1, Aa_G781680.h1.t1, Aa_G781680.h2.t1, Aa_G318860.h6.t1, Aa_G33920.h6.t1, Aa_G550780.h8.t1, Aa_G375890.h5.t1, Aa_G257700.h8.t1, Aa_G33920.h4.t1, Aa_G33920.h1.t1, Aa_G367650.h6.t1, Aa_G448310.h2.t1, Aa_G550780.h3.t1, Aa_G33920.h5.t1, Aa_G375890.h2.t1, Aa_G33920.h7.t1, Aa_G197130.h2.t1, Aa_G197130.h8.t1, Aa_G375890.h8.t1, Aa_G33920.h3.t1, Aa_G375890.h4.t1, Aa_G257700.h1.t1, Aa_G257700.h2.t1, Aa_G197130.h5.t1, Aa_G197130.h1.t1, Aa_G367650.h2.t1, Aa_G448310.h4.t1, Aa_G550780.h2.t1, Aa_G257700.h5.t1, Aa_G33920.h8.t1, Aa_G318860.h1.t1, Aa_G257700.h4.t1, Aa_G33920.h2.t1, Aa_G197130.h6.t1, Aa_G318860.h2.t1, Aa_G318860.h5.t1, Aa_G448310.h8.t1, Aa_G448310.h1.t1, Aa_G367650.h4.t1, Aa_G375890.h3.t1, Aa_G375890.h1.t1, Aa_G197130.h7.t1, Aa_G367650.h8.t1, Aa_G367650.h7.t1, Aa_G318860.h8.t1, Aa_G550780.h1.t1, Aa_G550780.h4.t1, Aa_G367650.h1.t1, Aa_G550780.h7.t1, Aa_G550780.h5.t1, Aa_G375890.h7.t1, Aa_G448310.h3.t1, Aa_G197130.h3.t1, Aa_G367650.h5.t1, Aa_G318860.h4.t1, Aa_G550780.h6.t1, Aa_G448310.h6.t1, Aa_G257700.h3.t1, Aa_G318860.h7.t1
OG0000061	g23668	Aa_G386390.h1.t1, Aa_G488480.h1.t1
OG0000062	g44326, g2819, g44187	Aa_G417500.h1.t1
OG0000063	g16420, g14674, g14670, g3225, g25089, g23755, g37179	Aa_G397260.h1.t1
OG0000063	g45814, g2810	Aa_G367140.h1.t1
OG0000063	g31405	Aa_G40790.h1.t1
OG0000063	g18404, g25742, g50268, g46262, g45401, g3397, g46693, g52815, g32214, g16019, g49776	Aa_G186650.h1.t1
OG0000063	g23754, g41779, g40701	Aa_G998790.h1.t1
OG0000065	g17485	Aa_G369740.h1.t1
OG0000065	g46719, g44951, g18042	Aa_G756440.h1.t1, Aa_G190950.h1.t1
OG0000065	g46717	Aa_G120780.h1.t1, Aa_G120790.h1.t1, Aa_G508110.h1.t1
OG0000066	g31166, g49660, g5416, g9719, g156, g29501, g45535	Aa_G159180.h1.t1, Aa_G19080.h5.t1, Aa_G37410.h1.t1, Aa_G37430.h4.t1, Aa_G159180.h4.t1, Aa_G19080.h2.t1, Aa_G159190.h3.t1, Aa_G159180.h2.t1, Aa_G37410.h4.t1, Aa_G37430.h3.t1, Aa_G159180.h5.t1, Aa_G159180.h3.t1, Aa_G159190.h4.t1, Aa_G37410.h2.t1, Aa_G159190.h2.t1, Aa_G159190.h5.t1, Aa_G19080.h3.t1, Aa_G37430.h2.t1, Aa_G37430.h5.t1, Aa_G37410.h3.t1, Aa_G19080.h4.t1, Aa_G37410.h5.t1, Aa_G159190.h1.t1, Aa_G37430.h1.t1, Aa_G19080.h1.t1
OG0000066	g5393	Aa_G64790.h4.t1, Aa_G64790.h1.t1, Aa_G503380.h2.t1, Aa_G432280.h2.t1, Aa_G503390.h4.t1, Aa_G64790.h2.t1, Aa_G64790.h3.t1, Aa_G432280.h3.t1, Aa_G503390.h1.t1, Aa_G503380.h4.t1, Aa_G432280.h4.t1, Aa_G503390.h2.t1, Aa_G503380.h3.t1, Aa_G432280.h1.t1, Aa_G503380.h1.t1, Aa_G503390.h3.t1, Aa_G486090.h1.t1
OG0000068	g27956, g25385, g25390, g46783	Aa_G484940.h1.t1, Aa_G389030.h1.t1, Aa_G72500.h1.t1, Aa_G84550.h1.t1, Aa_G176470.h1.t1, Aa_G602860.h1.t1, Aa_G602850.h1.t1, Aa_G416390.h1.t1, Aa_G47520.h1.t1, Aa_G185620.h1.t1, Aa_G170400.h1.t1, Aa_G389060.h1.t1, Aa_G484910.h1.t1
OG0000069	g13531	Aa_G20960.h1.t1
OG0000069	g39973	Aa_G396900.h1.t1
