Orthogroup	Cochlearia_excelsa	Euclidium_syriacum
OG0000011	g24975	ESY6_g46861_DN2_SP0_c63.t1
OG0000011	g40612, g43706, g49, g52670, g3241	ESY1_g7474_DN3_SP0_c30.t1, ESY24_g33175_DN3_SP0_c2.t1, ESY15_g64553_DN3_SP0_c0.t1, ESY10_g15897_DN1_SP0_c0.t1, ESY10_g15896_DN3_SP0_c0.t1, ESY18_g63631_DN3_SP0_c0.t1, ESY9_g42816_DN3_SP0_c48.t1, ESY5_g2564_DN2_SP0_c0.t1, ESY5_g2563_DN2_SP0_c0.t1, ESY8_g60783_DN3_SP0_c0.t1, ESY6_g48254_DN3_SP0_c48.t1
OG0000015	g35711	ESY7_g16245_DN2_SP0_c0.t1
OG0000015	g36461, g634, g23355	ESY4_g23102_DN1_SP0_c100.t1
OG0000015	g42908, g43716, g41967	ESY14_g21116_DN2_SP0_c1.t1
OG0000015	g53814, g952, g32985, g12170, g24863, g14880, g26256, g5557, g43592, g35813, g36776	ESY17_g40192_DN2_SP0_c0.t1, ESY13_g57357_DN1_SP0_c0.t1
OG0000015	g27727	ESY5_g676_DN2_SP0_c0.t1
OG0000015	g24865	ESY4_g23838_DN1_SP0_c0.t1
OG0000015	g38797	ESY3_g29176_DN1_SP0_c0.t1
OG0000015	g43580	ESY2_g38598_DN3_SP0_c0.t1
OG0000015	g41971, g39565, g4758, g26125, g35684, g3315, g8210, g24633, g8709, g3775, g53218, g42134, g3753, g42171, g26614	ESY6_g46006_DN2_SP0_c14.t1
OG0000015	g40286, g1778	ESY10_g14906_DN2_SP0_c0.t1, ESY4_g24528_DN1_SP0_c0.t1, ESY13_g56278_DN1_SP0_c1.t1
OG0000015	g23998, g2048, g25181, g50053, g44770, g53467, g40288, g5196, g37977	ESY11_g53315_DN2_SP0_c0.t1
OG0000016	g48491	ESY40_g12601_DN2_SP0_c0.t1
OG0000016	g42778	ESY1_g8220_DN1_SP0_c0.t1
OG0000016	g53235, g6385, g43402, g14661, g3657	ESY1_g9010_DN1_SP0_c0.t1
OG0000020	g32689, g14805, g33390, g4583, g39315, g14557, g17020, g24610, g21115, g9914, g35675, g23910, g6802, g46328, g31759, g51013, g17279, g1555, g19143, g35267, g34284, g46224, g6170, g31341, g4158, g25001, g4232, g46949, g53154, g2974, g49408, g25430, g25192, g31804, g43284, g49587, g36899, g2975, g3672, g27829, g32994, g1556, g34853, g4345, g51012, g19142, g14558, g53153, g29187, g49407, g42003, g43352, g14036, g52007, g15607, g14750, g7898, g33120, g4343, g3057, g52970, g51052, g47797, g32655, g44074, g50650, g43479, g2953, g41998, g23595, g2979, g33121, g41997, g6214, g3359, g14581	ESY18_g63699_DN3_SP0_c0.t1, ESY9_g44479_DN2_SP0_c0.t1, ESY17_g39372_DN3_SP0_c44.t1, ESY11_g52417_DN3_SP0_c0.t1
OG0000020	g3669	ESY13_g56796_DN1_SP0_c0.t1
OG0000020	g4186	ESY4_g22336_DN1_SP0_c100.t1, ESY6_g46671_DN2_SP0_c83.t1, ESY23_g73_DN3_SP0_c0.t1
OG0000021	g43760, g4386, g34956, g53077, g43442, g33130, g45148, g29629, g14568, g25751, g49590, g27681, g2213, g37069, g2331	ESY2_g36897_DN3_SP0_c0.t1, ESY1_g8553_DN3_SP0_c0.t1, ESY2_g36889_DN2_SP0_c0.t1, ESY5_g1040_DN3_SP0_c0.t1, ESY4_g26006_DN3_SP0_c0.t1, ESY7_g17537_DN3_SP0_c0.t1, ESY1_g9704_DN3_SP0_c0.t1, ESY6_g48613_DN3_SP0_c0.t1, ESY6_g47610_DN3_SP0_c0.t1, ESY4_g25933_DN3_SP0_c0.t1, ESY9_g43848_DN3_SP0_c0.t1, ESY10_g15845_DN3_SP0_c0.t1, ESY1_g8552_DN3_SP0_c0.t1, ESY3_g30023_DN2_SP0_c0.t1, ESY19_g41697_DN3_SP0_c0.t1, ESY6_g45922_DN3_SP0_c0.t1, ESY5_g1354_DN3_SP0_c0.t1, ESY6_g47609_DN3_SP0_c0.t1, ESY6_g48612_DN3_SP0_c0.t1, ESY11_g54587_DN3_SP0_c0.t1, ESY6_g47608_DN3_SP0_c0.t1, ESY9_g43847_DN3_SP0_c0.t1, ESY15_g65477_DN3_SP0_c0.t1
OG0000021	g33125, g14567, g25750	ESY9_g43840_DN2_SP0_c0.t1, ESY9_g43986_DN3_SP0_c0.t1
OG0000021	g33471	ESY10_g14065_DN3_SP0_c0.t1, ESY14_g21238_DN3_SP0_c0.t1
OG0000023	g26541, g3778, g4713, g35116, g35131, g35362, g42903, g35499, g15662, g32787, g14801, g15067, g15076, g42216, g42233, g26587, g42217, g52731, g52732, g53561, g9298, g15121, g32788, g15663, g15066, g14800, g3441, g44912, g15122, g3443, g34449, g34444	ESY11_g53222_DN2_SP0_c100.t1
OG0000024	g43450	ESY7_g16494_DN2_SP0_c0.t1, ESY1_g12041_DN3_SP0_c0.t1, ESY8_g58334_DN1_SP0_c0.t1, ESY2_g33352_DN2_SP0_c0.t1, ESY2_g33350_DN2_SP0_c0.t1, ESY7_g19344_DN3_SP0_c0.t1, ESY1_g11290_DN3_SP0_c0.t1, ESY12_g51910_DN2_SP0_c0.t1, ESY12_g51907_DN2_SP0_c40.t1, ESY12_g51878_DN2_SP0_c0.t1
OG0000024	g22601	ESY4_g26389_DN2_SP0_c0.t1, ESY7_g18150_DN2_SP0_c0.t1, ESY1_g10652_DN1_SP0_c0.t1, ESY11_g54749_DN3_SP0_c0.t1, ESY8_g58303_DN2_SP0_c0.t1
OG0000024	g53087, g43467	ESY12_g51217_DN2_SP0_c0.t1
OG0000024	g43469	ESY12_g51909_DN2_SP0_c0.t1, ESY2_g33351_DN3_SP0_c0.t1, ESY5_g1897_DN2_SP0_c0.t1, ESY12_g51218_DN3_SP0_c0.t1, ESY20_g13272_DN2_SP0_c0.t1
OG0000026	g36073	ESY4_g24970_DN3_SP0_c0.t1, ESY11_g52546_DN2_SP0_c0.t1, ESY15_g65549_DN2_SP0_c0.t1, ESY13_g56315_DN1_SP0_c55.t1, ESY18_g64157_DN2_SP0_c0.t1, ESY21_g55910_DN1_SP0_c17.t1, ESY13_g56316_DN1_SP0_c0.t1, ESY1_g7853_DN1_SP0_c0.t1
OG0000026	g28599	ESY8_g58625_DN1_SP0_c0.t1
OG0000027	g48949	ESY9_g42764_DN3_SP0_c0.t1
OG0000027	g23101	ESY23_g71_DN1_SP0_c28.t1
OG0000030	g38367, g38376, g38372, g38380	ESY5_g3960_DN3_SP0_c0.t1, ESY4_g24700_DN2_SP0_c0.t1, ESY16_g62047_DN2_SP0_c0.t1, ESY5_g3539_DN1_SP0_c0.t1, ESY9_g43210_DN3_SP0_c0.t1, ESY5_g4903_DN2_SP0_c0.t1, ESY1_g12127_DN1_SP0_c0.t1, ESY11_g54038_DN2_SP0_c0.t1, ESY10_g15292_DN3_SP0_c0.t1, ESY9_g42993_DN2_SP0_c0.t1
OG0000030	g13799, g13797	ESY3_g29392_DN3_SP0_c0.t1
OG0000030	g13193, g13194	ESY11_g54853_DN3_SP0_c0.t1
