Orthogroup	Rorippa_islandica	Arabis_alpina
OG0000022	Roisl.0021s0368.1.p	Aa_G10820.h1.t1
OG0000022	Roisl.0091s0926.1.p	Aa_G22660.h1.t1
OG0000022	Roisl.0009s0109.1.p, Roisl.0074s0275.1.p	Aa_G97120.h1.t1
OG0000024	Roisl.0026s0117.1.p, Roisl.0026s0135.1.p	Aa_G565550.h1.t1, Aa_G614530.h1.t1, Aa_G511000.h1.t1, Aa_G14060.h1.t1
OG0000024	Roisl.0011s0535.1.p, Roisl.0011s0534.1.p, Roisl.0006s0183.1.p	Aa_G230140.h1.t1
OG0000025	Roisl.0002s0230.1.p, Roisl.0062s0001.1.p, Roisl.0020s0076.1.p, Roisl.0213s0858.1.p, Roisl.0022s0006.1.p	Aa_G387540.h1.t1
OG0000026	Roisl.0213s0871.1.p	Aa_G283920.h1.t1, Aa_G56940.h1.t1, Aa_G262080.h1.t1
OG0000027	Roisl.0213s0584.1.p	Aa_G597290.h1.t1
OG0000027	Roisl.0213s0585.1.p, Roisl.0213s0581.1.p	Aa_G643320.h1.t1
OG0000027	Roisl.0008s0130.1.p, Roisl.0008s0132.1.p, Roisl.0184s0130.1.p, Roisl.0184s0131.1.p, Roisl.0008s0071.1.p	Aa_G200970.h1.t1
OG0000027	Roisl.0184s0126.1.p	Aa_G92870.h1.t1, Aa_G92760.h1.t1, Aa_G494730.h1.t1
OG0000027	Roisl.0184s0129.1.p	Aa_G522580.h1.t1
OG0000027	Roisl.0008s0080.1.p	Aa_G200950.h1.t1, Aa_G200910.h1.t1
OG0000027	Roisl.0008s0079.1.p	Aa_G200900.h1.t1
OG0000027	Roisl.0008s0076.1.p	Aa_G191740.h1.t1
OG0000027	Roisl.0008s0072.1.p	Aa_G200830.h1.t1
OG0000028	Roisl.0080s0376.1.p, Roisl.0075s0120.1.p, Roisl.0001s0071.1.p, Roisl.0075s0080.1.p, Roisl.0075s0121.1.p	Aa_G687010.h2.t1, Aa_G687010.h3.t1, Aa_G687010.h1.t1, Aa_G687040.h1.t1, Aa_G604290.h1.t1, Aa_G604300.h1.t1
OG0000028	Roisl.0052s0006.1.p, Roisl.0052s0007.1.p, Roisl.0053s0335.1.p, Roisl.0008s0342.1.p, Roisl.0001s0209.1.p, Roisl.0053s0333.1.p, Roisl.0053s0334.1.p, Roisl.0091s1124.1.p, Roisl.0053s0416.1.p, Roisl.0053s0421.1.p, Roisl.0214s0405.1.p, Roisl.0024s0660.1.p, Roisl.0052s0013.1.p	Aa_G123410.h1.t1, Aa_G71570.h1.t1, Aa_G123400.h1.t1
OG0000029	Roisl.0208s0029.1.p	Aa_G248570.h1.t1
OG0000029	Roisl.0210s0592.1.p, Roisl.0046s0704.1.p	Aa_G288600.h1.t1, Aa_G637980.h1.t1, Aa_G988890.h1.t1
OG0000030	Roisl.0046s0887.1.p	Aa_G522160.h1.t1, Aa_G425920.h1.t1, Aa_G89020.h1.t1
OG0000030	Roisl.0046s0886.1.p	Aa_G152820.h1.t1
OG0000032	Roisl.0005s0192.1.p	Aa_G209100.h1.t1
OG0000034	Roisl.0008s0068.1.p	Aa_G782810.h1.t1, Aa_G619140.h1.t1
OG0000034	Roisl.0008s0077.1.p	Aa_G191730.h1.t1
OG0000034	Roisl.0091s0192.1.p, Roisl.0091s0193.1.p, Roisl.0091s0191.1.p	Aa_G58870.h2.t1, Aa_G58870.h1.t1, Aa_G58900.h1.t1, Aa_G58880.h1.t1, Aa_G58910.h1.t1, Aa_G317980.h1.t1
OG0000034	Roisl.0091s0190.1.p	Aa_G58920.h1.t1
OG0000034	Roisl.0213s0592.1.p	Aa_G522590.h1.t1
OG0000034	Roisl.0214s0904.1.p	Aa_G191700.h1.t1
OG0000034	Roisl.0214s0905.1.p	Aa_G191690.h1.t1
OG0000035	Roisl.0213s0218.1.p	Aa_G7660.h1.t1, Aa_G44290.h1.t1
OG0000035	Roisl.0214s0147.1.p	Aa_G9270.h1.t1
OG0000041	Roisl.0046s0022.1.p	Aa_G135690.h1.t1
OG0000042	Roisl.0204s0126.1.p, Roisl.0012s0194.1.p	Aa_G963460.h1.t1, Aa_G338960.h1.t1, Aa_G347570.h1.t1, Aa_G618610.h1.t1, Aa_G125500.h1.t1
OG0000042	Roisl.0025s0036.1.p, Roisl.0022s0501.1.p	Aa_G834810.h1.t1
OG0000042	Roisl.0214s0122.1.p	Aa_G528960.h1.t1
OG0000043	Roisl.0209s0166.1.p, Roisl.0210s1685.1.p, Roisl.0214s0265.1.p, Roisl.0082s0570.1.p, Roisl.0066s0301.1.p	Aa_G30.h1.t1
OG0000044	Roisl.0005s0167.1.p	Aa_G685510.h1.t1
OG0000044	Roisl.0210s2195.1.p	Aa_G89780.h1.t1, Aa_G403300.h1.t1, Aa_G208070.h1.t1
OG0000044	Roisl.0005s0150.1.p	Aa_G313590.h1.t1
OG0000044	Roisl.0079s0325.1.p	Aa_G33030.h1.t1
OG0000044	Roisl.0023s0042.1.p, Roisl.0013s0028.1.p, Roisl.0023s0041.1.p, Roisl.0023s0044.1.p, Roisl.0023s0043.1.p	Aa_G791970.h1.t1
OG0000047	Roisl.0029s0050.1.p, Roisl.0066s0352.1.p, Roisl.0038s0004.1.p, Roisl.0214s0886.1.p	Aa_G631350.h1.t1
OG0000048	Roisl.0017s0448.1.p, Roisl.0017s0447.1.p	Aa_G20510.h1.t1
OG0000048	Roisl.0028s0624.1.p, Roisl.0211s0012.1.p	Aa_G154560.h1.t1
