Orthogroup	Rorippa_islandica	Euclidium_syriacum
OG0000064	Roisl.0214s0881.1.p, Roisl.0214s0876.1.p, Roisl.0214s0874.1.p, Roisl.0214s0875.1.p, Roisl.0214s0873.1.p, Roisl.0214s0877.1.p, Roisl.0214s0880.1.p, Roisl.0214s0867.1.p, Roisl.0214s0869.1.p, Roisl.0214s0872.1.p, Roisl.0214s0870.1.p, Roisl.0214s0868.1.p, Roisl.0214s0871.1.p, Roisl.0214s0879.1.p, Roisl.0214s0878.1.p, Roisl.0214s0820.1.p, Roisl.0214s0819.1.p, Roisl.0214s0817.1.p, Roisl.0214s0816.1.p, Roisl.0214s0823.1.p, Roisl.0214s0812.1.p, Roisl.0214s0814.1.p, Roisl.0214s0818.1.p, Roisl.0214s0822.1.p, Roisl.0214s0824.1.p, Roisl.0214s0825.1.p, Roisl.0214s0821.1.p, Roisl.0214s0815.1.p, Roisl.0214s0826.1.p	ESY16_g62560_DN2_SP0_c0.t1
OG0000065	Roisl.0046s0029.1.p, Roisl.0046s0026.1.p	ESY4_g26383_DN3_SP0_c53.t1
OG0000065	Roisl.0046s0032.1.p	ESY4_g25771_DN2_SP0_c0.t1
OG0000066	Roisl.0210s0757.1.p	ESY23_g163_DN2_SP0_c0.t1
OG0000066	Roisl.0024s0428.1.p	ESY11_g54349_DN3_SP0_c0.t1
OG0000066	Roisl.0214s0604.1.p, Roisl.0214s0606.1.p	ESY2_g34934_DN2_SP0_c58.t1
OG0000066	Roisl.0210s0812.1.p, Roisl.0001s0457.1.p	ESY2_g36068_DN3_SP8_c0.t1
OG0000066	Roisl.0007s0395.1.p	ESY18_g62954_DN3_SP0_c77.t1
OG0000067	Roisl.0214s0162.1.p, Roisl.0046s0696.1.p	ESY3_g28898_DN3_SP0_c0.t1
OG0000068	Roisl.0034s0163.1.p	ESY9_g42540_DN3_SP0_c0.t1, ESY10_g14312_DN3_SP0_c0.t1, ESY10_g14570_DN3_SP0_c0.t1, ESY10_g14619_DN3_SP0_c0.t1, ESY10_g14569_DN3_SP0_c0.t1, ESY2_g38376_DN3_SP0_c0.t1
OG0000068	Roisl.0191s0458.1.p, Roisl.0011s0290.1.p, Roisl.0011s0090.1.p, Roisl.0011s0092.1.p, Roisl.0011s0041.1.p, Roisl.0030s0031.1.p, Roisl.0030s0062.1.p, Roisl.0030s0114.1.p, Roisl.0046s0004.1.p, Roisl.0030s0024.1.p, Roisl.0030s0025.1.p	ESY6_g50195_DN3_SP0_c0.t1
OG0000069	Roisl.0210s0292.1.p, Roisl.0188s0098.1.p	ESY8_g58271_DN2_SP0_c9.t1
OG0000069	Roisl.0013s0226.1.p	ESY1_g11580_DN3_SP0_c0.t1
OG0000069	Roisl.0046s1591.1.p, Roisl.0046s1592.1.p	ESY4_g22200_DN2_SP0_c0.t1, ESY3_g31688_DN3_SP0_c0.t1
OG0000069	Roisl.0019s0342.1.p	ESY20_g13229_DN3_SP0_c0.t1
OG0000069	Roisl.0074s0568.1.p	ESY10_g15831_DN1_SP0_c0.t1
OG0000069	Roisl.0055s0038.1.p	ESY6_g49138_DN1_SP0_c0.t1, ESY4_g26861_DN3_SP0_c0.t1
OG0000070	Roisl.0021s0078.1.p	ESY10_g14297_DN3_SP0_c35.t1
OG0000070	Roisl.0011s0203.1.p, Roisl.0011s0205.1.p	ESY3_g32095_DN2_SP0_c41.t1
OG0000073	Roisl.0210s1691.1.p, Roisl.0046s0358.1.p	ESY8_g60414_DN2_SP0_c0.t1, ESY4_g22224_DN1_SP0_c0.t1
OG0000073	Roisl.0053s0105.1.p	ESY1_g10476_DN2_SP0_c0.t1
OG0000075	Roisl.0001s0515.1.p	ESY5_g3131_DN2_SP0_c0.t1
OG0000075	Roisl.0002s0267.1.p, Roisl.0002s0266.1.p	ESY4_g25989_DN2_SP0_c16.t1, ESY11_g54736_DN2_SP0_c70.t1, ESY20_g13256_DN2_SP0_c23.t1, ESY6_g46488_DN2_SP0_c0.t1, ESY8_g60763_DN2_SP0_c0.t1, ESY8_g60740_DN3_SP0_c0.t1
OG0000075	Roisl.0006s0180.1.p	ESY4_g26264_DN2_SP0_c18.t1, ESY4_g26270_DN3_SP0_c11.t1
OG0000075	Roisl.0046s0019.1.p, Roisl.0001s0335.1.p	ESY1_g11598_DN2_SP0_c38.t1, ESY8_g60767_DN2_SP0_c0.t1, ESY3_g32315_DN3_SP0_c83.t1, ESY3_g32310_DN2_SP0_c12.t1, ESY3_g32312_DN1_SP0_c66.t1, ESY4_g26050_DN2_SP0_c0.t1
OG0000076	Roisl.0115s0707.1.p	ESY4_g26855_DN3_SP0_c0.t1, ESY4_g26853_DN2_SP0_c0.t1
OG0000076	Roisl.0005s0283.1.p, Roisl.0005s0282.1.p, Roisl.0005s0285.1.p	ESY4_g25261_DN2_SP0_c0.t1
OG0000077	Roisl.0024s0105.1.p	ESY16_g61756_DN3_SP0_c0.t1
OG0000077	Roisl.0011s0230.1.p	ESY7_g18827_DN2_SP0_c0.t1
OG0000079	Roisl.0006s0141.1.p, Roisl.0115s0280.1.p, Roisl.0075s0090.1.p, Roisl.0001s0523.1.p, Roisl.0115s0647.1.p, Roisl.0006s0142.1.p, Roisl.0214s0213.1.p, Roisl.0211s0009.1.p, Roisl.0091s0481.1.p, Roisl.0058s0024.1.p	ESY8_g59723_DN2_SP0_c0.t1
OG0000081	Roisl.0206s0028.1.p, Roisl.0036s0071.1.p, Roisl.0209s0160.1.p, Roisl.0038s0020.1.p, Roisl.0020s0165.1.p	ESY9_g44119_DN3_SP0_c0.t1, ESY7_g18625_DN3_SP0_c96.t1
OG0000081	Roisl.0184s0010.1.p, Roisl.0010s0050.1.p, Roisl.0003s0246.1.p, Roisl.0031s0106.1.p, Roisl.0001s0536.1.p, Roisl.0050s0003.1.p	ESY17_g40277_DN2_SP0_c0.t1
OG0000081	Roisl.0046s0697.1.p	ESY6_g48601_DN3_SP0_c0.t1, ESY3_g28672_DN3_SP0_c0.t1, ESY8_g59466_DN2_SP0_c0.t1, ESY14_g20487_DN3_SP0_c0.t1, ESY19_g42085_DN3_SP0_c0.t1, ESY1_g9171_DN3_SP0_c0.t1
OG0000082	Roisl.0056s0001.1.p	ESY3_g28725_DN2_SP0_c0.t1
OG0000084	Roisl.0214s0736.1.p	ESY10_g15253_DN1_SP0_c0.t1, ESY14_g20372_DN1_SP0_c0.t1
OG0000084	Roisl.0189s0055.1.p	ESY9_g44313_DN1_SP0_c0.t1
OG0000086	Roisl.0214s0709.1.p	ESY10_g14581_DN2_SP0_c0.t1, ESY12_g50856_DN3_SP0_c0.t1
OG0000086	Roisl.0032s0015.1.p	ESY7_g19367_DN1_SP0_c0.t1, ESY9_g43340_DN2_SP0_c0.t1, ESY9_g43341_DN3_SP0_c0.t1, ESY7_g19406_DN2_SP0_c0.t1, ESY7_g19368_DN2_SP0_c0.t1
OG0000089	Roisl.0210s2052.1.p	ESY6_g50131_DN3_SP8_c0.t1
OG0000089	Roisl.0082s0748.1.p	ESY8_g58764_DN3_SP8_c0.t1, ESY8_g58767_DN3_SP0_c0.t1, ESY8_g58770_DN3_SP0_c0.t1
OG0000089	Roisl.0210s0950.1.p	ESY7_g18326_DN3_SP8_c0.t1
OG0000089	Roisl.0012s0263.1.p	ESY7_g16559_DN3_SP8_c0.t1
OG0000089	Roisl.0091s0246.1.p	ESY9_g43361_DN3_SP8_c0.t1
