Orthogroup	Euclidium_syriacum	Aethionema_saxatile
OG0000125	ESY6_g48851_DN3_SP0_c0.t1	As005G114700, As010G224880
OG0000125	ESY8_g58880_DN2_SP0_c0.t1	As006G129500
OG0000127	ESY5_g3603_DN3_SP0_c0.t1, ESY5_g3611_DN3_SP0_c0.t1, ESY5_g3610_DN3_SP0_c0.t1	As008G186430, As008G186390, As008G185640
OG0000130	ESY3_g27873_DN2_SP0_c0.t1	As012G279550, As005G110830, As010G226930, As002G040800, As008G191120, As002G040790, As008G191110, As010G226920
OG0000133	ESY1_g10377_DN3_SP0_c0.t1, ESY5_g2337_DN3_SP0_c0.t1	As007G167120, As007G166850, As004G092840, As011G261830
OG0000135	ESY8_g59370_DN1_SP0_c0.t1, ESY3_g30908_DN2_SP0_c0.t1	As002G042510, As003G066190, As008G191880, As005G111990, As004G096380, As007G164280, As003G056190, As005G109510, As001G016500, As009G209990, As009G209980, As002G040350, As002G033550, As003G063030, As006G148760, As009G206440
OG0000135	ESY5_g3352_DN1_SP0_c0.t1	As001G004200
OG0000135	ESY28_g55049_DN2_SP0_c0.t1	As004G090030
OG0000136	ESY2_g35232_DN2_SP0_c0.t1	As001G028730
OG0000136	ESY9_g43340_DN2_SP0_c0.t1, ESY9_g43341_DN3_SP0_c0.t1, ESY7_g19367_DN1_SP0_c0.t1, ESY7_g19406_DN2_SP0_c0.t1, ESY7_g19368_DN2_SP0_c0.t1	As005G116580, As005G116570
OG0000138	ESY6_g49113_DN1_SP0_c0.t1	As010G224060
OG0000138	ESY2_g35115_DN3_SP0_c0.t1, ESY2_g35563_DN3_SP0_c0.t1, ESY2_g35565_DN3_SP0_c0.t1	As001G027950, As001G027940, As007G161530
OG0000139	ESY22_g41120_DN1_SP0_c0.t1	As001G010560, As008G191170
OG0000139	ESY16_g61859_DN1_SP0_c0.t1, ESY4_g22572_DN3_SP0_c0.t1, ESY6_g45791_DN1_SP0_c0.t1	As006G149220, As004G090290
OG0000140	ESY1_g8242_DN3_SP0_c10.t1	As010G224190, As010G224200, As005G115230, As005G115280, As005G115270, As005G115260, As005G115240, As008G190370
OG0000142	ESY18_g63267_DN3_SP0_c0.t1	As003G060670
OG0000143	ESY1_g8270_DN3_SP0_c0.t1	As007G177750
OG0000147	ESY11_g54431_DN3_SP8_c0.t1	As011G265720
OG0000147	ESY4_g24538_DN3_SP0_c0.t1	As001G002190
OG0000147	ESY6_g48428_DN3_SP8_c0.t1	As002G049060
OG0000147	ESY2_g36615_DN3_SP8_c6.t1	As010G243490
