Orthogroup	Aethionema_saxatile	Cardamine_hirsuta
OG0000114	As006G137050, As006G137080	CARHR151520, CARHR294530, CARHR078370, CARHR078360, CARHR071840, CARHR251920, CARHR071800, CARHR202050, CARHR202010, CARHR214250, CARHR181200, CARHR181230, CARHR202070, CARHR077970, CARHR120620, CARHR054550, CARHR054640, CARHR054580, CARHR106050
OG0000122	As002G036520	CARHR036540
OG0000123	As008G183790, As008G183770	CARHR014030
OG0000123	As008G183760	CARHR014040
OG0000123	As008G183750	CARHR233830
OG0000123	As008G183720	CARHR009210
OG0000125	As005G107620	CARHR210790
OG0000125	As005G113770	CARHR190650
OG0000125	As005G114700, As010G224880	CARHR273520
OG0000125	As006G129500	CARHR121850
OG0000130	As010G226930	CARHR288220
OG0000130	As002G040790	CARHR294480, CARHR217380
OG0000133	As007G167120, As007G166850, As004G092840, As011G261830	CARHR184120
OG0000136	As001G028730	CARHR058600
OG0000136	As005G116580, As005G116570	CARHR214760, CARHR214790
OG0000138	As010G224060	CARHR113950
OG0000138	As001G027950, As001G027940, As007G161530	CARHR153070, CARHR153150, CARHR254660, CARHR113960, CARHR113980
OG0000140	As005G115230	CARHR285530
OG0000140	As005G115280, As005G115270, As005G115260, As005G115240, As008G190370	CARHR285410, CARHR272760, CARHR272770, CARHR053670, CARHR272750, CARHR285460, CARHR285480
OG0000146	As002G047180	CARHR268680
OG0000146	As002G047190	CARHR268700, CARHR268690
OG0000147	As011G265720	CARHR109500
OG0000147	As001G002190	CARHR238090
OG0000147	As002G049060	CARHR271150
OG0000147	As010G243490	CARHR073860
OG0000147	As010G227330	CARHR153650
OG0000147	As011G259420	CARHR104060
OG0000149	As010G224590	CARHR154800, CARHR154790, CARHR154820
OG0000149	As010G224610	CARHR273170, CARHR273200, CARHR273210, CARHR273220, CARHR273240, CARHR273230, CARHR273250, CARHR219850, CARHR273160, CARHR122210, CARHR273130, CARHR154780
OG0000150	As010G225180, As010G225220, As010G225210	CARHR263010, CARHR256190, CARHR207890, CARHR143200, CARHR150140, CARHR150080, CARHR114860, CARHR059580, CARHR150110
OG0000151	As007G166070	CARHR235660
OG0000151	As006G141980, As006G133740	CARHR082990
OG0000151	As011G263600	CARHR107000
OG0000151	As002G047900	CARHR269520
OG0000151	As001G030700	CARHR046700
OG0000154	As007G152520	CARHR016540
OG0000154	As009G210670	CARHR087080
OG0000154	As009G210600, As007G163150, As009G210630	CARHR083800, CARHR083820, CARHR083810
OG0000154	As002G034300	CARHR083850
OG0000154	As005G107550	CARHR210880
OG0000155	As003G059350	CARHR234950, CARHR164960, CARHR249150, CARHR164950, CARHR227980
OG0000156	As012G287040, As012G287050	CARHR171330
OG0000156	As005G101590, As008G189910, As005G101570, As005G101560, As005G101580	CARHR140780, CARHR140790, CARHR140740
OG0000156	As001G028010	CARHR171350
OG0000161	As001G013550, As001G029600, As001G029610	CARHR275720, CARHR275710, CARHR275730, CARHR120610, CARHR120240, CARHR120250, CARHR056680, CARHR056760, CARHR056690
OG0000162	As012G286440	CARHR069160, CARHR059610
OG0000162	As005G102210	CARHR140170, CARHR121990
OG0000167	As003G057890	CARHR266210, CARHR260280, CARHR226380
OG0000169	As010G239290	CARHR019250, CARHR067410, CARHR067450
OG0000171	As005G099780	CARHR142560
OG0000171	As007G159620	CARHR010800
OG0000171	As001G020870	CARHR052550
OG0000171	As009G200410	CARHR198650
OG0000175	As010G220360	CARHR160880
OG0000175	As007G156270	CARHR020570
OG0000175	As011G263590	CARHR243300
OG0000175	As011G264780, As003G072250	CARHR108220
OG0000184	As004G089570	CARHR157490, CARHR154180, CARHR181110
OG0000187	As001G003940	CARHR117260, CARHR037460, CARHR239530, CARHR239540, CARHR239520
OG0000187	As001G003960	CARHR239600
OG0000190	As004G085680	CARHR253020, CARHR250370, CARHR250360, CARHR259510, CARHR252970, CARHR263930, CARHR252960
OG0000191	As007G152760	CARHR091820
OG0000192	As007G157190	CARHR181970
OG0000192	As007G157180, As007G157200, As007G157210	CARHR021670
OG0000195	As001G028840	CARHR058380, CARHR215030
OG0000195	As002G033300	CARHR191680
OG0000200	As008G194290	CARHR291830, CARHR263700
OG0000203	As006G136770	CARHR201470
OG0000204	As011G253820	CARHR084930, CARHR043980
OG0000204	As011G254640, As011G254620, As011G254600, As011G254610, As011G254630, As011G254590	CARHR098530
OG0000207	As003G061070	CARHR072280, CARHR201930, CARHR072270, CARHR141370, CARHR072300, CARHR180390, CARHR072290, CARHR017450
OG0000208	As003G075160	CARHR260330, CARHR247220, CARHR149040, CARHR264830
OG0000213	As002G038840	CARHR292800, CARHR292790, CARHR292750, CARHR257100, CARHR292760, CARHR285920
OG0000217	As001G019850	CARHR284020, CARHR284130, CARHR283760, CARHR283910, CARHR284060, CARHR284070, CARHR058170, CARHR123300, CARHR053500, CARHR284010, CARHR284050, CARHR283900
OG0000218	As001G022650	CARHR015470, CARHR015480, CARHR147290, CARHR231070, CARHR144080
OG0000219	As001G028500, As001G028480	CARHR058980
OG0000219	As003G064990	CARHR277080
