Orthogroup	Aethionema_saxatile	Conringia_planisiliqua
OG0000029	As008G192170	CP29_g22076_DN3_SP0_c.t1
OG0000030	As001G013020	CP6_g9916_DN1_SP0_c.t1
OG0000033	As003G061210, As003G061160, As004G086230	CP16_g55465_DN3_SP1_c.t1
OG0000034	As011G258840	CP15_g35590_DN3_SP0_c.t1
OG0000035	As005G105710, As005G106260, As012G269410	CP12_g30253_DN2_SP0_c.t1, CP12_g30252_DN1_SP0_c.t1
OG0000036	As012G279790, As002G038510, As005G109970, As010G231320, As003G065720, As012G280900	CP47_g21258_DN2_SP0_c.t1, CP8_g52373_DN1_SP0_c.t1
OG0000036	As008G192160	CP17_g5406_DN1_SP0_c.t1
OG0000037	As011G257090	CP6_g8155_DN1_SP0_c.t1
OG0000038	As007G157540	CP10_g43043_DN3_SP0_c.t1
OG0000041	As012G279020, As011G257710, As007G164480, As006G148790	CP6_g8603_DN3_SP0_c.t1
OG0000041	As002G037900	CP14_g23630_DN1_SP0_c.t1, CP103_g21015_DN2_SP0_c.t1, CP98_g41599_DN2_SP0_c.t1, CP3_g16126_DN1_SP0_c.t1, CP14_g23220_DN3_SP0_c.t1, CP5_g3431_DN3_SP0_c.t1, CP6_g7632_DN3_SP0_c.t1, CP18_g12549_DN3_SP0_c.t1, CP16_g55625_DN3_SP0_c.t1, CP1_g41249_DN1_SP0_c.t1, CP102_g10409_DN2_SP0_c.t1, CP148_g19023_DN1_SP0_c.t1, CP13_g20685_DN1_SP0_c.t1, CP2_g49629_DN3_SP0_c.t1, CP1_g38419_DN3_SP0_c.t1, CP17_g5295_DN1_SP0_c.t1, CP16_g55449_DN3_SP0_c.t1, CP14_g23883_DN1_SP0_c.t1, CP15_g35230_DN3_SP0_c.t1
OG0000041	As011G259690, As007G166880, As011G257530, As009G209010, As012G277460, As012G278530, As011G256620, As001G005400, As001G012680, As002G037890	CP2_g50449_DN3_SP0_c.t1, CP17_g5496_DN3_SP0_c.t1, CP17_g5596_DN2_SP0_c.t1, CP2_g49627_DN3_SP0_c.t1, CP22_g17082_DN2_SP0_c.t1, CP16_g55627_DN3_SP0_c.t1, CP13_g20683_DN3_SP0_c.t1, CP5_g2181_DN1_SP0_c.t1, CP14_g23215_DN1_SP0_c.t1, CP12_g31428_DN3_SP0_c.t1, CP15_g34701_DN3_SP0_c.t1, CP16_g55448_DN1_SP0_c.t1, CP12_g31561_DN3_SP0_c.t1, CP13_g20402_DN3_SP0_c.t1, CP6_g8299_DN3_SP0_c.t1, CP17_g5112_DN2_SP0_c.t1, CP1_g38785_DN3_SP0_c.t1, CP14_g23436_DN1_SP0_c.t1, CP21_g11163_DN2_SP0_c.t1
OG0000048	As006G137090, As006G137040, As006G137120, As006G137000	CP10_g42378_DN2_SP0_c.t1
OG0000048	As006G137100, As006G137070, As006G137030	CP10_g42379_DN1_SP0_c.t1
OG0000048	As006G137110, As006G137010, As006G136980	CP10_g42381_DN3_SP0_c.t1
OG0000048	As001G017720, As001G017740, As001G017730, As001G017710	CP16_g54747_DN3_SP0_c.t1, CP11_g32163_DN2_SP0_c.t1, CP11_g32173_DN2_SP0_c.t1, CP11_g32164_DN3_SP0_c.t1, CP11_g32172_DN3_SP0_c.t1, CP11_g32166_DN3_SP0_c.t1, CP11_g32169_DN3_SP0_c.t1
OG0000049	As007G177650, As001G000050	CP1_g39384_DN1_SP0_c.t1
OG0000049	As002G044530	CP14_g23587_DN3_SP0_c.t1, CP2_g50284_DN2_SP0_c.t1, CP1_g39917_DN2_SP0_c.t1, CP14_g22620_DN1_SP0_c.t1
OG0000053	As011G257960, As001G007050, As012G281440, As010G228180, As008G190210, As007G176800, As001G006000, As005G110970, As002G037180, As008G190350, As001G001110, As002G040700, As007G164190, As007G164220, As007G179360, As008G193110	CP9_g27482_DN3_SP0_c.t1
OG0000054	As007G163390, As001G010300	CP3_g15706_DN3_SP0_c.t1, CP3_g15691_DN3_SP0_c.t1
OG0000054	As004G090600, As007G163400, As011G258570, As001G015330, As001G010290, As001G006440	CP5_g2131_DN3_SP0_c.t1
OG0000056	As007G178620	CP12_g31150_DN2_SP0_c.t1
OG0000056	As001G013030, As001G006540, As004G092960, As003G066320	CP6_g9003_DN1_SP0_c.t1
OG0000059	As001G005030	CP2_g50572_DN1_SP0_c.t1, CP6_g7965_DN2_SP0_c.t1, CP5_g3097_DN2_SP0_c.t1, CP20_g3928_DN2_SP0_c.t1, CP20_g4073_DN2_SP0_c.t1, CP20_g4091_DN1_SP0_c.t1
OG0000059	As006G146480	CP10_g44057_DN2_SP0_c.t1
OG0000060	As009G209930, As010G227950, As004G090090, As010G230600, As010G228570, As005G110370, As003G065870, As001G010980	CP4_g26283_DN1_SP0_c.t1
OG0000060	As011G259170	CP6_g8451_DN1_SP0_c.t1, CP1_g39648_DN2_SP0_c.t1
OG0000060	As010G228050	CP23_g21356_DN1_SP0_c.t1
OG0000060	As011G259160, As010G227940, As011G259450, As009G209320, As004G090070, As003G066670, As003G067390, As001G015360, As008G191460, As011G257770, As002G039400, As005G110860, As012G279960, As012G279940, As012G279720, As008G189470, As011G257990, As011G259050, As004G092470, As002G040320, As009G210440	CP4_g26948_DN1_SP0_c.t1, CP6_g8456_DN2_SP0_c.t1, CP17_g6236_DN2_SP0_c.t1, CP18_g11550_DN1_SP0_c.t1, CP5_g3439_DN1_SP0_c.t1, CP3_g16722_DN1_SP0_c.t1, CP1_g40717_DN2_SP0_c.t1, CP24_g46926_DN1_SP0_c.t1, CP15_g34454_DN2_SP0_c.t1
OG0000063	As010G224630	CP4_g24977_DN3_SP0_c.t1
OG0000065	As012G279540, As012G279660	CP24_g47137_DN2_SP0_c.t1
OG0000066	As002G052910	CP4_g25642_DN3_SP0_c.t1
OG0000066	As005G118450	CP2_g49425_DN3_SP0_c.t1
OG0000070	As004G090970, As006G149230, As011G259300	CP9_g27907_DN2_SP0_c.t1
OG0000079	As012G285110	CP10_g42299_DN3_SP0_c.t1, CP16_g55065_DN3_SP0_c.t1, CP17_g4852_DN2_SP0_c.t1
OG0000082	As009G206420	CP15_g35761_DN3_SP0_c.t1, CP2_g49995_DN3_SP0_c.t1, CP3_g15632_DN1_SP0_c.t1, CP23_g21380_DN2_SP0_c.t1
OG0000082	As011G260840	CP4_g26212_DN3_SP0_c.t1
OG0000083	As006G138550	CP22_g17376_DN1_SP0_c.t1
OG0000086	As009G216030, As009G216300, As009G216040	CP18_g12051_DN1_SP0_c.t1
OG0000087	As010G222260	CP2_g48308_DN3_SP8_c.t1
