Orthogroup	Aethionema_saxatile	Cardamine_glauca
OG0000218	As001G022650	Cg006G230920, Cg006G230900, Cg006G230890, Cg002G072370, Cg002G075340
OG0000219	As001G028500, As001G028480	Cg007G266520, Cg007G266510
OG0000219	As003G064990	Cg003G095240, Cg003G111060
OG0000220	As010G221990, As010G221980, As010G221950, As010G221930, As010G222000, As010G222030, As010G222010, As010G222040	Cg002G057630
OG0000221	As002G040520	Cg005G182530
OG0000224	As010G235950, As010G235920, As010G235890, As010G235940, As010G235900, As010G235880	Cg007G278180, Cg007G278170, Cg007G278160
OG0000224	As001G031540	Cg001G008870, Cg001G017640, Cg007G247160
OG0000225	As003G069680, As003G070050	Cg006G217130
OG0000228	As007G159250	Cg008G307350
OG0000228	As010G233780, As010G233750	Cg002G069120
OG0000228	As010G233770, As011G262150, As010G233790, As010G233800	Cg007G271280, Cg007G271290
OG0000231	As001G028220	Cg007G260410
OG0000232	As002G036540, As006G139020	Cg004G121460, Cg004G149470, Cg004G149480, Cg004G150500, Cg004G149520, Cg004G149550
OG0000233	As005G111800	Cg005G186460
OG0000234	As012G281460	Cg002G051410
OG0000234	As006G143800	Cg002G051420, Cg005G166930
OG0000234	As009G210340	Cg008G293710
OG0000237	As011G257810	Cg007G261810, Cg006G203590
OG0000238	As008G190870	Cg002G071780
OG0000242	As008G183340, As008G183330	Cg004G150060, Cg004G150660, Cg004G150050, Cg004G150670, Cg004G150020, Cg004G150680, Cg006G231900, Cg006G231890, Cg006G231910
OG0000244	As003G059930	Cg001G019150
OG0000244	As004G085820	Cg003G093660, Cg003G080320
OG0000244	As003G059920, As003G059880, As003G059910, As003G059890, As003G059900	Cg001G019160
OG0000248	As001G019970, As001G019960, As001G019950, As001G019930, As001G019460, As001G019420	Cg007G252860
OG0000249	As006G145330, As008G193990, As006G145350, As006G145320	Cg005G169790
OG0000257	As002G035710, As012G268510	Cg004G126080, Cg001G001780
OG0000258	As002G048970	Cg003G104860
OG0000268	As001G023230	Cg002G074810
OG0000268	As001G023220, As001G023200	Cg007G248330
OG0000268	As001G023190	Cg007G248320
OG0000268	As005G106920	Cg008G282710
OG0000268	As012G278370	Cg002G052420
OG0000270	As003G075960	Cg001G000740
OG0000270	As001G014420	Cg001G005510
OG0000271	As002G034810, As005G108140	Cg003G094150
OG0000271	As004G086280	Cg003G079870
OG0000272	As003G064910	Cg001G026510, Cg008G325020
OG0000273	As012G273480	Cg006G201170
OG0000274	As005G114920	Cg003G107390
OG0000274	As006G128840, As006G128830	Cg005G177430
OG0000276	As009G205840, As009G205860, As003G058460, As001G005010, As004G093920	Cg001G029710
OG0000277	As004G096710	Cg001G025730, Cg001G025680, Cg001G025710, Cg001G025690, Cg001G025720
OG0000282	As002G055220	Cg008G288380
OG0000283	As006G125110	Cg008G319010
OG0000283	As006G125160, As006G125170, As006G125120, As006G125130	Cg008G318960, Cg008G318990, Cg008G318970
OG0000284	As006G139300	Cg008G323450, Cg008G323400, Cg008G323440, Cg005G189010, Cg008G323430, Cg008G323380
OG0000293	As008G183660, As010G232130, As005G108620, As004G086880, As002G041480, As001G006100, As010G228040, As012G281040, As007G178790, As004G092500, As002G035750, As012G280660, As001G012420, As008G183780, As010G226290, As003G071470, As002G038540, As007G178480, As009G209600, As001G010260, As008G190530, As004G096370, As001G004210, As008G187190, As010G221940, As003G075280	Cg008G293400, Cg001G035010
OG0000294	As011G249490	Cg004G133910
OG0000294	As006G145420	Cg005G169690
OG0000294	As005G099900	Cg005G158570
OG0000294	As006G122700	Cg003G077590, Cg014G332020
OG0000294	As008G198060	Cg006G243870
OG0000295	As011G246810	Cg007G263400
OG0000297	As008G198730	Cg001G003600, Cg005G178560, Cg005G178570, Cg005G178540
OG0000297	As005G114280	Cg003G108160, Cg004G136450
OG0000299	As010G241870, As010G241880	Cg001G026230, Cg001G026550
OG0000299	As004G094650, As004G094810, As004G094790, As004G094750, As004G094730, As004G094760, As004G094670, As004G094660, As004G094800	Cg005G181190, Cg007G279160
OG0000299	As012G267900	Cg006G194370
OG0000308	As010G240850, As010G240840, As010G240940, As010G240920	Cg007G273340, Cg001G040650, Cg007G273310
OG0000310	As005G115910, As001G004860, As001G003850, As005G113880	Cg002G058430
OG0000311	As009G202530	Cg008G296830
OG0000311	As012G273730	Cg006G201410
OG0000311	As011G249880	Cg004G134370
OG0000311	As004G077290	Cg001G036380
OG0000311	As001G029000	Cg007G265360
OG0000313	As003G058420	Cg001G020530
OG0000313	As007G163450, As007G163440	Cg001G028860
OG0000313	As003G064930	Cg001G020560
OG0000314	As008G195840	Cg006G241650
OG0000314	As006G125760	Cg005G174030, Cg006G241640
OG0000314	As006G125450	Cg005G173580
OG0000316	As008G187440, As008G187910	Cg006G210390, Cg008G298570, Cg001G041080
OG0000319	As006G129730, As005G114310, As008G191530	Cg003G086150, Cg003G108110, Cg006G238150
OG0000321	As001G010170	Cg001G036410, Cg001G036490, Cg001G035900, Cg001G035950, Cg001G035910, Cg001G035940
OG0000322	As009G214030	Cg007G279100
OG0000322	As007G153590	Cg005G165820
OG0000323	As002G045490	Cg003G101320
OG0000323	As005G112480	Cg001G013020
OG0000327	As008G195090, As008G195100, As011G263130	Cg006G222130, Cg006G222140, Cg006G222120
OG0000329	As007G180560	Cg005G161130, Cg004G137660
OG0000332	As001G030000	Cg007G259450
OG0000332	As002G033230	Cg008G300270
OG0000332	As011G251780	Cg006G199650
OG0000334	As012G277630	Cg002G052730
OG0000334	As006G146780	Cg005G168750, Cg008G316780, Cg003G078420, Cg014G331200, Cg014G331210, Cg003G078410
OG0000339	As003G061400	Cg001G017490
OG0000339	As006G121550	Cg014G333260, Cg003G076340
OG0000339	As005G101130, As012G287430	Cg005G159770, Cg002G045310
OG0000340	As005G103820	Cg005G162340
OG0000344	As005G110100	Cg001G025010
OG0000344	As009G215190, As009G215530	Cg008G308010, Cg008G312970
OG0000347	As002G037650	Cg007G261820
OG0000348	As002G041810	Cg004G146340, Cg007G271550
OG0000351	As011G246630, As009G207800, As011G246680	Cg003G086090
OG0000351	As011G246700, As011G246690	Cg008G290210
OG0000351	As007G177900	Cg004G130660
OG0000352	As007G153380	Cg006G229000
OG0000358	As006G124930, As008G196330	Cg008G289900, Cg006G242200
OG0000358	As008G196390	Cg008G319440, Cg008G289890, Cg008G289880
OG0000359	As012G275420	Cg005G172170
OG0000360	As005G119730	Cg003G114850, Cg003G114870, Cg003G114860
OG0000363	As009G209420	Cg004G145460
OG0000368	As003G073560, As003G073580	Cg001G002850, Cg001G002860
OG0000368	As003G073600, As003G073590	Cg001G002840, Cg001G002830
OG0000370	As007G153440	Cg006G228950, Cg001G033700, Cg001G033710, Cg001G015500
OG0000371	As005G099710, As005G099720	Cg006G220780, Cg005G158480, Cg006G243100, Cg005G158470
OG0000372	As006G132540, As006G132550	Cg001G013540, Cg001G013550, Cg001G013560
OG0000374	As012G273470, As012G273550	Cg006G203210, Cg006G203180, Cg006G203200, Cg006G203220, Cg006G203250, Cg006G203260, Cg006G203240, Cg006G203230, Cg006G203190, Cg006G198280, Cg006G198270, Cg006G198290
OG0000377	As001G021080, As001G021090	Cg007G249710
OG0000382	As006G122900	Cg006G243790
OG0000382	As008G188710	Cg006G236900
OG0000383	As003G069230	Cg006G217970
OG0000383	As003G069340, As003G069370, As003G069310, As003G069390, As003G069380	Cg006G218010, Cg006G217980
OG0000384	As011G247740	Cg006G196900
OG0000386	As001G025230, As001G025220, As011G256850	Cg002G072490, Cg002G072500
OG0000386	As012G276900, As012G276880	Cg002G053280
OG0000390	As001G012620	Cg008G303200
OG0000390	As011G251840	Cg002G062740
OG0000391	As007G158340, As007G158380, As007G158390, As007G158370, As007G158360	Cg006G223610
OG0000392	As010G221170	Cg002G056620, Cg002G056600
OG0000392	As010G221200, As010G221190, As010G221180	Cg001G037860, Cg001G037810, Cg002G056570
OG0000396	As001G026970	Cg001G030810, Cg002G069030
OG0000396	As001G026990, As001G027000, As001G027010	Cg002G069060, Cg002G069050
OG0000398	As012G268810	Cg006G195010
OG0000403	As001G020780, As001G020790	Cg007G250680
OG0000404	As006G144680, As002G037330	Cg002G054180, Cg008G286930, Cg004G127240, Cg005G170410
OG0000405	As002G037730	Cg006G212540
OG0000406	As006G136090	Cg008G297220, Cg002G046730, Cg004G118250
OG0000407	As009G201130, As009G201860	Cg007G246870, Cg008G295960, Cg008G295160
OG0000410	As001G021670, As001G021680	Cg007G249030, Cg007G249100, Cg007G249090, Cg007G249110
OG0000411	As001G022090	Cg007G248450
OG0000411	As011G261620	Cg004G145680
OG0000411	As004G085710	Cg003G093460, Cg003G080490
OG0000411	As003G060010	Cg001G019000
OG0000412	As002G046400	Cg003G101880
OG0000412	As006G132500	Cg001G013500
OG0000412	As012G271680	Cg006G198710
OG0000413	As011G245460	Cg004G129370
OG0000413	As002G048240	Cg001G014360, Cg003G104010
OG0000414	As003G058750, As003G058770, As003G058760	Cg006G220700
OG0000415	As005G104640	Cg008G292540, Cg008G306950
OG0000416	As006G125710	Cg005G174990, Cg005G174850
OG0000416	As006G127220, As008G194210	Cg006G240670
OG0000417	As007G163710, As008G186410	Cg004G141850, Cg003G109700
OG0000421	As004G078160, As004G078150	Cg001G039140, Cg001G039040
