Orthogroup	Duplications (all)	Duplications (50% support)
OG0000596	26	16
OG0000597	25	18
OG0000598	31	23
OG0000599	25	14
OG0000600	22	18
OG0000601	28	21
OG0000602	24	17
OG0000603	26	14
OG0000604	19	12
OG0000605	25	20
OG0000606	25	13
OG0000607	37	30
OG0000608	66	63
OG0000609	24	12
OG0000610	22	17
OG0000611	71	71
OG0000612	70	70
OG0000613	17	13
OG0000614	41	34
OG0000615	22	17
OG0000616	25	12
OG0000617	16	14
OG0000618	28	21
OG0000619	23	19
OG0000620	22	16
OG0000621	15	7
OG0000622	24	16
OG0000623	17	16
OG0000624	19	12
OG0000625	38	35
OG0000626	27	24
OG0000627	23	17
OG0000628	30	29
OG0000629	44	44
OG0000630	34	18
OG0000631	69	69
OG0000632	71	71
OG0000633	30	25
OG0000634	36	28
OG0000635	25	21
OG0000636	28	24
OG0000637	13	7
OG0000638	20	16
OG0000639	17	17
OG0000640	28	24
OG0000641	18	14
OG0000642	21	11
OG0000643	30	19
OG0000644	48	45
OG0000645	30	25
OG0000646	23	17
OG0000647	23	13
OG0000648	22	12
OG0000649	15	14
OG0000650	12	10
OG0000651	70	70
OG0000652	21	17
OG0000653	28	20
OG0000654	43	36
OG0000655	25	19
OG0000656	18	16
OG0000657	36	23
OG0000658	36	30
OG0000659	61	60
OG0000660	16	11
OG0000661	14	11
OG0000662	37	30
OG0000663	26	24
OG0000664	24	18
OG0000665	26	15
OG0000666	31	29
OG0000667	28	23
OG0000668	34	27
OG0000669	42	33
OG0000670	36	29
OG0000671	34	29
OG0000672	21	12
OG0000673	28	26
OG0000674	34	33
OG0000675	68	68
OG0000676	60	60
OG0000677	66	65
OG0000678	34	31
OG0000679	20	15
OG0000680	19	8
OG0000681	15	13
OG0000682	30	28
OG0000683	14	11
OG0000684	13	13
OG0000685	15	12
OG0000686	17	14
OG0000687	24	18
OG0000688	52	47
OG0000689	39	27
OG0000690	24	21
OG0000691	13	12
OG0000692	39	35
OG0000693	36	29
OG0000694	21	16
OG0000695	14	13
OG0000696	13	9
OG0000697	34	33
OG0000698	33	9
OG0000699	27	22
OG0000700	26	23
OG0000701	25	9
OG0000702	15	10
OG0000703	13	11
OG0000704	32	26
OG0000705	22	19
OG0000706	9	8
OG0000707	14	14
OG0000708	17	13
OG0000709	41	34
OG0000710	24	19
OG0000711	35	13
OG0000712	66	66
OG0000713	42	37
OG0000714	33	32
OG0000715	15	11
OG0000716	12	9
OG0000717	17	12
OG0000718	26	22
OG0000719	18	16
OG0000720	27	22
OG0000721	20	10
OG0000722	27	17
OG0000723	21	15
OG0000724	21	15
OG0000725	30	18
OG0000726	31	25
OG0000727	36	29
OG0000728	24	18
OG0000729	26	22
OG0000730	14	13
OG0000731	26	14
OG0000732	15	14
OG0000733	30	10
OG0000734	31	25
OG0000735	22	16
OG0000736	28	25
OG0000737	22	20
OG0000738	12	8
OG0000739	28	24
OG0000740	12	11
OG0000741	19	13
OG0000742	19	12
OG0000743	23	12
OG0000744	19	14
OG0000745	13	11
OG0000746	11	8
OG0000747	18	15
OG0000748	28	26
OG0000749	26	23
OG0000750	28	21
OG0000751	23	18
OG0000752	28	12
