Orthogroup	Duplications (all)	Duplications (50% support)
OG0002945	10	7
OG0002946	10	9
OG0002947	7	3
OG0002948	8	5
OG0002949	8	6
OG0002950	7	7
OG0002951	7	7
OG0002952	5	5
OG0002953	5	5
OG0002954	5	5
OG0002955	5	4
OG0002956	12	10
OG0002957	13	10
OG0002958	4	4
OG0002959	19	18
OG0002960	35	33
OG0002961	17	16
OG0002962	12	12
OG0002963	11	10
OG0002964	18	14
OG0002965	37	37
OG0002966	23	18
OG0002967	38	38
OG0002968	38	38
OG0002969	38	38
OG0002970	38	38
OG0002971	10	10
OG0002972	4	4
OG0002973	17	15
OG0002974	29	27
OG0002975	9	8
OG0002976	5	4
OG0002977	19	19
OG0002978	7	6
OG0002979	8	7
OG0002980	17	11
OG0002981	5	3
OG0002982	3	3
OG0002983	12	11
OG0002984	8	5
OG0002985	7	6
OG0002986	15	10
OG0002987	7	6
OG0002988	5	3
OG0002989	9	8
OG0002990	6	6
OG0002991	8	4
OG0002992	11	7
OG0002993	9	6
OG0002994	5	5
OG0002995	13	9
OG0002996	10	9
OG0002997	11	7
OG0002998	11	7
OG0002999	9	8
OG0003000	8	8
OG0003001	8	6
OG0003002	5	5
OG0003003	8	8
OG0003004	13	13
OG0003005	4	4
OG0003006	9	9
OG0003007	18	17
OG0003008	13	11
OG0003009	6	5
OG0003010	8	7
OG0003011	4	4
OG0003012	14	9
OG0003013	6	6
OG0003014	5	5
OG0003015	5	5
OG0003016	12	7
OG0003017	12	8
OG0003018	8	6
OG0003019	16	11
OG0003020	11	11
OG0003021	5	4
OG0003022	7	6
OG0003023	4	4
OG0003024	7	4
OG0003025	6	5
OG0003026	9	9
OG0003027	12	9
OG0003028	6	5
OG0003029	5	5
OG0003030	8	7
OG0003031	8	5
OG0003032	8	7
OG0003033	13	10
OG0003034	4	4
OG0003035	9	5
OG0003036	24	14
OG0003037	7	7
OG0003038	16	11
OG0003039	8	7
OG0003040	15	13
OG0003041	13	10
OG0003042	10	4
OG0003043	8	8
OG0003044	6	5
OG0003045	11	8
OG0003046	15	10
OG0003047	8	8
OG0003048	6	5
OG0003049	13	10
OG0003050	7	7
OG0003051	6	4
OG0003052	6	5
OG0003053	12	10
OG0003054	7	5
OG0003055	12	7
OG0003056	9	5
OG0003057	6	4
OG0003058	7	7
OG0003059	11	9
OG0003060	13	10
OG0003061	8	8
OG0003062	16	15
OG0003063	16	14
OG0003064	5	3
OG0003065	9	8
OG0003066	9	6
OG0003067	11	5
OG0003068	9	8
OG0003069	11	10
OG0003070	8	6
OG0003071	6	4
OG0003072	8	8
OG0003073	6	5
OG0003074	6	5
OG0003075	10	8
OG0003076	6	5
OG0003077	5	4
OG0003078	11	9
OG0003079	7	6
OG0003080	7	6
OG0003081	6	6
OG0003082	11	4
OG0003083	8	6
OG0003084	7	5
OG0003085	3	3
OG0003086	7	7
OG0003087	8	6
OG0003088	7	6
OG0003089	7	6
OG0003090	10	5
OG0003091	20	14
OG0003092	9	7
OG0003093	13	11
OG0003094	5	5
OG0003095	6	6
OG0003096	10	9
OG0003097	5	5
OG0003098	11	10
OG0003099	30	29
OG0003100	26	21
OG0003101	11	8
OG0003102	7	7
OG0003103	13	8
OG0003104	11	10
OG0003105	27	23
OG0003106	10	10
OG0003107	37	37
OG0003108	37	37
OG0003109	33	33
OG0003110	31	30
OG0003111	36	36
OG0003112	37	37
OG0003113	37	37
OG0003114	37	37
OG0003115	37	37
OG0003116	7	7
OG0003117	11	9
OG0003118	6	6
OG0003119	12	10
OG0003120	7	6
OG0003121	11	5
OG0003122	14	12
OG0003123	5	5
OG0003124	9	3
OG0003125	3	3
OG0003126	7	4
OG0003127	7	6
OG0003128	5	5
OG0003129	7	7
OG0003130	7	5
OG0003131	6	5
OG0003132	6	6
OG0003133	10	8
OG0003134	8	5
OG0003135	12	6
OG0003136	10	10
OG0003137	17	14
OG0003138	6	6
OG0003139	10	4
OG0003140	14	14
OG0003141	9	7
OG0003142	10	4
OG0003143	7	6
OG0003144	15	13
OG0003145	12	8
OG0003146	7	7
OG0003147	9	4
OG0003148	5	4
OG0003149	13	11
OG0003150	5	5
OG0003151	8	6
OG0003152	9	7
OG0003153	12	10
OG0003154	5	5
OG0003155	10	5
OG0003156	15	14
OG0003157	8	5
OG0003158	7	5
OG0003159	13	12
OG0003160	11	9
OG0003161	12	11
OG0003162	7	5
OG0003163	6	6
OG0003164	5	5
OG0003165	6	6
OG0003166	6	5
OG0003167	6	6
OG0003168	5	5
OG0003169	3	3
OG0003170	22	16
OG0003171	10	4
OG0003172	9	6
OG0003173	10	7
OG0003174	18	12
OG0003175	7	7
OG0003176	11	7
OG0003177	11	9
OG0003178	6	5
OG0003179	7	7
OG0003180	7	6
OG0003181	9	6
OG0003182	5	5
OG0003183	9	7
OG0003184	13	9
OG0003185	14	11
OG0003186	11	9
OG0003187	9	8
OG0003188	11	5
OG0003189	4	4
OG0003190	4	4
OG0003191	8	4
OG0003192	9	7
OG0003193	7	7
OG0003194	10	9
OG0003195	6	6
OG0003196	7	7
OG0003197	8	3
OG0003198	5	5
OG0003199	7	6
OG0003200	6	6
OG0003201	8	8
OG0003202	8	8
OG0003203	10	8
OG0003204	18	15
OG0003205	21	16
OG0003206	12	11
OG0003207	11	6
OG0003208	15	15
OG0003209	22	21
OG0003210	9	6
OG0003211	5	4
OG0003212	10	5
OG0003213	8	5
OG0003214	5	5
OG0003215	7	6
OG0003216	6	6
OG0003217	10	10
OG0003218	7	5
OG0003219	16	14
OG0003220	5	5
OG0003221	7	5
OG0003222	5	5
OG0003223	9	7
OG0003224	8	6
OG0003225	7	5
OG0003226	12	11
OG0003227	9	5
OG0003228	17	15
OG0003229	11	10
OG0003230	4	3
OG0003231	4	4
OG0003232	24	19
OG0003233	7	7
OG0003234	9	5
OG0003235	15	9
OG0003236	10	9
OG0003237	7	5
OG0003238	26	24
OG0003239	8	8
OG0003240	14	11
OG0003241	15	10
OG0003242	35	35
OG0003243	36	36
OG0003244	32	32
OG0003245	36	36
OG0003246	9	7
OG0003247	5	5
OG0003248	12	12
OG0003249	17	16
OG0003250	6	5
OG0003251	4	4
OG0003252	5	5
OG0003253	10	7
OG0003254	3	3
OG0003255	4	4
OG0003256	11	10
OG0003257	6	6
OG0003258	7	5
OG0003259	4	4
OG0003260	7	5
OG0003261	8	6
OG0003262	6	6
OG0003263	13	13
OG0003264	11	8
OG0003265	7	5
OG0003266	16	15
OG0003267	4	3
OG0003268	11	9
OG0003269	4	4
OG0003270	14	12
OG0003271	8	1
OG0003272	12	9
OG0003273	8	7
OG0003274	8	3
OG0003275	13	12
OG0003276	8	7
OG0003277	4	4
OG0003278	7	6
OG0003279	10	8
OG0003280	12	9
OG0003281	10	8
OG0003282	10	8
OG0003283	11	8
OG0003284	12	11
OG0003285	9	7
OG0003286	9	8
OG0003287	11	8
OG0003288	16	13
OG0003289	5	5
OG0003290	6	5
OG0003291	15	15
OG0003292	8	6
OG0003293	7	4
OG0003294	11	5
OG0003295	16	16
OG0003296	24	21
OG0003297	16	16
OG0003298	9	7
OG0003299	9	8
OG0003300	7	6
OG0003301	5	5
OG0003302	6	4
OG0003303	4	3
OG0003304	7	3
OG0003305	7	4
OG0003306	4	4
OG0003307	8	4
OG0003308	10	8
OG0003309	7	7
OG0003310	8	6
OG0003311	7	6
OG0003312	6	5
OG0003313	6	5
OG0003314	6	4
OG0003315	10	5
OG0003316	4	4
OG0003317	5	5
OG0003318	12	10
OG0003319	4	4
OG0003320	8	8
OG0003321	7	6
OG0003322	5	3
OG0003323	10	7
OG0003324	5	5
OG0003325	7	7
OG0003326	6	5
OG0003327	7	5
OG0003328	6	6
OG0003329	12	9
OG0003330	5	5
OG0003331	6	5
OG0003332	4	4
OG0003333	6	6
OG0003334	12	11
OG0003335	7	5
OG0003336	2	2
OG0003337	4	3
OG0003338	6	6
OG0003339	9	9
OG0003340	9	5
OG0003341	13	12
OG0003342	7	5
OG0003343	9	7
OG0003344	18	16
OG0003345	10	7
OG0003346	16	11
OG0003347	11	10
OG0003348	11	11
OG0003349	8	7
OG0003350	7	5
OG0003351	10	8
OG0003352	7	5
OG0003353	14	9
OG0003354	16	13
OG0003355	16	10
OG0003356	14	12
OG0003357	22	15
OG0003358	23	22
OG0003359	30	29
OG0003360	10	8
OG0003361	18	12
OG0003362	11	3
OG0003363	17	17
OG0003364	9	7
OG0003365	21	18
OG0003366	10	7
OG0003367	17	15
OG0003368	34	34
OG0003369	15	9
OG0003370	24	24
OG0003371	35	35
OG0003372	6	4
OG0003373	5	5
OG0003374	16	15
OG0003375	9	7
OG0003376	8	7
OG0003377	16	16
OG0003378	6	6
OG0003379	11	10
OG0003380	34	34
OG0003381	7	2
OG0003382	17	16
OG0003383	7	2
OG0003384	12	9
OG0003385	7	5
OG0003386	6	4
OG0003387	5	5
OG0003388	6	6
OG0003389	7	7
OG0003390	7	6
OG0003391	10	9
OG0003392	13	13
OG0003393	5	5
OG0003394	6	4
OG0003395	6	6
OG0003396	10	8
OG0003397	7	6
OG0003398	16	16
OG0003399	13	10
OG0003400	5	4
OG0003401	11	8
OG0003402	10	7
OG0003403	15	10
OG0003404	7	4
OG0003405	10	9
OG0003406	10	5
OG0003407	27	26
OG0003408	6	5
OG0003409	8	7
OG0003410	6	5
OG0003411	7	4
OG0003412	3	3
OG0003413	12	8
OG0003414	10	7
OG0003415	11	9
OG0003416	10	6
OG0003417	11	7
OG0003418	5	3
OG0003419	13	13
OG0003420	10	6
OG0003421	6	6
OG0003422	4	4
OG0003423	8	6
OG0003424	5	5
OG0003425	9	6
OG0003426	8	6
OG0003427	6	5
OG0003428	6	6
OG0003429	4	3
OG0003430	8	5
OG0003431	11	10
OG0003432	4	3
OG0003433	13	6
OG0003434	7	6
OG0003435	10	8
OG0003436	34	34
OG0003437	12	8
OG0003438	6	5
OG0003439	12	7
OG0003440	13	13
OG0003441	11	9
OG0003442	8	6
OG0003443	7	6
OG0003444	10	3
OG0003445	13	11
OG0003446	17	15
OG0003447	5	5
OG0003448	10	9
OG0003449	9	7
OG0003450	9	5
OG0003451	24	24
OG0003452	5	4
OG0003453	11	11
OG0003454	8	7
OG0003455	12	12
OG0003456	7	5
OG0003457	6	6
OG0003458	7	5
OG0003459	10	7
OG0003460	11	4
OG0003461	16	15
OG0003462	8	8
OG0003463	6	3
OG0003464	10	8
OG0003465	10	9
OG0003466	9	8
OG0003467	10	5
OG0003468	8	5
OG0003469	6	6
OG0003470	6	4
OG0003471	9	6
OG0003472	11	11
OG0003473	5	5
OG0003474	5	5
OG0003475	3	3
OG0003476	4	4
OG0003477	5	5
OG0003478	7	5
OG0003479	10	7
OG0003480	8	4
OG0003481	6	4
OG0003482	4	4
OG0003483	11	10
OG0003484	6	5
OG0003485	2	2
OG0003486	12	7
OG0003487	7	4
OG0003488	8	7
OG0003489	17	16
OG0003490	9	7
OG0003491	8	4
OG0003492	26	24
OG0003493	22	20
OG0003494	13	12
OG0003495	16	12
OG0003496	13	11
OG0003497	11	10
OG0003498	20	17
OG0003499	30	30
OG0003500	25	21
OG0003501	15	13
OG0003502	13	7
OG0003503	17	13
OG0003504	9	3
OG0003505	16	14
OG0003506	22	18
OG0003507	34	34
OG0003508	32	31
OG0003509	34	34
OG0003510	34	34
OG0003511	34	34
OG0003512	10	9
OG0003513	17	14
OG0003514	6	5
OG0003515	5	3
OG0003516	4	4
OG0003517	4	4
OG0003518	8	7
OG0003519	6	6
OG0003520	6	4
OG0003521	6	4
OG0003522	7	6
OG0003523	13	13
OG0003524	24	23
OG0003525	15	14
OG0003526	12	8
OG0003527	5	3
OG0003528	9	7
OG0003529	6	4
OG0003530	7	4
OG0003531	10	8
OG0003532	10	9
OG0003533	5	3
OG0003534	15	13
OG0003535	5	5
OG0003536	7	4
OG0003537	13	13
OG0003538	12	11
OG0003539	8	6
OG0003540	16	16
OG0003541	9	8
OG0003542	6	4
OG0003543	8	7
OG0003544	11	9
OG0003545	11	9
OG0003546	10	9
OG0003547	4	4
OG0003548	10	8
OG0003549	11	10
OG0003550	7	5
OG0003551	6	5
OG0003552	6	6
OG0003553	15	9
OG0003554	4	4
OG0003555	8	7
OG0003556	6	3
OG0003557	7	5
OG0003558	13	12
OG0003559	5	5
OG0003560	7	5
OG0003561	11	8
OG0003562	10	6
OG0003563	11	10
OG0003564	5	4
OG0003565	11	11
OG0003566	9	8
OG0003567	5	5
OG0003568	6	4
OG0003569	7	4
OG0003570	25	20
OG0003571	13	11
OG0003572	9	5
OG0003573	11	8
OG0003574	8	4
OG0003575	4	3
OG0003576	7	3
OG0003577	5	5
OG0003578	10	5
OG0003579	7	6
OG0003580	6	5
OG0003581	9	7
OG0003582	5	1
OG0003583	9	8
OG0003584	12	10
OG0003585	9	8
OG0003586	5	5
OG0003587	6	6
OG0003588	11	6
OG0003589	8	7
OG0003590	8	7
OG0003591	7	7
OG0003592	9	6
OG0003593	8	7
OG0003594	8	8
OG0003595	10	9
OG0003596	8	7
OG0003597	4	4
OG0003598	17	14
OG0003599	4	3
OG0003600	14	10
OG0003601	11	10
OG0003602	10	8
OG0003603	6	6
OG0003604	4	3
OG0003605	9	8
OG0003606	5	4
OG0003607	5	5
OG0003608	8	6
OG0003609	9	7
OG0003610	11	8
OG0003611	12	10
OG0003612	11	11
OG0003613	6	6
OG0003614	11	10
OG0003615	8	6
OG0003616	10	8
OG0003617	3	3
OG0003618	8	5
OG0003619	9	8
OG0003620	4	3
OG0003621	10	7
OG0003622	7	3
OG0003623	6	4
OG0003624	8	5
OG0003625	6	4
OG0003626	12	6
OG0003627	6	5
OG0003628	8	6
OG0003629	9	7
OG0003630	3	2
OG0003631	9	8
OG0003632	7	7
OG0003633	4	4
OG0003634	8	5
OG0003635	7	7
OG0003636	7	4
OG0003637	9	5
OG0003638	17	12
OG0003639	11	10
OG0003640	18	14
OG0003641	9	5
OG0003642	13	12
OG0003643	30	30
OG0003644	24	24
OG0003645	14	12
OG0003646	11	9
OG0003647	13	5
OG0003648	12	10
OG0003649	33	33
OG0003650	33	33
OG0003651	33	33
OG0003652	33	33
OG0003653	33	33
OG0003654	33	33
OG0003655	33	33
OG0003656	5	5
OG0003657	6	4
OG0003658	9	5
OG0003659	6	3
OG0003660	9	8
OG0003661	5	1
OG0003662	6	5
OG0003663	11	9
OG0003664	13	12
OG0003665	10	9
OG0003666	6	6
OG0003667	11	6
OG0003668	6	6
OG0003669	9	5
OG0003670	7	7
OG0003671	8	7
OG0003672	10	9
OG0003673	5	5
OG0003674	5	5
OG0003675	10	10
OG0003676	5	4
OG0003677	7	5
OG0003678	8	4
OG0003679	8	7
OG0003680	5	4
OG0003681	10	10
OG0003682	6	5
OG0003683	9	8
OG0003684	9	8
OG0003685	13	12
OG0003686	2	2
OG0003687	16	10
OG0003688	9	5
OG0003689	12	9
OG0003690	8	2
OG0003691	14	13
OG0003692	11	8
OG0003693	6	6
OG0003694	9	9
OG0003695	8	8
OG0003696	7	6
OG0003697	5	4
OG0003698	4	4
OG0003699	10	9
OG0003700	6	2
OG0003701	7	6
OG0003702	8	5
OG0003703	3	3
OG0003704	9	4
OG0003705	12	3
OG0003706	8	7
OG0003707	5	4
OG0003708	6	4
OG0003709	5	4
OG0003710	11	11
OG0003711	9	7
OG0003712	11	9
OG0003713	9	7
OG0003714	5	4
OG0003715	11	10
OG0003716	5	2
OG0003717	20	20
OG0003718	7	6
OG0003719	7	6
OG0003720	9	9
OG0003721	5	2
OG0003722	6	4
OG0003723	8	7
OG0003724	10	10
OG0003725	11	11
OG0003726	4	3
OG0003727	12	12
OG0003728	10	8
OG0003729	13	9
OG0003730	5	3
OG0003731	7	5
OG0003732	10	8
OG0003733	12	11
OG0003734	7	5
OG0003735	13	12
OG0003736	9	7
OG0003737	8	6
OG0003738	9	8
OG0003739	8	6
OG0003740	14	12
OG0003741	5	3
OG0003742	6	5
OG0003743	10	9
OG0003744	12	9
OG0003745	8	5
OG0003746	9	6
OG0003747	8	7
OG0003748	10	8
OG0003749	6	2
OG0003750	11	9
OG0003751	10	9
OG0003752	11	10
OG0003753	10	9
OG0003754	8	6
OG0003755	8	7
OG0003756	4	2
OG0003757	12	11
OG0003758	9	9
OG0003759	10	10
OG0003760	8	5
OG0003761	12	11
OG0003762	8	7
OG0003763	5	3
OG0003764	9	7
OG0003765	8	8
OG0003766	19	17
OG0003767	10	8
OG0003768	10	9
OG0003769	8	5
OG0003770	12	6
OG0003771	17	12
OG0003772	5	5
OG0003773	15	13
OG0003774	13	11
OG0003775	16	15
OG0003776	13	12
OG0003777	15	13
OG0003778	9	9
OG0003779	30	30
OG0003780	16	15
OG0003781	23	19
OG0003782	28	28
OG0003783	32	32
OG0003784	31	31
OG0003785	32	32
OG0003786	32	32
OG0003787	32	32
OG0003788	32	32
OG0003789	32	32
OG0003790	9	7
OG0003791	6	3
OG0003792	9	8
OG0003793	9	9
OG0003794	7	7
OG0003795	5	4
OG0003796	7	7
OG0003797	5	5
OG0003798	8	6
OG0003799	9	9
OG0003800	8	7
OG0003801	4	3
OG0003802	9	8
OG0003803	7	6
OG0003804	5	3
OG0003805	8	7
OG0003806	7	6
OG0003807	14	13
OG0003808	8	4
OG0003809	8	8
OG0003810	4	4
OG0003811	7	5
OG0003812	9	7
OG0003813	6	5
OG0003814	10	9
OG0003815	6	5
OG0003816	9	8
OG0003817	3	2
OG0003818	10	8
OG0003819	5	4
OG0003820	10	9
OG0003821	8	5
OG0003822	9	8
OG0003823	15	14
OG0003824	8	6
OG0003825	8	6
OG0003826	9	7
OG0003827	8	7
OG0003828	13	9
OG0003829	10	6
OG0003830	10	8
OG0003831	10	7
OG0003832	7	4
OG0003833	9	7
OG0003834	7	5
OG0003835	8	6
OG0003836	7	6
OG0003837	7	5
OG0003838	10	9
OG0003839	10	9
OG0003840	6	6
OG0003841	8	8
OG0003842	6	5
OG0003843	12	10
OG0003844	5	3
OG0003845	10	7
OG0003846	5	3
OG0003847	15	9
OG0003848	7	5
OG0003849	9	9
OG0003850	10	9
OG0003851	6	5
OG0003852	6	6
OG0003853	7	6
OG0003854	5	4
OG0003855	9	7
OG0003856	7	4
OG0003857	6	5
OG0003858	8	3
OG0003859	8	5
OG0003860	8	7
OG0003861	5	5
OG0003862	12	11
OG0003863	7	2
OG0003864	24	22
OG0003865	10	8
OG0003866	6	5
OG0003867	4	4
OG0003868	10	8
OG0003869	10	9
OG0003870	3	3
OG0003871	6	4
OG0003872	7	6
OG0003873	6	6
OG0003874	9	8
OG0003875	9	6
OG0003876	6	4
OG0003877	8	6
OG0003878	7	7
OG0003879	7	4
OG0003880	8	5
OG0003881	10	8
OG0003882	7	6
OG0003883	9	6
OG0003884	9	8
OG0003885	11	9
OG0003886	8	7
OG0003887	5	4
OG0003888	10	7
OG0003889	9	7
OG0003890	9	3
OG0003891	7	6
OG0003892	9	9
OG0003893	5	5
OG0003894	6	5
OG0003895	9	5
OG0003896	9	8
OG0003897	11	8
OG0003898	6	5
OG0003899	10	8
OG0003900	12	12
OG0003901	8	7
OG0003902	5	4
OG0003903	3	3
OG0003904	13	5
OG0003905	8	7
OG0003906	5	3
OG0003907	4	3
OG0003908	8	6
OG0003909	7	3
OG0003910	8	7
OG0003911	6	5
OG0003912	7	5
OG0003913	6	4
OG0003914	11	7
OG0003915	9	5
OG0003916	7	6
OG0003917	3	3
OG0003918	17	12
OG0003919	15	12
OG0003920	14	12
OG0003921	22	20
OG0003922	10	10
OG0003923	11	7
OG0003924	17	13
OG0003925	6	6
OG0003926	15	13
OG0003927	13	10
OG0003928	14	9
OG0003929	7	4
OG0003930	14	11
OG0003931	8	5
OG0003932	31	31
OG0003933	21	16
OG0003934	26	25
OG0003935	31	31
OG0003936	30	30
OG0003937	30	30
OG0003938	31	31
OG0003939	31	31
OG0003940	28	28
OG0003941	9	8
OG0003942	9	9
OG0003943	7	4
OG0003944	10	8
OG0003945	6	4
OG0003946	7	7
OG0003947	11	8
OG0003948	5	3
OG0003949	5	4
OG0003950	5	2
OG0003951	3	3
OG0003952	6	5
OG0003953	3	3
OG0003954	6	5
OG0003955	8	8
OG0003956	8	7
OG0003957	7	5
OG0003958	8	7
OG0003959	8	6
OG0003960	5	4
OG0003961	9	7
OG0003962	10	10
OG0003963	15	9
OG0003964	8	6
OG0003965	10	7
OG0003966	6	2
OG0003967	9	8
OG0003968	12	12
OG0003969	30	30
OG0003970	7	6
OG0003971	21	18
OG0003972	10	9
OG0003973	6	3
OG0003974	9	9
OG0003975	5	4
OG0003976	8	7
OG0003977	8	7
OG0003978	7	4
OG0003979	8	6
OG0003980	8	7
OG0003981	10	9
OG0003982	8	7
OG0003983	8	6
OG0003984	7	7
OG0003985	11	10
OG0003986	8	8
OG0003987	8	8
OG0003988	9	7
OG0003989	7	7
OG0003990	7	6
OG0003991	11	10
OG0003992	9	9
OG0003993	6	5
OG0003994	8	5
OG0003995	7	5
OG0003996	8	8
OG0003997	7	5
OG0003998	4	3
OG0003999	7	4
OG0004000	6	5
OG0004001	4	3
OG0004002	5	4
OG0004003	10	8
OG0004004	8	8
OG0004005	8	6
OG0004006	8	8
OG0004007	8	7
OG0004008	7	0
OG0004009	8	5
OG0004010	8	5
OG0004011	12	10
OG0004012	9	6
OG0004013	10	10
OG0004014	6	6
OG0004015	6	3
OG0004016	8	8
OG0004017	12	11
OG0004018	10	6
OG0004019	19	12
OG0004020	4	3
OG0004021	8	7
OG0004022	8	4
OG0004023	4	3
OG0004024	3	3
OG0004025	5	5
OG0004026	8	6
OG0004027	4	3
OG0004028	9	6
OG0004029	7	3
OG0004030	9	9
OG0004031	7	6
OG0004032	6	4
OG0004033	5	3
OG0004034	8	6
OG0004035	12	11
OG0004036	4	1
OG0004037	8	8
OG0004038	8	7
OG0004039	11	10
OG0004040	8	8
OG0004041	6	5
OG0004042	8	4
OG0004043	6	3
OG0004044	7	5
OG0004045	7	4
OG0004046	8	7
OG0004047	8	8
OG0004048	9	7
OG0004049	5	5
OG0004050	8	6
OG0004051	8	6
OG0004052	5	3
OG0004053	8	5
OG0004054	10	10
OG0004055	5	2
OG0004056	9	8
OG0004057	16	12
OG0004058	8	8
OG0004059	18	17
OG0004060	6	5
OG0004061	6	5
OG0004062	11	11
OG0004063	8	8
OG0004064	9	9
OG0004065	7	3
OG0004066	6	3
OG0004067	27	25
OG0004068	6	4
OG0004069	8	7
OG0004070	9	9
OG0004071	8	8
OG0004072	7	5
OG0004073	8	3
OG0004074	4	3
OG0004075	13	9
OG0004076	9	9
OG0004077	7	4
OG0004078	7	7
OG0004079	6	3
OG0004080	4	4
OG0004081	5	3
OG0004082	8	7
OG0004083	6	5
OG0004084	7	6
OG0004085	4	3
OG0004086	8	7
OG0004087	8	5
OG0004088	8	7
OG0004089	11	8
OG0004090	8	7
OG0004091	7	5
OG0004092	8	7
OG0004093	5	4
OG0004094	8	5
OG0004095	10	10
OG0004096	10	10
OG0004097	5	2
OG0004098	8	6
OG0004099	7	6
OG0004100	7	6
OG0004101	10	9
OG0004102	8	5
OG0004103	7	4
OG0004104	8	8
OG0004105	6	5
OG0004106	5	4
OG0004107	10	10
OG0004108	7	6
OG0004109	10	8
OG0004110	9	9
OG0004111	5	3
OG0004112	7	5
OG0004113	6	4
OG0004114	3	3
OG0004115	7	5
OG0004116	10	9
OG0004117	6	2
OG0004118	11	8
OG0004119	9	9
OG0004120	8	8
OG0004121	7	5
OG0004122	4	4
OG0004123	6	5
OG0004124	5	4
OG0004125	11	11
OG0004126	6	2
OG0004127	14	14
OG0004128	5	4
OG0004129	11	10
OG0004130	8	5
OG0004131	5	4
OG0004132	8	7
OG0004133	8	6
OG0004134	10	9
OG0004135	8	3
OG0004136	9	7
OG0004137	7	4
OG0004138	9	7
OG0004139	22	21
OG0004140	19	15
OG0004141	13	13
OG0004142	14	9
OG0004143	14	12
OG0004144	10	9
OG0004145	20	15
OG0004146	4	4
OG0004147	10	9
OG0004148	11	11
OG0004149	8	7
OG0004150	12	12
OG0004151	24	17
OG0004152	9	8
OG0004153	9	9
OG0004154	11	10
OG0004155	8	8
OG0004156	6	6
OG0004157	8	7
OG0004158	19	14
OG0004159	30	30
OG0004160	16	14
OG0004161	30	30
OG0004162	30	30
OG0004163	30	30
OG0004164	30	30
OG0004165	7	6
OG0004166	7	6
OG0004167	9	9
OG0004168	4	3
OG0004169	7	7
OG0004170	6	5
OG0004171	8	5
OG0004172	13	11
OG0004173	5	4
OG0004174	9	5
OG0004175	6	5
OG0004176	7	4
OG0004177	8	7
OG0004178	6	4
OG0004179	11	8
OG0004180	6	4
OG0004181	7	7
OG0004182	1	1
OG0004183	10	9
OG0004184	7	5
OG0004185	8	4
OG0004186	8	6
OG0004187	10	5
OG0004188	8	3
OG0004189	8	8
OG0004190	7	7
OG0004191	9	8
OG0004192	7	6
OG0004193	6	6
OG0004194	7	6
OG0004195	7	7
OG0004196	13	8
OG0004197	7	5
OG0004198	11	8
OG0004199	4	1
OG0004200	6	5
OG0004201	6	5
OG0004202	7	7
OG0004203	5	3
OG0004204	6	5
OG0004205	5	4
OG0004206	6	2
OG0004207	7	6
OG0004208	7	6
OG0004209	9	8
OG0004210	9	4
OG0004211	7	6
OG0004212	7	6
OG0004213	12	6
OG0004214	8	8
OG0004215	4	3
OG0004216	10	8
OG0004217	6	5
OG0004218	10	10
OG0004219	8	6
OG0004220	8	7
OG0004221	6	6
OG0004222	9	9
OG0004223	4	3
OG0004224	10	8
OG0004225	5	3
OG0004226	7	6
OG0004227	7	6
OG0004228	6	6
OG0004229	7	7
OG0004230	10	10
OG0004231	8	4
OG0004232	7	4
OG0004233	8	7
OG0004234	9	7
OG0004235	10	10
OG0004236	7	6
OG0004237	7	7
OG0004238	9	9
OG0004239	4	2
OG0004240	5	4
OG0004241	9	9
OG0004242	7	7
OG0004243	8	6
OG0004244	9	9
OG0004245	7	5
OG0004246	7	7
OG0004247	8	5
OG0004248	6	4
OG0004249	7	7
OG0004250	10	8
OG0004251	8	8
OG0004252	4	2
OG0004253	7	6
OG0004254	10	7
OG0004255	8	7
OG0004256	7	7
OG0004257	8	8
OG0004258	7	4
OG0004259	6	2
OG0004260	7	7
OG0004261	4	4
OG0004262	7	6
OG0004263	4	2
OG0004264	9	8
OG0004265	6	5
OG0004266	8	6
OG0004267	6	3
OG0004268	6	2
OG0004269	10	10
OG0004270	9	5
OG0004271	7	6
OG0004272	5	3
OG0004273	9	9
OG0004274	7	7
OG0004275	7	6
OG0004276	11	7
OG0004277	9	8
OG0004278	8	5
OG0004279	7	7
OG0004280	9	8
OG0004281	7	6
OG0004282	6	4
OG0004283	8	7
OG0004284	8	6
OG0004285	8	6
OG0004286	7	4
OG0004287	8	7
OG0004288	11	11
OG0004289	5	4
OG0004290	10	9
OG0004291	5	4
OG0004292	5	4
OG0004293	9	7
OG0004294	5	3
OG0004295	7	7
OG0004296	9	9
OG0004297	7	5
OG0004298	6	4
OG0004299	9	5
OG0004300	8	8
OG0004301	13	13
OG0004302	5	3
OG0004303	9	8
OG0004304	6	5
OG0004305	8	8
OG0004306	7	7
OG0004307	5	5
OG0004308	7	7
OG0004309	8	5
OG0004310	7	7
OG0004311	8	5
OG0004312	7	7
OG0004313	7	5
OG0004314	5	4
OG0004315	8	5
OG0004316	6	5
OG0004317	8	6
OG0004318	6	5
OG0004319	8	6
OG0004320	10	8
OG0004321	8	4
OG0004322	8	8
OG0004323	9	8
OG0004324	7	4
OG0004325	7	6
OG0004326	7	7
OG0004327	4	3
OG0004328	9	7
OG0004329	8	8
OG0004330	6	5
OG0004331	6	6
OG0004332	6	4
OG0004333	10	5
OG0004334	5	3
OG0004335	7	6
OG0004336	7	7
OG0004337	7	7
OG0004338	7	7
OG0004339	7	7
OG0004340	7	6
OG0004341	4	3
