Orthogroup	Odontarrhena_muralis	Arabidopsis_arenosa
OG0000034	Om006G264160	jg32357
OG0000034	Om006G267380	jg32649, jg13995
OG0000034	Om008G344910	jg17413, jg17411
OG0000034	Om005G219960, Om002G081730	jg11749, jg11798
OG0000035	Om006G273920, Om002G042810	jg25048
OG0000035	Om007G280220, Om007G279280, Om006G269650, Om008G331040	jg23606, jg20747, jg20748
OG0000035	Om004G132400, Om008G334460, Om007G279790	jg18271, jg18309
OG0000035	Om003G126360, Om003G126370	jg16184
OG0000038	Om005G196570, Om004G131590	jg20023, jg549
OG0000038	Om003G091800	jg31063, jg31071, jg31062, jg31070, jg31999, jg31068, jg31060
OG0000038	Om006G262290	jg14792, jg14795, jg11019, jg11066, jg18146, jg12694, jg12670, jg6336, jg15287
OG0000038	Om001G023300	jg25018
OG0000038	Om008G322940	jg11068
OG0000038	Om002G053860, Om001G005520	jg25017, jg25016, jg25015
OG0000039	Om008G321840	jg6819, jg32205
OG0000040	Om002G084710, Om002G084780, Om002G084740, Om002G084670	jg30787, jg31202, jg31203, jg25536
OG0000040	Om008G328570	jg14799, jg17824, jg14802, jg14804, jg1537
OG0000041	Om003G112520, Om001G018430, Om007G297590, Om007G301270, Om004G141670, Om009G364080, Om007G307140, Om001G021310, Om002G075020, Om002G075010, Om001G018420	jg6878
OG0000042	Om004G177160	jg17939
OG0000044	Om006G265780	jg21339, jg1555
OG0000044	Om007G314900	jg13501, jg20886
OG0000044	Om007G312940, Om006G264420, Om002G069520, Om005G221680, Om005G221660	jg12140
OG0000045	Om001G031280	jg21055
OG0000046	Om006G241220	jg12463, jg12464
OG0000046	Om001G001860	jg10780
OG0000046	Om005G206750	jg2195, jg2209, jg2212
OG0000047	Om006G238470	jg20815, jg24929, jg1126, jg28031, jg17679
OG0000047	Om006G268590, Om001G028180, Om007G295630	jg14037
OG0000048	Om007G296190, Om007G296250	jg5634, jg5644
OG0000050	Om007G308990	jg7029, jg13871
OG0000050	Om006G268560	jg21178
OG0000050	Om008G341390, Om005G201890, Om005G219290	jg32622
OG0000052	Om005G179650, Om008G361390, Om005G180640	jg29349
