Orthogroup	Odontarrhena_muralis	Cardamine_hirsuta
OG0000156	Om004G146270, Om008G321930, Om001G022080, Om008G321920, Om008G322040, Om008G322020	CARHR140750
OG0000157	Om001G032790, Om001G032520, Om008G334520, Om008G334530, Om002G083660	CARHR102680
OG0000157	Om008G326040, Om008G355750	CARHR133050, CARHR115930, CARHR115970, CARHR115940, CARHR133070, CARHR133060, CARHR101240
OG0000158	Om001G012390, Om001G033100, Om001G033130	CARHR245230
OG0000161	Om006G236100, Om006G236170	CARHR275720, CARHR275710, CARHR275730, CARHR120610, CARHR120240, CARHR120250
OG0000161	Om007G278440	CARHR056690
OG0000161	Om004G167210, Om006G249300	CARHR038540, CARHR038530, CARHR056610, CARHR056630, CARHR038520, CARHR038560
OG0000162	Om003G125430	CARHR170850
OG0000162	Om003G125390	CARHR069160, CARHR059610
OG0000162	Om003G125140	CARHR170820
OG0000162	Om003G125170	CARHR170840
OG0000162	Om008G322780, Om008G322790	CARHR140170
OG0000164	Om001G039840	CARHR041160, CARHR041170
OG0000164	Om001G039830	CARHR246950
OG0000167	Om001G004410	CARHR226380
OG0000169	Om003G127060	CARHR067340
OG0000171	Om003G127920	CARHR142560
OG0000171	Om005G207720	CARHR023910
OG0000171	Om005G220880	CARHR010800, CARHR052550
OG0000171	Om007G301020	CARHR198650
OG0000172	Om003G122950	CARHR169320
OG0000172	Om003G123000	CARHR169390
OG0000172	Om003G122820	CARHR169360
OG0000174	Om003G109150	CARHR286250
OG0000175	Om002G084540, Om006G257450	CARHR160880
OG0000175	Om004G137100	CARHR069390
OG0000175	Om002G082840	CARHR243300
OG0000176	Om007G291450	CARHR253630, CARHR047620
OG0000176	Om008G352670, Om008G352700, Om008G352660, Om008G352690, Om007G291500	CARHR144020, CARHR029840
OG0000178	Om005G226210	CARHR181910
OG0000178	Om004G134680, Om004G134670, Om003G110440, Om002G077640, Om005G199540, Om007G276140, Om004G164470, Om002G068680	CARHR124520, CARHR098760
OG0000181	Om005G212500	CARHR110940
OG0000184	Om006G270790	CARHR157490, CARHR154180, CARHR181110
