Orthogroup	Odontarrhena_muralis	Cochlearia_excelsa
OG0000015	Om002G088840	g35814, g36777, g17194, g10206, g42100, g35247, g34265, g40661, g36021, g25817, g53143, g53815, g8558, g14879, g27728, g36346, g32986, g8573
OG0000017	Om004G151020, Om004G146420, Om008G347290, Om002G079940, Om008G359420, Om007G308900	g5712, g5713
OG0000017	Om003G110750, Om007G302050, Om004G150950, Om009G363620, Om007G307580, Om008G344670, Om002G080330, Om001G016040	g14557, g17020, g39315
OG0000017	Om003G101880, Om004G153720	g41997, g33121, g3359, g6214
OG0000018	Om008G335480, Om007G284460, Om008G361630	g2213, g49590, g14568, g25751, g34956, g53077, g43442, g33130, g45148, g29629, g43760, g4386, g2331, g37069, g33471, g14567, g33125, g25750
OG0000019	Om005G222770	g4839
OG0000019	Om004G154810	g6080
OG0000019	Om003G104700	g43707, g18316, g27825
OG0000019	Om002G077910	g2481
OG0000020	Om010G364780, Om008G361310	g35282, g34309, g41784, g25262, g3253
OG0000020	Om008G361920	g32772, g14852, g5354, g15953, g41695, g3939, g16600, g31991, g27855, g16029, g32780, g16316, g34338, g35298, g27173, g4384, g8228, g32773, g14853, g1941, g35021, g27176, g4006, g15963, g4751, g26227
OG0000020	Om007G309390	g26122
OG0000021	Om005G226540, Om001G020790	g14063
OG0000021	Om007G291430, Om002G057270	g45682, g1448
OG0000021	Om001G020780, Om001G006810, Om002G059070	g3713, g24107, g3725, g24106, g46643
OG0000023	Om001G010360, Om001G009290	g47441, g23897
OG0000023	Om008G351580	g25723
OG0000023	Om008G351620, Om008G351630	g40374
OG0000023	Om001G010250	g23907, g24643
OG0000024	Om007G304730, Om008G342080, Om001G017150, Om001G030080, Om007G305000	g45320, g32515
OG0000027	Om007G316890	g43469
OG0000027	Om005G224020	g40788
OG0000029	Om008G343780	g29817
OG0000029	Om005G216790	g46975
OG0000029	Om001G020560, Om002G078670, Om007G309080, Om007G298320	g35797
OG0000029	Om004G147450	g49276, g4525, g37385, g6082
OG0000029	Om006G262550, Om004G151510	g45349
OG0000029	Om007G298330	g1672
OG0000030	Om004G153710	g6306, g40103, g6175, g48553, g8527, g41465, g35926
OG0000030	Om020G374410, Om004G155320	g31187
OG0000030	Om004G152960	g37182
OG0000030	Om001G005680	g14858
OG0000030	Om004G165220	g30544, g8826
OG0000030	Om001G038800, Om006G253510	g31186
OG0000030	Om004G148440, Om006G271430, Om006G263330	g33113
OG0000030	Om005G226380	g43791, g44909, g43774, g43790, g5736
OG0000031	Om006G252510	g5030
OG0000031	Om002G063040	g13269
OG0000031	Om001G018890	g17118
OG0000032	Om008G348910	g20823
OG0000032	Om008G348890	g27898, g7014
OG0000033	Om001G010240	g23911
OG0000033	Om001G007120	g24014
OG0000033	Om001G010110	g23912
OG0000034	Om010G364590, Om008G356530, Om001G014760	g53562, g44911, g15119
OG0000034	Om008G348960	g33115
OG0000034	Om006G264160	g34448
OG0000034	Om003G107450	g15118, g44910
OG0000034	Om004G146340, Om008G350170, Om002G076250, Om008G348400, Om007G307960, Om008G348190	g42218, g42234
OG0000034	Om002G079430	g15664, g3441, g9297
OG0000034	Om009G362950	g15120
OG0000035	Om007G280400, Om005G227290, Om004G176320, Om007G280390	g39852, g39841
OG0000035	Om006G273920, Om002G042810	g51286, g36519, g3814
OG0000037	Om005G188070	g23617, g39408, g20917, g29939, g20308, g28559, g25198, g14254, g2520, g10090, g6551, g27201, g54294, g38089, g14278, g52663, g1250, g13609
OG0000037	Om001G014920	g5625
OG0000038	Om006G262290	g24239
OG0000038	Om001G029210	g49458
OG0000038	Om008G322940	g52037
OG0000038	Om002G053860, Om001G005520	g44982, g44984, g44985, g7414
OG0000039	Om006G250590, Om002G057780	g4633, g43206, g26753, g50113, g53808
OG0000040	Om002G084710, Om002G084780, Om002G084740, Om002G084670	g38367, g38376, g38372, g38380
OG0000040	Om008G328570	g13797, g13799
OG0000041	Om007G301270, Om004G141670, Om009G364080, Om007G307140	g28599
OG0000041	Om002G075010, Om001G018420	g36073
OG0000042	Om004G177160	g18621
OG0000043	Om007G304750	g14381, g14371, g53175
OG0000043	Om002G089060	g4564, g25886, g53199, g35810
OG0000044	Om006G265780	g33267
OG0000044	Om007G314900	g14749, g15027, g4490, g17910, g17917, g16165, g31981, g43446
OG0000044	Om007G312940, Om006G264420, Om002G069520, Om005G221680, Om005G221660	g36166, g25959
OG0000045	Om003G112290	g7244, g39351, g17718, g41293
OG0000045	Om001G031280	g42618
OG0000046	Om006G241220	g46717
OG0000046	Om006G253990	g18113
OG0000046	Om005G206750	g18042
OG0000047	Om006G238470	g25473, g27561, g41540, g28657, g32593, g13831, g36935, g2942, g14554, g51362
OG0000047	Om006G268590, Om001G028180	g4320, g7910
OG0000047	Om007G295630	g3851
OG0000047	Om007G314310, Om002G071890, Om005G222620	g28468, g43700, g14016, g18660, g44830, g41217, g37480, g4319, g45363, g51127, g3853, g11964
OG0000048	Om007G296190, Om007G296250	g4946, g4940, g29028, g29029
OG0000048	Om007G296260	g4944
OG0000049	Om002G080850	g19447, g6205
OG0000050	Om007G308990	g44326, g2819, g44187
OG0000052	Om008G326580	g53934
