Orthogroup	Odontarrhena_muralis	Euclidium_syriacum
OG0000096	Om007G301150, Om003G093070, Om006G274060	ESY7_g18827_DN2_SP0_c0.t1
OG0000097	Om008G355550, Om008G355560	ESY7_g16525_DN2_SP0_c0.t1
OG0000097	Om008G355570	ESY7_g16536_DN3_SP0_c0.t1
OG0000097	Om008G355700	ESY7_g16540_DN3_SP0_c0.t1, ESY7_g16443_DN3_SP0_c0.t1, ESY7_g16444_DN3_SP0_c0.t1
OG0000098	Om001G001780	ESY2_g33651_DN2_SP0_c0.t1, ESY2_g33647_DN2_SP0_c0.t1
OG0000098	Om005G191670	ESY5_g3820_DN1_SP0_c0.t1
OG0000098	Om005G191560	ESY5_g3778_DN2_SP0_c0.t1
OG0000098	Om005G191920, Om005G192380	ESY5_g3790_DN3_SP0_c0.t1, ESY8_g59143_DN2_SP0_c0.t1
OG0000099	Om005G227510	ESY2_g33426_DN3_SP0_c0.t1, ESY2_g33422_DN3_SP0_c0.t1
OG0000101	Om005G227020, Om005G227120, Om005G227680, Om005G227700, Om005G227110, Om005G226820, Om005G226700, Om005G227060, Om005G227690	ESY1_g11939_DN1_SP0_c0.t1
OG0000104	Om007G283030	ESY8_g58838_DN3_SP0_c18.t1
OG0000104	Om007G283020	ESY8_g58834_DN3_SP0_c19.t1
OG0000104	Om003G095420	ESY2_g37202_DN3_SP0_c14.t1
OG0000106	Om002G065280, Om002G066780	ESY3_g29685_DN2_SP0_c0.t1
OG0000106	Om005G222030	ESY3_g31121_DN3_SP0_c0.t1
OG0000107	Om002G051530, Om002G051540, Om004G133060, Om002G067730, Om002G067740, Om004G133090, Om001G020080, Om002G067770, Om002G067720, Om007G309010	ESY4_g23035_DN3_SP0_c29.t1
OG0000108	Om003G100270, Om003G100260	ESY7_g17569_DN3_SP0_c0.t1, ESY9_g43933_DN2_SP0_c0.t1, ESY1_g10333_DN2_SP0_c0.t1
OG0000108	Om003G104790, Om003G104780, Om003G103800, Om003G124630, Om008G338810	ESY5_g5060_DN3_SP0_c0.t1, ESY6_g50064_DN2_SP0_c0.t1, ESY7_g16092_DN2_SP0_c0.t1, ESY7_g16160_DN2_SP0_c0.t1
OG0000108	Om006G273810	ESY11_g53834_DN2_SP0_c0.t1
