Orthogroup	Odontarrhena_muralis	Conringia_planisiliqua
OG0000049	Om002G080850	CP7_g44254_DN1_SP0_c.t1, CP15_g34935_DN3_SP0_c.t1, CP34_g51571_DN3_SP0_c.t1, CP12_g31463_DN1_SP0_c.t1, CP6_g9686_DN3_SP0_c.t1, CP2_g50310_DN2_SP0_c.t1, CP14_g22621_DN3_SP0_c.t1
OG0000050	Om007G308990	CP18_g11588_DN2_SP0_c.t1, CP1_g38352_DN3_SP0_c.t1, CP18_g12167_DN3_SP0_c.t1
OG0000050	Om002G076710, Om007G299220, Om002G077490	CP7_g44165_DN3_SP0_c.t1
OG0000050	Om006G268560	CP22_g17665_DN2_SP0_c.t1, CP6_g9071_DN2_SP0_c.t1
OG0000050	Om006G266210, Om002G080140	CP18_g11589_DN2_SP0_c.t1, CP1_g40826_DN1_SP0_c.t1, CP4_g26777_DN2_SP0_c.t1, CP24_g46981_DN1_SP0_c.t1
OG0000050	Om008G341390, Om005G201890, Om005G219290	CP1_g40964_DN3_SP0_c.t1
OG0000052	Om008G326600	CP1_g36582_DN3_SP0_c.t1
OG0000052	Om008G326590	CP9_g28198_DN3_SP0_c.t1
OG0000052	Om008G326540	CP4_g24480_DN3_SP0_c.t1
OG0000054	Om002G043200, Om007G279110, Om006G263890, Om006G251510, Om008G354720, Om007G277220, Om003G128320, Om005G214240, Om002G057290	CP5_g2131_DN3_SP0_c.t1
OG0000055	Om005G202820, Om005G227820, Om005G224840	CP2_g49031_DN3_SP0_c.t1
OG0000055	Om005G224080	CP2_g49066_DN2_SP0_c.t1
OG0000055	Om008G333680	CP11_g31796_DN3_SP0_c.t1
OG0000055	Om008G361740, Om008G332920, Om003G120530, Om005G198120	CP2_g49067_DN3_SP0_c.t1, CP2_g49076_DN3_SP0_c.t1, CP2_g49080_DN3_SP0_c.t1
OG0000056	Om007G293600, Om007G317020, Om002G062780, Om004G164880, Om007G309970	CP2_g49697_DN3_SP0_c.t1
OG0000056	Om008G340700	CP12_g31151_DN1_SP0_c.t1, CP14_g23418_DN2_SP0_c.t1
OG0000056	Om008G361080, Om003G090740, Om007G293830, Om008G321670	CP5_g1872_DN1_SP0_c.t1, CP14_g22894_DN3_SP0_c.t1, CP13_g20359_DN3_SP0_c.t1, CP10_g43900_DN2_SP0_c.t1
OG0000056	Om003G107750, Om001G017780	CP76_g27141_DN3_SP0_c.t1, CP23_g21854_DN3_SP0_c.t1, CP23_g21662_DN2_SP0_c.t1, CP23_g21733_DN3_SP0_c.t1, CP23_g21767_DN1_SP0_c.t1, CP22_g17221_DN2_SP0_c.t1, CP22_g17291_DN1_SP0_c.t1, CP23_g21606_DN1_SP0_c.t1, CP6_g9003_DN1_SP0_c.t1
OG0000058	Om006G274780, Om004G171770, Om006G269070, Om006G268950, Om004G151670, Om006G270860, Om002G082880	CP4_g26939_DN1_SP0_c.t1
OG0000058	Om008G335110, Om007G318000, Om007G289630, Om007G296230	CP21_g11182_DN2_SP0_c.t1, CP3_g15241_DN1_SP0_c.t1, CP5_g3335_DN2_SP0_c.t1
OG0000059	Om003G092270, Om002G088980	CP12_g31525_DN1_SP0_c.t1
OG0000059	Om001G008500	CP15_g36037_DN2_SP0_c.t1
OG0000060	Om008G348970, Om003G127290, Om006G235900	CP4_g26283_DN1_SP0_c.t1
OG0000061	Om003G100910, Om006G238480, Om006G263600, Om005G223660, Om006G249810, Om002G076700, Om003G106600, Om008G345470, Om008G347220, Om006G268200, Om007G301100, Om002G047100, Om002G043890, Om005G177780, Om008G328920, Om003G114550, Om005G191460, Om007G312950, Om003G111810, Om008G353280, Om006G242410, Om001G020570, Om005G225030, Om004G146510, Om001G027660	CP1_g40914_DN2_SP0_c.t1
OG0000062	Om003G109490	CP7_g44287_DN2_SP0_c.t1
OG0000063	Om003G118830	CP8_g53991_DN3_SP0_c.t1
OG0000063	Om005G185660, Om007G283280	CP1_g37064_DN3_SP0_c.t1
OG0000063	Om005G185680	CP3_g14841_DN3_SP0_c.t1
OG0000064	Om001G041080	CP5_g77_DN1_SP0_c.t1
OG0000065	Om005G217710	CP24_g47137_DN2_SP0_c.t1
OG0000065	Om006G268440	CP9_g27570_DN1_SP0_c.t1
OG0000066	Om008G337830, Om006G231860	CP4_g25642_DN3_SP0_c.t1
OG0000066	Om004G165570	CP2_g49425_DN3_SP0_c.t1
OG0000067	Om001G023220	CP12_g31237_DN3_SP0_c.t1
OG0000068	Om006G264170, Om007G304230, Om004G149200, Om004G147110	CP26_g51196_DN1_SP0_c.t1
OG0000068	Om007G308160, Om005G212100	CP1_g40830_DN2_SP0_c.t1, CP3_g16137_DN3_SP0_c.t1, CP4_g26781_DN3_SP0_c.t1, CP24_g46983_DN2_SP0_c.t1
OG0000068	Om002G079160	CP1_g40829_DN2_SP0_c.t1, CP4_g26782_DN2_SP0_c.t1
OG0000069	Om005G212060, Om005G223000	CP5_g2097_DN2_SP0_c.t1
OG0000069	Om005G212160	CP8_g52571_DN1_SP0_c.t1, CP13_g20431_DN2_SP0_c.t1, CP9_g29611_DN2_SP0_c.t1, CP8_g53134_DN1_SP0_c.t1
OG0000070	Om005G218350, Om004G150670	CP9_g27907_DN2_SP0_c.t1
OG0000073	Om008G360660	CP13_g20691_DN1_SP0_c.t1
OG0000074	Om004G144080, Om004G144240, Om004G144070, Om004G144330, Om004G144320	CP7_g45419_DN3_SP0_c.t1
OG0000074	Om004G144060	CP7_g45418_DN3_SP0_c.t1, CP7_g45417_DN3_SP0_c.t1, CP7_g45428_DN3_SP0_c.t1
OG0000074	Om004G143980	CP7_g45420_DN3_SP0_c.t1
OG0000074	Om004G144100	CP20_g4368_DN3_SP0_c.t1
OG0000074	Om004G143840	CP7_g45432_DN3_SP0_c.t1
OG0000075	Om008G342390, Om001G025890, Om001G025920	CP1_g37296_DN2_SP0_c.t1, CP1_g37302_DN2_SP0_c.t1
OG0000076	Om006G255670	CP7_g44259_DN3_SP0_c.t1
OG0000076	Om006G242520, Om003G090370	CP13_g19766_DN3_SP0_c.t1
OG0000077	Om001G039420	CP5_g173_DN1_SP0_c.t1
OG0000079	Om003G122890, Om003G122910, Om003G122930, Om003G122940	CP16_g55065_DN3_SP0_c.t1
OG0000081	Om003G096480, Om003G096490	CP7_g44975_DN1_SP0_c.t1
OG0000081	Om003G098080	CP1_g38017_DN2_SP0_c.t1
OG0000081	Om003G096460	CP8_g53130_DN2_SP0_c.t1
OG0000081	Om005G184670, Om005G184660	CP7_g45047_DN1_SP0_c.t1
OG0000082	Om006G275030	CP17_g6148_DN2_SP0_c.t1
OG0000082	Om008G349260	CP15_g35761_DN3_SP0_c.t1, CP2_g49995_DN3_SP0_c.t1, CP3_g15632_DN1_SP0_c.t1, CP23_g21380_DN2_SP0_c.t1
OG0000082	Om007G305200, Om007G305330	CP9_g27553_DN1_SP0_c.t1
OG0000082	Om003G121830, Om002G084590	CP16_g55573_DN1_SP0_c.t1, CP29_g22172_DN2_SP0_c.t1, CP29_g22188_DN2_SP0_c.t1, CP20_g3823_DN2_SP0_c.t1, CP29_g22187_DN1_SP0_c.t1
OG0000085	Om005G217190	CP15_g35533_DN1_SP0_c.t1
OG0000086	Om004G163220	CP18_g12051_DN1_SP0_c.t1
OG0000087	Om006G238380	CP2_g48308_DN3_SP8_c.t1
OG0000087	Om007G282390	CP4_g25793_DN3_SP8_c.t1
OG0000087	Om006G235110	CP2_g48035_DN3_SP7_c.t1
OG0000087	Om004G162490	CP11_g32707_DN3_SP8_c.t1
OG0000087	Om008G339690	CP4_g25265_DN3_SP6_c.t1
OG0000087	Om008G355890	CP13_g20168_DN3_SP8_c.t1
OG0000087	Om001G006430	CP6_g6768_DN3_SP8_c.t1
OG0000087	Om004G137360	CP9_g29223_DN3_SP8_c.t1
OG0000090	Om005G202290, Om005G179690	CP7_g45746_DN3_SP0_c.t1
OG0000090	Om003G098630, Om003G099040	CP1_g38197_DN2_SP0_c.t1, CP1_g38202_DN3_SP0_c.t1
OG0000091	Om006G264850	CP18_g12036_DN3_SP0_c.t1
OG0000093	Om003G122050	CP3_g13515_DN3_SP0_c.t1
OG0000093	Om001G033140	CP3_g14024_DN3_SP0_c.t1
OG0000096	Om007G301150, Om003G093070, Om006G274060	CP13_g19516_DN3_SP0_c.t1
OG0000096	Om004G143550, Om008G360980	CP13_g20034_DN3_SP0_c.t1, CP13_g20036_DN3_SP0_c.t1
OG0000097	Om008G355680, Om008G355600, Om004G133820	CP5_g1424_DN3_SP0_c.t1
OG0000098	Om005G191670, Om008G342380	CP1_g37532_DN1_SP0_c.t1
OG0000098	Om005G191920, Om005G192380	CP13_g20427_DN3_SP0_c.t1
OG0000100	Om007G304610	CP17_g5913_DN2_SP0_c.t1, CP17_g5918_DN2_SP0_c.t1
OG0000100	Om004G134490, Om004G142840	CP8_g52256_DN3_SP0_c.t1
OG0000106	Om005G222030	CP12_g30930_DN3_SP0_c.t1, CP12_g30984_DN3_SP0_c.t1, CP12_g30986_DN3_SP0_c.t1
OG0000107	Om002G067730	CP7_g44349_DN3_SP0_c.t1, CP7_g44362_DN3_SP0_c.t1
OG0000107	Om002G067770	CP15_g34930_DN1_SP0_c.t1
OG0000107	Om002G067720, Om007G309010	CP6_g8709_DN3_SP0_c.t1
OG0000108	Om003G104790, Om003G104780, Om003G103800, Om003G124630, Om008G338810	CP17_g5784_DN1_SP0_c.t1
OG0000109	Om007G296220	CP3_g15613_DN2_SP0_c.t1
