Orthogroup	Conringia_planisiliqua	Cardamine_amara
OG0000042	CP13_g20255_DN1_SP0_c.t1	evm.model.RL_6.2221
OG0000043	CP29_g22024_DN2_SP0_c.t1	evm.model.RL_3.816
OG0000044	CP30_g10197_DN3_SP0_c.t1, CP1_g41420_DN3_SP0_c.t1	evm.model.RL_4.607, evm.model.RL_6.541
OG0000044	CP1_g39285_DN1_SP0_c.t1	evm.model.RL_8.225, evm.model.RL_2.612, evm.model.RL_1.2874, evm.model.RL_8.631, evm.model.RL_8.462, evm.model.RL_6.580, evm.model.RL_4.2682
OG0000045	CP26_g51323_DN1_SP0_c.t1	evm.model.RL_7.883, evm.model.RL_8.1002
OG0000045	CP15_g34638_DN1_SP0_c.t1, CP15_g34657_DN1_SP0_c.t1, CP15_g34584_DN1_SP0_c.t1, CP15_g34568_DN1_SP0_c.t1	evm.model.RL_6.267
OG0000046	CP9_g28234_DN3_SP0_c.t1	evm.model.RL_3.1077
OG0000046	CP5_g1666_DN1_SP0_c.t1	evm.model.RL_2.393
OG0000049	CP3_g15154_DN3_SP0_c.t1, CP14_g23198_DN3_SP0_c.t1	evm.model.RL_4.948
OG0000052	CP2_g49334_DN3_SP0_c.t1, CP1_g36582_DN3_SP0_c.t1, CP2_g49248_DN2_SP0_c.t1	evm.model.RL_8.2684
OG0000052	CP9_g28198_DN3_SP0_c.t1	evm.model.RL_6.2368
OG0000053	CP20_g3949_DN2_SP0_c.t1, CP1_g38971_DN3_SP0_c.t1	evm.model.RL_1.2655
OG0000054	CP3_g15706_DN3_SP0_c.t1, CP3_g15691_DN3_SP0_c.t1	evm.model.RL_8.912, evm.model.RL_7.2126
OG0000054	CP5_g2131_DN3_SP0_c.t1	evm.model.RL_1.2395
OG0000054	CP9_g27904_DN3_SP0_c.t1	evm.model.RL_1.3123
OG0000055	CP2_g49066_DN2_SP0_c.t1	evm.model.RL_3.277
OG0000056	CP9_g27806_DN2_SP0_c.t1, CP6_g9757_DN2_SP0_c.t1, CP6_g8758_DN1_SP0_c.t1, CP22_g17290_DN2_SP0_c.t1, CP12_g31151_DN1_SP0_c.t1, CP14_g23418_DN2_SP0_c.t1, CP3_g16601_DN1_SP0_c.t1, CP12_g31150_DN2_SP0_c.t1	evm.model.RL_2.634
OG0000056	CP4_g26050_DN2_SP0_c.t1	evm.model.RL_1.2423
OG0000056	CP24_g47158_DN2_SP0_c.t1	evm.model.RL_8.1064, evm.model.RL_7.2479
OG0000057	CP10_g42516_DN3_SP0_c.t1	evm.model.RL_4.2353
OG0000057	CP10_g42649_DN3_SP0_c.t1	evm.model.RL_1.2359
OG0000058	CP4_g26939_DN1_SP0_c.t1	evm.model.RL_6.526
OG0000059	CP2_g50572_DN1_SP0_c.t1, CP6_g7965_DN2_SP0_c.t1, CP5_g3097_DN2_SP0_c.t1, CP20_g3928_DN2_SP0_c.t1, CP20_g4073_DN2_SP0_c.t1, CP20_g4091_DN1_SP0_c.t1	evm.model.RL_2.445
OG0000059	CP26_g51324_DN2_SP0_c.t1	evm.model.RL_8.1003, evm.model.RL_6.341
OG0000059	CP13_g20626_DN1_SP0_c.t1	evm.model.RL_7.1801
OG0000059	CP50_g6564_DN3_SP0_c.t1	evm.model.RL_6.844
OG0000059	CP3_g14979_DN3_SP0_c.t1	evm.model.RL_7.1802
OG0000059	CP12_g31581_DN1_SP0_c.t1	evm.model.RL_7.2089
OG0000059	CP5_g3316_DN2_SP0_c.t1	evm.model.RL_4.1269
OG0000059	CP15_g36037_DN2_SP0_c.t1	evm.model.RL_6.807
OG0000060	CP4_g26283_DN1_SP0_c.t1	evm.model.RL_4.110
OG0000060	CP1_g40521_DN1_SP0_c.t1, CP6_g8728_DN2_SP0_c.t1, CP15_g34513_DN2_SP0_c.t1, CP26_g51317_DN2_SP0_c.t1, CP28_g33833_DN1_SP0_c.t1, CP5_g3440_DN1_SP0_c.t1, CP23_g21357_DN2_SP0_c.t1, CP18_g11519_DN1_SP0_c.t1, CP7_g44268_DN3_SP0_c.t1, CP8_g52493_DN1_SP0_c.t1, CP18_g11595_DN2_SP0_c.t1, CP6_g9762_DN2_SP0_c.t1, CP17_g6200_DN1_SP0_c.t1, CP28_g33789_DN3_SP0_c.t1, CP15_g35222_DN2_SP0_c.t1, CP4_g26566_DN2_SP0_c.t1, CP1_g39393_DN2_SP0_c.t1, CP9_g27602_DN1_SP0_c.t1, CP35_g52041_DN1_SP0_c.t1, CP3_g16147_DN1_SP0_c.t1, CP29_g22023_DN2_SP0_c.t1, CP23_g21362_DN2_SP0_c.t1, CP14_g23560_DN1_SP0_c.t1, CP1_g40045_DN1_SP0_c.t1, CP1_g39302_DN3_SP0_c.t1, CP14_g23290_DN3_SP0_c.t1, CP2_g50628_DN3_SP0_c.t1, CP1_g40977_DN1_SP0_c.t1, CP3_g15514_DN2_SP0_c.t1, CP3_g16309_DN3_SP0_c.t1, CP17_g5792_DN2_SP0_c.t1, CP18_g12096_DN1_SP0_c.t1, CP7_g44105_DN2_SP0_c.t1, CP15_g35072_DN1_SP0_c.t1, CP18_g11551_DN2_SP0_c.t1, CP6_g8880_DN3_SP0_c.t1, CP27_g41904_DN3_SP0_c.t1, CP23_g21444_DN1_SP0_c.t1, CP3_g16691_DN2_SP0_c.t1, CP2_g50559_DN2_SP0_c.t1, CP17_g4943_DN2_SP0_c.t1, CP28_g33906_DN3_SP0_c.t1, CP17_g6078_DN2_SP0_c.t1, CP33_g3690_DN2_SP0_c.t1, CP1_g38708_DN2_SP0_c.t1, CP59_g6671_DN2_SP0_c.t1, CP15_g34966_DN2_SP0_c.t1, CP24_g47456_DN2_SP0_c.t1, CP23_g21555_DN3_SP0_c.t1, CP23_g21696_DN3_SP0_c.t1, CP115_g10367_DN3_SP0_c.t1, CP23_g21502_DN2_SP0_c.t1, CP3_g16462_DN1_SP0_c.t1, CP3_g16619_DN1_SP0_c.t1, CP3_g16333_DN3_SP0_c.t1, CP6_g9846_DN2_SP0_c.t1, CP1_g40606_DN2_SP0_c.t1, CP6_g9555_DN1_SP0_c.t1, CP3_g16695_DN3_SP0_c.t1, CP4_g26744_DN1_SP0_c.t1	evm.model.RL_3.1064, evm.model.RL_3.817, evm.model.RL_8.1029, evm.model.RL_7.1968
OG0000061	CP1_g40914_DN2_SP0_c.t1	evm.model.RL_6.2768, evm.model.RL_3.1126, evm.model.RL_6.2867, evm.model.RL_7.2504, evm.model.RL_7.1966, evm.model.RL_8.1041
OG0000062	CP7_g44287_DN2_SP0_c.t1	evm.model.RL_2.991, evm.model.RL_6.777
OG0000063	CP1_g37049_DN3_SP0_c.t1, CP3_g14842_DN3_SP0_c.t1	evm.model.RL_6.1828
OG0000065	CP24_g47137_DN2_SP0_c.t1	evm.model.RL_2.692, evm.model.RL_1.2797
OG0000066	CP4_g25642_DN3_SP0_c.t1	evm.model.RL_5.781, evm.model.RL_8.2623
OG0000066	CP2_g49425_DN3_SP0_c.t1	evm.model.RL_4.2540, evm.model.RL_8.2622
OG0000067	CP12_g31237_DN3_SP0_c.t1	evm.model.RL_7.2627
OG0000069	CP5_g2097_DN2_SP0_c.t1	evm.model.RL_8.289
OG0000069	CP20_g3890_DN2_SP0_c.t1	evm.model.RL_1.2285
OG0000069	CP6_g9730_DN1_SP0_c.t1, CP18_g12305_DN2_SP0_c.t1, CP15_g34957_DN1_SP0_c.t1, CP6_g9731_DN1_SP0_c.t1	evm.model.RL_4.1093
OG0000070	CP9_g27907_DN2_SP0_c.t1	evm.model.RL_2.838
OG0000074	CP7_g45433_DN3_SP0_c.t1, CP7_g45431_DN3_SP0_c.t1	evm.model.RL_5.3415
OG0000076	CP13_g19766_DN3_SP0_c.t1	evm.model.RL_6.1653
OG0000077	CP5_g173_DN1_SP0_c.t1	evm.model.RL_6.2241, evm.model.RL_6.145
OG0000078	CP5_g2099_DN3_SP0_c.t1	evm.model.RL_7.1903
OG0000079	CP17_g4852_DN2_SP0_c.t1	evm.model.RL_1.227
OG0000081	CP7_g44768_DN1_SP0_c.t1, CP16_g55147_DN3_SP0_c.t1	evm.model.RL_6.922
OG0000081	CP8_g53130_DN2_SP0_c.t1	evm.model.RL_5.1972
OG0000082	CP18_g12600_DN2_SP0_c.t1	evm.model.RL_7.1932
OG0000082	CP9_g27553_DN1_SP0_c.t1	evm.model.RL_7.1946
OG0000082	CP9_g27552_DN2_SP0_c.t1	evm.model.RL_8.732
OG0000082	CP24_g47338_DN2_SP0_c.t1	evm.model.RL_3.408
OG0000083	CP22_g17376_DN1_SP0_c.t1	evm.model.RL_1.2208
OG0000084	CP16_g55159_DN2_SP0_c.t1	evm.model.RL_6.376
OG0000086	CP18_g12051_DN1_SP0_c.t1	evm.model.RL_3.615, evm.model.RL_4.2411, evm.model.RL_4.2410
OG0000087	CP2_g48308_DN3_SP8_c.t1	evm.model.RL_4.1345
OG0000087	CP4_g25793_DN3_SP8_c.t1	evm.model.RL_6.1057
OG0000087	CP3_g14713_DN3_SP4_c.t1	evm.model.RL_7.1685
OG0000087	CP11_g32707_DN3_SP8_c.t1	evm.model.RL_4.2360
OG0000087	CP4_g25265_DN3_SP6_c.t1	evm.model.RL_6.1567
OG0000087	CP13_g20168_DN3_SP8_c.t1	evm.model.RL_4.428
OG0000087	CP6_g6768_DN3_SP8_c.t1	evm.model.RL_2.1599
OG0000087	CP9_g29223_DN3_SP8_c.t1	evm.model.RL_3.1990
OG0000090	CP7_g45746_DN3_SP0_c.t1	evm.model.RL_5.1846
OG0000090	CP17_g5790_DN3_SP0_c.t1	evm.model.RL_5.885
OG0000091	CP3_g15860_DN3_SP0_c.t1, CP3_g15889_DN3_SP0_c.t1, CP2_g49990_DN3_SP0_c.t1, CP8_g52261_DN2_SP0_c.t1, CP8_g52260_DN2_SP0_c.t1, CP8_g52279_DN3_SP0_c.t1, CP18_g11648_DN3_SP0_c.t1, CP3_g15893_DN3_SP0_c.t1, CP3_g15864_DN3_SP0_c.t1, CP1_g38916_DN3_SP0_c.t1, CP2_g49989_DN3_SP0_c.t1, CP4_g26258_DN1_SP0_c.t1, CP4_g26257_DN3_SP0_c.t1	evm.model.RL_6.574
OG0000093	CP3_g13515_DN3_SP0_c.t1	evm.model.RL_7.523
OG0000096	CP2_g49683_DN2_SP0_c.t1	evm.model.RL_3.612
OG0000096	CP13_g19516_DN3_SP0_c.t1	evm.model.RL_7.2530
OG0000096	CP13_g20085_DN3_SP0_c.t1	evm.model.RL_4.362
OG0000102	CP33_g3650_DN2_SP0_c.t1, CP9_g27438_DN1_SP0_c.t1, CP15_g36115_DN1_SP0_c.t1, CP4_g26224_DN1_SP0_c.t1, CP6_g9672_DN2_SP0_c.t1	evm.model.RL_2.452
OG0000104	CP4_g25846_DN3_SP0_c.t1	evm.model.RL_6.1001
OG0000105	CP1_g40642_DN2_SP0_c.t1	evm.model.RL_1.2669
OG0000109	CP15_g34635_DN1_SP0_c.t1, CP15_g34653_DN3_SP0_c.t1, CP15_g34622_DN2_SP0_c.t1, CP15_g34582_DN1_SP0_c.t1, CP15_g34595_DN2_SP0_c.t1, CP2_g50412_DN2_SP0_c.t1	evm.model.RL_1.2215, evm.model.RL_4.1270
OG0000109	CP3_g15613_DN2_SP0_c.t1	evm.model.RL_6.809
OG0000109	CP26_g51159_DN1_SP0_c.t1, CP9_g27951_DN2_SP0_c.t1, CP3_g16738_DN1_SP0_c.t1, CP5_g3314_DN2_SP0_c.t1, CP3_g14976_DN2_SP0_c.t1	evm.model.RL_1.2946
OG0000109	CP6_g8583_DN3_SP0_c.t1	evm.model.RL_8.974, evm.model.RL_6.569, evm.model.RL_7.2090
OG0000109	CP1_g40029_DN1_SP0_c.t1	evm.model.RL_6.399
OG0000109	CP18_g12074_DN1_SP0_c.t1	evm.model.RL_1.2214
OG0000109	CP12_g31527_DN3_SP0_c.t1, CP24_g47038_DN2_SP0_c.t1	evm.model.RL_8.997
OG0000113	CP2_g50540_DN2_SP0_c.t1, CP2_g49355_DN1_SP0_c.t1	evm.model.RL_3.996
OG0000113	CP20_g4448_DN2_SP0_c.t1	evm.model.RL_4.346
OG0000113	CP12_g31635_DN1_SP0_c.t1	evm.model.RL_4.610, evm.model.RL_4.608
OG0000114	CP12_g31634_DN1_SP0_c.t1	evm.model.RL_4.609, evm.model.RL_3.630, evm.model.RL_1.339
OG0000115	CP2_g49800_DN1_SP0_c.t1	evm.model.RL_4.2608, evm.model.RL_4.2425, evm.model.RL_2.2979
OG0000116	CP6_g9453_DN3_SP0_c.t1, CP15_g35512_DN3_SP0_c.t1, CP28_g33977_DN3_SP0_c.t1	evm.model.RL_5.1553
OG0000117	CP94_g6387_DN3_SP0_c.t1, CP15_g34661_DN2_SP0_c.t1, CP1_g40571_DN3_SP0_c.t1, CP22_g17718_DN3_SP0_c.t1, CP14_g23878_DN3_SP0_c.t1, CP13_g20759_DN2_SP0_c.t1, CP3_g16299_DN1_SP0_c.t1	evm.model.RL_8.488
OG0000117	CP1_g41162_DN3_SP0_c.t1	evm.model.RL_3.358
OG0000120	CP2_g49217_DN3_SP0_c.t1, CP2_g49209_DN1_SP0_c.t1	evm.model.RL_3.399, evm.model.RL_3.395
OG0000120	CP6_g8949_DN3_SP0_c.t1, CP20_g4168_DN3_SP0_c.t1, CP20_g4172_DN3_SP0_c.t1	evm.model.RL_4.896, evm.model.RL_4.944, evm.model.RL_4.881, evm.model.RL_4.932
OG0000120	CP6_g7552_DN2_SP0_c.t1	evm.model.RL_6.505
OG0000122	CP8_g53628_DN3_SP0_c.t1	evm.model.RL_8.1713, evm.model.RL_5.2721
OG0000124	CP1_g38598_DN2_SP0_c.t1, CP6_g9750_DN1_SP0_c.t1	evm.model.RL_3.893
OG0000124	CP1_g39867_DN1_SP0_c.t1	evm.model.RL_3.1299
OG0000124	CP24_g47153_DN1_SP0_c.t1	evm.model.RL_2.1935, evm.model.RL_1.2598
OG0000125	CP11_g33621_DN2_SP0_c.t1, CP10_g42910_DN3_SP0_c.t1	evm.model.RL_4.3281
OG0000125	CP8_g54114_DN3_SP0_c.t1	evm.model.RL_4.1435
OG0000125	CP8_g54018_DN3_SP0_c.t1	evm.model.RL_8.2069
OG0000125	CP3_g14833_DN3_SP0_c.t1	evm.model.RL_7.1764, evm.model.RL_7.1769
OG0000125	CP4_g25869_DN3_SP0_c.t1	evm.model.RL_6.979
OG0000126	CP13_g20755_DN2_SP0_c.t1, CP8_g52207_DN3_SP0_c.t1, CP1_g40798_DN1_SP0_c.t1, CP18_g12086_DN1_SP0_c.t1, CP12_g30973_DN2_SP0_c.t1, CP6_g8636_DN1_SP0_c.t1, CP13_g20554_DN1_SP0_c.t1, CP1_g40799_DN1_SP0_c.t1, CP2_g50773_DN2_SP0_c.t1, CP36_g50966_DN3_SP0_c.t1, CP1_g39950_DN3_SP0_c.t1, CP14_g23196_DN3_SP0_c.t1, CP5_g2510_DN1_SP0_c.t1, CP18_g12085_DN2_SP0_c.t1, CP15_g35845_DN3_SP0_c.t1, CP95_g12688_DN3_SP0_c.t1, CP18_g11788_DN2_SP0_c.t1	evm.model.RL_1.2513
OG0000126	CP95_g12689_DN3_SP0_c.t1, CP18_g12087_DN3_SP0_c.t1, CP3_g14120_DN3_SP0_c.t1, CP13_g20555_DN3_SP0_c.t1, CP9_g27971_DN3_SP0_c.t1, CP6_g8634_DN3_SP0_c.t1, CP20_g4294_DN3_SP0_c.t1, CP2_g50772_DN3_SP0_c.t1, CP12_g30971_DN3_SP0_c.t1, CP6_g8637_DN2_SP0_c.t1, CP7_g44205_DN2_SP0_c.t1, CP13_g20756_DN1_SP0_c.t1, CP24_g46957_DN2_SP0_c.t1, CP3_g15844_DN1_SP0_c.t1	evm.model.RL_6.543, evm.model.RL_3.859
OG0000127	CP10_g42882_DN3_SP0_c.t1, CP3_g14752_DN3_SP0_c.t1, CP17_g6016_DN3_SP0_c.t1	evm.model.RL_1.822
OG0000128	CP25_g55878_DN2_SP0_c.t1	evm.model.RL_3.715
OG0000128	CP6_g9544_DN1_SP0_c.t1	evm.model.RL_4.1217
OG0000128	CP6_g9543_DN2_SP0_c.t1	evm.model.RL_5.2370
OG0000131	CP43_g41590_DN3_SP0_c.t1, CP1_g39028_DN2_SP0_c.t1, CP3_g16808_DN3_SP0_c.t1, CP7_g44107_DN1_SP0_c.t1	evm.model.RL_5.2318
OG0000131	CP3_g15174_DN1_SP0_c.t1, CP7_g44106_DN2_SP0_c.t1	evm.model.RL_4.867
