Orthogroup	Cardamine_glauca	Noccaea_praecox
OG0000056	Cg004G146250, Cg006G204780, Cg003G097370, Cg005G181880, Cg005G186560, Cg005G187160, Cg003G100780, Cg005G180320, Cg001G029590, Cg003G086110, Cg003G090290	Np001G021440, Np007G403430, Np004G213540, Np006G359220, Np006G348260, Np006G354660
OG0000058	Cg007G261210	Np005G294870
OG0000062	Cg007G260660, Cg005G180090	Np003G173970, Np003G170000
OG0000062	Cg010G326150	Np004G205130, Np004G215200, Np004G229630
OG0000063	Cg002G061320	Np004G251560, Np006G359840
OG0000064	Cg001G000750	Np005G260880
OG0000064	Cg008G325030	Np001G036990
OG0000065	Cg001G020190	Np003G168940
OG0000066	Cg007G276160, Cg014G331850, Cg002G064640, Cg003G077790, Cg002G064590, Cg007G254880, Cg001G001880, Cg001G001890	Np005G262320
OG0000066	Cg008G290840	Np003G136700
OG0000066	Cg008G290850	Np004G250510
OG0000066	Cg003G113360	Np003G136710
OG0000067	Cg004G154470	Np005G315250, Np005G315220, Np005G316020, Np005G316030, Np005G315340
OG0000067	Cg007G270520	Np006G321540, Np005G281650, Np006G321570, Np006G324160, Np006G322140, Np003G155590
OG0000067	Cg008G318950	Np003G144200
OG0000070	Cg002G063700	Np002G097070, Np006G358640, Np002G099070
OG0000071	Cg005G184980	Np001G008970, Np006G370520, Np003G157740
OG0000071	Cg006G240460	Np003G163260, Np003G136370, Np006G335610, Np002G086650, Np001G013300
OG0000071	Cg003G105610	Np004G200680, Np006G328540
OG0000072	Cg008G307960, Cg001G029810, Cg001G029820, Cg008G307970	Np003G172350, Np003G172320, Np003G172380, Np011G435700, Np007G401430, Np005G293510, Np005G297850, Np006G344890, Np002G118450, Np008G428100, Np002G117430, Np002G103330
OG0000074	Cg006G222160	Np004G229890
OG0000074	Cg006G222230, Cg006G222200, Cg006G222240, Cg006G222220	Np003G180910, Np003G184200
OG0000075	Cg008G291500, Cg008G290800, Cg008G290770	Np003G136640
OG0000075	Cg004G148530, Cg001G042020, Cg008G318380, Cg001G041980, Cg007G251300	Np007G378600
OG0000075	Cg008G301210	Np004G233640
