Orthogroup	Cochlearia_excelsa	Cardamine_glauca
OG0000126	g1792, g4332, g27839, g27662, g37157, g53925	Cg001G027760, Cg001G028690, Cg002G060390
OG0000126	g35446	Cg007G271870, Cg008G305740, Cg007G255150
OG0000127	g2965	Cg008G282750
OG0000127	g49766	Cg007G262280
OG0000128	g5236, g5604, g3371, g22741	Cg001G020220
OG0000129	g1920	Cg005G172680
OG0000131	g32639, g6351, g24938, g14468, g28182, g27531, g15993	Cg002G057540
OG0000131	g50797	Cg008G315100
OG0000132	g53769, g43756, g15634	Cg008G321270
OG0000133	g19947	Cg005G185140
OG0000133	g43464, g33594, g43872, g14817, g4106, g26152, g26059, g19681, g53756, g14659, g35132	Cg007G269340
OG0000135	g4028, g51256, g14066, g27772	Cg004G138210
OG0000136	g43995, g46769, g46768, g46770	Cg001G037110
OG0000136	g14687	Cg001G037100
OG0000138	g46708	Cg001G039000, Cg001G039020, Cg001G039010, Cg008G324060
OG0000138	g10340	Cg002G067580, Cg002G067290
OG0000139	g25175	Cg005G182990
OG0000140	g1248	Cg003G106800
OG0000140	g28714	Cg003G106450
OG0000140	g1252, g28702, g28701	Cg003G106810, Cg008G324860, Cg003G096950
OG0000142	g51155, g51154, g51130, g51156	Cg005G176030
OG0000144	g41746	Cg005G182040
OG0000145	g47338, g44486, g14472, g33147, g21632, g42257, g21852, g21844, g36809, g10312	Cg008G324160, Cg008G308910, Cg001G039950, Cg003G096580, Cg001G035820
OG0000146	g1010	Cg003G102630
OG0000146	g1011	Cg003G102640
OG0000147	g5985, g13932	Cg004G155250
OG0000147	g23426	Cg001G010340
OG0000147	g1105	Cg003G104960
OG0000147	g46563	Cg007G280860
OG0000147	g17885	Cg001G032760
OG0000147	g6339	Cg004G146670
OG0000147	g50994	Cg005G189880
OG0000149	g2887	Cg002G060900
OG0000149	g1676, g28755, g28754	Cg003G107300, Cg003G107310
OG0000149	g1282	Cg003G107320, Cg003G107330, Cg003G107340
OG0000149	g2888	Cg002G060920
OG0000151	g915, g28415	Cg003G100170
OG0000151	g17072	Cg001G012710
OG0000151	g7540	Cg004G124340
OG0000151	g14078	Cg004G152640
OG0000151	g28546	Cg003G103430
OG0000152	g22192, g30253, g4143	Cg002G069910, Cg006G216840, Cg002G069290, Cg005G182640, Cg004G145620, Cg002G063800, Cg003G096260, Cg001G034420, Cg007G260590, Cg004G146430, Cg002G067820, Cg005G182630, Cg007G251500, Cg003G082490, Cg008G288890, Cg007G251240, Cg006G195780
OG0000154	g27332	Cg006G229860
OG0000154	g12277	Cg004G128290
OG0000154	g7492	Cg004G125060
OG0000154	g54073, g45315, g5784	Cg008G283240
OG0000155	g23645	Cg001G013440
OG0000155	g47372	Cg001G019650
OG0000155	g7340	Cg004G127780
OG0000156	g52257	Cg005G160240
