Orthogroup	Noccaea_praecox	Alyssum_gmelinii
OG0000043	Np001G0091300, Np002G1233300, Np003G1487200, Np002G1108100, Np005G2745100	Ag019G2521200
OG0000046	Np004G2388700, Np001G0160700	Ag041G4362900, Ag013G1668200, Ag007G0902600, Ag055G4927800, Ag019G2498100
OG0000046	Np002G0812000, Np006G3271700, Np002G0901300, Np007G3942200, Np006G3533700, Np004G2173800, Np007G4037000, Np003G1635500, Np004G2079600, Np005G3093000, Np006G3271600, Np007G4080200, Np005G3032100, Np004G2183100, Np004G2290100, Np002G1005100, Np004G2334400	Ag004G0691700
OG0000048	Np006G3565700	Ag039G4227200, Ag039G4227400, Ag039G4227300
OG0000050	Np005G2948800, Np006G3520600, Np001G0383900	Ag019G2535000, Ag013G1454200, Ag002G0129500, Ag014G1805000, Ag002G0202200, Ag015G2221900, Ag015G2264900, Ag025G2919100, Ag014G2113900
OG0000050	Np002G0988200, Np001G0256300, Np007G3953400	Ag016G2298800, Ag034G3860900, Ag015G2213900, Ag020G2565400, Ag003G0365400, Ag022G2666500, Ag013G1429800, Ag023G2797800, Ag078G5357100, Ag088G5430600, Ag006G0803400, Ag034G3970700, Ag066G5153700
OG0000050	Np001G0129000, Np001G0129100, Np001G0128800, Np004G2259400, Np004G2435300, Np001G0374100, Np006G3597400	Ag031G3328800, Ag019G2527600, Ag020G2554600
OG0000050	Np004G1970300, Np005G2648800, Np001G0275100, Np006G3520500, Np001G0383800, Np003G1895000, Np008G4280900	Ag027G3020100, Ag013G1440200, Ag022G2649500, Ag066G5147200, Ag001G0043200, Ag024G2885900
OG0000051	Np004G2552100, Np007G3843500, Np007G3849300, Np004G2593300, Np003G1312800, Np003G1313100, Np003G1316200, Np004G2360300	Ag034G3687900
OG0000051	Np006G3285300, Np006G3285400	Ag003G0386300, Ag003G0378700, Ag003G0386600
OG0000051	Np006G3285800, Np006G3285900, Np006G3286000	Ag003G0387400, Ag003G0387300, Ag003G0387500, Ag003G0387800, Ag003G0387600, Ag003G0387700
OG0000051	Np003G1730300	Ag003G0385100, Ag003G0385000, Ag003G0384900
OG0000052	Np007G4239500	Ag032G3434200, Ag032G3433000
OG0000055	Np006G3336100, Np006G3338700, Np003G1875300	Ag034G4065400
OG0000055	Np007G3923100, Np007G3922500	Ag014G2041700
OG0000056	Np002G1191800, Np002G1192300, Np002G1195300	Ag039G4248400
OG0000058	Np004G2334500, Np006G3421900	Ag001G0033300, Ag033G3511000, Ag006G0820100
OG0000058	Np006G3423100, Np006G3422500, Np004G2183000, Np007G3942100	Ag007G0902800, Ag002G0124000, Ag002G0117600, Ag027G3030700, Ag004G0691500
OG0000058	Np006G3504600, Np003G1369700, Np006G3421800, Np002G1073600, Np007G4038100	Ag027G3040100, Ag048G4695000, Ag056G4940000
OG0000060	Np005G3068800	Ag031G3386000
OG0000060	Np003G1526800, Np001G0456200	Ag034G3744900
OG0000060	Np001G0460200	Ag004G0719000, Ag039G4308900
OG0000061	Np005G2892000, Np004G2504400, Np003G1460800, Np006G3212900, Np006G3217300	Ag025G2971300, Ag025G2971100
OG0000061	Np003G1795500	Ag025G2914700
OG0000061	Np006G3280900	Ag013G1627600
OG0000061	Np002G1245100, Np002G1245200	Ag056G4940400
OG0000062	Np002G0958500	Ag043G4453100
OG0000062	Np002G0953400	Ag043G4453200
OG0000062	Np002G0935900, Np001G0402000, Np007G4021600	Ag044G4491100, Ag016G2329800, Ag034G3892100
OG0000062	Np002G0991500	Ag035G4080000, Ag066G5159400, Ag002G0144600, Ag003G0364100, Ag011G1174400
OG0000063	Np006G3435600	Ag062G5064000
OG0000066	Np004G2500100, Np003G1367200	Ag034G3780100
OG0000066	Np007G3771600	Ag048G4702700
OG0000066	Np002G0777800	Ag011G1062500
OG0000068	Np005G3153500, Np005G3160300, Np005G3160400, Np005G3152300, Np005G3152600	Ag011G1073300, Ag011G1073200, Ag014G1989500, Ag011G1073900
OG0000068	Np001G0604000, Np001G0601600, Np001G0591700, Np001G0569900, Np001G0618200, Np003G1442200, Np003G1442100	Ag013G1504700, Ag048G4718500
OG0000069	Np006G3706900, Np006G3707500	Ag048G4644300, Ag048G4643100
OG0000069	Np006G3704200, Np006G3697500	Ag048G4643600
OG0000070	Np007G3899300, Np001G0248800	Ag039G4215000
OG0000070	Np004G2353400	Ag034G3976800
OG0000070	Np001G0364300, Np001G0366000, Np001G0526100, Np001G0525900, Np002G0771400	Ag048G4685000
OG0000070	Np004G1988500, Np004G1989200, Np004G1988600, Np004G2059200, Np001G0355800, Np001G0356100, Np001G0356000	Ag025G2960200, Ag025G2959800, Ag025G2962600, Ag025G2962700, Ag025G2947000, Ag025G2946300, Ag025G2959700, Ag025G2959400, Ag025G2974100, Ag025G2973400, Ag025G2973600, Ag025G2946200, Ag025G2946900
OG0000070	Np007G3856900	Ag031G3230400, Ag031G3231000, Ag031G3230900, Ag014G1944300, Ag031G3231400
OG0000072	Np007G4041200, Np001G0368400, Np003G1731700, Np006G3587200, Np009G4327500, Np006G3447100, Np003G1510900, Np006G3565200	Ag051G4812200
OG0000072	Np007G4034300, Np001G0214400, Np004G2135500, Np006G3592300, Np006G3546700, Np006G3482700	Ag039G4320700
