Orthogroup	Arabidopsis_arenosa	Cochlearia_excelsa
OG0000058	jg16618	g3196
OG0000059	jg31675, jg32414	g43705, g16122
OG0000060	jg22905, jg29120, jg14371, jg21249, jg29139, jg22936, jg15309, jg14419, jg21260, jg17853	g37221, g2918, g28784, g49595, g27015, g1296, g28756, g31080, g39226, g51647
OG0000061	jg18012	g50013
OG0000061	jg18005	g23667
OG0000062	jg13871	g44326, g2819, g44187
OG0000063	jg32522	g18404, g25742, g50268, g46262, g45401, g3397, g46693
OG0000065	jg2192	g46719
OG0000065	jg2206	g44951
OG0000065	jg2209, jg2212, jg2195	g18042
OG0000065	jg12464, jg12463	g46717
OG0000066	jg4871	g9719
OG0000066	jg4870, jg29279	g29501, g45535
OG0000066	jg4927	g5393
OG0000067	jg20815, jg24929, jg28031, jg1126, jg17679	g51362, g36935, g14554, g2942, g25473, g27561, g41540, g28657, g32593, g13831
OG0000067	jg32532	g53765, g43703, g25474, g28245, g45296
OG0000067	jg14037	g7910, g3384, g17624, g3851
OG0000068	jg4186, jg4261, jg4260, jg24839, jg24838, jg32039, jg24042, jg24037, jg24035, jg32043, jg22052, jg22033, jg22034, jg4088, jg4089, jg14390, jg14389, jg14204, jg4055, jg30520, jg4679, jg12213	g27956, g25385, g25390, g46783
OG0000069	jg16351	g13531
OG0000069	jg26489	g34299
OG0000069	jg15499	g39973
OG0000070	jg29403, jg28225, jg28226, jg13116, jg13115	g10675
OG0000070	jg16631, jg30544, jg4483	g50123
OG0000070	jg3251	g46242
OG0000070	jg21183	g44417
OG0000073	jg13268	g10672, g13435, g10819, g24404, g53393
OG0000073	jg32690	g4931, g36963, g43389, g14644, g41342
OG0000073	jg7434	g37235, g35439
OG0000073	jg30965	g41469
OG0000074	jg16959	g14332, g15956, g53053, g36000
OG0000075	jg21647	g1450
OG0000075	jg8428	g25975, g22716
OG0000075	jg32683, jg20353, jg933	g46525
OG0000077	jg20569, jg20644	g18473
OG0000077	jg1247, jg1261, jg13131, jg13128	g1538, g1535
OG0000077	jg902, jg1249	g44008, g44007, g44009
OG0000078	jg24239, jg24236, jg24237	g4945
OG0000078	jg5644, jg5634	g4940, g4946, g29028, g29029
OG0000079	jg7377	g53126
OG0000080	jg21120	g50113, g4633, g53808
OG0000081	jg17678, jg24928, jg28032, jg1125, jg20814, jg32127, jg1799	g45295, g49162, g32135, g50796, g11094, g25177
OG0000081	jg26776, jg302, jg5265, jg31440, jg25892, jg12998, jg14036, jg6463	g33350, g4665
OG0000086	jg12259	g25067, g25040
OG0000086	jg12265, jg12276	g22657, g15074
OG0000086	jg12281	g46768, g46769, g43995
OG0000089	jg6235	g9991
OG0000089	jg23223	g339, g2817, g9845
OG0000089	jg5068	g5316
OG0000089	jg20749	g11055, g40485
OG0000089	jg10485	g24042
OG0000089	jg30528, jg3235	g46232
OG0000090	jg20882	g43843
OG0000091	jg14545, jg14558	g46886
OG0000091	jg17633	g19510, g11453, g11030, g40516
OG0000091	jg5910	g28934, g28933
OG0000092	jg1807	g49146, g15729
OG0000092	jg14356	g17352, g17357, g1801, g17341, g25289
OG0000092	jg32487	g2109, g39323, g26668, g53726, g17664, g37838, g27054, g1402, g24886
OG0000092	jg1461	g52822, g25282
OG0000092	jg26653	g26535
OG0000092	jg21355, jg7184	g10113
OG0000095	jg17272, jg16984, jg17289, jg16989, jg17288, jg17270, jg17392, jg16998, jg17271, jg1743, jg16988, jg17290, jg17390, jg16997, jg17005, jg20640, jg16996, jg16995, jg17274, jg17286, jg17001, jg16991, jg16900, jg16897, jg16899	g51024
OG0000096	jg26888, jg26886	g6393
OG0000096	jg6740, jg25958	g49764
OG0000098	jg27107	g11756
OG0000098	jg27461, jg27465, jg16874, jg31283, jg17594, jg11987	g41770
OG0000098	jg6405, jg1132	g50862, g50863, g50857, g5925, g25316, g5924
OG0000100	jg1373	g13564
OG0000100	jg492	g40795
OG0000100	jg471	g13563
OG0000101	jg27510	g30549, g95, g52423, g22352, g35512, g30702, g24593, g9123, g29976, g29966, g8633, g48832, g30667, g36823, g16178, g8998, g29945, g30548, g38806, g8608, g26310, g9084, g48831, g29967, g8634, g9122, g30668, g30701, g13421, g43704, g4261, g4265, g27334, g26222, g26225, g35797, g4324, g3304, g41853, g48266, g6083, g12208, g35531, g53490, g35534, g11876, g17776, g52104, g1671, g31822, g37851, g37850, g28202, g42101, g45349, g35511, g17818, g13419, g10196, g13591, g29817
OG0000102	jg7815, jg7812, jg7813	g40477, g40479, g40476, g40480, g1561
OG0000102	jg7810	g45186
OG0000103	jg33027	g25804, g34406, g16064, g52964, g34537, g43011
OG0000105	jg14191, jg14194	g11211
OG0000105	jg12808, jg12802, jg12815	g43820
OG0000105	jg12426, jg508	g14463
OG0000107	jg26161	g6757
OG0000107	jg26159	g11936
OG0000108	jg18920, jg15311	g37225, g38077, g2333, g51658
OG0000108	jg25167	g28730
OG0000108	jg4799	g29544, g45521, g5448
OG0000108	jg19509, jg19508, jg33022, jg26012	g11989
OG0000109	jg27058, jg17336, jg17450, jg13895	g30198, g33477
OG0000110	jg9173	g46791, g24881
