Orthogroup	Arabidopsis_arenosa	Euclidium_syriacum
OG0000035	jg32621, jg13872	ESY1_g11366_DN3_SP0_c0.t1, ESY1_g8356_DN1_SP0_c0.t1, ESY2_g36091_DN2_SP0_c0.t1, ESY14_g20662_DN3_SP0_c0.t1
OG0000035	jg32484, jg7027, jg13873	ESY1_g8357_DN3_SP0_c0.t1, ESY1_g11367_DN3_SP0_c0.t1, ESY9_g44160_DN2_SP0_c0.t1, ESY2_g36093_DN3_SP0_c0.t1
OG0000036	jg21340, jg1519	ESY7_g17009_DN2_SP0_c60.t1
OG0000038	jg27503	ESY15_g65319_DN1_SP0_c38.t1, ESY6_g47063_DN3_SP0_c100.t1, ESY8_g60522_DN1_SP0_c100.t1
OG0000041	jg28661, jg10344	ESY1_g6062_DN3_SP0_c100.t1
OG0000042	jg33373	ESY1_g9008_DN2_SP0_c16.t1
OG0000042	jg6978	ESY19_g41790_DN1_SP0_c0.t1, ESY4_g25239_DN1_SP0_c95.t1
OG0000042	jg17129, jg6977	ESY11_g53669_DN2_SP0_c100.t1, ESY11_g52866_DN2_SP0_c100.t1
OG0000043	jg33537, jg17159	ESY4_g23863_DN2_SP0_c100.t1
OG0000044	jg21039	ESY6_g50480_DN2_SP0_c0.t1
OG0000044	jg21834	ESY10_g14634_DN3_SP0_c0.t1
OG0000044	jg20587	ESY4_g26811_DN2_SP0_c0.t1
OG0000046	jg12140	ESY5_g2589_DN3_SP0_c0.t1
OG0000046	jg29315, jg17523, jg14196, jg1035, jg17283, jg1573, jg1834, jg309, jg32416, jg1572, jg1555, jg21339	ESY15_g65758_DN2_SP0_c100.t1
OG0000048	jg23606	ESY5_g4613_DN3_SP0_c0.t1
OG0000048	jg20748, jg20747	ESY3_g32465_DN3_SP0_c0.t1, ESY3_g32507_DN1_SP0_c0.t1, ESY9_g42836_DN3_SP0_c0.t1, ESY3_g32518_DN2_SP0_c0.t1, ESY3_g32027_DN2_SP0_c0.t1, ESY8_g58361_DN2_SP0_c0.t1
OG0000048	jg33607	ESY7_g16211_DN2_SP0_c0.t1, ESY1_g11291_DN3_SP0_c0.t1
OG0000048	jg25048	ESY8_g58364_DN2_SP0_c0.t1
OG0000048	jg18270	ESY3_g31841_DN3_SP0_c0.t1, ESY3_g32003_DN2_SP0_c0.t1, ESY3_g32004_DN2_SP0_c0.t1, ESY3_g32002_DN3_SP0_c0.t1, ESY3_g32008_DN1_SP0_c0.t1
