Orthogroup	Cardamine_amara	Cochlearia_excelsa
OG0000066	evm.model.RL_2.3332, evm.model.RL_4.2487, evm.model.RL_3.1975, evm.model.RL_2.3331	g5393
OG0000066	evm.model.RL_5.781, evm.model.RL_8.2623	g45535, g29501, g9719
OG0000066	evm.model.RL_4.2540, evm.model.RL_8.2622	g156
OG0000067	evm.model.RL_3.1500, evm.model.RL_3.1537	g27232, g27237, g27241, g27135, g46783, g25385, g25390, g25381, g27956, g9895, g5011
OG0000069	evm.model.RL_8.289	g10624, g41852
OG0000070	evm.model.RL_2.838	g15856, g15924, g26036
OG0000070	evm.model.RL_6.606	g30429, g30434, g34722, g20467, g25157, g21277
OG0000070	evm.model.RL_1.3315	g4159
OG0000070	evm.model.RL_2.703, evm.model.RL_3.747, evm.model.RL_3.813, evm.model.RL_8.1022	g3657
OG0000070	evm.model.RL_1.2601, evm.model.RL_6.604	g48491
OG0000070	evm.model.RL_2.731	g26415
OG0000071	evm.model.RL_6.950	g27012
OG0000072	evm.model.RL_3.925	g33477, g30198
OG0000073	evm.model.RL_4.629	g10944
OG0000073	evm.model.RL_4.175	g54289
OG0000076	evm.model.RL_7.1484	g44053
OG0000076	evm.model.RL_6.1653	g10535
OG0000077	evm.model.RL_2.3381	g25975, g22716
OG0000078	evm.model.RL_7.1903	g32727, g44450, g24957
OG0000078	evm.model.RL_3.798	g46791, g24881
OG0000081	evm.model.RL_5.1972	g36469
OG0000082	evm.model.RL_7.1932	g20916, g29940, g2519, g54167, g10536, g16647
OG0000082	evm.model.RL_3.918	g2376, g41979
OG0000082	evm.model.RL_8.1557	g33413, g33414, g25297, g33412, g33411
OG0000082	evm.model.RL_7.2714	g26708, g39275
OG0000082	evm.model.RL_3.408	g6230, g2898
OG0000083	evm.model.RL_1.2207, evm.model.RL_1.2208	g46885
OG0000084	evm.model.RL_6.313	g51024
OG0000085	evm.model.RL_2.448	g28998, g41305
OG0000087	evm.model.RL_4.1345	g9991
OG0000087	evm.model.RL_4.2360	g5316
OG0000087	evm.model.RL_4.428	g40485, g11055
OG0000087	evm.model.RL_2.1599	g17371, g24042
OG0000087	evm.model.RL_5.1831, evm.model.RL_3.1990	g46232
OG0000088	evm.model.RL_7.1629	g11453, g19510, g40516, g11030, g46886
OG0000089	evm.model.RL_4.2603	g29544
OG0000089	evm.model.RL_1.1790.1.687c87ee	g13323, g11989
OG0000089	evm.model.RL_6.2333	g52029
OG0000090	evm.model.RL_5.1846	g50123
OG0000090	evm.model.RL_3.2006	g46242
OG0000090	evm.model.RL_2.2972, evm.model.RL_7.2545, evm.model.RL_7.2013, evm.model.RL_7.2546, evm.model.RL_5.885	g10675
OG0000093	evm.model.RL_7.523	g2360
OG0000096	evm.model.RL_3.612, evm.model.RL_7.2530, evm.model.RL_7.2533, evm.model.RL_4.275	g1538, g1535
OG0000096	evm.model.RL_4.362	g18473
OG0000097	evm.model.RL_8.394	g45186, g45201
OG0000097	evm.model.RL_8.388, evm.model.RL_8.395	g40477, g40479, g40476, g40480, g1561
OG0000101	evm.model.RL_3.99, evm.model.RL_3.653	g13563
OG0000101	evm.model.RL_3.113	g35259, g34277
OG0000102	evm.model.RL_2.452	g2701, g43502, g42120, g25862
OG0000104	evm.model.RL_6.1001	g51118
OG0000104	evm.model.RL_1.2055	g6675
OG0000104	evm.model.RL_8.1054	g54236
OG0000104	evm.model.RL_1.2425	g54244, g54237, g54238
OG0000104	evm.model.RL_6.1000	g37858
OG0000105	evm.model.RL_1.2669	g42819, g43845
OG0000105	evm.model.RL_6.453	g43456
OG0000108	evm.model.RL_1.3010	g41770
OG0000109	evm.model.RL_1.2214	g43843
OG0000113	evm.model.RL_4.208, evm.model.RL_2.149	g43820
OG0000113	evm.model.RL_3.600	g53975
OG0000113	evm.model.RL_2.339	g35258
