Orthogroup	Cardamine_amara	Erysimum_linariifolium
OG0000090	evm.model.RL_5.1846	El002G104490, El003G181590
OG0000090	evm.model.RL_4.706	El007G355500
OG0000090	evm.model.RL_3.2006	El004G228750
OG0000090	evm.model.RL_2.2972	El003G147970
OG0000090	evm.model.RL_7.2545	El001G038160, El001G038170, El001G049400, El001G038180
OG0000090	evm.model.RL_5.885	El002G093200
OG0000091	evm.model.RL_4.825	El005G262380, El005G262370, El005G262320
OG0000093	evm.model.RL_7.525	El001G029880
OG0000093	evm.model.RL_7.532	El001G029800, El007G352040
OG0000096	evm.model.RL_3.612	El004G205300
OG0000096	evm.model.RL_7.2530	El001G038300
OG0000096	evm.model.RL_7.2533	El001G038380
OG0000096	evm.model.RL_3.627	El004G205890, El004G205920, El004G205830, El004G205860, El004G205880, El004G205870, El004G205260, El004G205840, El007G356380
OG0000096	evm.model.RL_4.362	El007G361830
OG0000096	evm.model.RL_4.323	El007G362860
OG0000097	evm.model.RL_8.394	El001G004470
OG0000097	evm.model.RL_8.392	El001G004390
OG0000097	evm.model.RL_8.388	El001G004380
OG0000097	evm.model.RL_8.395	El001G004460, El001G004420, El001G004430, El007G349700, El001G004410, El001G048890
OG0000101	evm.model.RL_3.339	El004G211480
OG0000101	evm.model.RL_3.653	El004G195800
OG0000104	evm.model.RL_6.1006	El006G304210
OG0000104	evm.model.RL_1.2425	El002G136360
OG0000105	evm.model.RL_6.453	El027G373450
OG0000106	evm.model.RL_1.1887, evm.model.RL_1.1895, evm.model.RL_1.1845	El005G259530
OG0000106	evm.model.RL_7.1393, evm.model.RL_1.1896	El001G010720, El005G256190, El005G255570
OG0000107	evm.model.RL_1.1927	El005G257770
OG0000107	evm.model.RL_1.1928	El005G257830, El005G257820
OG0000107	evm.model.RL_1.2019, evm.model.RL_1.2021	El005G258940
OG0000108	evm.model.RL_4.1209	El001G047240
OG0000108	evm.model.RL_8.499, evm.model.RL_4.164, evm.model.RL_4.166	El007G364310, El007G323300
OG0000108	evm.model.RL_3.231	El006G297420, El006G297320, El006G297490, El006G297230, El002G139550
OG0000109	evm.model.RL_1.2946	El005G269730
OG0000109	evm.model.RL_7.2399, evm.model.RL_3.555	El006G320930, El003G188420
OG0000109	evm.model.RL_1.2753, evm.model.RL_6.342	El002G122420
OG0000109	evm.model.RL_8.628, evm.model.RL_6.399, evm.model.RL_1.2214, evm.model.RL_8.997	El001G018880
OG0000110	evm.model.RL_7.1925	El001G030780
OG0000112	evm.model.RL_5.3726, evm.model.RL_8.2168, evm.model.RL_8.2167	El007G329910
OG0000113	evm.model.RL_3.97, evm.model.RL_7.1875	El004G207200
OG0000113	evm.model.RL_3.98	El004G195320, El004G195370, El004G195590, El004G195260, El004G195240, El004G195300
OG0000113	evm.model.RL_3.996	El050G375440, El007G365010, El007G356050
OG0000113	evm.model.RL_4.610, evm.model.RL_4.608	El004G212080
OG0000114	evm.model.RL_3.2232, evm.model.RL_3.2202	El004G213600
OG0000114	evm.model.RL_4.609, evm.model.RL_3.630, evm.model.RL_1.339	El001G070430
OG0000115	evm.model.RL_4.2608, evm.model.RL_4.2425, evm.model.RL_2.2979	El002G126950, El002G121910, El006G311440, El006G308990
OG0000116	evm.model.RL_5.1553	El005G266280, El003G181290, El002G126330, El004G208040, El003G160430, El001G048920, El007G350210, El004G213450, El001G046840, El004G209170, El001G081080, El007G335700, El004G218070
OG0000117	evm.model.RL_8.488	El005G253090
OG0000117	evm.model.RL_3.358	El001G016830
OG0000118	evm.model.RL_8.709, evm.model.RL_8.712	El006G302550, El006G302540, El007G358680, El006G302560, El001G023930
OG0000119	evm.model.RL_5.2397	El002G124220
OG0000120	evm.model.RL_3.399, evm.model.RL_3.395	El004G200260
OG0000120	evm.model.RL_2.990, evm.model.RL_2.937	El003G174940, El003G174920
OG0000120	evm.model.RL_4.896, evm.model.RL_4.944, evm.model.RL_4.881, evm.model.RL_4.932	El007G345250, El007G346140, El006G307860
OG0000120	evm.model.RL_7.2421, evm.model.RL_7.2552, evm.model.RL_6.504	El001G077920
OG0000124	evm.model.RL_4.540	El006G297400, El006G297570, El004G206660, El006G307600, El001G057860
OG0000125	evm.model.RL_7.1020	El001G024280
OG0000125	evm.model.RL_4.3281	El005G244660, El001G080460
OG0000125	evm.model.RL_4.1435	El001G057350
OG0000125	evm.model.RL_8.2069	El007G331030
OG0000125	evm.model.RL_7.1769	El001G015130
OG0000125	evm.model.RL_6.979	El006G304720
OG0000127	evm.model.RL_1.823	El005G244320
OG0000127	evm.model.RL_1.822, evm.model.RL_4.3344	El001G001730
OG0000132	evm.model.RL_8.1179	El005G264200
OG0000135	evm.model.RL_5.2242, evm.model.RL_4.523, evm.model.RL_3.1563, evm.model.RL_8.884, evm.model.RL_8.165, evm.model.RL_8.1813, evm.model.RL_2.446, evm.model.RL_5.3235, evm.model.RL_2.3041	El007G346110
OG0000135	evm.model.RL_3.365	El007G327960
OG0000135	evm.model.RL_5.2429	El001G045750
OG0000136	evm.model.RL_3.1028	El004G215950, El004G215940
OG0000136	evm.model.RL_2.429	El003G186500
OG0000137	evm.model.RL_7.1543	El002G124820, El003G184880
OG0000137	evm.model.RL_2.50	El003G191580
OG0000139	evm.model.RL_2.706, evm.model.RL_3.777, evm.model.RL_8.1023, evm.model.RL_7.2060, evm.model.RL_2.666, evm.model.RL_4.723, evm.model.RL_3.732, evm.model.RL_7.1944, evm.model.RL_7.2044	El007G349680, El003G179680
OG0000140	evm.model.RL_7.1690	El001G016150
OG0000140	evm.model.RL_8.2003	El007G332020
OG0000142	evm.model.RL_6.1032	El006G303780
OG0000142	evm.model.RL_6.1033, evm.model.RL_6.1034	El006G303820
OG0000142	evm.model.RL_6.789, evm.model.RL_6.1159	El006G301970, El006G301960
OG0000143	evm.model.RL_1.2794	El003G186130
OG0000144	evm.model.RL_8.1451	El007G344160, El007G351410
OG0000145	evm.model.RL_2.934	El005G270970, El001G000710
OG0000145	evm.model.RL_8.608	El001G043740, El002G114960
OG0000147	evm.model.RL_2.2536	El003G152940
OG0000147	evm.model.RL_8.1812	El007G334350
OG0000147	evm.model.RL_3.2406	El004G233720
OG0000147	evm.model.RL_1.2583	El005G271430
OG0000147	evm.model.RL_6.348	El006G316840
OG0000149	evm.model.RL_7.1738	El001G015560
OG0000150	evm.model.RL_8.2095	El006G312860
OG0000150	evm.model.RL_7.1807	El006G312870, El001G014430
OG0000150	evm.model.RL_7.1810	El001G011280
OG0000151	evm.model.RL_8.1422	El007G339860
OG0000151	evm.model.RL_2.2307	El003G156070
OG0000151	evm.model.RL_1.777	El005G243780
OG0000151	evm.model.RL_1.778	El005G243790
OG0000151	evm.model.RL_1.2853	El005G273960
OG0000151	evm.model.RL_8.1691	El007G336000
OG0000151	evm.model.RL_3.61	El004G194600, El003G193180
