Orthogroup	Cardamine_amara	Aethionema_saxatile
OG0000104	evm.model.RL_8.1054	As012G271240, As012G271230
OG0000104	evm.model.RL_5.1892_evm.model.RL_5.1893, evm.model.RL_1.2425	As012G271190, As012G271200
OG0000104	evm.model.RL_6.1000	As006G129190
OG0000106	evm.model.RL_7.1075, evm.model.RL_1.1887, evm.model.RL_1.1895, evm.model.RL_1.1845, evm.model.RL_7.1393, evm.model.RL_1.1896	As002G041170, As002G041390, As002G041440
OG0000107	evm.model.RL_1.1928, evm.model.RL_1.2019, evm.model.RL_1.2021, evm.model.RL_1.1929	As011G252340
OG0000108	evm.model.RL_4.1209, evm.model.RL_8.499, evm.model.RL_4.164, evm.model.RL_4.166, evm.model.RL_3.231, evm.model.RL_1.3010	As007G178740, As007G178690, As007G178710, As007G178650, As007G179450, As007G178680, As007G178630, As007G178700, As007G178760, As007G178720, As006G126350
OG0000111	evm.model.RL_8.2409	As002G048150
OG0000112	evm.model.RL_5.3726, evm.model.RL_8.2168, evm.model.RL_8.2167	As011G262130, As011G262140, As009G217680, As009G217690
OG0000114	evm.model.RL_1.340, evm.model.RL_3.2232, evm.model.RL_3.2202, evm.model.RL_4.605, evm.model.RL_4.611, evm.model.RL_4.609, evm.model.RL_3.630, evm.model.RL_1.339, evm.model.RL_3.757	As006G137050, As006G137080
OG0000116	evm.model.RL_5.1553	As011G258760, As005G110110, As002G038220, As005G111020, As012G280150, As012G276960, As008G190300, As008G190470, As008G191770, As004G091900, As005G109310, As010G228680, As010G228670, As010G228700, As011G260000, As007G165280, As007G163410
OG0000123	evm.model.RL_5.1209	As008G183790, As008G183770
OG0000123	evm.model.RL_5.1211	As008G183730, As008G183740
OG0000125	evm.model.RL_4.3281	As005G107620
OG0000125	evm.model.RL_4.1435	As005G113770
OG0000125	evm.model.RL_8.2069	As005G114700, As010G224880
OG0000125	evm.model.RL_6.979	As006G129500
OG0000130	evm.model.RL_4.724, evm.model.RL_5.2503, evm.model.RL_6.691, evm.model.RL_6.707	As002G040800
OG0000130	evm.model.RL_2.726	As008G191110, As010G226920
OG0000135	evm.model.RL_8.884, evm.model.RL_8.165, evm.model.RL_8.1813, evm.model.RL_2.446, evm.model.RL_5.3235, evm.model.RL_2.3041	As002G042510, As003G066190, As008G191880, As005G111990, As004G096380, As007G164280, As003G056190, As005G109510, As001G016500, As009G209990, As009G209980, As002G040350, As002G033550, As003G063030, As006G148760, As009G206440
OG0000135	evm.model.RL_4.225	As008G186340
OG0000136	evm.model.RL_3.1028	As001G028730
OG0000139	evm.model.RL_6.1684	As006G149220, As004G090290
OG0000140	evm.model.RL_8.2003, evm.model.RL_7.1796	As005G115280, As005G115270, As005G115260, As005G115240, As008G190370
OG0000142	evm.model.RL_6.1035	As003G060670
OG0000143	evm.model.RL_8.1036	As007G177750
OG0000147	evm.model.RL_1.3091	As011G265720
OG0000147	evm.model.RL_2.2536	As001G002190
OG0000147	evm.model.RL_8.1812	As002G049060
OG0000147	evm.model.RL_3.2406	As010G243490
OG0000147	evm.model.RL_7.1930	As010G227330
OG0000147	evm.model.RL_2.664, evm.model.RL_1.2583	As011G259420
OG0000149	evm.model.RL_7.1738	As010G224590
OG0000149	evm.model.RL_7.1739	As010G224610
OG0000150	evm.model.RL_7.1807, evm.model.RL_7.1810	As010G225180, As010G225220, As010G225210
OG0000151	evm.model.RL_2.2307	As007G166070
OG0000151	evm.model.RL_1.777	As006G141980, As006G133740
OG0000151	evm.model.RL_1.2853	As011G263600
OG0000151	evm.model.RL_8.1691	As002G047900
OG0000151	evm.model.RL_3.61	As001G030700
OG0000154	evm.model.RL_6.951, evm.model.RL_5.1456	As007G152520
OG0000154	evm.model.RL_1.849	As009G210600, As007G163150, As009G210630
OG0000154	evm.model.RL_1.853	As002G034300
OG0000155	evm.model.RL_2.2243	As003G059350
OG0000155	evm.model.RL_3.1179	As003G059230, As003G059200
OG0000156	evm.model.RL_6.2692	As005G101590, As008G189910, As005G101570, As005G101560, As005G101580
OG0000161	evm.model.RL_3.891	As001G013550, As001G029600, As001G029610
OG0000162	evm.model.RL_6.2628	As005G102210
OG0000167	evm.model.RL_8.1410, evm.model.RL_8.842, evm.model.RL_2.1517	As003G057890
OG0000171	evm.model.RL_6.2869	As005G099780
OG0000171	evm.model.RL_3.461	As001G020870
OG0000171	evm.model.RL_4.2162.1.687c86d7	As009G200410
OG0000175	evm.model.RL_7.1254	As010G220360
OG0000175	evm.model.RL_5.1839	As007G156270
OG0000175	evm.model.RL_2.3025	As011G263590
OG0000175	evm.model.RL_1.2964	As011G264780, As003G072250
OG0000184	evm.model.RL_8.999, evm.model.RL_1.2918	As004G089570
OG0000187	evm.model.RL_2.2676, evm.model.RL_2.2677	As001G003940
OG0000189	evm.model.RL_1.2758	As003G074800
OG0000190	evm.model.RL_8.476, evm.model.RL_8.475, evm.model.RL_8.473, evm.model.RL_8.474.1.687c8557, evm.model.RL_8.472, evm.model.RL_8.916	As004G085680
OG0000191	evm.model.RL_1.1587	As007G152760
OG0000192	evm.model.RL_3.2103	As007G157190
OG0000195	evm.model.RL_2.437, evm.model.RL_3.1018	As001G028840
OG0000195	evm.model.RL_4.1537, evm.model.RL_7.1974	As002G033300
OG0000204	evm.model.RL_1.2062	As011G253820, As011G254650, As011G254640, As011G254620, As011G254600, As011G254610, As011G254630, As011G254590
OG0000207	evm.model.RL_3.2270, evm.model.RL_3.2271	As003G061070
OG0000208	evm.model.RL_2.3387	As003G075160
OG0000213	evm.model.RL_6.203, evm.model.RL_6.204	As002G038840
OG0000217	evm.model.RL_7.1931, evm.model.RL_3.548	As001G019850
OG0000218	evm.model.RL_5.1346, evm.model.RL_5.1347, evm.model.RL_5.1349, evm.model.RL_7.2697_evm.model.RL_7.2698	As001G022650
OG0000219	evm.model.RL_3.1053	As001G028500, As001G028480
OG0000219	evm.model.RL_8.2397	As003G064990
OG0000224	evm.model.RL_3.2157, evm.model.RL_3.2156	As010G235950, As010G235920, As010G235890, As010G235940, As010G235900, As010G235880
OG0000225	evm.model.RL_5.2978, evm.model.RL_5.2982, evm.model.RL_5.2983, evm.model.RL_5.2977, evm.model.RL_5.2984, evm.model.RL_5.2981, evm.model.RL_5.2975, evm.model.RL_5.2976, evm.model.RL_5.2985	As003G069680, As003G070050
OG0000228	evm.model.RL_4.998	As007G159250
OG0000228	evm.model.RL_3.1487, evm.model.RL_3.1489, evm.model.RL_3.1484, evm.model.RL_3.1485, evm.model.RL_3.1490, evm.model.RL_3.1486	As010G233770, As011G262150, As010G233790, As010G233800
OG0000231	evm.model.RL_2.361	As004G077900
OG0000231	evm.model.RL_3.874, evm.model.RL_3.1104	As001G028220
OG0000232	evm.model.RL_1.493, evm.model.RL_5.1311	As002G036540, As006G139020
OG0000234	evm.model.RL_7.861	As012G281460
OG0000234	evm.model.RL_7.862, evm.model.RL_6.2046	As006G143800
OG0000234	evm.model.RL_4.2267	As009G210340
OG0000237	evm.model.RL_2.732	As010G229740, As008G190240, As008G190220, As008G190230, As003G067900, As006G149240
OG0000237	evm.model.RL_6.1682	As011G257810
OG0000238	evm.model.RL_5.2232	As006G143840
OG0000242	evm.model.RL_7.2542, evm.model.RL_1.2752, evm.model.RL_1.2751	As008G183340, As008G183330
OG0000244	evm.model.RL_2.1690	As003G059930
OG0000249	evm.model.RL_6.1769	As006G145310
OG0000249	evm.model.RL_6.1770	As006G145330, As008G193990, As006G145350, As006G145320
OG0000253	evm.model.RL_6.612, evm.model.RL_1.2600, evm.model.RL_3.948	As003G066460
OG0000264	evm.model.RL_8.323	As004G086270, As010G229170
OG0000268	evm.model.RL_7.2613	As001G023230
OG0000268	evm.model.RL_3.272	As001G023220, As001G023200
OG0000268	evm.model.RL_4.3350	As005G106920
OG0000268	evm.model.RL_7.967	As012G278370
OG0000270	evm.model.RL_2.3440	As001G014420
OG0000271	evm.model.RL_4.3212	As004G086280
OG0000272	evm.model.RL_5.2235, evm.model.RL_5.3642	As003G064910
OG0000273	evm.model.RL_5.2635	As007G156970, As012G273500, As012G273510, As012G273490, As005G107410, As004G078260, As012G273480
OG0000274	evm.model.RL_8.2049	As005G114920
OG0000274	evm.model.RL_6.1051	As006G128840, As006G128830
OG0000279	evm.model.RL_2.847	As007G165600
OG0000279	evm.model.RL_6.745	As007G178830
OG0000280	evm.model.RL_2.600, evm.model.RL_3.729, evm.model.RL_2.3128	As002G035770
OG0000284	evm.model.RL_4.1106, evm.model.RL_4.1105	As006G139300
OG0000284	evm.model.RL_4.572	As006G139290
OG0000291	evm.model.RL_5.2580, evm.model.RL_4.862	As008G188960
OG0000293	evm.model.RL_3.1488, evm.model.RL_6.4, evm.model.RL_4.950	As010G230080, As008G189890, As003G062500, As011G259530
OG0000293	evm.model.RL_1.1303, evm.model.RL_6.763	As008G183660, As010G232130, As005G108620, As004G086880, As002G041480, As001G006100, As010G228040, As012G281040, As007G178790, As004G092500, As002G035750, As012G280660, As001G012420, As008G183780, As010G226290, As003G071470, As002G038540, As007G178480, As009G209600, As001G010260, As008G190530, As004G096370, As001G004210, As008G187190, As010G221940, As003G075280
OG0000294	evm.model.RL_1.1662	As011G249490
OG0000294	evm.model.RL_6.1779	As006G145420
OG0000294	evm.model.RL_8.188	As006G122700
OG0000294	evm.model.RL_5.103	As008G198060
OG0000295	evm.model.RL_3.944	As011G246810
OG0000297	evm.model.RL_4.356	As008G198730
OG0000297	evm.model.RL_8.2112, evm.model.RL_1.1874	As005G114280
OG0000299	evm.model.RL_3.177	As010G241860, As009G207860
OG0000299	evm.model.RL_5.3976	As012G267900
OG0000303	evm.model.RL_5.1701	As003G069740
OG0000308	evm.model.RL_6.451, evm.model.RL_3.1685, evm.model.RL_3.1683, evm.model.RL_3.1679, evm.model.RL_3.1680, evm.model.RL_2.215, evm.model.RL_1.2756.3.687c87f0	As010G240850, As010G240840, As010G240940, As010G240920
OG0000311	evm.model.RL_4.1982	As009G202530
OG0000311	evm.model.RL_5.2161	As012G273730
OG0000311	evm.model.RL_2.463	As004G077290
OG0000311	evm.model.RL_3.998	As001G029000
OG0000313	evm.model.RL_2.1568	As003G058420
OG0000314	evm.model.RL_5.327	As008G195840
OG0000314	evm.model.RL_5.328	As006G125760
OG0000315	evm.model.RL_1.1077	As006G137990, As006G137760
OG0000316	evm.model.RL_6.434	As008G187440, As008G187910
OG0000319	evm.model.RL_8.2110	As006G129730, As005G114310, As008G191530
OG0000320	evm.model.RL_6.586, evm.model.RL_6.585, evm.model.RL_1.2852	As012G280390
OG0000321	evm.model.RL_2.498	As001G010170
OG0000322	evm.model.RL_3.2239, evm.model.RL_3.2238	As009G214030
OG0000323	evm.model.RL_8.1505	As002G045490
OG0000323	evm.model.RL_2.2280	As005G112480
OG0000328	evm.model.RL_2.315	As004G078040, As004G078080, As004G078060, As004G078050, As004G078070
OG0000329	evm.model.RL_6.2598, evm.model.RL_2.90, evm.model.RL_1.1997	As007G180560
OG0000332	evm.model.RL_4.1671_evm.model.RL_4.1672.2.687c999a	As002G033230
OG0000334	evm.model.RL_7.998	As012G277630
OG0000334	evm.model.RL_4.686, evm.model.RL_8.264	As006G146780
OG0000339	evm.model.RL_2.1855.1.687c86e4	As003G061400
OG0000339	evm.model.RL_8.60	As006G121550
OG0000339	evm.model.RL_6.2741, evm.model.RL_7.229	As005G101130, As012G287430
OG0000344	evm.model.RL_2.1173	As005G110100
OG0000344	evm.model.RL_4.946, evm.model.RL_4.994, evm.model.RL_4.995	As009G215190, As009G215530
OG0000348	evm.model.RL_8.988	As002G041810
OG0000350	evm.model.RL_5.2955	As003G070220, As003G070200
OG0000358	evm.model.RL_4.2634, evm.model.RL_5.756, evm.model.RL_5.280	As006G124930, As008G196330
OG0000358	evm.model.RL_4.512, evm.model.RL_4.2635, evm.model.RL_4.2636	As008G196390
OG0000359	evm.model.RL_6.1531	As012G275420
OG0000360	evm.model.RL_8.2764_evm.model.RL_8.2765, evm.model.RL_8.2767, evm.model.RL_8.2766	As005G119730
OG0000362	evm.model.RL_3.917	As009G205230
OG0000362	evm.model.RL_5.2675	As006G134970
OG0000363	evm.model.RL_4.583, evm.model.RL_5.2689	As009G209420
OG0000368	evm.model.RL_2.3252, evm.model.RL_2.3251.1.687c86e8	As003G073560, As003G073580
OG0000368	evm.model.RL_3.1025, evm.model.RL_2.3253, evm.model.RL_2.3254	As003G073600, As003G073590
OG0000370	evm.model.RL_5.1545, evm.model.RL_5.1544, evm.model.RL_5.1542, evm.model.RL_2.604, evm.model.RL_2.2043	As007G153440
OG0000371	evm.model.RL_5.3286, evm.model.RL_6.2874, evm.model.RL_5.191, evm.model.RL_5.1007, evm.model.RL_6.2873, evm.model.RL_6.2875	As005G099710, As005G099720
OG0000372	evm.model.RL_2.2230, evm.model.RL_2.2229, evm.model.RL_7.2224, evm.model.RL_7.2208, evm.model.RL_2.2232, evm.model.RL_2.2231, evm.model.RL_2.490, evm.model.RL_2.491	As006G132540, As006G132550
OG0000373	evm.model.RL_1.3310	As006G149560
OG0000374	evm.model.RL_8.878	As012G273470, As012G273550
OG0000377	evm.model.RL_3.381	As001G021080
OG0000377	evm.model.RL_5.946	As001G021090
OG0000382	evm.model.RL_5.113, evm.model.RL_8.159	As006G122900
OG0000382	evm.model.RL_5.778	As008G188710
OG0000383	evm.model.RL_5.3041, evm.model.RL_5.3040	As003G069230
OG0000383	evm.model.RL_5.3045, evm.model.RL_5.3042	As003G069340, As003G069370, As003G069310, As003G069390, As003G069380
OG0000386	evm.model.RL_7.1059, evm.model.RL_7.2020	As012G276900, As012G276880
OG0000389	evm.model.RL_7.524	As001G003830
OG0000390	evm.model.RL_4.1377	As001G012620
OG0000390	evm.model.RL_1.1863, evm.model.RL_1.1673, evm.model.RL_7.1867	As011G251840
OG0000391	evm.model.RL_5.3528	As007G158340, As007G158380, As007G158390, As007G158370, As007G158360
OG0000392	evm.model.RL_7.1361	As010G221170
OG0000392	evm.model.RL_2.417, evm.model.RL_2.416	As010G221200, As010G221190, As010G221180
OG0000396	evm.model.RL_7.2206	As001G026970
OG0000397	evm.model.RL_2.735, evm.model.RL_6.651, evm.model.RL_6.634, evm.model.RL_3.767	As003G066740
OG0000398	evm.model.RL_5.3907, evm.model.RL_5.3908	As012G268810
OG0000403	evm.model.RL_3.475, evm.model.RL_3.476	As001G020780, As001G020790
OG0000404	evm.model.RL_7.1127.1.687c84b8, evm.model.RL_6.1709, evm.model.RL_4.2932, evm.model.RL_1.1057	As006G144680, As002G037330
OG0000405	evm.model.RL_7.1865	As002G037720
OG0000405	evm.model.RL_6.867	As002G037730
OG0000405	evm.model.RL_2.871	As004G093310, As004G097610
OG0000406	evm.model.RL_4.1943, evm.model.RL_7.379, evm.model.RL_1.230	As006G136090
OG0000409	evm.model.RL_1.3251	As001G002920
OG0000410	evm.model.RL_5.1950	As001G021670, As001G021680
OG0000411	evm.model.RL_1.2526	As011G261620
OG0000411	evm.model.RL_8.468	As004G085710
OG0000411	evm.model.RL_2.1704	As003G060010
OG0000412	evm.model.RL_8.1550	As002G046400
OG0000412	evm.model.RL_5.1961	As012G271680
OG0000413	evm.model.RL_1.1261	As011G245460
OG0000413	evm.model.RL_8.1728	As002G048240
OG0000413	evm.model.RL_5.3918	As012G268650
OG0000414	evm.model.RL_5.3277	As003G058750, As003G058770, As003G058760
OG0000415	evm.model.RL_4.2375, evm.model.RL_4.2377, evm.model.RL_4.1043, evm.model.RL_6.2381	As005G104640
OG0000416	evm.model.RL_6.1277	As006G125710
OG0000416	evm.model.RL_5.417	As006G127220, As008G194210
OG0000420	evm.model.RL_1.3253, evm.model.RL_1.3252	As010G222670
OG0000421	evm.model.RL_2.302	As004G078160, As004G078150
OG0000422	evm.model.RL_5.809, evm.model.RL_5.810, evm.model.RL_5.808.1.687c88af	As008G188280, As008G188290, As008G188300
OG0000423	evm.model.RL_3.1665	As010G241040
OG0000423	evm.model.RL_5.3889	As012G269020
OG0000423	evm.model.RL_1.1311	As011G245910
OG0000429	evm.model.RL_4.1204	As009G215310
OG0000429	evm.model.RL_4.2465	As002G052030
OG0000429	evm.model.RL_2.2744, evm.model.RL_6.461	As001G004910
OG0000430	evm.model.RL_1.2834	As011G263500
OG0000430	evm.model.RL_6.22	As007G181940
OG0000431	evm.model.RL_3.561	As001G019780
OG0000431	evm.model.RL_5.862_evm.model.RL_5.863	As008G187750
OG0000432	evm.model.RL_8.1360, evm.model.RL_8.1364	As002G044400
OG0000432	evm.model.RL_2.2173	As006G134280
OG0000432	evm.model.RL_8.1680	As002G047750
OG0000436	evm.model.RL_2.2141, evm.model.RL_8.1743, evm.model.RL_2.2461, evm.model.RL_1.3151	As011G266430, As002G048360
OG0000437	evm.model.RL_5.2608	As003G062850
OG0000438	evm.model.RL_8.525	As004G085300
OG0000439	evm.model.RL_5.461_evm.model.RL_5.462.2.687c9b4b	As008G194170
OG0000439	evm.model.RL_7.411	As012G285510
OG0000439	evm.model.RL_6.1235	As006G127290
OG0000440	evm.model.RL_4.1896, evm.model.RL_1.259	As006G136440
OG0000441	evm.model.RL_1.1577	As011G248660
OG0000441	evm.model.RL_1.1576	As011G248650
OG0000446	evm.model.RL_8.2324	As009G219000
OG0000446	evm.model.RL_7.2573	As001G023650
OG0000446	evm.model.RL_5.1283	As008G183010
OG0000447	evm.model.RL_1.1423	As011G247170
OG0000447	evm.model.RL_6.1484	As004G081330
OG0000448	evm.model.RL_4.100, evm.model.RL_4.101, evm.model.RL_4.102	As004G089550
OG0000449	evm.model.RL_7.1766	As010G224860
OG0000449	evm.model.RL_8.2067	As005G114720
OG0000449	evm.model.RL_7.1767	As010G224870
OG0000449	evm.model.RL_8.2066	As005G114730
OG0000454	evm.model.RL_8.1369	As002G044440, As002G044430, As002G043530, As002G043510, As002G043520
OG0000460	evm.model.RL_3.473	As005G099100
OG0000461	evm.model.RL_8.2929, evm.model.RL_5.2910	As008G199680
OG0000463	evm.model.RL_7.360	As010G224360, As010G224370
OG0000466	evm.model.RL_1.2178, evm.model.RL_4.3195, evm.model.RL_4.3197	As002G032990, As003G058720, As003G058680, As007G181090, As007G181100, As007G181730, As007G181390, As002G038080, As009G205530, As002G045940, As002G033580, As002G036910, As002G036900, As002G036920, As009G205540, As009G206460, As009G202280, As009G202290, As002G033670
OG0000468	evm.model.RL_7.908	As012G280020
OG0000468	evm.model.RL_6.1370	As006G125920
OG0000468	evm.model.RL_6.2006	As006G144160
OG0000471	evm.model.RL_5.3021, evm.model.RL_4.228, evm.model.RL_5.3020, evm.model.RL_5.3018, evm.model.RL_5.3019, evm.model.RL_5.3015	As003G069540, As003G069550
OG0000472	evm.model.RL_2.9	As004G097070, As004G097040, As004G097060, As004G097030, As004G097050
OG0000472	evm.model.RL_2.8	As004G097020
OG0000473	evm.model.RL_7.124	As012G288330, As005G099530
OG0000474	evm.model.RL_7.1494, evm.model.RL_2.2587, evm.model.RL_6.296	As009G216860, As011G261780, As010G222300
OG0000477	evm.model.RL_4.2841, evm.model.RL_8.1916.1.687c855e, evm.model.RL_6.1936, evm.model.RL_1.2914	As004G084280, As009G211280
OG0000480	evm.model.RL_8.1001, evm.model.RL_3.892, evm.model.RL_2.705	As001G013010
OG0000482	evm.model.RL_3.1086, evm.model.RL_2.377	As004G077750, As001G028390
OG0000483	evm.model.RL_8.1626	As002G047220
OG0000484	evm.model.RL_2.3144, evm.model.RL_4.347, evm.model.RL_4.319, evm.model.RL_4.762, evm.model.RL_4.1853, evm.model.RL_4.1855	As009G203850
OG0000486	evm.model.RL_5.341	As001G013050, As001G013370
OG0000487	evm.model.RL_1.357	As006G137570, As008G196100
OG0000495	evm.model.RL_8.1497, evm.model.RL_8.1494	As001G001610, As001G001580, As001G001640, As001G001650
OG0000495	evm.model.RL_2.2495, evm.model.RL_6.241	As007G179430, As007G177930
OG0000498	evm.model.RL_8.1435	As002G045150
OG0000499	evm.model.RL_2.1390.1.687c86e2	As003G056720
OG0000499	evm.model.RL_3.2236, evm.model.RL_5.1890	As011G246530, As012G269540
