Orthogroup	Cardamine_amara	Arabis_alpina
OG0000113	evm.model.RL_4.208	Aa_G229780.h1.t1, Aa_G302450.h1.t1, Aa_G440640.h1.t1, Aa_G771350.h1.t1, Aa_G201150.h1.t1, Aa_G302440.h1.t1, Aa_G229770.h1.t1, Aa_G165270.h1.t1, Aa_G276580.h1.t1, Aa_G165210.h1.t1
OG0000113	evm.model.RL_3.97, evm.model.RL_7.1875	Aa_G106970.h1.t1, Aa_G65730.h1.t1
OG0000113	evm.model.RL_2.339	Aa_G616120.h1.t1
OG0000113	evm.model.RL_4.346	Aa_G416120.h1.t1, Aa_G217250.h1.t1, Aa_G224170.h1.t1
OG0000113	evm.model.RL_4.610, evm.model.RL_4.608	Aa_G117390.h1.t1
OG0000114	evm.model.RL_1.340	Aa_G332260.h1.t1
OG0000114	evm.model.RL_3.630	Aa_G17720.h1.t1
OG0000114	evm.model.RL_1.339	Aa_G563350.h1.t1
OG0000114	evm.model.RL_3.757	Aa_G578400.h1.t1
OG0000115	evm.model.RL_4.2608, evm.model.RL_4.2425, evm.model.RL_2.2979	Aa_G172360.h1.t1
OG0000120	evm.model.RL_6.505	Aa_G255530.h1.t1, Aa_G126240.h1.t1, Aa_G126250.h1.t1, Aa_G178990.h1.t1
OG0000120	evm.model.RL_7.2421, evm.model.RL_7.2552, evm.model.RL_6.504	Aa_G388280.h1.t1
OG0000122	evm.model.RL_8.1715	Aa_G379600.h1.t1
OG0000122	evm.model.RL_8.1713	Aa_G551010.h1.t1, Aa_G550960.h1.t1
OG0000122	evm.model.RL_5.2721	Aa_G247680.h1.t1, Aa_G379610.h1.t1
OG0000122	evm.model.RL_8.1714	Aa_G592730.h1.t1
OG0000123	evm.model.RL_5.1209, evm.model.RL_5.1210, evm.model.RL_5.1211	Aa_G184310.h1.t1, Aa_G43430.h1.t1, Aa_G420330.h1.t1, Aa_G457510.h1.t1
OG0000124	evm.model.RL_4.540	Aa_G10940.h1.t1
OG0000125	evm.model.RL_4.1435	Aa_G552180.h1.t1
OG0000125	evm.model.RL_8.2069	Aa_G33880.h1.t1
OG0000125	evm.model.RL_6.979	Aa_G69270.h1.t1
OG0000126	evm.model.RL_6.543, evm.model.RL_3.859	Aa_G170950.h1.t1, Aa_G248300.h1.t1
OG0000127	evm.model.RL_4.3343	Aa_G18590.h1.t1
OG0000127	evm.model.RL_1.822	Aa_G101380.h1.t1
OG0000128	evm.model.RL_3.715, evm.model.RL_4.1217	Aa_G830510.h2.t1, Aa_G830510.h1.t1, Aa_G415050.h1.t1
OG0000128	evm.model.RL_5.2370	Aa_G147990.h1.t1, Aa_G91540.h1.t1
OG0000130	evm.model.RL_8.1018, evm.model.RL_6.662, evm.model.RL_2.682, evm.model.RL_6.625, evm.model.RL_6.679, evm.model.RL_1.2657, evm.model.RL_2.717, evm.model.RL_7.2033, evm.model.RL_2.727, evm.model.RL_6.626, evm.model.RL_4.730, evm.model.RL_2.674, evm.model.RL_6.690, evm.model.RL_5.2485, evm.model.RL_6.704, evm.model.RL_2.679, evm.model.RL_6.643, evm.model.RL_4.724, evm.model.RL_5.2503, evm.model.RL_6.691, evm.model.RL_6.707	Aa_G717270.h1.t1, Aa_G429650.h1.t1, Aa_G429650.h2.t1, Aa_G726870.h1.t1, Aa_G439950.h1.t1, Aa_G741540.h1.t1
OG0000132	evm.model.RL_2.3365	Aa_G358570.h1.t1
OG0000136	evm.model.RL_3.1028	Aa_G703520.h1.t1
OG0000136	evm.model.RL_2.429	Aa_G108450.h1.t1
OG0000139	evm.model.RL_8.982	Aa_G1007810.h1.t1, Aa_G1080960.h1.t1
OG0000139	evm.model.RL_2.706, evm.model.RL_3.777, evm.model.RL_8.1023, evm.model.RL_7.2060, evm.model.RL_2.666, evm.model.RL_4.723, evm.model.RL_3.732, evm.model.RL_7.1944, evm.model.RL_7.2044	Aa_G840.h1.t1, Aa_G475650.h1.t1
OG0000140	evm.model.RL_8.2003	Aa_G701760.h1.t1
OG0000140	evm.model.RL_7.1796	Aa_G848610.h1.t1
OG0000142	evm.model.RL_6.1032	Aa_G35530.h1.t1
OG0000147	evm.model.RL_2.2536	Aa_G620370.h1.t1
OG0000147	evm.model.RL_8.1812	Aa_G307400.h1.t1
OG0000147	evm.model.RL_3.2406	Aa_G21590.h1.t1
OG0000147	evm.model.RL_7.1930	Aa_G157270.h1.t1
OG0000147	evm.model.RL_2.664	Aa_G241680.h1.t1
OG0000147	evm.model.RL_1.2583	Aa_G194510.h1.t1
OG0000147	evm.model.RL_6.348	Aa_G41590.h1.t1
OG0000150	evm.model.RL_7.1810	Aa_G251660.h1.t1
OG0000151	evm.model.RL_8.1422	Aa_G134060.h1.t1
OG0000151	evm.model.RL_2.2307	Aa_G2000.h1.t1
OG0000151	evm.model.RL_1.777	Aa_G24370.h1.t1
OG0000151	evm.model.RL_1.2853	Aa_G70150.h1.t1
OG0000151	evm.model.RL_8.1691	Aa_G580840.h1.t1
OG0000151	evm.model.RL_3.61	Aa_G688860.h1.t1, Aa_G135580.h1.t1
OG0000154	evm.model.RL_6.951, evm.model.RL_5.1456, evm.model.RL_1.849	Aa_G162640.h1.t1, Aa_G280540.h1.t1
OG0000154	evm.model.RL_4.3288	Aa_G40310.h1.t1
OG0000154	evm.model.RL_1.853	Aa_G403550.h1.t1
OG0000155	evm.model.RL_2.2243	Aa_G438370.h1.t1
OG0000156	evm.model.RL_6.2689	Aa_G16110.h1.t1
OG0000156	evm.model.RL_4.1065, evm.model.RL_6.2692, evm.model.RL_8.1108, evm.model.RL_8.1107, evm.model.RL_6.2691	Aa_G16090.h1.t1, Aa_G569190.h2.t1, Aa_G569190.h3.t1, Aa_G569190.h1.t1
OG0000158	evm.model.RL_2.2746	Aa_G223250.h1.t1
OG0000161	evm.model.RL_3.897	Aa_G323510.h1.t1
OG0000162	evm.model.RL_4.640, evm.model.RL_2.640	Aa_G77230.h1.t1, Aa_G208970.h1.t1, Aa_G208980.h1.t1
OG0000162	evm.model.RL_6.2628	Aa_G175290.h1.t1
OG0000165	evm.model.RL_7.798	Aa_G11930.h1.t1, Aa_G83970.h1.t1, Aa_G86920.h1.t1
OG0000167	evm.model.RL_2.1517	Aa_G148400.h1.t1
OG0000167	evm.model.RL_2.1514	Aa_G674860.h1.t1
OG0000169	evm.model.RL_3.1834, evm.model.RL_3.1135.1.687c84bb	Aa_G98930.h1.t1
OG0000169	evm.model.RL_3.574, evm.model.RL_3.576	Aa_G87240.h1.t1
OG0000171	evm.model.RL_3.1439	Aa_G101710.h1.t1
OG0000171	evm.model.RL_5.927.1.687c88b0, evm.model.RL_3.461	Aa_G193050.h1.t1
OG0000173	evm.model.RL_5.288	Aa_G542470.h1.t1
OG0000175	evm.model.RL_7.1254	Aa_G122520.h1.t1
OG0000175	evm.model.RL_3.1995	Aa_G281740.h1.t1
OG0000175	evm.model.RL_2.3025	Aa_G180380.h1.t1
