Orthogroup	Erysimum_linariifolium	Conringia_planisiliqua
OG0000033	El003G162180, El003G162220, El001G014890, El001G012200, El001G004730	CP16_g55465_DN3_SP1_c.t1
OG0000034	El004G208110, El007G350680, El007G350130	CP6_g8131_DN3_SP0_c.t1
OG0000034	El001G041330	CP1_g40470_DN3_SP0_c.t1
OG0000034	El002G126180	CP21_g11036_DN2_SP0_c.t1
OG0000034	El027G373510, El005G264480, El005G264310, El005G268870, El002G123490, El003G149900, El001G048010, El006G311550, El006G310950	CP15_g35590_DN3_SP0_c.t1
OG0000035	El006G299540	CP4_g25547_DN2_SP0_c.t1
OG0000036	El006G309110, El006G311420, El002G122030	CP47_g21258_DN2_SP0_c.t1, CP8_g52373_DN1_SP0_c.t1
OG0000036	El006G312180	CP17_g5406_DN1_SP0_c.t1
OG0000037	El004G202640	CP17_g4884_DN2_SP0_c.t1, CP17_g4930_DN2_SP0_c.t1
OG0000038	El007G341120	CP8_g53633_DN2_SP0_c.t1
OG0000038	El007G361730, El007G361750	CP13_g20184_DN3_SP0_c.t1
OG0000038	El007G364390, El001G005030	CP7_g45140_DN3_SP0_c.t1
OG0000041	El004G204870, El005G265750, El007G355940, El001G013140, El002G131060	CP1_g39140_DN2_SP0_c.t1, CP1_g38904_DN1_SP0_c.t1, CP3_g16124_DN3_SP0_c.t1, CP12_g31225_DN3_SP0_c.t1, CP6_g8604_DN1_SP0_c.t1, CP98_g41597_DN1_SP0_c.t1, CP13_g20815_DN3_SP0_c.t1, CP5_g3430_DN1_SP0_c.t1, CP53_g22292_DN1_SP0_c.t1, CP47_g21233_DN3_SP0_c.t1, CP2_g49593_DN1_SP0_c.t1, CP2_g50599_DN2_SP0_c.t1, CP6_g8834_DN3_SP0_c.t1, CP5_g2206_DN2_SP0_c.t1, CP13_g20693_DN2_SP0_c.t1, CP8_g52462_DN1_SP0_c.t1, CP5_g2172_DN3_SP0_c.t1, CP30_g10047_DN2_SP0_c.t1, CP12_g31518_DN3_SP0_c.t1, CP3_g16558_DN3_SP0_c.t1, CP5_g2195_DN2_SP0_c.t1, CP31_g46751_DN2_SP0_c.t1, CP25_g55852_DN1_SP0_c.t1, CP13_g20401_DN2_SP0_c.t1, CP6_g9301_DN3_SP0_c.t1, CP13_g20788_DN2_SP0_c.t1
OG0000042	El003G192700	CP4_g26084_DN1_SP0_c.t1, CP5_g2115_DN2_SP0_c.t1
OG0000042	El005G265850	CP13_g20255_DN1_SP0_c.t1
OG0000043	El007G350700	CP29_g22024_DN2_SP0_c.t1
OG0000044	El002G124130	CP30_g10197_DN3_SP0_c.t1, CP1_g41420_DN3_SP0_c.t1
OG0000044	El006G308910, El006G308940	CP1_g39285_DN1_SP0_c.t1
OG0000044	El007G360870	CP15_g34716_DN3_SP0_c.t1
OG0000045	El002G101480	CP2_g49348_DN2_SP0_c.t1
OG0000045	El004G208130	CP26_g51323_DN1_SP0_c.t1
OG0000045	El006G320830	CP6_g7550_DN1_SP0_c.t1
OG0000046	El003G188710	CP5_g1580_DN2_SP0_c.t1
OG0000046	El004G216850, El004G216660	CP9_g28234_DN3_SP0_c.t1
OG0000046	El003G186890	CP5_g1666_DN1_SP0_c.t1
OG0000048	El005G238400, El005G238360	CP10_g42378_DN2_SP0_c.t1
OG0000048	El006G321480	CP16_g54747_DN3_SP0_c.t1
OG0000049	El003G185390	CP1_g41374_DN2_SP0_c.t1, CP1_g39385_DN3_SP0_c.t1
OG0000049	El001G020690	CP1_g39384_DN1_SP0_c.t1
OG0000052	El006G286610	CP2_g49248_DN2_SP0_c.t1
OG0000052	El006G286580	CP9_g28198_DN3_SP0_c.t1, CP4_g24479_DN3_SP0_c.t1
OG0000055	El004G198640	CP2_g49066_DN2_SP0_c.t1
OG0000055	El004G198810	CP2_g49067_DN3_SP0_c.t1
OG0000055	El004G198740, El004G198850	CP2_g49077_DN3_SP0_c.t1
OG0000056	El003G171800, El004G200570	CP2_g49697_DN3_SP0_c.t1
OG0000057	El003G174270, El003G172630, El003G172690	CP10_g42516_DN3_SP0_c.t1
OG0000057	El003G184060	CP10_g43729_DN2_SP0_c.t1
OG0000058	El005G263190, El006G310300, El005G258260	CP4_g26939_DN1_SP0_c.t1
OG0000058	El001G046460	CP5_g3336_DN1_SP0_c.t1, CP3_g15240_DN2_SP0_c.t1, CP5_g3337_DN1_SP0_c.t1
OG0000061	El006G308960, El006G308930, El002G121930	CP1_g40914_DN2_SP0_c.t1
OG0000062	El005G264970, El004G212620	CP8_g52439_DN3_SP0_c.t1
OG0000062	El007G346680, El005G263100	CP7_g44287_DN2_SP0_c.t1
OG0000063	El002G090480	CP4_g24977_DN3_SP0_c.t1
OG0000063	El002G090290	CP1_g37049_DN3_SP0_c.t1, CP3_g14842_DN3_SP0_c.t1
OG0000063	El007G330990, El007G331310	CP8_g53991_DN3_SP0_c.t1
OG0000063	El001G024380	CP1_g37064_DN3_SP0_c.t1
OG0000064	El003G142390	CP5_g77_DN1_SP0_c.t1
OG0000064	El006G298100	CP4_g25364_DN3_SP0_c.t1
OG0000065	El002G116640, El002G116630	CP24_g47137_DN2_SP0_c.t1
OG0000066	El001G071590, El001G071600	CP4_g25642_DN3_SP0_c.t1
OG0000066	El007G324780	CP2_g49425_DN3_SP0_c.t1
OG0000067	El001G050000	CP12_g31237_DN3_SP0_c.t1
OG0000068	El004G214260	CP12_g31766_DN2_SP0_c.t1, CP1_g40960_DN1_SP0_c.t1
OG0000069	El004G215380, El003G183250, El001G064640	CP5_g2097_DN2_SP0_c.t1
OG0000070	El002G125720	CP9_g27907_DN2_SP0_c.t1
OG0000074	El002G108920	CP7_g45419_DN3_SP0_c.t1
OG0000074	El002G109020, El002G108990	CP7_g45420_DN3_SP0_c.t1
OG0000074	El002G108960, El002G108950	CP20_g4368_DN3_SP0_c.t1
OG0000074	El002G108840	CP7_g45432_DN3_SP0_c.t1
OG0000074	El002G108850	CP7_g45433_DN3_SP0_c.t1, CP7_g45431_DN3_SP0_c.t1
OG0000075	El001G065030, El001G025110	CP8_g52637_DN1_SP0_c.t1
OG0000076	El001G023080	CP3_g14092_DN3_SP0_c.t1
OG0000076	El001G041500, El001G041490	CP13_g19766_DN3_SP0_c.t1
OG0000077	El004G229240	CP5_g173_DN1_SP0_c.t1
OG0000079	El005G237320, El005G272390, El005G237310	CP10_g42299_DN3_SP0_c.t1
OG0000079	El004G196920	CP17_g4852_DN2_SP0_c.t1
OG0000081	El004G231800, El001G044440	CP7_g44768_DN1_SP0_c.t1, CP16_g55147_DN3_SP0_c.t1
OG0000081	El006G304570	CP1_g38017_DN2_SP0_c.t1
OG0000082	El005G264460	CP4_g26212_DN3_SP0_c.t1
OG0000082	El004G212430	CP16_g55573_DN1_SP0_c.t1, CP29_g22172_DN2_SP0_c.t1, CP29_g22188_DN2_SP0_c.t1, CP20_g3823_DN2_SP0_c.t1, CP29_g22187_DN1_SP0_c.t1, CP14_g22602_DN1_SP0_c.t1, CP24_g47338_DN2_SP0_c.t1
OG0000083	El005G263720, El005G262910	CP22_g17376_DN1_SP0_c.t1
OG0000084	El006G313930	CP16_g55159_DN2_SP0_c.t1
OG0000084	El006G316280, El006G316240, El006G316260	CP16_g55164_DN2_SP0_c.t1
OG0000084	El006G313950	CP16_g55163_DN2_SP0_c.t1
OG0000085	El005G263080	CP14_g22980_DN1_SP0_c.t1
OG0000086	El002G123600, El004G210560	CP18_g12051_DN1_SP0_c.t1
OG0000087	El001G056180	CP2_g48308_DN3_SP8_c.t1
OG0000087	El006G303330	CP4_g25793_DN3_SP8_c.t1
OG0000087	El007G327940	CP2_g48035_DN3_SP7_c.t1
OG0000087	El001G016250	CP3_g14713_DN3_SP4_c.t1
OG0000087	El001G069260	CP11_g32707_DN3_SP8_c.t1
OG0000087	El006G296420	CP4_g25265_DN3_SP6_c.t1
OG0000087	El007G360740	CP13_g20168_DN3_SP8_c.t1
OG0000087	El003G165170	CP6_g6768_DN3_SP8_c.t1
OG0000087	El004G228430	CP9_g29223_DN3_SP8_c.t1
OG0000090	El002G104490, El003G181590	CP7_g45746_DN3_SP0_c.t1
OG0000090	El002G093200	CP17_g5790_DN3_SP0_c.t1
OG0000093	El002G128830	CP3_g13516_DN3_SP0_c.t1
OG0000096	El004G205300	CP2_g49683_DN2_SP0_c.t1
OG0000096	El001G038300	CP13_g19516_DN3_SP0_c.t1
OG0000096	El007G361830	CP13_g20085_DN3_SP0_c.t1
OG0000096	El007G362690	CP13_g20039_DN3_SP0_c.t1
OG0000096	El007G362760	CP13_g20034_DN3_SP0_c.t1, CP13_g20036_DN3_SP0_c.t1
OG0000096	El007G362830	CP13_g20028_DN2_SP0_c.t1, CP13_g20031_DN1_SP0_c.t1
OG0000097	El001G004400	CP5_g1424_DN3_SP0_c.t1
OG0000098	El002G095770	CP1_g37531_DN2_SP0_c.t1
OG0000100	El003G172340, El006G312970	CP17_g5913_DN2_SP0_c.t1, CP17_g5918_DN2_SP0_c.t1
OG0000100	El004G206690, El006G309850, El007G331570, El004G203680, El006G309780, El001G004640, El001G030520, El001G030510	CP12_g31136_DN1_SP0_c.t1
OG0000100	El001G030500	CP8_g52256_DN3_SP0_c.t1
OG0000101	El007G349760	CP2_g48894_DN3_SP0_c.t1
OG0000101	El007G346770	CP2_g48895_DN3_SP0_c.t1
OG0000101	El004G201590	CP2_g49326_DN3_SP0_c.t1
OG0000102	El006G302470	CP28_g33922_DN2_SP0_c.t1, CP4_g26223_DN2_SP0_c.t1, CP37_g11370_DN1_SP0_c.t1, CP5_g3265_DN3_SP0_c.t1, CP1_g39921_DN2_SP0_c.t1, CP14_g23881_DN1_SP0_c.t1, CP15_g34932_DN2_SP0_c.t1, CP3_g16302_DN1_SP0_c.t1, CP12_g31118_DN1_SP0_c.t1, CP13_g20642_DN2_SP0_c.t1
OG0000102	El007G357340	CP4_g26203_DN2_SP0_c.t1, CP4_g26799_DN1_SP0_c.t1
OG0000106	El006G306450, El005G269060, El005G269030, El005G268940	CP12_g30930_DN3_SP0_c.t1, CP12_g30984_DN3_SP0_c.t1, CP12_g30986_DN3_SP0_c.t1
OG0000107	El006G308310	CP7_g44349_DN3_SP0_c.t1, CP7_g44362_DN3_SP0_c.t1
OG0000108	El006G309530	CP17_g5784_DN1_SP0_c.t1
OG0000109	El005G269730	CP5_g3314_DN2_SP0_c.t1
OG0000109	El001G018880	CP1_g40029_DN1_SP0_c.t1, CP12_g31050_DN2_SP0_c.t1, CP13_g20454_DN2_SP0_c.t1, CP18_g12074_DN1_SP0_c.t1, CP6_g8582_DN2_SP0_c.t1, CP3_g15710_DN2_SP0_c.t1, CP12_g31527_DN3_SP0_c.t1, CP24_g47038_DN2_SP0_c.t1, CP3_g16737_DN2_SP0_c.t1, CP3_g14975_DN3_SP0_c.t1
OG0000110	El001G030790	CP3_g13458_DN3_SP0_c.t1
OG0000113	El007G357330	CP20_g4043_DN3_SP0_c.t1
OG0000113	El007G356050	CP2_g50540_DN2_SP0_c.t1, CP2_g49355_DN1_SP0_c.t1
OG0000113	El004G212080, El002G128690	CP12_g31635_DN1_SP0_c.t1
OG0000114	El001G070430	CP12_g31634_DN1_SP0_c.t1
OG0000114	El002G128610	CP12_g31654_DN3_SP0_c.t1
OG0000115	El002G126950, El002G121910, El006G311440, El006G308990, El007G324900, El006G289920, El006G285120, El004G201560, El001G079750, El001G046700, El002G106750, El002G138260, El007G348280, El001G079740, El006G310420	CP2_g49800_DN1_SP0_c.t1
OG0000116	El005G266280, El003G181290, El002G126330, El004G208040, El003G160430, El001G048920, El007G350210, El004G213450, El001G046840, El004G209170, El001G081080, El007G335700, El004G218070	CP6_g9453_DN3_SP0_c.t1, CP15_g35512_DN3_SP0_c.t1, CP28_g33977_DN3_SP0_c.t1
OG0000117	El005G253090	CP94_g6387_DN3_SP0_c.t1
OG0000117	El001G016830	CP14_g23890_DN3_SP0_c.t1, CP3_g15485_DN3_SP0_c.t1, CP15_g36117_DN3_SP0_c.t1, CP1_g41162_DN3_SP0_c.t1, CP3_g15353_DN1_SP0_c.t1, CP18_g12133_DN2_SP0_c.t1, CP6_g7639_DN2_SP0_c.t1, CP22_g17338_DN1_SP0_c.t1, CP12_g31607_DN1_SP0_c.t1, CP5_g3263_DN2_SP0_c.t1
OG0000118	El001G001700, El001G001530	CP5_g1908_DN2_SP0_c.t1, CP5_g1919_DN2_SP0_c.t1, CP5_g1915_DN1_SP0_c.t1, CP5_g1912_DN2_SP0_c.t1, CP5_g1886_DN2_SP0_c.t1, CP5_g1935_DN3_SP0_c.t1, CP94_g6400_DN3_SP0_c.t1, CP5_g1897_DN2_SP0_c.t1, CP5_g1895_DN2_SP0_c.t1, CP5_g1905_DN3_SP0_c.t1
OG0000118	El005G262010	CP6_g7513_DN2_SP0_c.t1, CP3_g14874_DN2_SP0_c.t1
OG0000120	El004G200260	CP2_g49217_DN3_SP0_c.t1, CP2_g49209_DN1_SP0_c.t1
OG0000120	El007G345250, El007G346140, El006G307860	CP6_g8949_DN3_SP0_c.t1, CP20_g4168_DN3_SP0_c.t1, CP20_g4172_DN3_SP0_c.t1
OG0000123	El002G113800	CP7_g45076_DN3_SP0_c.t1
OG0000123	El003G177660	CP5_g1625_DN3_SP0_c.t1
OG0000124	El005G255280	CP8_g54204_DN2_SP0_c.t1, CP22_g17175_DN1_SP0_c.t1
OG0000124	El001G053440	CP6_g8046_DN2_SP0_c.t1
OG0000124	El001G050120, El001G069630	CP2_g49700_DN3_SP0_c.t1
OG0000124	El006G313210	CP39_g21134_DN2_SP0_c.t1
OG0000125	El006G292880	CP4_g24986_DN3_SP0_c.t1
OG0000125	El005G244660	CP10_g42910_DN3_SP0_c.t1
OG0000125	El001G057350	CP8_g54114_DN3_SP0_c.t1
OG0000125	El007G331030	CP8_g54018_DN3_SP0_c.t1
OG0000125	El001G015130	CP3_g14833_DN3_SP0_c.t1
OG0000125	El006G304720	CP4_g25869_DN3_SP0_c.t1
OG0000127	El001G001730	CP10_g42882_DN3_SP0_c.t1, CP3_g14752_DN3_SP0_c.t1, CP17_g6016_DN3_SP0_c.t1, CP16_g55518_DN3_SP0_c.t1, CP9_g28628_DN3_SP0_c.t1, CP6_g7448_DN3_SP0_c.t1, CP12_g30884_DN3_SP0_c.t1, CP12_g30885_DN3_SP0_c.t1, CP12_g30886_DN1_SP0_c.t1
OG0000128	El003G173140	CP29_g22135_DN2_SP0_c.t1
OG0000131	El007G346920	CP13_g20753_DN3_SP0_c.t1, CP22_g17669_DN1_SP0_c.t1, CP74_g56236_DN3_SP0_c.t1, CP95_g12691_DN3_SP0_c.t1, CP3_g14115_DN3_SP0_c.t1, CP1_g40795_DN2_SP0_c.t1, CP22_g17668_DN1_SP0_c.t1, CP8_g52209_DN3_SP0_c.t1, CP17_g6028_DN3_SP0_c.t1, CP20_g4238_DN3_SP0_c.t1, CP8_g52212_DN3_SP0_c.t1, CP7_g44474_DN2_SP0_c.t1, CP9_g27817_DN2_SP0_c.t1, CP7_g44473_DN2_SP0_c.t1, CP1_g39948_DN1_SP0_c.t1
OG0000131	El006G311530	CP12_g30982_DN3_SP0_c.t1, CP18_g12092_DN3_SP0_c.t1, CP9_g27816_DN2_SP0_c.t1, CP17_g5831_DN3_SP0_c.t1, CP3_g14116_DN1_SP0_c.t1, CP3_g15173_DN3_SP0_c.t1
OG0000132	El005G264210	CP14_g23531_DN3_SP0_c.t1, CP27_g41691_DN3_SP0_c.t1
OG0000133	El005G265050	CP8_g52981_DN3_SP0_c.t1, CP46_g6624_DN3_SP0_c.t1, CP1_g40026_DN2_SP0_c.t1, CP18_g11985_DN2_SP0_c.t1, CP23_g21574_DN1_SP0_c.t1, CP1_g38892_DN3_SP0_c.t1, CP30_g10024_DN3_SP0_c.t1, CP10_g43905_DN3_SP0_c.t1, CP18_g11530_DN3_SP0_c.t1, CP27_g41687_DN2_SP0_c.t1, CP7_g44181_DN1_SP0_c.t1, CP36_g51006_DN1_SP0_c.t1, CP31_g46836_DN3_SP0_c.t1, CP96_g34206_DN3_SP0_c.t1
OG0000133	El001G044680	CP16_g55355_DN3_SP0_c.t1
OG0000135	El007G346110	CP18_g12231_DN1_SP0_c.t1, CP10_g43851_DN2_SP0_c.t1, CP14_g22663_DN1_SP0_c.t1, CP3_g15131_DN1_SP0_c.t1, CP5_g1428_DN2_SP0_c.t1, CP8_g52523_DN1_SP0_c.t1, CP5_g2025_DN2_SP0_c.t1, CP6_g7882_DN2_SP0_c.t1, CP20_g4161_DN1_SP0_c.t1, CP3_g15628_DN2_SP0_c.t1
OG0000135	El004G202160	CP17_g5860_DN2_SP0_c.t1
