Orthogroup	Erysimum_linariifolium	Cardamine_glauca
OG0000178	El007G324860, El003G162340, El003G181530, El003G168850, El006G304410	Cg014G331270
OG0000178	El004G208000, El001G047610, El007G347590	Cg002G069730, Cg002G066500
OG0000178	El001G040000, El004G215500, El006G292960, El001G025380, El002G095060, El004G206380, El003G161220	Cg008G316010
OG0000180	El007G325980, El006G317860	Cg007G279310
OG0000180	El004G196870, El004G196830, El007G342850	Cg001G043140
OG0000184	El002G135760	Cg006G215550
OG0000185	El004G197640	Cg003G088110
OG0000185	El001G013560	Cg003G098770
OG0000187	El003G151270	Cg001G008920
OG0000189	El001G047730	Cg002G073510
OG0000189	El003G144180	Cg001G002260, Cg001G002250
OG0000190	El001G005540	Cg003G080590, Cg003G080580
OG0000190	El001G005520	Cg006G210720
OG0000190	El001G005530	Cg006G210710
OG0000190	El005G265350	Cg003G087120, Cg003G087200
OG0000191	El005G268370	Cg003G087540
OG0000191	El005G254650	Cg004G134260
OG0000191	El005G274730, El005G274430, El005G274440, El005G274460, El005G274720	Cg004G153150, Cg004G153270
OG0000192	El002G105680	Cg006G224780
OG0000192	El002G105570	Cg006G224800
OG0000192	El002G105610	Cg006G224790
OG0000192	El002G105690	Cg006G224760
OG0000193	El006G309730	Cg004G140730
OG0000195	El006G308260	Cg005G182280
OG0000195	El001G028150	Cg002G049520, Cg005G164920
OG0000195	El003G186220	Cg001G036760
OG0000195	El004G215670	Cg007G265630
OG0000195	El001G058810	Cg002G064380
OG0000195	El001G012120	Cg008G301610
OG0000196	El002G116380	Cg006G202630
OG0000197	El003G193160, El005G275730, El005G275770, El005G276170, El003G184300, El002G120020, El003G191670, El003G190970, El003G190840	Cg001G041590
OG0000200	El004G214290	Cg006G240250
OG0000200	El002G088260	Cg007G272860, Cg007G265230, Cg006G240300
OG0000200	El003G187150, El003G187490, El001G041980, El003G187480, El003G180990	Cg001G038160, Cg001G038180
OG0000201	El005G260650	Cg004G139100
OG0000201	El005G260640	Cg004G139090
OG0000201	El005G260660	Cg004G139110
OG0000202	El005G254420	Cg004G134030
OG0000203	El005G239360, El005G239320, El005G239280, El007G349670	Cg004G120290
OG0000203	El003G153180, El005G238860	Cg004G126450, Cg004G126500, Cg004G126510, Cg002G062080
OG0000204	El005G243840, El005G241010, El001G005350	Cg004G142490, Cg004G140470
OG0000204	El005G259630	Cg004G138460
OG0000204	El003G152770	Cg001G010180
OG0000209	El004G207330, El004G207320, El004G207280, El004G207300, El004G207310	Cg007G246040
OG0000209	El003G193190	Cg001G042590
OG0000210	El005G269840, El005G269890	Cg004G144520
OG0000210	El001G038680, El001G038660, El002G139080	Cg002G073630, Cg002G073600, Cg002G073620
OG0000210	El006G298860	Cg005G173490
OG0000213	El006G319100, El006G319080	Cg005G191730
OG0000218	El002G099000	Cg006G230920
OG0000218	El002G099030, El002G099010	Cg006G230900, Cg006G230890
OG0000218	El001G040840, El001G040850	Cg002G072370
OG0000218	El001G036390	Cg002G075340
OG0000219	El004G216370	Cg007G266520, Cg007G266510
OG0000219	El007G327350	Cg003G095240, Cg003G111060
OG0000221	El001G033300, El008G369870, El001G033310, El004G207110	Cg005G182530
OG0000224	El004G230600	Cg007G278180, Cg007G278170
OG0000224	El004G230590	Cg007G278160
OG0000224	El005G267900	Cg001G008870, Cg001G017640
OG0000226	El002G108090	Cg004G156690
OG0000226	El001G017980, El001G017970, El007G334490, El007G334480, El007G337470	Cg003G113210
OG0000228	El004G222540, El004G222580	Cg007G271320
OG0000228	El001G048740, El001G048760	Cg008G307350
OG0000228	El002G108430	Cg002G069120
OG0000228	El004G222500	Cg007G271290
OG0000229	El003G153420	Cg003G078340, Cg014G331290, Cg008G315850, Cg014G331310, Cg014G331300, Cg003G078330
OG0000229	El002G136110, El002G136100, El002G136060, El002G136090, El001G062630, El002G136050	Cg007G261570
OG0000230	El004G228550, El004G228570, El004G228580	Cg007G276400
OG0000230	El004G228600, El004G228560	Cg007G276410
OG0000234	El001G013810	Cg002G062460
OG0000234	El001G026000	Cg002G051400
OG0000234	El001G025990	Cg002G051410
OG0000234	El001G025980	Cg002G051420
OG0000234	El006G290620	Cg005G166930
OG0000234	El001G068080	Cg008G293710
OG0000235	El002G130000	Cg006G202900, Cg006G202870, Cg006G202910, Cg006G202830
OG0000236	El005G261550	Cg004G139220
OG0000237	El002G125730, El006G311120	Cg007G261810, Cg006G203590
OG0000239	El006G298680	Cg005G173350
OG0000239	El006G299430	Cg005G173640
OG0000239	El006G314580, El006G314600	Cg013G330340, Cg036G336860
OG0000240	El001G011020	Cg007G263700
OG0000241	El004G206480, El004G203420	Cg004G145120
OG0000242	El005G272850	Cg004G150060, Cg004G150660, Cg004G150050, Cg004G150670, Cg004G150020, Cg004G150680
OG0000242	El002G097950	Cg006G231900
OG0000242	El002G097970	Cg006G231890
OG0000242	El002G097940	Cg006G231910
OG0000244	El003G163990	Cg001G019150
OG0000244	El001G005180	Cg003G093660, Cg003G080320
OG0000244	El003G164000	Cg001G019160
OG0000248	El004G205450	Cg007G252860
OG0000248	El003G188180	Cg001G034790
OG0000249	El001G010190, El001G010200	Cg005G169790
OG0000250	El004G221440, El004G221420, El004G221410, El004G221430	Cg007G270460
OG0000250	El004G221620, El004G221570	Cg007G270580
OG0000252	El002G140500	Cg007G252790, Cg007G252760
OG0000252	El006G314500, El002G132360, El006G289160, El008G368890	Cg005G190920
OG0000254	El004G205790, El004G205810, El004G205800, El004G205770, El005G255250	Cg004G134710
OG0000256	El001G005740	Cg003G080890
OG0000256	El006G289100	Cg005G165640
OG0000257	El005G269290	Cg004G143430, Cg004G143470, Cg004G143460
OG0000257	El004G209770	Cg007G247040, Cg007G247060
OG0000257	El003G177270, El004G233260, El003G184780	Cg001G035030
OG0000257	El003G190500	Cg004G126080
OG0000258	El001G040590, El001G040540	Cg002G072350
OG0000258	El001G040630, El001G040650	Cg002G072340
OG0000258	El007G334450	Cg003G104860
OG0000258	El001G040670	Cg002G072320
OG0000264	El001G004650, El001G004660	Cg003G094090, Cg003G079920, Cg003G094100, Cg003G079900, Cg003G094120, Cg003G094110, Cg003G079910, Cg003G079890
OG0000264	El001G003620	Cg003G079060, Cg003G094880
OG0000267	El006G303900, El006G300950, El006G300970	Cg005G177130, Cg005G177100, Cg005G177110, Cg005G177030, Cg005G177010, Cg005G177140, Cg005G177090, Cg005G177120
OG0000268	El001G037050	Cg002G074810
OG0000268	El004G198500	Cg007G248330
OG0000268	El001G037010	Cg007G248320
OG0000268	El001G081300	Cg008G282710
OG0000268	El001G024850	Cg002G052420
OG0000270	El005G273730	Cg001G000740
OG0000270	El003G142380	Cg001G005510
OG0000271	El002G111590	Cg001G032910
OG0000271	El001G004610, El001G004620	Cg003G079870
OG0000273	El003G184360	Cg006G201150, Cg006G201180
OG0000274	El007G331270	Cg003G107390
OG0000274	El001G015380	Cg002G061020
OG0000274	El002G138930, El005G270610, El001G015480, El001G015500	Cg002G061010
OG0000274	El004G201760	Cg007G251180
OG0000274	El002G089940, El002G089910	Cg006G238740
OG0000274	El006G303380, El006G303400	Cg005G177430
OG0000275	El005G260480	Cg004G139010
OG0000275	El005G260440	Cg004G138960
OG0000275	El001G046400	Cg004G138970
OG0000275	El005G260470, El005G260460, El005G260450	Cg004G138980
OG0000276	El003G177930	Cg001G029710
OG0000277	El003G172500	Cg001G025680, Cg001G025710
OG0000277	El003G172490	Cg001G025690, Cg001G025720
OG0000277	El003G172540, El003G172520	Cg001G025760
OG0000278	El007G332310, El007G332260	Cg003G105620
OG0000281	El002G134210, El002G134220	Cg006G199670
OG0000281	El004G205670, El004G205700	Cg006G220980
OG0000282	El001G074250	Cg008G288340
OG0000282	El001G074230, El001G074220	Cg008G288360
OG0000282	El001G074240	Cg008G288350, Cg008G323220
OG0000282	El001G074210	Cg008G288380
OG0000282	El001G074200, El001G074190	Cg008G288420, Cg008G288390, Cg008G288410, Cg008G288400
OG0000283	El007G358960	Cg008G319010
OG0000283	El007G358950, El007G358900, El007G358940, El007G358910	Cg008G318960, Cg008G318990, Cg008G318970
OG0000284	El001G051110	Cg008G323450, Cg008G323400, Cg008G323440, Cg005G189010, Cg008G323430, Cg008G323380
OG0000287	El005G258960	Cg007G251270
OG0000287	El005G259020	Cg004G137950
OG0000287	El005G258990, El005G259000	Cg004G137930, Cg004G140040
OG0000287	El005G259010	Cg004G137940
OG0000287	El005G259030	Cg004G137980
OG0000287	El005G259040	Cg004G137960
OG0000290	El005G255960	Cg004G135310
OG0000290	El003G191140, El003G191110	Cg001G040670, Cg001G040570, Cg001G040700
OG0000294	El005G254320	Cg004G133910
OG0000294	El006G293670	Cg005G169690
OG0000294	El006G280820	Cg005G158570
OG0000294	El001G002070	Cg003G077590, Cg014G332020
OG0000294	El002G084190	Cg006G243870
OG0000295	El004G213700, El004G213760	Cg007G263400
OG0000295	El005G250980	Cg004G130770
OG0000296	El004G224600, El004G224660, El006G317420, El006G317640, El006G317430	Cg007G280920, Cg007G280630
OG0000297	El003G145640	Cg001G003600
OG0000297	El006G304920	Cg005G178560, Cg005G178570, Cg005G178540
OG0000297	El007G330520	Cg003G108160
OG0000297	El005G257220	Cg004G136450
OG0000298	El004G230640	Cg004G131150
OG0000299	El001G044780, El001G044800, El001G044870	Cg002G070200
OG0000299	El004G215990	Cg007G279160
OG0000299	El002G141100	Cg006G194370
OG0000300	El005G270380	Cg004G145480, Cg004G145490
OG0000300	El005G270340	Cg004G145430, Cg004G144800
OG0000304	El006G306670, El002G124540, El007G361960	Cg008G321360, Cg008G321310, Cg008G321320
OG0000308	El003G190640	Cg001G040650
OG0000310	El002G106070	Cg002G058430
OG0000311	El001G064420	Cg008G296830
OG0000311	El002G132070	Cg006G201410
OG0000311	El005G254740	Cg004G134370
OG0000311	El004G215340	Cg007G265360
OG0000313	El003G165600	Cg001G028860
OG0000313	El003G178140	Cg001G020560
OG0000313	El002G132590	Cg006G201020, Cg006G200970
OG0000314	El002G086800	Cg006G241650
OG0000314	El006G299440	Cg005G174030
OG0000314	El002G086810	Cg006G241640
