Orthogroup	Erysimum_linariifolium	Noccaea_praecox
OG0000077	El007G346640, El004G229240, El002G122000	Np005G317450, Np005G317430, Np005G317440, Np005G317410, Np005G317490
OG0000077	El003G143080	Np007G386290
OG0000077	El003G143050, El006G313810, El003G143040	Np005G261710, Np006G360730
OG0000077	El003G143090	Np005G261720
OG0000078	El008G368270, El008G368260	Np002G086990, Np002G097240, Np002G092810
OG0000079	El004G207470	Np007G422670
OG0000079	El001G030540, El007G357730	Np007G389360
OG0000080	El002G131320, El002G131270	Np006G321280, Np006G321720, Np003G146070, Np004G250430
OG0000080	El004G194020, El004G194360	Np002G124500, Np002G124510
OG0000080	El003G157200	Np005G278660
OG0000080	El007G345310	Np005G318150, Np005G318140
OG0000080	El001G043770, El001G041340	Np004G240560, Np006G328080
OG0000081	El004G231800, El001G044440	Np001G010770
OG0000081	El006G304570	Np004G196080, Np004G196070
OG0000081	El001G062500	Np003G145640
OG0000082	El004G212430	Np005G274330, Np001G045200
OG0000083	El005G265380	Np002G090350
OG0000083	El004G223260	Np002G083710
OG0000083	El006G317470, El006G317450, El006G313440	Np007G418940
OG0000084	El006G315720	Np006G364940
OG0000084	El006G315730, El006G315630, El006G315610, El006G315700, El006G317190, El006G312100, El006G312130, El006G317170, El006G315060, El006G315050, El006G312110, El006G317200, El006G317180	Np006G364930
OG0000084	El006G316420	Np006G365060, Np006G365040
OG0000084	El006G316360, El006G316460, El006G316430, El006G316470, El006G316370, El006G316400	Np006G364950
OG0000087	El001G018640	Np001G049810
OG0000087	El001G056180	Np001G010980
OG0000087	El006G303330	Np006G350150, Np008G428160
OG0000087	El007G327940	Np005G287050
OG0000087	El001G069260	Np003G139100
OG0000087	El007G360740	Np001G039930
OG0000087	El003G165170	Np005G287110
OG0000087	El004G228430	Np002G077440
OG0000088	El001G059590	Np003G148700, Np003G148740
OG0000088	El001G059580	Np001G052870
OG0000089	El001G072250	Np003G136030
OG0000089	El002G133200	Np007G395030
OG0000089	El006G287080	Np006G329000
OG0000089	El005G247910	Np007G409340
OG0000089	El001G024400	Np006G336940
OG0000090	El002G104490, El003G181590	Np004G235330
OG0000090	El004G228750	Np001G036430, Np001G036600, Np002G077140, Np001G052590, Np001G052610
OG0000090	El003G147970	Np007G385680, Np001G065320, Np001G065030
OG0000090	El002G093200	Np007G389920
OG0000091	El005G262380, El005G262370, El005G262320	Np003G165480
OG0000093	El005G270280	Np001G005730
OG0000093	El005G270290, El005G270300, El005G270240, El004G214760, El005G270230	Np004G200370, Np004G200430, Np004G200450, Np004G200420, Np004G200410, Np004G200440, Np004G200400
OG0000096	El004G205300	Np002G112160
OG0000096	El001G038300, El001G038380, El001G038370	Np001G024770
OG0000096	El004G205880, El004G205870, El004G205260, El004G205840, El007G356380	Np002G112580
OG0000096	El007G361830	Np001G038620
OG0000096	El007G362690	Np001G038140
OG0000096	El007G362760	Np001G038130
OG0000097	El001G004470	Np003G184990
OG0000097	El001G004380	Np003G171600
OG0000097	El001G004460, El001G004420, El001G004430, El007G349700, El001G004410, El001G048890	Np003G185030
OG0000099	El004G194890, El004G195030, El004G194980	Np004G215640
OG0000099	El004G194840	Np007G403720
OG0000100	El006G312970	Np004G233090, Np003G158140
OG0000100	El004G206690, El006G309850, El007G331570, El004G203680, El006G309780, El001G004640, El001G030520, El001G030510	Np002G083340
OG0000100	El001G030500	Np006G360420, Np005G260470
OG0000101	El007G349760	Np002G111340
OG0000101	El004G195800	Np002G122780
OG0000101	El007G356350	Np002G123360
OG0000101	El004G201590	Np004G206440
OG0000102	El006G302470	Np006G343550, Np005G313300, Np007G377750
OG0000104	El002G090170	Np004G251930
OG0000104	El006G304210	Np006G360100
OG0000104	El002G136360	Np004G195150
OG0000106	El005G259530	Np004G196300, Np004G195520, Np004G194580, Np004G195510, Np004G198890, Np002G119250, Np004G196880, Np007G381350, Np007G382790, Np007G382780, Np007G380200, Np007G390640, Np007G381560, Np007G381660, Np002G078930, Np002G078330
OG0000106	El001G010720, El005G256190, El005G255570	Np007G372640
OG0000107	El006G308310	Np007G398440, Np007G418450
OG0000107	El005G257790, El005G257800, El005G257780, El005G257770	Np007G398420
OG0000108	El007G364310, El007G323300, El001G009690, El006G281400	Np001G011650, Np001G011550
OG0000108	El006G309530	Np007G389900
OG0000108	El006G297420, El006G297320, El006G297490, El006G297230, El002G139550	Np004G259470
OG0000109	El005G269730	Np005G297110, Np007G411390, Np006G354610, Np002G087810, Np004G196100, Np003G179250, Np007G388320
OG0000109	El001G049940, El008G368450, El002G127890, El006G320930, El003G188420, El002G122420	Np003G183100, Np004G217760
OG0000110	El001G030790	Np001G064490
OG0000110	El001G030780	Np001G064470
OG0000110	El001G030750	Np001G064450
OG0000111	El003G187720, El001G009620, El003G183560	Np005G311780, Np005G313710, Np005G313720, Np005G313730
OG0000111	El003G187730	Np005G313680, Np001G006020
OG0000111	El001G025790	Np001G058370
OG0000112	El007G329910, El007G342990	Np003G184320
OG0000113	El004G207200, El004G207120, El004G195320, El004G195370, El004G195590, El004G195260, El004G195240, El004G195300, El004G195220, El004G195250, El004G195400, El004G195200, El004G195310	Np002G122980
OG0000113	El050G375440, El007G365010, El007G356050	Np002G089320
OG0000116	El005G266280, El003G181290, El002G126330, El004G208040, El003G160430, El001G048920, El007G350210, El004G213450, El001G046840, El004G209170, El001G081080, El007G335700, El004G218070	Np005G292090, Np005G294910, Np002G096290, Np002G092280, Np001G008260
OG0000117	El005G253090	Np007G391540
OG0000117	El001G016830	Np004G191700
OG0000118	El001G001700, El001G001530	Np005G315460
OG0000118	El006G302550, El006G302540, El007G358680, El006G302560, El001G023930, El002G084120	Np001G044480, Np005G313880
OG0000119	El005G265760, El001G013130, El007G355930	Np007G421930, Np004G214240, Np005G280390, Np004G237460, Np004G208260
OG0000119	El002G124220	Np002G102980
OG0000120	El004G200260	Np002G117060, Np002G116940
OG0000120	El007G345250, El007G346140, El006G307860	Np006G361280, Np003G165900, Np007G387790, Np007G387320, Np007G387280
OG0000120	El001G077920	Np003G129250
OG0000123	El001G013920	Np003G131130
OG0000124	El001G050120, El001G069630	Np006G348530
OG0000125	El001G024280	Np001G056500
OG0000125	El006G292880	Np006G337140
OG0000125	El005G244660, El001G080460	Np003G126800
OG0000125	El001G057350	Np003G151060
OG0000125	El001G015040, El007G331030	Np003G152340
OG0000125	El006G304720	Np006G359820
OG0000127	El001G001730	Np007G413700, Np001G046260, Np007G413710, Np002G096200
OG0000131	El007G346920	Np002G101800
OG0000131	El006G311530	Np003G174400
OG0000133	El005G265050	Np005G308080, Np003G130350, Np003G153160
OG0000133	El001G044680	Np002G099680, Np008G425630
OG0000135	El007G346110	Np003G164400, Np004G199120, Np004G190020, Np006G371220
OG0000136	El004G215950, El004G215940	Np002G086710
OG0000136	El004G209050, El004G209110	Np005G312700
OG0000136	El003G186400, El003G186460	Np005G302230
OG0000136	El003G186490, El003G186500	Np005G312640
OG0000136	El007G355150, El007G356600	Np002G095000
OG0000137	El002G124820, El003G184880	Np007G418300, Np006G322470, Np001G014280, Np002G106500, Np001G031670, Np006G341350, Np005G298930
OG0000137	El007G356470	Np003G131090, Np002G110900
OG0000137	El003G191580	Np005G318010
OG0000138	El006G314590	Np002G085260
OG0000138	El001G045840	Np001G018700
OG0000138	El001G045810, El001G045830	Np002G085240, Np002G085270, Np002G085250
OG0000139	El007G349680, El003G179680	Np006G346200, Np002G108210, Np003G158850, Np004G246540, Np002G097840
OG0000140	El007G331970	Np003G153340
OG0000140	El007G332020	Np003G153440
OG0000140	El007G332560, El007G332570, El007G332540	Np003G153920
OG0000140	El007G332580, El007G332590	Np003G153420
OG0000140	El007G332010, El007G332000	Np003G153430, Np007G424390, Np003G153390
OG0000142	El006G303760, El006G303820	Np006G360490
OG0000145	El001G043740	Np002G108950, Np007G417590
OG0000145	El001G032500	Np005G299660
OG0000146	El007G336800	Np003G160050
OG0000146	El007G336790	Np003G160040
OG0000146	El007G336850	Np003G160230
OG0000146	El007G336810	Np003G160060, Np003G160140, Np003G160190
OG0000146	El007G336820	Np003G160200
OG0000146	El007G336910	Np003G160640
OG0000146	El007G336890	Np003G159660
OG0000146	El002G123110	Np003G160220
OG0000147	El005G277400	Np007G373950
OG0000147	El003G152940	Np005G273990
OG0000147	El007G334350	Np003G156060
OG0000147	El004G233720	Np002G071170
OG0000147	El001G047010	Np001G043050
OG0000147	El005G271430	Np007G389960
OG0000149	El001G015560	Np001G046040
OG0000150	El006G312860	Np003G156160, Np003G156150, Np003G183630
OG0000151	El007G339860	Np003G164170
OG0000151	El003G156070	Np005G277020
OG0000151	El005G273960	Np007G376880
OG0000151	El007G336000	Np003G158280
OG0000154	El005G244620	Np007G413420
OG0000154	El004G209500	Np003G126700, Np003G127150, Np002G112020
OG0000155	El003G164690	Np005G287960
OG0000155	El005G247790	Np007G409550
OG0000155	El003G164700	Np005G287400, Np007G412670
OG0000156	El001G032910	Np001G066790
OG0000156	El002G121590, El006G282830	Np006G324140
OG0000157	El005G238850	Np007G422190, Np007G422180
OG0000158	El003G176020, El005G265720, El005G267190	Np007G406120, Np001G028290, Np001G028380, Np001G028350
OG0000158	El006G298850	Np002G081170
OG0000160	El002G123370, El007G360530	Np006G338270, Np003G167760, Np003G172190, Np002G094170
OG0000160	El007G347580, El004G202080, El002G123360, El007G360520	Np002G095190
OG0000162	El005G268830	Np001G066230
OG0000162	El007G330500	Np002G116280
OG0000162	El006G283560, El006G283550	Np006G324990
OG0000164	El003G154310, El003G154300	Np005G275210
OG0000164	El003G186050, El001G048320	Np004G198520
OG0000165	El006G283540, El001G061740	Np007G400810
OG0000165	El003G187390	Np004G213650, Np004G227560, Np007G395840, Np002G092480, Np003G181120, Np003G172930, Np006G367620
OG0000165	El006G319440	Np004G232590
OG0000166	El003G188790, El003G188850	Np001G026760
OG0000166	El001G012590, El002G131550	Np005G278550
OG0000166	El003G170640, El003G170650, El006G307980, El001G032810, El001G080610, El004G229180	Np003G159070
OG0000167	El003G166330	Np005G289610
OG0000167	El003G186190, El007G348790	Np004G243920, Np002G111260
OG0000167	El003G166350	Np004G202230
OG0000167	El003G186120	Np005G289670
OG0000168	El004G196900	Np003G173770
OG0000168	El002G109450	Np007G418090
OG0000168	El006G282840	Np005G293780
OG0000168	El006G293350, El004G205010	Np007G402480
OG0000171	El006G280730	Np006G321770
OG0000171	El002G093670	Np001G068570
OG0000171	El004G201030	Np004G248080
OG0000171	El001G066810	Np003G141590
OG0000172	El001G034720	Np001G064170
OG0000174	El005G261670	Np004G217810
OG0000174	El003G181040, El001G047190, El008G371470, El007G350780, El003G181660	Np009G430530, Np002G103530, Np004G220900, Np010G432780
OG0000175	El004G228610	Np002G077280
OG0000175	El002G104420	Np004G235400
OG0000175	El003G146230	Np005G267520
OG0000176	El005G259390	Np004G231820
OG0000177	El006G311500	Np006G349030, Np005G303140
OG0000178	El004G208000	Np002G123320, Np001G009130
OG0000178	El007G330330	Np004G243400, Np001G020660
OG0000180	El004G196870, El004G196830, El007G342850	Np006G370740, Np006G370680
OG0000181	El004G221180, El006G310720, El001G037070, El007G362960, El001G081130, El003G164550, El006G294400, El001G016930, El002G127660, El007G351590, El002G119200, El007G343640, El003G185610, El007G324810	Np005G296340, Np006G359190, Np001G033000, Np007G384350, Np002G094870, Np004G238980, Np006G363240
OG0000183	El002G109930, El002G097230, El003G174400, El002G139010, El002G135320	Np004G227120
OG0000185	El007G338660, El001G004120, El001G048970	Np005G288320
OG0000187	El003G151270	Np005G271570
OG0000187	El003G151220	Np005G271420
OG0000189	El004G229250	Np005G262130
OG0000189	El003G144190, El001G061400, El001G061930, El001G047730, El003G144180	Np001G019990
OG0000190	El001G005520	Np003G183500
OG0000190	El001G005530	Np003G183510
OG0000190	El001G005460	Np003G183520
OG0000190	El001G005510	Np003G183410, Np003G183480
OG0000191	El005G268370	Np005G291410
OG0000192	El001G002000, El002G105660	Np002G086820, Np007G389770, Np002G076020
