Orthogroup	Erysimum_linariifolium	Aethionema_saxatile
OG0000146	El007G336810, El007G336820	As002G047190
OG0000147	El005G277400	As011G265720
OG0000147	El003G152940	As001G002190
OG0000147	El007G334350	As002G049060
OG0000147	El004G233720	As010G243490
OG0000147	El001G047010	As010G227330
OG0000147	El005G271430	As011G259420
OG0000149	El001G015560	As010G224590
OG0000149	El006G308870, El007G331430	As010G224610
OG0000150	El006G312860	As010G225230
OG0000150	El006G312870, El001G014430, El006G312840, El006G312880, El006G312950, El006G312930, El001G011280	As010G225180, As010G225220, As010G225210
OG0000151	El003G156070	As007G166070
OG0000151	El005G243780	As006G141980, As006G133740
OG0000151	El005G273960	As011G263600
OG0000151	El007G336000	As002G047900
OG0000151	El004G194600, El003G193180	As001G030700
OG0000154	El005G244620	As002G034300
OG0000155	El001G002450, El001G002560, El001G002510, El001G002610, El004G214530, El004G213730, El004G214590, El003G164690	As003G059350
OG0000155	El001G050480, El005G272960	As003G059230, As003G059200
OG0000156	El001G032910	As012G287040, As012G287050
OG0000156	El006G282860	As005G101590, As008G189910, As005G101570, As005G101560, As005G101580
OG0000156	El001G032920	As001G028010
OG0000162	El003G183220	As012G286460
OG0000162	El002G134880, El001G032190	As012G286400, As012G286420, As012G286480, As012G286450, As012G286430, As012G286540, As012G286510, As012G286530, As012G286410, As012G286470, As012G286550, As012G286570
OG0000162	El006G283560, El006G283550	As005G102210
OG0000164	El003G154310, El003G154300	As011G264140, As011G262780
OG0000166	El003G188790, El003G188850	As011G260470, As002G040840
OG0000166	El004G197940	As003G065570, As004G089950, As010G228950, As010G228940, As005G111670, As004G092330, As003G068080
OG0000167	El003G166330	As003G057890
OG0000168	El007G366060, El007G366100	As008G194570
OG0000168	El006G293350, El004G205010	As010G230090
OG0000169	El006G316110	As010G239290
OG0000171	El006G280730, El002G093670	As005G099780
OG0000171	El004G201030	As001G020870
OG0000171	El001G066810	As009G200410
OG0000175	El001G021550	As010G220360
OG0000175	El002G104420	As007G156270
OG0000175	El003G147420	As011G263590
OG0000178	El001G013310	As001G013240
