Orthogroup	Erysimum_linariifolium	Odontarrhena_muralis
OG0000099	El004G194890, El004G195030, El004G194980	Om005G227360, Om005G227350, Om005G227310, Om005G227370, Om005G227320
OG0000100	El003G172340, El006G312970	Om007G304610
OG0000100	El002G130910	Om001G023470, Om002G054070, Om002G062020, Om007G307690, Om005G203320
OG0000100	El001G030500	Om004G142840
OG0000101	El007G356350	Om005G227680, Om005G227700, Om005G227110
OG0000101	El004G209060	Om005G227690
OG0000104	El002G090170	Om005G185360
OG0000104	El006G304210	Om007G283020
OG0000107	El006G308310	Om002G067730
OG0000107	El005G257840	Om002G067740
OG0000107	El001G039680, El005G258940, El005G270120	Om002G067770
OG0000108	El007G364310, El007G323300, El001G009690, El006G281400	Om003G100270, Om003G100260
OG0000108	El006G309530	Om003G104790, Om003G104780, Om003G103800, Om003G124630, Om008G338810
OG0000108	El006G297420, El006G297320, El006G297490, El006G297230, El002G139550	Om006G273840, Om006G273820
OG0000109	El001G018880	Om007G303510
OG0000110	El001G030790	Om003G123410
OG0000110	El001G030780	Om003G123400
OG0000112	El007G329910	Om006G237220, Om006G237210, Om001G003630, Om008G359070, Om008G359090, Om008G359060
OG0000112	El007G342990	Om005G189180
OG0000113	El004G195320, El004G195370, El004G195590, El004G195260, El004G195240, El004G195300	Om005G227040
OG0000113	El004G212080	Om001G034170
OG0000114	El004G213600	Om004G135370
OG0000118	El001G001700, El001G001530	Om008G333780
OG0000119	El005G265760, El001G013130, El007G355930	Om008G350770, Om005G228020, Om003G109440, Om006G251230, Om001G019890
OG0000119	El002G124220	Om004G167610, Om008G327080, Om056G377050, Om007G284890, Om002G047880, Om002G045610, Om008G336570, Om004G165930, Om006G268600, Om006G246170, Om005G185730
OG0000120	El004G200260	Om005G221860
OG0000120	El007G345250, El007G346140, El006G307860	Om004G161410, Om004G161280, Om002G075940, Om007G301890, Om001G024520
OG0000120	El001G077920	Om007G296760, Om007G296900, Om004G172660
OG0000124	El005G255280	Om005G227380, Om001G036630, Om003G104490, Om003G111030, Om003G110990, Om003G111110, Om003G111130
OG0000124	El001G053440	Om005G206120
OG0000124	El001G050120, El001G069630	Om008G318760, Om007G317440
OG0000125	El005G244660, El001G080460	Om002G052080
OG0000125	El001G057350	Om006G244360
OG0000125	El001G015040, El007G331030	Om006G245540
OG0000125	El006G304720	Om007G283300
OG0000127	El001G001730	Om005G189950, Om005G189960
OG0000128	El003G173140	Om001G015270
OG0000130	El002G120060	Om006G267480, Om004G149990, Om007G304660
OG0000131	El006G311530	Om003G106820
OG0000133	El005G265050	Om008G345870, Om008G349240
OG0000133	El001G044680	Om008G358290, Om008G345600, Om001G024110
OG0000135	El007G346110	Om002G054930, Om005G226530
OG0000136	El007G327820	Om003G099850
OG0000137	El007G356470	Om006G258530
OG0000138	El001G045810, El001G045830	Om001G026370
OG0000139	El007G349680, El003G179680	Om003G107910, Om003G108000
OG0000140	El007G331970	Om006G246590
OG0000140	El007G332560, El007G332570, El007G332540	Om006G247230, Om006G247200
OG0000140	El007G332010, El007G332000	Om006G246640
OG0000142	El006G303720	Om007G282790, Om006G267630
OG0000142	El006G303780	Om007G282780
OG0000142	El006G303760, El006G303820	Om007G282660
OG0000144	El006G293730	Om008G351670, Om002G077760, Om005G218980, Om001G015950, Om001G019450
OG0000144	El007G362000	Om007G317180
OG0000145	El001G032500	Om005G215130
OG0000146	El007G336800	Om003G117410
OG0000146	El007G336850	Om003G117350
OG0000146	El007G336810	Om003G117400, Om003G117360
OG0000146	El007G336910	Om003G090770
OG0000147	El005G277400	Om002G086500
OG0000147	El003G152940	Om001G025660
OG0000147	El007G334350	Om007G285990, Om006G249440
OG0000147	El004G233720	Om004G130850
OG0000147	El001G047010	Om006G268290
OG0000147	El005G271430	Om002G078960
OG0000149	El006G308870, El007G331430	Om006G256850
OG0000150	El006G312860	Om008G323560, Om004G164020
OG0000150	El006G312870, El001G014430	Om001G010460
OG0000150	El001G011280	Om005G201710
OG0000151	El007G339860	Om003G114720
OG0000151	El003G156070	Om001G021860
OG0000151	El005G243780	Om002G051120
OG0000151	El005G273960	Om002G082850
OG0000151	El007G336000	Om003G118410
OG0000151	El004G194600	Om005G227900
OG0000154	El006G314290, El006G314350	Om004G147280
OG0000154	El004G209500	Om004G175630
OG0000155	El004G214530, El004G213730, El004G214590, El003G164690	Om001G007100
OG0000155	El005G247790	Om002G055620
OG0000155	El001G050480, El005G272960	Om005G221310
OG0000156	El006G282870	Om008G322030
OG0000156	El006G282860	Om008G321950, Om008G321940
OG0000156	El002G121590, El006G282830	Om004G146270, Om008G321930, Om001G022080, Om008G321920, Om008G322040, Om008G322020
OG0000157	El003G192550, El003G192860	Om008G326040, Om008G355750
OG0000160	El002G123370, El007G360530	Om006G239520, Om003G114830, Om001G041000, Om006G275250, Om004G160260, Om003G104260, Om002G079610
OG0000160	El005G275910	Om008G337340
OG0000160	El001G047250	Om005G210710
OG0000162	El003G183220	Om003G125430, Om003G125400, Om003G125370
OG0000162	El001G032200	Om003G125230, Om003G125290, Om007G315000
OG0000162	El005G268830	Om003G125170
OG0000162	El002G134880, El001G032190	Om003G125240, Om003G125350, Om003G125220, Om003G125200, Om003G125180, Om003G125210
OG0000162	El006G283560, El006G283550	Om008G322780, Om008G322790
OG0000164	El003G154310, El003G154300	Om001G024320
OG0000164	El003G143310	Om001G039840
OG0000164	El003G143320	Om001G039830
OG0000166	El003G188790, El003G188850, El001G012590, El002G131550	Om002G081230
OG0000166	El004G197940	Om001G033710
OG0000166	El003G170640, El003G170650, El006G307980, El001G032810, El001G080610, El004G229180	Om006G255610, Om002G081240, Om002G060790
OG0000167	El003G166330	Om001G004410
OG0000167	El003G166350	Om001G004360
OG0000167	El003G186120	Om001G004340
OG0000168	El006G283530, El001G061750, El002G109450, El006G282840	Om001G041790
