Orthogroup	Erysimum_linariifolium	Cardamine_amara
OG0000087	El003G165170	evm.model.RL_2.1599
OG0000087	El002G104330	evm.model.RL_5.1831
OG0000087	El004G228430	evm.model.RL_3.1990
OG0000088	El001G013540, El007G357210, El001G017100, El005G272510, El001G016960, El001G016980, El001G017010	evm.model.RL_7.1629
OG0000088	El001G059580	evm.model.RL_8.1137
OG0000089	El001G072250	evm.model.RL_4.2603
OG0000089	El002G133200	evm.model.RL_1.1790.1.687c87ee
OG0000089	El006G287080, El006G287070, El006G287060	evm.model.RL_6.2333
OG0000089	El005G247910	evm.model.RL_1.1121
OG0000089	El007G331780	evm.model.RL_7.1725, evm.model.RL_8.2019
OG0000090	El002G104490, El003G181590	evm.model.RL_5.1846
OG0000090	El007G355500	evm.model.RL_4.706
OG0000090	El004G228750	evm.model.RL_3.2006
OG0000090	El003G147970	evm.model.RL_2.2972
OG0000090	El001G038160, El001G038170, El001G049400, El001G038180	evm.model.RL_7.2545
OG0000090	El002G093200	evm.model.RL_5.885
OG0000091	El005G262380, El005G262370, El005G262320	evm.model.RL_4.825
OG0000093	El001G029880	evm.model.RL_7.525
OG0000093	El001G029800, El007G352040	evm.model.RL_7.532
OG0000096	El004G205300	evm.model.RL_3.612
OG0000096	El001G038300	evm.model.RL_7.2530
OG0000096	El001G038380	evm.model.RL_7.2533
OG0000096	El004G205890, El004G205920, El004G205830, El004G205860, El004G205880, El004G205870, El004G205260, El004G205840, El007G356380	evm.model.RL_3.627
OG0000096	El007G361830	evm.model.RL_4.362
OG0000096	El007G362860	evm.model.RL_4.323
OG0000097	El001G004470	evm.model.RL_8.394
OG0000097	El001G004390	evm.model.RL_8.392
OG0000097	El001G004380	evm.model.RL_8.388
OG0000097	El001G004460, El001G004420, El001G004430, El007G349700, El001G004410, El001G048890	evm.model.RL_8.395
OG0000101	El004G211480	evm.model.RL_3.339
OG0000101	El004G195800	evm.model.RL_3.653
OG0000104	El006G304210	evm.model.RL_6.1006
OG0000104	El002G136360	evm.model.RL_1.2425
OG0000105	El027G373450	evm.model.RL_6.453
OG0000106	El005G259530	evm.model.RL_1.1887, evm.model.RL_1.1895, evm.model.RL_1.1845
OG0000106	El001G010720, El005G256190, El005G255570	evm.model.RL_7.1393, evm.model.RL_1.1896
OG0000107	El005G257770	evm.model.RL_1.1927
OG0000107	El005G257830, El005G257820	evm.model.RL_1.1928
OG0000107	El005G258940	evm.model.RL_1.2019, evm.model.RL_1.2021
OG0000108	El001G047240	evm.model.RL_4.1209
OG0000108	El007G364310, El007G323300	evm.model.RL_8.499, evm.model.RL_4.164, evm.model.RL_4.166
OG0000108	El006G297420, El006G297320, El006G297490, El006G297230, El002G139550	evm.model.RL_3.231
OG0000109	El005G269730	evm.model.RL_1.2946
OG0000109	El006G320930, El003G188420	evm.model.RL_7.2399, evm.model.RL_3.555
OG0000109	El002G122420	evm.model.RL_1.2753, evm.model.RL_6.342
OG0000109	El001G018880	evm.model.RL_8.628, evm.model.RL_6.399, evm.model.RL_1.2214, evm.model.RL_8.997
OG0000110	El001G030780	evm.model.RL_7.1925
